Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
BMEN,3320,0W1,1,2,2,2,2,3,1,,,,,,,,,,,,"Ali, Tariq M",,,,,
BMEN,4388,0U1,1,5,5,16,3,2,,,,,,,,,,,,,"Polk, Todd W","Tjahjono, Nathaniel S",,,,
BPS,4395,5U1,15,23,3,,1,1,,,,,,,,,,,,,"Kitamura, Yuko",,,,,
BPS,4395,5U2,10,35,4,,,,,,,,,,,,,,,,"Stogsdill, Robert",,,,,
BPS,6310,0W1,,25,,4,1,,,,,,,,,,,,2,,"Kaplan, Marilyn R",,,,,
BPS,6310,GW1,,11,3,,,1,,,,,,,,,,,,,"Choi, Emily",,,,,
BPS,7303,0U1,,14,,,,,,,,,,,,,,,,,"Watson, John M",,,,,
BUAN,4090,091,,,,,,,,,,,,,,44,,,,,"Akarte, Prajakti V",,,,,
BUAN,4090,0U1,,,,,,,,,,,,,,23,,,,,"Akarte, Prajakti V",,,,,
BUAN,4381,5U1,4,,2,3,1,1,,,,,,,,,1,,,,"Chen, Luoying",,,,,
BUAN,6009,091,,,,,,,,,,,,,,,,,,11,"Thomas, Sunela S",,,,,
BUAN,6009,0U1,,,,,,,,,,,,,,,,,,52,"Thomas, Sunela S",,,,,
BUAN,6009,SU1,,,,,,,,,,,,,,,,,,23,"Paes, Antonio P",,,,,
BUAN,6312,0W1,,5,7,5,5,4,1,,,,,,1,,,,,,"Blueshtein, Moran","Wu, Jie",,,,
BUAN,6320,5U1,,7,17,3,2,,,,,,,,,,,,3,,"El-khodari, Gasan E","Cai, Shuzhang",,,,
BUAN,6320,SW1,,7,3,5,3,,,,,,,,,,,,,,"Ryu, Young U",,,,,
BUAN,6337,0W1,,4,1,4,1,1,,,,,,,,,,,2,,"Subramanian, Upender","Miao, Jin",,,,
BUAN,6346,5U1,,6,5,2,1,,,,,,,,,,,,,,"El-khodari, Gasan E","Cai, Shuzhang",,,,
BUAN,6346,SW1,,1,9,3,,,,,,,,,,,,,,,"Paes, Antonio P",,,,,
BUAN,6359,5U1,,5,1,1,1,1,1,,,,,,,,,,2,,"Ramezani, Rasoul","Shahsavand, Parisa",,,,
BUAN,6359,SW1,,3,4,1,5,,1,2,,,,,,,,,,,"Whalen, Tristan G",,,,,
BUAN,6382,SW1,,3,10,1,1,,,,,,,,,,,,,,"Kamalzadeh, Hossein",,,,,
BUAN,6398,5U1,,5,2,3,5,2,1,1,,,,,,,,,,,"Nguyen, Hien T","Wei, Jiarui",,,,
BUAN,6V98,0U1,,,,,,,,,,,,,,,,,,11,"Thomas, Sunela S",,,,,
CE,2301,0U1,5,,,,1,,1,2,,,1,,,,,,,,"Fahimi, Babak","Shabab, Sarjana",,,,
CE,3201,0U1,,3,3,,1,,2,1,,,,,,,,,,,"Kiasaleh, Kamran","Delaram, Zeinab","Abbasnia, Alma",,,
CE,3303,0H1,1,1,,1,1,2,1,,1,2,1,,,,,,,,"Kehtarnavaz, Nasser","Tasnim, Nafisa Zarrin",,,,
CE,4388,0U1,,13,,,,,,,,,,,,,,,,,"Tacca, Marco",,,,,
CE,4389,0U1,1,7,,1,2,1,1,,,,,,,,,,,,"Tacca, Marco",,,,,
CE,7010,0U1,,,,,,,,,,,,,2,,,,1,21,"Kiasaleh, Kamran",,,,,
CHEM,1111,1U1,9,2,3,1,2,,,,,,1,1,1,,,,,,"Huang, Yu","Mustafa, Md.","Ayers, Lyndsay C",,,
CHEM,1112,1U1,7,5,2,,3,,1,1,,,,1,1,,,,,,"Qin, Yanping","Kim, Hyunseo","Fernando, Shehan H","Jayasuriya, Danidu M","Shende, Prapti M",
CHEM,1112,1U2,6,4,4,2,3,,1,,1,1,,,1,,,,,,"Qin, Yanping","Shende, Prapti M","Jayasuriya, Danidu M",,,
CHEM,1311,0U1,6,4,4,10,4,4,1,,3,,,1,1,,,,1,,"Huang, Yu","Vu, Mai P","Aranda, Aidely",,,
CHEM,1312,0U1,5,13,3,13,9,8,11,12,18,1,6,5,9,,,,1,,"Hashami, Zohreh","Shohag, S M Anyet Ullah","Tran, Ly T",,,
CHEM,2233,3U1,10,4,,,,,,,,,,,,,,,,,"Cortes, Sergio","Gaspar, Miguel A","Cu Castillo, Cristina","Qasimi, Esmail","Paul, Saptarshi",
CHEM,2233,3U2,7,6,5,1,,,,,1,,,,,,,,,,"Tran, Daniel N","Koti, Neelima","Antany, Damary S","Benitez, Francisco","Wang, Ziqi",
CHEM,2323,0U1,15,13,5,3,8,7,8,8,5,5,3,,17,,2,,,,"Dissanayake, Dushanthi S","Mahulkar, Pranav S","Deo, Nitish Kumar","Liyana Withanage, Nadeesha Tharangani",,
CHEM,2325,0U1,2,11,3,6,7,9,4,8,5,3,5,,16,,,,3,,"Tran, Daniel N","Chakrabarty, Sumon","Neal, Henry","Pradhan, Subham",,
CHEM,8V91,024,,,,,,,,,,,,,,,,,,13,"Stefan, Mihaela C",,,,,
CHEM,8V91,046,,,,,,,,,,,,,,,,,,13,"Fasan, Rudi",,,,,
CLDP,3310,0W1,,7,,,2,,,,,,1,,,,,,,,"Timmons, Lisa N","Kim, Taesun",,,,
CLDP,3342,0W1,,11,,,1,,,,,,,,,,,,,,"Bonner, Deborah","Liu, Yilin",,,,
COMD,5340,0H1,,21,,,1,,,,,,,,,,,,,,"Neale, Hannah D","Sun, Minsi",,,,
COMD,6101,0W1,,,,,,,,,,,,,,,,,,11,"Aldridge, Michelle A",,,,,
COMD,6106,0W1,,,,,,,,,,,,,,,,,,17,"Sale, Felicity F",,,,,
COMD,6110,0W1,,,,,,,,,,,,,,,,,,12,"Kenedi, A Helen I",,,,,
COMD,6112,0W1,,,,,,,,,,,,,,,,,,15,"Walsh, Diane G",,,,,
COMD,6240,0U1,,10,,,,,,,,,,,,,,,,,"Touchstone, Emily W",,,,,
COMD,6320,0U1,,14,3,1,,,,,,,,,,,,,,,"Carter, Jessica A","Smith, Irma E",,,,
COMD,7303,0U1,,96,,,5,,,,,,,,,,,,,,"Kenedi, A Helen I","Reynolds, Jenny E",,,,
