Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,NC,P,I,W,instructor_id,instructor_name_normalized,title
"Janakiraman, Surya","Jang, Youngki",,,,,ACCT,6202,501,,6,6,3,4,,,,,,,,,,,,,,0,suryaj,surya janakiraman,Managerial Accounting 
"Loumioti, Maria","Chu, Yu Fang",,,,,ACCT,6305,501,,9,,1,2,,,,,,,,,,,,,,0,mxl175830,maria loumioti,Accounting for Managers 
"Zhang, Jieying","Song, Dongye","Hu, Yaqin",,,,ACCT,6332,001,,8,10,7,5,7,2,2,,,,,,,,,,,1,jxz146230,jieying zhang,Intermediate Financial Accounting II 
"Zhang, Jieying","Song, Dongye","Hu, Yaqin",,,,ACCT,6332,003,,3,4,2,2,2,1,1,,,,,,,,,,,0,jxz146230,jieying zhang,Intermediate Financial Accounting II 
"Zolton, Kathy","Shavrina, Irina V",,,,,ACCT,6333,501,,16,,,20,,,12,,,,,1,,,,,,2,kxz121730,kathy zolton,Advanced Financial Reporting 
"Mauriello, Joseph A","Hale, Seth M",,,,,ACCT,6336,501,,11,10,12,2,2,,,,,,,,,,,,,0,jam151430,joseph mauriello,Information Technology Audit and Risk Management 
"Li, Bin","Shekarchizadeh Esfahani, Sharif",,,,,ACCT,6344,001,,8,1,2,13,1,,1,,,,,,,,,,,0,bxl124230,,Financial Statement Analysis 
"McCuistion, Dennis",,,,,,ACCT,6377,501,,23,20,1,,1,,,,,,,,,,,,,0,dxm094000,dennis mccuistion,Corporate Governance 
"Mauriello, Joseph A","Braughton, Caleb M",,,,,ACCT,6380,501,,12,8,9,7,,,,,,,,1,,,,,,4,jam151430,joseph mauriello,Internal Audit 
"Mauriello, Joseph A","Hale, Seth M",,,,,ACCT,6382,501,,11,7,1,,,,,,,,,,,,,,,0,jam151430,joseph mauriello,Advanced Internal Auditing 
"Kimzey, Jackie","Bai, Xiaoou",,,,,ENTP,6370,501,,6,11,12,15,2,,,,,,,,,,,,,0,jxk092000,jackie kimzey,Innovation and Entrepreneurship 
"Shah, Rajiv","Kathuria, Nishant",,,,,ENTP,6375,501,,2,4,2,3,1,,,,,,,,,,,,,0,rxs079000,rajiv shah,Technology and New Product Development 
"Pedigo, Madison F",,,,,,ENTP,6315,0W1,,4,2,5,1,,,,,,,,,,,,,,0,mfp013000,madison pedigo,Entrepreneurial Finance 
"Fleming, Forney F",,,,,,HMGT,6320,501,,37,7,5,1,,,,,,,,,,,,,1,0,fwf081000,forney fleming,The American Healthcare System 
"Ramanathan, Kannan",,,,,,HMGT,6321,501,,11,8,,3,3,,,,,,,,,,,,1,0,kxr087000,kannan ramanathan,Strategic Leadership of Healthcare Organizations 
"Ziegler, Laurie","Li, Jianan","Gupta, Ashna",,,,HMGT,6324,001,,6,,,,,,,,,,,,,,,,,0,ziegler,laurie ziegler,Healthcare Negotiation and Dispute Resolution 
"Hazzard, Charles F","Redlinger, Lawrence","Kim, Kyun",,,,MAS,6V03,MBC,,31,,,,,,,,,,,,,,,,,0,cxh056000,charles hazzard,
"Hicks, Jeffrey N","Kim, Kyun",,,,,OB,6301,501,,40,9,2,1,1,,,,,,,,,,,,,0,jnh061000,jeffrey hicks,Organizational Behavior 
"Hasenhuttl, Maria","Jung, Young-Hoon",,,,,OB,6301,0W1,,43,,,2,,,,,,,,1,,,,,,1,h1562,maria hasenhuttl,Organizational Behavior 
"Ziegler, Laurie","Li, Jianan","Gupta, Ashna",,,,OB,6332,001,,23,1,,3,,,,,,,,,,,,,,0,ziegler,laurie ziegler,Negotiation and Dispute Resolution 
"Alborz, Shawn",,,,,,SYSM,6311,001,,2,9,1,1,,,,,,,,,,,,,,0,sxa063000,shawn alborz,Systems Project Management in Engineering and Operations 
"Raghunathan, Srinivasan","Mutyala, Mehar Venkat Aditya",,,,,MIS,6308,0W1,,15,12,13,4,2,,,,,,,,,,,,,3,sraghu,srinivasan raghunathan,System Analysis and Project Management 
"Ryu, Young","Godasi, Sai Ram Bharadwaj",,,,,MIS,6326,001,,14,3,5,10,1,,,,,,,,,,,,,1,ryoung,young ryu,Data Management 
"Ryu, Young","Godasi, Sai Ram Bharadwaj",,,,,MIS,6326,0W1,,10,4,1,5,2,,,,,,,,,,,,,3,ryoung,young ryu,Data Management 
"Alborz, Shawn",,,,,,OPRE,6362,001,,11,12,9,6,3,,,,,,,,,,,,,0,sxa063000,shawn alborz,Project Management in Engineering and Operations 
"Alborz, Shawn",,,,,,OPRE,6362,501,,6,10,10,6,1,,,,,,,,,,,,,0,sxa063000,shawn alborz,Project Management in Engineering and Operations 
"Rebello, Michael J",,,,,,FIN,6301,001,,4,3,8,3,3,1,,,,,,,,,,,,5,mjr071000,michael rebello,Financial Management 
"Nanda, Vikram K",,,,,,FIN,6301,502,,9,5,4,5,,,,,,,,,,,,,1,1,vkn150030,vikram nanda,Financial Management 
"Bruce, Norris I","Lim, Bo Ram","Norman, Laura E",,,,MKT,6301,501,,15,9,15,12,1,,,,,,,,,,,,,0,nxb018100,norris bruce,Marketing Management 
"Lewin, Peter","Zhu, Yiding",,,,,MECO,6303,0W1,,24,5,15,2,2,,,,,,,,,,,,,0,plewin,peter lewin,Business Economics 
"Pedigo, Madison F",,,,,,FIN,6315,0W1,,4,12,8,6,1,,,,,,,2,,,,,,0,mfp013000,madison pedigo,Entrepreneurial Finance 
"Dai, Zhonglan","Nathan, Brad",,,,,ACCT,2302,004,6,10,,3,16,3,1,9,4,5,3,3,,,,,,,3,zxd051000,zhonglan dai,Introductory Management Accounting 
"Hes, Christopher A","Vinayagam, Chidambara P",,,,,ACCT,2302,501,6,2,8,10,7,9,4,6,3,4,1,3,2,,,,,,4,cah041000,christopher hess,Introductory Management Accounting 
"Moore, Sarah E","Rosillo, Andrea G",,,,,ACCT,3100,001,1,26,8,3,1,1,,,,,,,,,,,,,0,sem054000,sarah moore,Professional Development 
"Cready, William M","Fan, Zhongwen",,,,,ACCT,3341,501,,5,2,1,1,4,,7,,,3,,3,,,,,,3,wmc041000,william cready,Cost Management Systems 
"Johnson, Jennifer","Garcia, Cesar D",,,,,ACCT,4342,001,1,4,13,9,11,7,8,5,4,,2,,,,,,,,1,jxj091000,jennifer johnson,Analysis and Design of Accounting Systems 
"Zhang, Jieying","Song, Dongye","Hu, Yaqin",,,,ACCT,6332,002,,3,3,3,2,2,1,1,,,,,,,,,,,1,jxz146230,jieying zhang,Intermediate Financial Accounting II 
"Betanzos, Christina L","Juarez Herrera, Pablo J",,,,,BLAW,2301,001,,13,9,12,6,11,8,7,4,,1,,5,,,,,,1,clb120030,christina betanzos,Business and Public Law 
"Polze, Matthew M","Ayala, Nestor A",,,,,BLAW,2301,002,,22,6,10,17,3,6,4,3,,2,,11,,,,,,6,mmp062000,matthew polze,Business and Public Law 
"Chasteen, Larry H","Jung, Young-Hoon",,,,,BPS,4305,001,,10,,4,18,,2,9,,4,,,,,,,,,1,chasteen,larry chasteen,Strategic Management 
"Chasteen, Larry H","Jung, Young-Hoon",,,,,BPS,4305,002,2,10,,8,20,,4,4,,,,,,,,,,,0,chasteen,larry chasteen,Strategic Management 
"Markoczi, Livia","Wang, Congying",,,,,BPS,4305,003,9,9,10,4,4,7,3,2,1,,,,,,,,,,0,lxm055000,livia markoczy,Strategic Management 
"Markoczi, Livia","Wang, Congying",,,,,BPS,4305,004,5,5,11,7,6,3,5,4,2,1,,,,,,,,,0,lxm055000,livia markoczy,Strategic Management 
"Levine, Sheen S","Kemp, Ayenda",,,,,BPS,4305,006,2,8,4,5,3,2,,,,,,,1,,,,,,0,ssl140530,sheen levine,Strategic Management 
"Levine, Sheen S","Kemp, Ayenda",,,,,BPS,4305,007,2,3,7,6,5,3,2,,1,,,,2,,,,,,2,ssl140530,sheen levine,Strategic Management 
"Majumdar, Sumit K","Sun, Geng",,,,,BPS,4305,501,9,20,10,5,1,1,,1,2,,,,,,,,,,0,skm021100,sumit majumdar,Strategic Management 
"Miller, Toyah L","Li, Jianan",,,,,BPS,4305,502,2,6,4,12,8,3,8,2,2,,,,1,,,,,,1,tlm140330,toyah miller,Strategic Management 
"Kaplan, Marilyn R",,,,,,BPS,6310,0W1,,30,4,5,2,,,1,,,,,,,,,,,2,mkaplan,marilyn kaplan,Strategic Management 
"Lin, Zhiang","Nguyen, Huy",,,,,BPS,6310,501,,8,6,1,1,,,,,,,,,,,,,,0,zlin,john zhiang lin,Strategic Management 
"Hicks, Jeffrey N",,,,,,BPS,6360,501,,33,7,5,2,,,,,,,,,,,,,,0,jnh061000,jeffrey hicks,Management and Organizational Consulting  Theory and Practice 
"Guttery, Randall",,,,,,FIN,3300,001,,13,4,,12,3,,12,1,,4,,,,,,,,0,rxg112530,randall guttery,Personal Finance 
"Cordell, David M","Zhu, Yiding",,,,,FIN,3320,001,,9,2,1,11,2,2,7,3,1,2,,1,,,,,1,3,dmc012300,david cordell,Business Finance 
"Cordell, David M","Zhu, Yiding",,,,,FIN,3320,002,,5,4,2,11,4,3,5,3,,3,,4,,,,,,2,dmc012300,david cordell,Business Finance 
"Li, Jun","Nguyen, Hang M",,,,,FIN,3320,003,,15,,,6,,,17,,,4,,2,,,,,,1,jxl128031,jun li,Business Finance 
"Li, Jun","Nguyen, Hang M",,,,,FIN,3320,004,,10,,,12,,,21,,,2,,2,,,,,,0,jxl128031,jun li,Business Finance 
"Li, Jun","Nguyen, Hang M",,,,,FIN,3320,005,,15,,,4,,,21,,,2,,,,,,,1,2,jxl128031,jun li,Business Finance 
"Richards, James R",,,,,,FIN,3320,0E1,2,6,3,3,3,9,2,3,4,,1,1,1,,,,,,2,jrr013500,james richards,Business Finance 
"Han, Munhee",,,,,,FIN,3320,011,2,3,5,4,4,4,3,5,2,2,1,,4,,,,,,0,mxh142730,munhee han,Business Finance 
"Molina, Stephen",,,,,,FIN,3340,001,17,18,8,1,1,1,,,1,,,,1,,,,,,0,sxm163630,stephen molina,Regulation of Business and Financial Markets 
"Xia, Han (Victor)",,,,,,FIN,3350,501,,7,5,4,5,3,2,,,,2,,,,,,,,0,hxx110930,han xia,Macroeconomics and Financial Markets 
"Pedigo, Madison F",,,,,,FIN,3360,001,4,7,4,8,11,4,6,2,1,,1,,,,,,,,0,mfp013000,madison pedigo,Entrepreneurial Finance 
"Richardson, Debra L","Kuang, Shimaoling",,,,,FIN,3370,001,7,5,5,2,7,1,,2,1,1,1,1,,,,,,,0,dlr150330,debra richardson,Principles of Risk Management and Insurance 
"Gurun, Ayfer",,,,,,FIN,3380,001,1,3,5,9,4,10,9,3,,,,,1,,,,,,0,axg119030,ayfer gurun,International Financial Management 
"El-Ashmawi, Amal H","Jerez Carreno, Jaime Eduardo",,,,,FIN,3390,001,11,2,5,6,2,6,,1,5,2,,6,1,,,,,,2,ahe013000,amal el ashmawi,Introduction to Financial Modeling 
"Kaur, Dupinderjeet",,,,,,FIN,3390,002,7,4,3,1,2,3,3,2,2,1,4,6,1,,,,,,1,dxk110730,dupinderjeet kaur,Introduction to Financial Modeling 
"El-Ashmawi, Amal H","Jerez Carreno, Jaime Eduardo",,,,,FIN,3390,501,4,,1,1,4,5,6,1,3,,1,1,2,,,,,,2,ahe013000,amal el ashmawi,Introduction to Financial Modeling 
"Cordell, David M","Zhu, Yiding",,,,,FIN,4300,001,,6,3,1,8,1,,7,,,,,1,,,,,,2,dmc012300,david cordell,Investment Management 
"Furst, Jack D",,,,,,FIN,4300,003,1,17,3,4,9,2,,1,,,,,,,,,,,0,jdf170030,jack furst,Investment Management 
"Mjigal, Tahar",,,,,,FIN,4340,001,3,7,11,1,,,,,,,,,,,,,,,0,txm132730,tahar mjigal,Options and Futures Markets 
"Day, Theodore",,,,,,FIN,6301,0W1,,12,1,2,12,3,,2,,,,,5,,,,,,6,tday,theodore day,Financial Management 
"Lewin, Peter","Zhu, Yiding",,,,,FIN,6308,0W1,,10,2,3,13,1,3,,,,,,,,,,,,1,plewin,peter lewin,Regulation of Business and Financial Markets 
"Khanapure, Revansiddha B","Hong, Yuan",,,,,FIN,6310,001,,3,7,17,7,,1,,,,,,,,,,,,0,rbk160130,revansiddha khanapure,Investment Management 
"DeCourcy, George A",,,,,,FIN,6322,501,,8,5,2,,4,,,,,,,,,,,,,1,gad075000,george decourcy,Real Estate Finance and Investment 
"Day, Theodore","Sharma, Varun",,,,,FIN,6352,501,,9,5,,10,4,,,,,,,,,,,,,1,tday,theodore day,Financial Modeling 
"Tsang, Wing K","Bai, Xiaoou",,,,,IMS,3310,001,,3,8,15,9,9,2,1,1,,,,,,,,,,0,wkt071000,wing tsang,International Business 
"Carraher, Shawn M",,,,,,IMS,3310,002,13,11,7,3,7,,2,2,,,1,,,,,,,2,1,smc130730,shawn carraher,International Business 
"Woldu, Habte G","Dakshinamoorthy, Sowmika",,,,,IMS,3310,003,2,6,5,8,12,6,7,2,,,,,,,,,,,1,wolduh,habte woldu,International Business 
"Woldu, Habte G","Dakshinamoorthy, Sowmika",,,,,IMS,3310,004,2,7,8,7,11,5,4,1,1,,,,2,,,,,,0,wolduh,habte woldu,International Business 
"Salk, Jane E","Kathuria, Nishant",,,,,IMS,3310,005,2,2,8,3,2,9,4,3,3,,1,2,3,,,,,,2,jes025000,jane salk,International Business 
"Salk, Jane E","Kathuria, Nishant",,,,,IMS,3310,006,2,2,4,3,4,9,8,4,7,1,1,,2,,,,,,0,jes025000,jane salk,International Business 
"Carraher, Shawn M",,,,,,IMS,3310,501,14,10,7,2,2,2,1,4,,,,1,,,,,,2,0,smc130730,shawn carraher,International Business 
"Zydorek, Hubert",,,,,,IMS,4330,501,,10,9,8,11,3,1,,,,,,,,,,,,0,hxz120930,hubert zydorek,Global Human Resource Management 
"Woldu, Habte G","Dakshinamoorthy, Sowmika","Chittoor, Dedeepya",,,,IMS,6204,551,,14,10,7,6,2,1,1,,,,,,,,,,,1,wolduh,habte woldu,Global Business 
"Woldu, Habte G","Dakshinamoorthy, Sowmika","Chittoor, Dedeepya",,,,IMS,6204,0W1,,11,13,17,3,2,,,,,,,,,,,,,0,wolduh,habte woldu,Global Business 
"Tsang, Wing K","Li, Xiujuan",,,,,IMS,6360,501,,3,5,7,2,,,,,,,,,,,,,,0,wkt071000,wing tsang,International Strategic Management 
"Slaughter, Kelly T",,,,,,MIS,6204,0W1,,15,,,29,,,5,,,,,1,,,,,,0,kts130030,kelly slaughter,Information Technology for Management 
"Narasimhan, Prithi","Kopparapu, Hanuman Abhishek",,,,,MIS,6316,501,,8,7,6,2,3,1,1,,,,,,,,,,,0,pxn152330,prithi narasimhan,Data Communications 
"Tang, Shaojie","Guha, Sumalya",,,,,MIS,6323,001,,14,5,10,1,,,,,,,,,,,,,,2,sxt146930,shaojie tang,Object Oriented Programming 
"Sohaee, Nassim","Thorat, Snehal H",,,,,MIS,6323,002,,13,11,10,9,8,,,,,,,,,,,,,0,nxs045000,nassim sohaee,Object Oriented Programming 
"Chen, Jianqing","Velumani, Suganya",,,,,MIS,6324,001,,7,9,8,6,4,,,,,,,,,,,,,0,jxc111031,jianqing chen,Business Analytics With SAS 
"Cavusoglu, Huseyin","Ozdemir, Dicle Yagmur",,,,,MIS,6330,0W1,,14,6,4,1,1,,1,,,,,,,,,,,0,huseyin,huseyin cavusoglu,Information Technology Security 
"Menon, Syam","Kanala, Lalitha Naga Venkata","Zhang, Haozhao",,,,MIS,6334,501,,6,9,5,4,1,,,,,,,,,,,,,0,sxm021300,syam menon,Advanced Business Analytics With SAS 
"Menon, Syam","Kanala, Lalitha Naga Venkata","Zhang, Haozhao",,,,MIS,6334,001,,8,7,7,3,2,,,,,,,,,,,,,0,sxm021300,syam menon,Advanced Business Analytics With SAS 
"Thouin, Mark","Dogaroglu, Seckin",,,,,MIS,6360,001,,42,12,8,2,2,1,1,,,,,,,,,,,0,mxt083000,mark thouin,Agile Project Management 
"Jacob, Varghese",,,,,,MIS,7220,001,,7,,,,,,,,,,,,,,,,,0,vjacob,,Colloquium in Management Information Systems 
"Kulkarni, Madhura",,,,,,MKT,3300,002,2,3,6,5,1,1,2,,,,,,2,,,,,,0,mxk170005,madhura kulkarni,Principles of Marketing 
"Pahwa, Parneet","Shyam, Nikhil","Sikdar, Sathi",,,,MKT,3300,003,3,17,9,14,2,2,,,,,,,,,,,,1,1,pxp030100,parneet pahwa,Principles of Marketing 
"Pahwa, Parneet","Shyam, Nikhil","Sikdar, Sathi",,,,MKT,3300,004,2,18,9,6,10,4,,,,,,,,,,,,,0,pxp030100,parneet pahwa,Principles of Marketing 
"Corbin, Sonja C",,,,,,MKT,3300,005,2,11,10,12,4,5,1,,,,,,1,,,,,,2,scc130530,sonja corbin,Principles of Marketing 
"Pacyna, Sandra",,,,,,MKT,3300,006,6,16,6,8,3,3,2,3,,,1,,,,,,,,0,sxp158130,sandra pacyna,Principles of Marketing 
"Meda, Edward","Vora, Gunjan",,,,,MKT,3300,007,2,8,14,8,10,5,,1,1,,,,,,,,,,0,exm150330,edward meda,Principles of Marketing 
"Meda, Edward","Vora, Gunjan",,,,,MKT,3300,5E1,,4,9,5,6,6,3,,1,,1,,1,,,,,,0,exm150330,edward meda,Principles of Marketing 
"Amirpour, Semiramis",,,,,,MKT,3330,005,2,6,8,1,,6,,3,,,,1,,,,,,,2,sxa130731,semiramis amirpour,Introduction to Professional Selling 
"Rajaratnam, Daniel",,,,,,MKT,3340,501,,4,,7,16,3,2,2,,,,,,,,,,,0,dxr143430,daniel rajaratnam,Marketing Research 
"Corbin, Sonja C",,,,,,MKT,4340,001,1,8,14,12,7,,,,,,,,1,,,,,,2,scc130530,sonja corbin,Consumer Behavior 
"Biswas, Abhijit","Kasaraneni, Uma Sankar","Agarwal, Gaurang",,,,MKT,4350,001,,3,3,1,3,,1,,1,,,,,,,,,,0,axb019100,abhijit biswas,Advertising 
"Haworth, Julie B",,,,,,MKT,4380,001,2,26,16,2,1,,1,,,,,,,,,,,,0,haworth,julie haworth,Capstone Course in Marketing 
"Pahwa, Parneet","Sikdar, Sathi","Shyam, Nikhil",,,,MKT,6301,0W1,,11,12,8,6,7,,,,,,,,,,,,,0,pxp030100,parneet pahwa,Marketing Management 
"Rajaratnam, Daniel",,,,,,MKT,6309,501,,5,1,1,2,,,,,,,,,,,,,,0,dxr143430,daniel rajaratnam,Marketing Research 
"Biswas, Abhijit","Kasaraneni, Uma Sankar",,,,,MKT,6310,0W1,,17,8,15,8,,1,,,,,,,,,,,,0,axb019100,abhijit biswas,Consumer Behavior 
"Kumar, Nanda","Bhave, Ashutosh C",,,,,MKT,6323,001,,3,2,3,5,,,,,,,,,,,,,,0,nkumar,nanda kumar,Database Marketing 
"Bruce, Norris I","Lim, Bo Ram","Norman, Laura E",,,,MKT,6329,501,,6,2,6,6,,,,,,,,,,,,,,0,nxb018100,norris bruce,New Product Development 
"Biswas, Abhijit","Kasaraneni, Uma Sankar","Agarwal, Gaurang",,,,MKT,6330,0W1,,4,10,10,8,4,,,,,,,,,,,,,1,axb019100,abhijit biswas,Brand Management 
"Biswas, Abhijit","Kasaraneni, Uma Sankar","Agarwal, Gaurang",,,,MKT,6332,501,,5,7,11,7,6,2,2,,,,,,,,,,,0,axb019100,abhijit biswas,Advertising and Promotional Strategy 
"Subramanian, Upender","Lim, Bo Ram",,,,,MKT,6339,501,,7,3,15,5,,,,,,,,,,,,,,0,uxs092000,upender subramanian,Capstone Marketing Decision Making 
"DeCourcy, George A",,,,,,REAL,3305,001,3,2,1,2,7,1,2,3,1,2,,,2,,,,,,0,gad075000,george decourcy,Real Estate Principles 
"Guttery, Randall",,,,,,REAL,6321,001,,2,,,5,1,,,,,,,,,,,,,1,rxg112530,randall guttery,Introduction to Real Estate 
"Crumpecker, Brad",,,,,,REAL,6323,501,,1,2,1,,,,,,,,,,,,,,,1,bxc122130,,Real Estate Market Analysis and Investment 
"Ritchey, David B",,,,,,OBHR,3310,001,4,12,10,4,7,5,1,,4,,,,,,,,,1,0,davidr,david ritchey,Organizational Behavior 
"Ritchey, David B",,,,,,OBHR,3310,002,3,13,12,5,9,2,,1,1,1,1,,1,,,,,,0,davidr,david ritchey,Organizational Behavior 
"Weekley, Jeff A","Kemp, Ayenda",,,,,OBHR,3310,003,6,2,8,5,9,10,4,4,,,1,,,,,,,,1,jaw160330,jeff weekley,Organizational Behavior 
"Jun, Sora","Liu, Yu",,,,,OBHR,3310,503,2,6,8,10,11,7,1,3,1,,,,,,,,,,0,sxj177030,,Organizational Behavior 
"Meda, Edward","Vora, Gunjan",,,,,OBHR,3310,005,2,10,18,4,7,7,,,1,,,,,,,,,,0,exm150330,edward meda,Organizational Behavior 
"Jun, Sora","Liu, Yu",,,,,OBHR,3310,5E1,2,4,6,7,8,9,3,,,,,1,1,,,,,,2,sxj177030,,Organizational Behavior 
"Weekley, Jeff A","Kemp, Ayenda",,,,,OBHR,3310,501,2,1,7,7,14,10,2,4,1,,,,,,,,,,0,jaw160330,jeff weekley,Organizational Behavior 
"Meda, Edward","Vora, Gunjan",,,,,OBHR,3310,502,,5,11,10,7,8,3,,,,,,2,,,,,,2,exm150330,edward meda,Organizational Behavior 
"Ritchey, Kemberly A",,,,,,OBHR,4352,001,3,3,12,6,7,4,1,1,3,,,,,,,,,,0,kar014400,kemberly ritchey,Negotiation and Dispute Resolution 
"Feng, Zhichao",,,,,,OPRE,3310,502,15,17,6,5,,3,1,,,,,,,,,,,,2,zxf140830,,Operations Management 
"Deluke, Eugene","Thankamony, Parvathy",,,,,OPRE,3310,004,6,11,,4,16,,3,7,,,2,,,,,,,,0,gxd052000,eugene deluke,Operations Management 
"ye, Shengqi","Shi, Lingling",,,,,OPRE,3310,005,5,19,7,7,3,2,,3,,,1,1,,,,,,,1,sxy143530,shengqi ye,Operations Management 
"Hogan, James W","Ojha, Amrit A",,,,,OPRE,3310,006,,15,,5,14,,4,12,,,,,,,,,,,0,jwh085000,james hogan,Operations Management 
"Kuo, Ching-Chung","Deodhar, Adneya","Guda, Harish",,,,OPRE,3320,001,,8,2,3,23,,1,5,1,,2,,,,,,,,1,cxk162830,,Supply Chain Management 
"Alborz, Shawn",,,,,,OPRE,3330,001,5,18,11,9,11,3,2,5,1,,,,3,,,,,,1,sxa063000,shawn alborz,Project Management 
"Brussolo, Monica E","Castaldo, Joseph D",,,,,OPRE,3333,001,8,7,9,8,3,2,4,4,2,2,5,3,7,,,,,,1,meb049000,monica brussolo,Quantitative Business Analysis 
"Simsek, Ahmet S","Shan, Xi",,,,,OPRE,3360,001,1,6,9,7,16,6,9,2,1,1,,,2,,,,,,1,axs158032,ahmet simsek,Managerial Methods in Decision Making Under Uncertainty 
"Simsek, Ahmet S","Shan, Xi",,,,,OPRE,3360,002,2,11,14,8,11,5,2,5,4,2,,,,,,,,,0,axs158032,ahmet simsek,Managerial Methods in Decision Making Under Uncertainty 
"Alimirzaei, Athena","Israni, Tanya R",,,,,OPRE,3360,003,16,9,,14,9,,7,3,,2,3,,,,,,,,0,axa134231,athena alimirzaei,Managerial Methods in Decision Making Under Uncertainty 
"Alimirzaei, Athena","Israni, Tanya R",,,,,OPRE,3360,004,13,12,,18,9,,3,3,,2,2,,,,,,,,1,axa134231,athena alimirzaei,Managerial Methods in Decision Making Under Uncertainty 
"Brussolo, Monica E","Zangeneh Madar, Zeinab",,,,,OPRE,3360,005,7,11,8,6,7,5,6,5,1,,2,2,3,,,,,1,1,meb049000,monica brussolo,Managerial Methods in Decision Making Under Uncertainty 
"Naseri Taheri, Mohammad","Khatavkar, Shreya U",,,,,OPRE,3360,006,9,14,10,23,3,1,,1,1,,,,,,,,,,1,mxn121930,mohammad naseri,Managerial Methods in Decision Making Under Uncertainty 
"Wiorkowski, John",,,,,,OPRE,6301,502,,33,11,9,12,2,3,3,,,,,,,,,,,2,wiorkow,john wiorkowski,Statistics and Data Analysis 
"Leach, Sonia E","Chindak, Sachin",,,,,OPRE,6301,004,,20,23,8,8,5,2,3,,,,,1,,,,,,1,sel120030,sonia leach,Statistics and Data Analysis 
