Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
ACCT,3350,001,7,6,13,6,8,1,,1,,,,,1,,,,3,,"Solcher, Steven J","Lipinski, Alisa A",,,,
ACCT,3350,501,,6,7,5,12,9,6,3,2,3,,,2,,,,,,"Frost, Sandra M","Lipinski, Alisa A",,,,
ACCT,4301,501,2,,2,4,1,6,3,1,1,2,3,1,1,,,,,,"Hagen, John","Patel, Sakshi Jayesh",,,,
ACCT,4302,PP2,,8,15,15,1,1,,,,,,,,,,,,,"Markov, Stanimir G","Kim, Jongha",,,,
ACCT,4302,PPA,,10,10,11,5,3,,,,,,,,,,,,,"Markov, Stanimir G","Kim, Jongha",,,,
ACCT,4334,001,,10,,,20,,,12,1,,1,,,,,,1,,"Linsteadt, Chris C",,,,,
ACCT,4334,501,,5,,,9,,,6,1,,1,,2,,,,,,"Linsteadt, Chris C",,,,,
ACCT,4334,PPA,,23,,,42,,,10,,,2,,1,,,,,,"Linsteadt, Chris C",,,,,
ACCT,4336,001,6,2,9,11,7,5,3,2,,,,,2,,,,1,,"Solcher, Steven J","Lipinski, Alisa A",,,,
ACCT,4337,501,2,1,2,1,4,8,2,3,2,2,2,,3,,,,,,"Ballew, Gregory","Mogesie, Rahel G",,,,
ACCT,4340,001,23,9,3,2,,,3,1,,,1,1,1,,,,1,,"Johnson, Jennifer G","Surani, Sanya R",,,,
ACCT,4342,001,4,6,7,8,9,1,1,2,1,,1,,,,,,1,,"Johnson, Jennifer G","Surani, Sanya R",,,,
ACCT,4342,501,,1,4,3,3,2,6,1,,,1,,,,,,,,"Kromer, Jeffrey R","Goel, Simran",,,,
ACCT,6202,0W1,,7,14,9,10,9,4,4,,,,,,,,,1,,"Janakiraman, Surya N","Banik, Dipta",,,,
ACCT,6202,GW1,,10,3,3,1,,,2,,,,,1,,,,1,,"Sadka, Gil",,,,,
ACCT,6291,S91,,35,,,33,,,2,,,,,2,,,,,,"Zolton, Kathy",,,,,
ACCT,6301,001,,14,8,29,,,6,,,,,,,,,,,,"Li, Ningzhong","Kim, Jongha",,,,
ACCT,6301,0W1,,11,13,7,4,6,2,,,,,,3,,,,6,,"Ali, Ashiq","Kwon, Yeongmin",,,,
ACCT,6301,501,,4,17,14,11,5,1,3,,,,,2,,,,2,,"Ballew, Gregory","Mogesie, Rahel G",,,,
ACCT,6301,CH1,,28,1,,,,,,,,,,,,,,,,"Barden, John P",,,,,
ACCT,6301,GW1,,17,5,3,,1,,,,,,,1,,,,,,"Barden, John P",,,,,
ACCT,6301,MBC,,35,6,1,,2,,1,,,,,,,,,,,"Radhakrishnan, Suresh","Zhang, Ye",,,,
ACCT,6301,MBP,,20,,5,2,,,,,,,,,,,,3,,"Radhakrishnan, Suresh","Zhang, Ye",,,,
ACCT,6301,X01,,7,5,4,2,1,1,,,,,,,,,,2,,"Ali, Ashiq","Kwon, Yeongmin",,,,
ACCT,6305,002,,5,5,9,3,2,3,,,,,,1,,,,1,,"Li, Ningzhong","Kim, Jongha",,,,
ACCT,6305,501,,11,6,13,4,5,3,,,,,,,,,,,,"Li, Ningzhong","Kim, Jongha",,,,
ACCT,6320,0W1,,2,3,3,2,1,2,,,,,,,,,,,,"Cavusoglu, Huseyin","Li, Baorui",,,,
ACCT,6321,S01,,4,2,4,,,,,,,,,,,,,1,,"Scott, James",,,,,
ACCT,6330,501,,15,,4,16,,,10,,,,,4,,,,1,,"Cready, William M","Parupati, Sunil K",,,,
ACCT,6331,501,,7,11,9,8,6,2,2,,,,,1,,,,,,"Janakiraman, Surya N","Banik, Dipta",,,,
ACCT,6332,5W1,,9,,,9,,,1,,,,,1,,,,,,"Zolton, Kathy","Yayvak, Berk",,,,
ACCT,6333,501,,14,,,11,,,4,,,,,,,,,1,,"Zolton, Kathy","Yayvak, Berk",,,,
ACCT,6333,PPA,,20,,,11,,,3,,,,,,,,,1,,"Zolton, Kathy","Yayvak, Berk",,,,
ACCT,6334,0W1,,15,,,5,,,2,,,,,,,,,,,"Linsteadt, Chris C",,,,,
ACCT,6335,0W1,,19,10,2,12,3,2,2,,,,,1,,,,,,"Bortz, Tiffany A","Radhakrishnan, Shivani",,,,
ACCT,6336,501,,11,7,7,4,,,,,,,,,,,,,,"Mauriello, Joseph A","Tran, Bao G",,,,
ACCT,6341,0W1,,24,4,6,9,1,,,,,,,,,,,,,"Goodrich, Mary Beth W","Patne, Saylee Pramod",,,,
ACCT,6344,0W1,,11,17,7,8,2,3,1,,,,,,,,,1,,"Gurun, Umit G","Yayvak, Berk",,,,
ACCT,6344,PPA,,20,37,2,,1,,,,,,,,,,,,,"Gurun, Umit G","Yayvak, Berk",,,,
ACCT,6345,5W1,,4,4,2,1,,,,,,,,,,,,2,,"Janakiraman, Surya N","Banik, Dipta",,,,
ACCT,6350,501,,15,14,5,,,,,,,,,,,,,,,"Solcher, Steven J","Lipinski, Alisa A",,,,
ACCT,6350,S01,,3,4,1,2,,,,,,,,,,,,,,"Frost, Sandra M","Lipinski, Alisa A",,,,
ACCT,6353,501,,6,16,9,1,,,,,,,,,,,,,,"Solcher, Steven J","Lipinski, Alisa A",,,,
ACCT,6354,501,,12,1,1,4,5,3,5,,,,,1,,,,,,"Hanna, Dave T",,,,,
ACCT,6374,0W1,,9,16,7,4,,,,,,,,,,,,,,"Mauriello, Joseph A","Tran, Bao G",,,,
ACCT,6380,501,,4,11,3,6,,,,,,,,,,,,,,"Mauriello, Joseph A","Tran, Bao G",,,,
ACCT,6383,501,,3,,3,13,2,,,,,,,,,,,1,,"Bracy, Dana",,,,,
ACCT,6386,001,,33,13,4,7,3,,,,,,,,,,,,,"Mauriello, Joseph A","Tran, Bao G",,,,
ACCT,6392,501,,5,3,3,4,,,,,,,,,,,,,,"Mauriello, Joseph A","Tran, Bao G",,,,
ACN,5312,001,,3,3,4,5,2,,,,,,,,,,,1,,"Fearon, Danielle","Leung, Carole",,,,
ACN,5312,002,,3,7,1,5,,,1,,,,,,,,,1,,"Fearon, Danielle","Latteri, Christopher W",,,,
ACN,6323,001,,12,,,,,,,,,,,,,,,,,"Rennaker, Robert L",,,,,
ACN,6330,001,,9,5,2,3,1,,1,,,,,,,,,1,,"Guo, Jiahui",,,,,
ACN,6338,001,,18,,,7,,,,,,,,1,,,,,,"Sultana, Rukhsana",,,,,
ACN,6340,001,,,3,2,,1,1,4,,,,,,,,,7,,"Gu, Zirong",,,,,
ACN,6341,0H1,,18,1,,,,,,,,,,,,,,,,"Orrick, Erika D",,,,,
ACN,6345,001,,4,3,1,1,1,,,,,,,1,,,,,,"Rodriguez, Christa M",,,,,
ACN,6346,001,,22,,,5,,,1,,,,,,,,,1,,"Tavares Ferreira, Diana M",,,,,
ACN,6348,501,,8,1,,1,,,,,,,,,,,,,,"Golden, Richard M",,,,,
ACN,6373,0W1,,26,,1,2,,,,,,,,,,,,1,,"Jaquez, Kathryn M",,,,,
ACN,6395,001,,14,,,11,,,4,,,,,1,,,,,,"Wig, Gagandeep S",,,,,
ACN,6V71,013,,,,,,,,,,,,,,,,,1,9,"Golden, Richard M",,,,,
ACN,6V81,0H1,,5,3,3,1,,,,,,,,,,,,1,,"Maqbool, Mohsin",,,,,
ACN,7364,001,,4,4,3,,,,,,,,,,,,,,,"Rugg, Michael D",,,,,
ACTS,4303,001,1,2,1,1,1,1,3,2,2,1,1,,1,,,,,,"Humphreys, Natalia","Makhijani, Neha","Liu, Jingzhou",,,
ACTS,4304,001,2,1,1,2,3,4,2,,2,,,1,,,,,,,"Humphreys, Natalia","Zhao, Kun",,,,
ACTS,4307,001,4,9,3,2,,,,1,,,,,,,,,,,"Hong, Liang","Thomas, Yaga S",,,,
ACTS,4308,001,3,1,2,3,,2,,1,2,2,,2,6,,,,,,"Humphreys, Natalia","Makhijani, Neha","Yang, Haopeng",,,
AHST,1304,001,23,28,31,7,4,5,2,6,2,1,,,1,,,,2,,"McDonald, Jacquelyn D","Dolatyari, Mahdi","Morgan, George D",,,
AHST,1304,002,22,23,33,7,8,6,3,2,1,1,,,5,,,,3,,"McDonald, Jacquelyn D","Khoshniat, Ahmad","Harper, Joseph E",,,
AHST,2331,001,22,48,31,22,13,13,5,6,2,,2,1,10,,,,3,,"Rosen, Mark S","Razzaque, Farzana A","Esmail, Fatima N","Kang, Kyul","Ghahari Kermani, Arash",
AHST,2331,HN1,,14,8,2,,,,,,,,,,,,,,,"Rosen, Mark S",,,,,
AHST,2331,HN2,7,14,,1,1,,,,,,,,,,1,,,,"Hofland, Amy L",,,,,
AHST,3320,001,,2,4,2,11,3,1,3,,,,,,,,,,,"Doss, Erika",,,,,
AHST,3320,002,15,11,2,3,5,1,,,,,,,2,,,,,,"Alibhai, AliAsgar H",,,,,
AHTC,1100,001,,22,,,2,,,,,,1,,1,,,,,,"Hasan, Nasreen",,,,,
AHTC,1100,002,16,5,,1,4,3,,,2,,,1,1,,,,,,"Crabtree, Jacob D",,,,,
AHTC,1100,003,1,2,2,4,1,,2,1,,,1,,1,,,,,,"Roberts, Jazzmyn C",,,,,
AHTC,1100,004,16,2,5,3,,1,,2,1,,,,2,,,,,,"Lara, Cynthia C",,,,,
AHTC,1100,005,19,3,2,2,3,1,,3,,,,1,2,,,,,,"Marroquin, Irene",,,,,
AHTC,1100,0L1,15,,1,1,1,1,,,,1,1,,2,,,,,,"Lara, Cynthia C",,,,,
AHTC,1100,0L2,9,,,3,3,4,,,,1,1,,2,,,,,,"Marroquin, Irene",,,,,
AHTC,1100,0L3,5,8,3,4,2,1,2,4,,,,,5,,,,,,"Roberts, Jazzmyn C",,,,,
AMS,2300,001,15,6,4,3,2,1,3,,,,,,,,1,,,,"Hammonds, Kyle",,,,,
AMS,2341,001,1,9,16,11,15,4,,2,,,,,7,,,,2,,"Naqvi, Syed K",,,,,
AMS,2341,HN1,,11,5,2,3,,,,,,,,,,,,,,"Smith, Erin",,,,,
AMS,3316,0W1,16,8,4,1,3,3,1,1,1,,,,5,,1,,3,,"Winstead, Elizabeth L",,,,,
AMS,4300,5H1,4,3,1,4,,,1,,1,,,,,,,,,,"Ross, Alyssa N",,,,,
AMS,4305,5H1,,2,1,6,2,,,,,,,,,,,,,,"Cotton, Scott C",,,,,
AMS,4379,0W1,10,9,4,,1,1,,2,,,,,,,1,,,,"Winstead, Elizabeth L",,,,,
ANGM,2303,001,14,20,27,15,9,5,2,1,3,1,1,,,,,,,,"Grieshaber, Amy","Kerr, Rachel T","Akalkotkar, Uma G",,,
ANGM,2303,002,21,33,23,12,5,1,2,1,1,,,,,,,,,,"Grieshaber, Amy","Ahr, Allanah G","Fernandez, Daniel S",,,
ANGM,2305,0W1,14,19,15,9,5,8,6,2,3,1,1,,13,,,,3,,"Lim, Fengjie","Cressman, Benjamin I","Lam, Vy",,,
ANGM,2309,0W1,24,18,1,,,2,,1,,,,,1,,,,1,,"Fechter, Todd A","Wood, Lorin W",,,,
ANGM,2309,0W2,6,4,12,4,4,6,1,,2,1,,3,4,,,,1,,"Griffin, Troy","Khamsehnezhad, Mozhdeh",,,,
ANGM,2310,0H1,118,30,34,24,10,8,3,4,7,5,2,2,33,,,,13,,"Salter, Monika M","Cabrera, Michael A","Wheeler, Jonathan M","Bess, Michael C","Kusupati, Anish C","Abri, Zeinab"
ANGM,2315,001,10,14,25,19,7,15,4,,1,3,,1,,,,,,,"Veras de Souza, Christine","Plueger, Michael F",,,,
ANGM,2335,001,16,4,3,2,1,,,,,1,,,1,,,,,,"Marks, David",,,,,
ANGM,2345,001,3,6,6,2,2,2,,,4,1,,,3,,,,1,,"Gupta-Fitzgerald, Harold E",,,,,
ANGM,2345,002,5,,8,5,3,2,2,,2,,,,2,,,,,,"Marks, David",,,,,
ANGM,2345,003,5,6,7,3,1,1,,1,1,1,,,3,,,,1,,"Gupta-Fitzgerald, Harold E",,,,,
ANGM,2345,004,2,7,6,4,3,,,1,1,,,,2,,,,1,,"Marks, David",,,,,
ANGM,3304,001,1,3,4,1,5,1,1,,,,,,2,,,,1,,"Gardner, Frederick",,,,,
ANGM,3305,001,,3,8,7,,3,2,,2,,,,3,,,,2,,"Caldwell, Bryon A","Subochev, Andrei",,,,
ANGM,3305,002,,,5,8,5,6,1,2,1,,,,2,,,,,,"Caldwell, Bryon A","Gutierrez, Joseph W",,,,
ANGM,3306,001,5,7,12,1,,2,,1,,,1,,1,,,,,,"Price, Jeffrey T",,,,,
ANGM,3306,002,2,4,7,6,5,,1,,1,1,1,,2,,,,,,"Khamnouane, Singkham",,,,,
ANGM,3307,001,1,6,12,4,1,2,2,1,,,,,1,,,,,,"McCord, Peter A",,,,,
ANGM,3308,001,,3,3,1,6,3,2,3,1,1,1,,2,,,,3,,"Johnson, Casey A",,,,,
ANGM,3308,002,,5,3,1,1,2,1,4,1,1,,1,3,,,,4,,"Johnson, Casey A",,,,,
ANGM,3310,001,1,3,6,4,5,4,1,,1,,,,2,,,,1,,"Lim, Fengjie",,,,,
ANGM,3311,001,,,1,3,3,4,2,1,1,1,,,3,,,,,,"Lim, Fengjie",,,,,
ANGM,3311,002,,4,,2,6,1,1,1,,,,,1,,,,1,,"Johnson, Casey A",,,,,
ANGM,3312,101,2,1,5,2,2,,1,1,1,1,1,,,,1,,1,,"Salter, Monika M",,,,,
ANGM,3313,001,1,5,5,2,3,1,1,1,,,,,,,,,,,"McComber, Sean J","Piantino, Raquel C",,,,
ANGM,3315,001,5,2,11,5,2,3,1,,,,,1,1,,,,,,"Grieshaber, Amy",,,,,
ANGM,3321,001,1,4,3,1,1,5,,,1,,,,1,,,,1,,"Gardner, Frederick",,,,,
ANGM,3330,001,14,3,2,,,,,,,,,,,,,,,,"McCord, Peter A",,,,,
ANGM,3338,001,3,5,13,3,3,,,,1,,,,2,,,,,,"Griffin, Troy","Clarke-Gaar, Alissa C",,,,
ANGM,3338,501,13,4,,3,1,,1,1,2,,,,3,,,,2,,"Chaudhary, Anisha",,,,,
ANGM,3346,001,13,5,3,3,,,,,1,,1,,2,,1,,,,"Marks, David",,,,,
ANGM,3347,001,6,6,,1,2,1,,,,,,,,,,,,,"Gupta-Fitzgerald, Harold E",,,,,
ANGM,3365,001,11,11,4,,1,3,,,,,,,,,,,,,"Christopher, Timothy V","Schoonover, Richard",,,,
ANGM,3365,002,6,9,10,3,2,,,,,,,,,,,,,,"Christopher, Timothy V","Schoonover, Richard",,,,
ANGM,3366,001,15,2,6,3,4,1,,,,,,,1,,,,,,"Irby, Cameron L",,,,,
ANGM,3367,001,2,,5,9,7,2,2,1,,,,,2,,,,,,"Murray, Jack A",,,,,
ANGM,3367,002,15,5,,2,1,1,,,,,2,,4,,,,,,"Ayres, Cameron M",,,,,
ANGM,3368,002,1,2,1,2,2,2,2,2,1,,1,,3,,,,,,"Porritt, Joseph L",,,,,
ANGM,3368,0W1,2,3,3,5,3,,,,1,1,,,1,,,,,,"Chandler, Adam W",,,,,
ANGM,3369,001,,27,3,,1,,,,,,1,,2,,,,,,"Evans, Monica J",,,,,
ANGM,3370,001,14,3,6,3,,,2,1,,,,,1,,,,,,"Lewis, Timothy M","Obuobi, Samra",,,,
ANGM,3370,002,8,8,4,,1,2,1,,,1,,,3,,,,2,,"Lewis, Timothy M",,,,,
ANGM,3372,001,6,13,,,5,,,3,,,,,2,,,,,,"Gupta-Fitzgerald, Harold E",,,,,
ANGM,3373,101,13,,,,,,,,,,,,,,,,,,"Marks, David",,,,,
ANGM,4305,001,,,3,3,5,5,,1,,,1,,,,,,1,,"Caldwell, Bryon A",,,,,
ANGM,4305,501,5,2,4,,6,1,1,,,,,,,,,,,,"Manriquez, Robert J",,,,,
ANGM,4306,001,2,4,6,3,5,,1,,,,,,1,,,,2,,"Khamnouane, Singkham",,,,,
ANGM,4309,001,,7,1,2,4,2,1,,,1,,,1,,,,,,"Gardner, Frederick",,,,,
ANGM,4310,501,10,9,5,6,,,,,,,,,,,,,,,"Buxkamper, Adam M",,,,,
ANGM,4312,001,2,7,5,1,1,,,,,,,,3,,,,,,"Khamnouane, Singkham",,,,,
ANGM,4313,001,,1,2,3,,3,3,1,,,1,,2,,,,2,,"Lim, Fengjie",,,,,
ANGM,4317,001,,19,,,,,,,,,,,,,,,,,"Salter, Monika M",,,,,
ANGM,4317,002,,19,,,,,,,,,,,,,,,,,"McCord, Peter A",,,,,
ANGM,4319,002,,10,,,,,,,,,,,,,,,,,"Salter, Monika M","Johnson, Casey A",,,,
ANGM,4321,001,7,9,3,,,,,,,,,,,,,,,,"Khamnouane, Singkham",,,,,
ANGM,4322,001,5,3,,,,,,1,1,,,,,,,,,,"Veras de Souza, Christine",,,,,
ANGM,4350,001,2,6,1,,,,,,,,,,1,,,,,,"McComber, Sean J","Fechter, Todd A","Prado, Jordan B",,,
ANGM,4365,001,8,6,1,1,,1,,,,1,,,,,,,1,,"Christopher, Timothy V",,,,,
ANGM,4365,002,11,2,3,,1,,,,,1,,,,,,,1,,"Christopher, Timothy V",,,,,
ANGM,4367,001,2,2,5,5,6,1,4,,2,,,,2,,,,1,,"Chandler, Adam W",,,,,
ANGM,4368,001,4,6,5,3,2,3,2,2,,1,,,2,,,,,,"Chandler, Adam W",,,,,
ANGM,4370,101,4,2,6,1,1,4,,1,,,,,,,,,,,"Lewis, Timothy M",,,,,
ANGM,4373,001,,3,4,3,4,,1,1,,,,,2,,,,1,,"Caldwell, Bryon A",,,,,
ANGM,4376,001,17,,,,,,,,,,,,,,,,,,"Lewis, Timothy M",,,,,
ANGM,4376,002,15,1,,,,,,,,,,,,,,,,,"Chandler, Adam W","Kim, Da Hyun",,,,
ANGM,4379,001,4,5,1,,1,2,4,,,,,,,,,,,,"Gardner, Frederick",,,,,
ANGM,4379,002,5,3,4,,2,,,,,,,,2,,,,2,,"Gardner, Frederick",,,,,
ANGM,6305,001,,2,6,1,1,,,,,,,,,,,,,,"McCord, Peter A",,,,,
ANGM,6312,001,,5,5,,,,,,,,,,,,,,,,"Griffin, Troy",,,,,
ANGM,6313,001,,11,,,,,,,,,,,,,,,1,,"Fechter, Todd A",,,,,
ANGM,6316,001,,7,1,1,,,,,,,,,,,,,1,,"Salter, Monika M",,,,,
ARAB,1311,001,1,7,3,2,,1,,,,,,,,,,,,,"Anjum, Zafar",,,,,
ARHM,2340,001,10,3,1,2,1,1,,1,,,,,,,,,,,"Avram, Danielle M",,,,,
ARHM,3342,001,,2,2,2,3,1,,,,,,,1,,,,,,"Wickberg, Daniel B",,,,,
ARHM,6310,001,,18,1,,,,,,,,,,1,,,,1,,"Terranova, Charissa N","Cooley, Heidi R",,,,
ARTS,1301,0W1,110,9,6,7,3,1,1,2,,,,,,,,,,,"Wilder, James E","Ford, Angela","Zeng, Yuhui","Zhang, Shengxin",,
ARTS,1315,001,7,3,1,,1,,,,,,,,,,,,,,"Curry, Val",,,,,
ARTS,1316,001,3,4,4,1,1,,,,,,,,,,,,,,"Jafarpour, Zahra",,,,,
ARTS,1316,002,,4,7,3,1,,1,,,,1,,1,,,,,,"Higgins-Stirrup, Brynn",,,,,
ARTS,1316,003,8,3,3,2,,2,,,,,,,1,,,,,,"Takaloubighash, Maryam",,,,,
ARTS,1316,004,2,4,7,3,1,,1,,,,,,,,,,,,"Fridge, Brian D",,,,,
ARTS,1316,501,3,3,3,,2,,,,,,,,,,,,,,"Fridge, Brian D",,,,,
ARTS,2316,001,14,3,,1,,,,1,,,,,,,,,,,"Egan, Trey T",,,,,
ARTS,2316,002,7,9,2,,,,,,,,,,,,,,,,"Song, Haoyi",,,,,
ARTS,2316,003,8,3,,,2,,,,,,,,1,,,,1,,"Akinwole, Oluwadare   (Dare)",,,,,
ARTS,2348,001,4,9,2,,,,,1,,,,,,,,,1,,"Williams, Thomas E",,,,,
ARTS,2350,001,2,8,3,2,1,,,,,,,,,,,,,,"Waligore, Marilyn",,,,,
ARTS,2350,002,4,8,2,,1,,,,,,,,,,,,1,,"Baigmoradi, Fatemeh",,,,,
ARTS,2380,001,2,6,2,1,2,,,,,,,,1,,,,1,,"Egan, Trey T",,,,,
ARTS,2380,501,3,5,,,,,,,,,,,2,,,,,,"Curry, Val",,,,,
ARTS,2381,001,2,5,1,1,,,,,,,,,,,,,1,,"Cochran, Kristen N",,,,,
ARTS,3340,5H1,,7,,1,,,,,,,,,1,,,,1,,"Loving, Emily A",,,,,
ARTS,3341,001,,14,,,,,,1,,,,,,,,,,,"Shi, Carle",,,,,
ARTS,3363,001,1,8,2,1,1,,1,2,1,,,,1,,,,,,"Tady, Lorraine T",,,,,
ARTS,3366,501,1,3,5,4,2,2,,,,,,,,,,,,,"Higgins-Stirrup, Brynn",,,,,
ARTS,3367,001,1,4,4,4,2,2,,,,,,,,,,,,,"Higgins-Stirrup, Brynn",,,,,
ARTS,3367,002,4,5,2,,,2,,,,,,,,,,,,,"Min, Inki A",,,,,
ARTS,3368,001,3,2,,,3,1,,,,,,,1,,,,,,"Reyes, Marcela",,,,,
ARTS,3369,001,3,5,2,,1,,,,,,,,,,,,,,"Tady, Lorraine T",,,,,
ARTS,3371,002,4,4,3,2,,1,,1,,,,,,,,,1,,"Durant, Stephanie D",,,,,
ARTS,3372,001,,10,7,,,,,,,,,,1,,,,,,"Loving, Emily A",,,,,
ARTS,3375,001,1,6,1,,,,,,,,,,,,,,2,,"Cochran, Kristen N",,,,,
ARTS,3377,001,2,9,2,3,1,,1,,,,,,,,,,1,,"Waligore, Marilyn",,,,,
ARTS,3379,001,,3,6,5,1,,1,,,,,,,,,,,,"Palmer, Marcy A",,,,,
ARTS,3382,001,3,8,,1,1,,,,,,,,2,,,,,,"Tady, Lorraine T",,,,,
ARTS,3383,001,,3,5,5,4,1,,,,,,,,,,,,,"Higgins-Stirrup, Brynn",,,,,
ARTS,4310,001,4,11,2,1,,,,,,,,,,,,,,,"Avram, Danielle M",,,,,
ARTS,4368,001,7,10,,,,,,,,,,,,,,,,,"Pomara, John J",,,,,
ATCM,2300,001,,165,5,16,49,4,9,17,4,6,7,,9,,,,3,,"Balsamo, Anne","Costa De Souza, Flavia","Nguyen, Thi Kim Cuong","Rahman, Maruf","Amartey, Belinda","Alake, Olaoluwa J"
ATCM,2301,001,11,7,3,3,1,1,,,,1,,1,2,,,,,,"Zamaniderkani, Vajihe",,,,,
ATCM,2301,002,5,8,3,4,4,3,,2,,,,,,,,,1,,"Asgharpour, Hadi",,,,,
ATCM,2301,003,5,6,6,1,1,2,1,1,,1,1,1,3,,,,,,"De Leon, Jennifer M",,,,,
ATCM,2301,004,1,9,9,1,2,2,2,1,,1,,,1,,,,1,,"Vo, Baotran N",,,,,
ATCM,2301,0W1,4,8,7,2,2,1,,,,,1,1,2,,,,,,"Trosper, Elizabeth M","Chan, Stephany T","Duong, Tu Anh",,,
