Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W Total,CR,I,NC,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
MATH,2451,303,,,,,,,,,,,,,,0,,,,,"Hooshyar, Mohammad",,,,,,ali,mohammad hooshyar,Multivariable Calculus with Applications 
HUMA,1301,206,,,,,,,,,,,,,,0,,,,,"Ingrao, Peter J",,,,,,jingrao,peter ingrao,Exploration of the Humanities 
MATH,2415,303,,,,,,,,,,,,,,0,,,,,"Makhijani, Neha",,,,,,nxm165130,neha makhijani,Calculus of Several Variables 
MATH,2420,307,,,,,,,,,,,,,,0,,,,,"Rachinskiy, Dmitry",,,,,,dxr124030,dmitry rachinskiy,Differential Equations with Applications 
HUMA,1301,203,,,,,,,,,,,,,,0,,,,,"Ingrao, Peter J",,,,,,jingrao,peter ingrao,Exploration of the Humanities 
HUMA,1301,208,,,,,,,,,,,,,,0,,,,,"Ingrao, Peter J",,,,,,jingrao,peter ingrao,Exploration of the Humanities 
MATH,2419,304,,,,,,,,,,,,,,0,,,,,"Miller, James W",,,,,,jwm170630,james miller,Calculus II 
MATH,2420,304,,,,,,,,,,,,,,0,,,,,"Krawcewicz, Wieslaw Z",,,,,,wzk091000,wieslaw krawcewicz,Differential Equations with Applications 
HUMA,1301,209,,,,,,,,,,,,,,0,,,,,"Ingrao, Peter J",,,,,,jingrao,peter ingrao,Exploration of the Humanities 
HUMA,1301,207,,,,,,,,,,,,,,0,,,,,"Ingrao, Peter J",,,,,,jingrao,peter ingrao,Exploration of the Humanities 
MATH,2419,308,,,,,,,,,,,,,,0,,,,,"Eydelzon, Anatoly",,,,,,axe031000,anatoly eydelzon,Calculus II 
MATH,2418,301,,,,,,,,,,,,,,0,,,,,"Dahal, Rabin",,,,,,rxd153030,rabin dahal,Linear Algebra 
MATH,2415,308,,,,,,,,,,,,,,0,,,,,"Zweck, John W",,,,,,jwz120030,john zweck,Calculus of Several Variables 
MATH,2420,301,,,,,,,,,,,,,,0,,,,,"Paudel, Ajaya B",,,,,,abp062000,ajaya paudel,Differential Equations with Applications 
HUMA,1301,218,,,,,,,,,,,,,,0,,,,,"Ingrao, Peter J",,,,,,jingrao,peter ingrao,Exploration of the Humanities 
HUMA,1301,217,,,,,,,,,,,,,,0,,,,,"Ingrao, Peter J",,,,,,jingrao,peter ingrao,Exploration of the Humanities 
MATH,2413,325,,,,,,,,,,,,,,0,,,,,"Nguyen, Mylinh T",,,,,,mln018200,mylinh nguyen,Differential Calculus 
HUMA,1301,210,,,,,,,,,,,,,,0,,,,,"Ingrao, Peter J",,,,,,jingrao,peter ingrao,Exploration of the Humanities 
MATH,2418,302,,,,,,,,,,,,,,0,,,,,"Dahal, Rabin",,,,,,rxd153030,rabin dahal,Linear Algebra 
ATCM,3311,001,,3,1,1,3,2,1,2,1,1,3,1,3,8,,,,,"Johnson, Casey A",,,,,,caj150430,casey johnson,Tools Development for Arts  Technology  and Emerging Communication 
BIOL,3455,305,2,1,1,1,,6,1,2,,2,3,1,2,8,,,,,"Sarcar, Subha N","Ramirez, Ruben D","Langley, Lyndsey E",,,,sns064000,subha sarcar,Human Anatomy and Physiology with Lab I 
ATCM,3306,002,,,,,7,2,1,4,2,2,,2,3,7,,,,,"Johnson, Casey A",,,,,,caj150430,casey johnson,Modeling and Texturing I 
BIOL,3101,002,,1,1,2,6,4,5,,6,,1,,,4,,,,,"Dejong, Jeff L",,,,,,dejong,jeff dejong,Classical and Molecular Genetics Workshop 
PHYS,2126,107,4,15,4,,3,,,,,,,,,4,,,,,"Macalevey, Paul J","Frazier, Gary A","Wang, Qiyue",,,,paulmac,paul macalevey,Physics Laboratory II 
PHYS,2125,125,6,12,4,3,,1,,,,,,,1,2,,,,,"Sun, Kuei","Rady, Nader",,,,,kxs147030,kuei sun,Physics Laboratory I 
BIS,4306,0W1,6,6,5,1,3,2,1,1,,,1,,1,2,1,,,,"Simpson, Carrie M",,,,,,cms131030,carrie simpson,Strategies for Diversity in Education 
ATCM,2335,502,1,6,2,1,4,3,4,3,,,,,3,2,1,,,,"Chiu, Yu-Kwong",,,,,,yxc161331,yu kwong chiu,Internet Studio I 
CHEM,1111,107,6,9,,,2,2,3,,,,1,1,3,3,,,,,"Hashami, Zohreh","Firouzi, Hamid Reza",,,,,zxh088000,zohreh hashami,General Chemistry Laboratory I 
BIOL,3455,303,1,4,1,4,1,3,4,2,3,1,,1,2,3,,,,,"Ramirez, Ruben D","Maitra, Meenakshi",,,,,rdr092000,ruben ramirez,Human Anatomy and Physiology with Lab I 
CHEM,1111,104,5,7,4,2,3,1,,3,,,,,2,3,,,,,"Dissanayake, Dushanthi S","Franciskovich, Matthew R",,,,,dxd122030,dushanthi dissanayake,General Chemistry Laboratory I 
CE,1202,002,4,4,2,1,3,1,,2,2,1,1,,7,2,,,,,"Cogan, Diana L",,,,,,dcc095020,diana cogan,Introduction to Electrical Engineering II 
PHYS,2125,108,,28,,,,,,,,,,,,2,,,,,"Sun, Kuei","Dhawan, Ruchika",,,,,kxs147030,kuei sun,Physics Laboratory I 
CS,1337,008,2,6,2,2,3,1,,3,,,1,1,7,2,,,,,"Smith, Jason W",,,,,,jws130830,jason smith,Computer Science I 
PHYS,4302,001,1,12,3,3,4,1,,3,,,1,,,1,,,,,"Gartstein, Yuri","Fox, Logan K",,,,,yxg037000,yuri gartstein,Quantum Mechanics II 
CHEM,1112,118,3,15,6,2,1,,1,,,,,,,2,,,,,"Tran, Daniel N","Firouzi, Hamid Reza",,,,,dnt019000,daniel tran,General Chemistry Laboratory II 
ATCM,3368,001,2,6,2,6,3,,1,,1,,1,1,5,2,,,,,"Chandler, Adam W",,,,,,awc051000,adam chandler,Scripting for Games I 
CHEM,2123,102,9,16,1,,,1,,,,,,,1,2,,,,,"Shah, Shailesh N","Ma, Ziyuan","Lin, Jason",,,,sns170230,shailesh shah,Introductory Organic Chemistry Laboratory I 
ATCM,3306,001,1,2,3,4,1,4,4,1,1,2,,2,3,2,,,,,"Boyd, Elizabeth",,,,,,esp041000,elizabeth boyd,Modeling and Texturing I 
CHEM,1112,105,7,13,5,1,1,,,,1,,,,,2,,,,,"Abeykoon, Nimali C","Mortensen, Marie L",,,,,nxa124430,nimali abeykoon,General Chemistry Laboratory II 
CHEM,1112,125,7,17,3,1,,,,,,,,,,2,,,,,"Youn, Jonghae",,,,,,jxy140930,,General Chemistry Laboratory II 
CHEM,1112,104,19,5,2,1,,,,,,,,,1,2,,,,,"Hashami, Zohreh","Ahrari, Samira",,,,,zxh088000,zohreh hashami,General Chemistry Laboratory II 
ATCM,2335,503,9,8,3,,2,3,1,,,,,1,1,1,,1,,,"Starzer, Kenneth W",,,,,,kws042000,ken starzer,Internet Studio I 
CHEM,1112,121,18,2,2,1,,,,,2,1,,,2,2,,,,,"Tran, Daniel N","Shahrivarkevishahi, Arezoo",,,,,dnt019000,daniel tran,General Chemistry Laboratory II 
ECON,4360,001,2,7,2,1,4,,2,4,1,1,3,1,,2,,,,,"Siqueira, Kevin J","DeVore, Collin D",,,,,kjs064000,kevin siqueira,International Trade 
ATCM,3307,001,,1,3,9,2,7,1,1,1,1,,1,1,2,,,,,"McCord, Peter A",,,,,,pam062000,peter mccord,Lighting and Composition I 
ARHM,3342,002,8,8,1,1,3,3,1,,1,,,,2,1,,,,,"Starnaman, Sabrina",,,,,,sxs090100,sabrina starnaman,Advanced Interdisciplinary Studies in the Arts and Humanities 
CHEM,2125,603,10,16,2,1,,,,,,,,,,1,,,,,"Shah, Shailesh N","Lin, Jason",,,,,sns170230,shailesh shah,Introductory Organic Chemistry Laboratory II 
PHYS,2125,126,18,8,1,1,,,,,,1,,,,1,,,,,"Sun, Kuei","Sharon Felix, .",,,,,kxs147030,kuei sun,Physics Laboratory I 
ATCM,3350,002,6,7,9,6,,,1,,,,,,,1,,,,,"Hewitt, Sharon","Mejia, Paulina M",,,,,sxh090220,sharon hewitt,Digital Video Production I 
BIOL,3161,001,3,3,3,2,3,4,,2,2,1,3,,3,1,,,,,"Spiro, Stephen",,,,,,sxs067400,stephen spiro,Biochemistry Workshop I 
OB,6351,CW1,,17,8,1,1,2,,,,,,,,1,,,,,"Hicks, Robert",,,,,,,robert hicks,
CHEM,1112,103,1,21,1,1,2,2,,1,,,,,,1,,,,,"Namal Arachchilage, Chamni U",,,,,,cuj140030,,General Chemistry Laboratory II 
CHEM,1112,119,2,11,8,3,3,1,,1,,,,,,1,,,,,"Hashami, Zohreh","Mortensen, Marie L",,,,,zxh088000,zohreh hashami,General Chemistry Laboratory II 
CHEM,2125,102,6,14,4,4,1,,,,,,,,,1,,,,,"Tran, Daniel N","Tague, Daniel W",,,,,dnt019000,daniel tran,Introductory Organic Chemistry Laboratory II 
OB,6249,CW1,,29,,,,,,,,,,,,1,,,,,"Hicks, Robert",,,,,,,robert hicks,
ATCM,3370,001,,5,8,5,4,5,1,,,,,1,,1,,,,,"Lewis, Timothy M",,,,,,tml062000,timothy lewis,Virtual Environments I 
PHYS,2125,117,2,20,2,3,1,1,,,,,,,,1,,,,,"Sun, Kuei","Feizi, Wirya",,,,,kxs147030,kuei sun,Physics Laboratory I 
BIOL,3388,001,3,7,6,3,1,5,2,,2,,,,,1,,,,,"Rippel, Scott A",,,,,,rippel,scott rippel,Honey Bee Biology 
BIOL,2111,005,2,1,3,,4,6,2,2,3,2,3,,1,1,,,,,"Srikanth, Uma",,,,,,ukrish,uma srikanth,Introduction to Modern Biology Workshop I 
PHYS,2125,131,5,23,,,,,,,,,,,1,1,,,,,"Sun, Kuei","Zhou, Xiaohe",,,,,kxs147030,kuei sun,Physics Laboratory I 
PHYS,2125,113,15,12,,,1,,,,,,,,1,1,,,,,"Sun, Kuei","Ferguson, Sarah W",,,,,kxs147030,kuei sun,Physics Laboratory I 
PHYS,2126,113,2,14,11,2,,,,,,,,,,1,,,,,"Macalevey, Paul J","Frazier, Gary A","Hussain, Shadhin",,,,paulmac,paul macalevey,Physics Laboratory II 
NATS,2333,001,7,13,6,1,,1,,,,,,,1,1,,,,,"Taylor, Stephanie M","Martin, Jody",,,,,smt031000,stephanie taylor,Energy  Water  and the Environment 
CHEM,1112,132,7,13,4,2,1,1,,,,,,1,,1,,,,,"Abeykoon, Nimali C","Alberto, Kevin A",,,,,nxa124430,nimali abeykoon,General Chemistry Laboratory II 
PHYS,2125,116,9,18,1,,,,1,,,,,,,1,,,,,"Sun, Kuei","Khashami, Fatemeh",,,,,kxs147030,kuei sun,Physics Laboratory I 
ATCM,3338,002,,4,6,2,2,6,2,1,,,,2,4,1,,,,,"Chandler, Adam W","Desai, Wajiha Y",,,,,awc051000,adam chandler,Motion Graphics I 
MIS,6320,0W1,,5,5,7,6,5,1,,,,,,,1,,,,,"Cavusoglu, Huseyin","Ozdemir, Dicle Yagmur",,,,,huseyin,huseyin cavusoglu,Database Foundations 
ATCM,3301,502,,3,3,5,7,6,,3,1,,,,1,1,,,,,"Rheams, David C",,,,,,dcr093020,david rheams,Digital Content Design 
BIOL,3455,301,5,2,3,4,2,3,5,1,2,1,,1,,1,,,,,"Maitra, Meenakshi","Ramirez, Ruben D",,,,,mxm172731,meenakshi maitra,Human Anatomy and Physiology with Lab I 
CHEM,1112,136,2,9,7,5,3,1,,,,,,,2,1,,,,,"Dissanayake, Dushanthi S","Mills, Kira R",,,,,dxd122030,dushanthi dissanayake,General Chemistry Laboratory II 
MATH,3380,001,3,5,5,5,1,2,1,2,2,2,,,1,1,,,,,"Tran, Anh T","Khan, Md Arafat H",,,,,att140830,anh tran,Differential Geometry 
ACCT,6330,501,,6,2,6,8,,2,3,,,,,2,0,,,,,"Pang, Wenjin","Keogh, Reagan D",,,,,wxp042000,wenjin pang,Intermediate Financial Accounting I 
CHEM,2125,111,5,11,11,2,,,,,,,,,,1,,,,,"Shah, Shailesh N","Wang, Hanghang",,,,,sns170230,shailesh shah,Introductory Organic Chemistry Laboratory II 
ATCM,2301,006,4,5,7,2,3,2,2,,,2,,1,1,0,,,,,"Bernfeld, Luke S","Alzate, Catalina",,,,,lxb124130,,Computer Imaging 
CHEM,1112,101,12,11,2,,1,,,1,,,,,2,1,,,,,"Hashami, Zohreh","Malekpour, Soheil",,,,,zxh088000,zohreh hashami,General Chemistry Laboratory II 
CHEM,1112,131,16,10,,2,1,,,,,,,,,1,,,,,"Tran, Daniel N","Pope, Mitchell A",,,,,dnt019000,daniel tran,General Chemistry Laboratory II 
CHEM,2125,110,6,10,10,1,2,,,,,,,,,1,,,,,"Tran, Daniel N","Tajik Asl, Masoumeh",,,,,dnt019000,daniel tran,Introductory Organic Chemistry Laboratory II 
CHEM,1112,124,2,11,4,4,4,1,1,1,1,,,,,1,,,,,"Dissanayake, Dushanthi S","Khan, Amber",,,,,dxd122030,dushanthi dissanayake,General Chemistry Laboratory II 
CHEM,1112,116,3,17,4,1,2,,,,,,,2,,1,,,,,"Hashami, Zohreh","Page, Kierstin",,,,,zxh088000,zohreh hashami,General Chemistry Laboratory II 
CLDP,4344,001,2,8,9,4,,2,3,1,,,,,,1,,,,,"Ward, Felicia",,,,,,few160030,felicia ward,Child Psychopathology 
CHEM,1116,HN1,8,20,,1,,,,,,,,,,0,,1,,,"Sibert, John W",,,,,,sibertj,john sibert,Honors Freshman Chemistry Laboratory II 
GEOG,3372,001,,2,6,7,9,2,1,1,1,,,,,1,,,,,"Vakulenko, Irina","Venigalla, Lasya",,,,,iav081000,irina vakulenko,Population and Development 
PHYS,2125,110,7,22,,,,,,,,,,,,1,,,,,"Sun, Kuei","Talebi, Shawhin",,,,,kxs147030,kuei sun,Physics Laboratory I 
MUSI,2322,002,5,5,,2,3,,2,4,,1,3,,4,1,,,,,"Bennett, Rodger",,,,,,rxb180025,rodger bennett,Music in Western Civilization 
ECON,4355,001,3,3,3,3,3,4,1,1,2,2,1,3,,0,,,,,"Li, Dong","Hou, Aoyu",,,,,dxl145430,dong li,Econometrics 
MATH,2414,021,1,1,3,1,,4,5,6,4,,,1,3,1,,,,,"Choi, Sl-ghi",,,,,,sxc173731,sl ghi choi,Integral Calculus 
CHEM,1112,110,,4,14,4,2,4,1,,,,,,,1,,,,,"Abeykoon, Nimali C","Khan, Amber",,,,,nxa124430,nimali abeykoon,General Chemistry Laboratory II 
ATCM,3305,001,,,3,,6,6,1,4,5,,1,1,2,1,,,,,"Camacho, Christopher J",,,,,,cjc043000,christopher camacho,Computer Animation I 
PHYS,2125,606,5,20,1,1,,1,,,,,,1,,1,,,,,"Sun, Kuei","Rahmanian Koshkaki, Saeed",,,,,kxs147030,kuei sun,Physics Laboratory I 
PHYS,2126,116,7,11,8,2,1,,,,,,,,,1,,,,,"Macalevey, Paul J","Frazier, Gary A","Hussain, Shadhin",,,,paulmac,paul macalevey,Physics Laboratory II 
CHEM,1316,HN1,4,13,6,,5,1,,,,,,,,0,,1,,,"Sibert, John W",,,,,,sibertj,john sibert,Honors Freshman Chemistry II 
ATCM,2335,501,5,3,9,4,1,1,1,1,1,,,1,2,1,,,,,"Keralis, Spencer D",,,,,,sdk180006,,Internet Studio I 
BIS,3190,0W2,13,6,5,,,2,1,,2,,,,,1,,,,,"Edwards, Christopher W","Robinson, Katie L",,,,,cwe011000,christopher edwards,Library Research Skills 
PHYS,2126,106,14,13,,,,,,,,,,,2,1,,,,,"Macalevey, Paul J","Frazier, Gary A","Koirala, Pawan",,,,paulmac,paul macalevey,Physics Laboratory II 
PHYS,2125,107,7,18,2,1,,,,1,,,,,,1,,,,,"Sun, Kuei","Wang, Qing",,,,,kxs147030,kuei sun,Physics Laboratory I 
CHEM,1112,120,4,11,3,5,4,1,,,1,,,,,1,,,,,"Abeykoon, Nimali C","Abeyrathna, Nisansala S",,,,,nxa124430,nimali abeykoon,General Chemistry Laboratory II 
ATCM,2302,003,9,6,5,,,3,2,1,1,,,,2,1,,,,,"Minnish, Roxanne W","Brtis, Chelsea L",,,,,rwm061000,roxanne minnish,Design I 
MKT,3330,006,14,6,3,2,2,1,1,,,1,,,,0,,,,,"Amirpour, Semiramis",,,,,,sxa130731,semiramis amirpour,Introduction to Professional Selling 
PHYS,2126,117,12,14,2,1,,,,,,,,,1,0,,,,,"Macalevey, Paul J","Frazier, Gary A","Wang, Qiyue",,,,paulmac,paul macalevey,Physics Laboratory II 
PHYS,2126,101,5,20,3,2,,,,,,,,,,0,,,,,"Macalevey, Paul J","Frazier, Gary A","Mueller, David H",,,,paulmac,paul macalevey,Physics Laboratory II 
CHEM,2125,116,12,14,2,1,,,,,,,,1,,0,,,,,"Shah, Shailesh N","Ji, Ke",,,,,sns170230,shailesh shah,Introductory Organic Chemistry Laboratory II 
CHEM,1112,112,10,16,2,,1,,,,,,,,1,0,,,,,"Abeykoon, Nimali C","Faisal, Tahmid",,,,,nxa124430,nimali abeykoon,General Chemistry Laboratory II 
PSY,4324,001,2,10,8,3,1,5,1,,,,,,,0,,,,,"Brody, Salena M",,,,,,smb051000,salena brody,The Psychology of Prejudice 
ED,4372,5H1,13,7,5,,2,2,,1,,,,,,0,,,,,"Mahmoud, Ramy A",,,,,,mahmoudr,ramy mahmoud,Educational Technology 
PHYS,2125,112,14,15,,,,,,,1,,,,,0,,,,,"Sun, Kuei","Talebi, Shawhin",,,,,kxs147030,kuei sun,Physics Laboratory I 
PHYS,2125,603,8,17,2,1,2,,,,,,,,,0,,,,,"Sun, Kuei","Hathurusinghe Dewage, Prabuddha Madusanka",,,,,kxs147030,kuei sun,Physics Laboratory I 
AMS,2300,001,1,5,4,6,3,1,4,3,1,,1,1,,0,,,,,"Pogue, Neall W",,,,,,nxp174730,neall pogue,American Popular Culture 
CHEM,2123,101,10,14,6,,,,,,,,,,,0,,,,,"Shah, Shailesh N","Ma, Ziyuan",,,,,sns170230,shailesh shah,Introductory Organic Chemistry Laboratory I 
PHYS,2126,104,11,13,5,,,1,,,,,,,,0,,,,,"Macalevey, Paul J","Frazier, Gary A","Parajuli, Santosh",,,,paulmac,paul macalevey,Physics Laboratory II 
PHYS,2125,601,5,21,2,1,1,,,,,,,,,0,,,,,"Sun, Kuei","Wang, Qing",,,,,kxs147030,kuei sun,Physics Laboratory I 
PHYS,2125,115,2,27,,,1,,,,,,,,,0,,,,,"Sun, Kuei","Fernando, Bharana A",,,,,kxs147030,kuei sun,Physics Laboratory I 
PHYS,2125,101,13,16,,,,1,,,,,,,,0,,,,,"Sun, Kuei","Ali, Saif",,,,,kxs147030,kuei sun,Physics Laboratory I 
PHYS,2126,109,19,7,2,1,,,,,,,,,1,0,,,,,"Macalevey, Paul J","Frazier, Gary A","Parajuli, Santosh",,,,paulmac,paul macalevey,Physics Laboratory II 
FIN,6301,CW1,,11,8,8,3,,,,,,,,,0,,,,,"Ghai, Rajesh",,,,,,rxg170730,rajesh ghai,
PHYS,2125,604,12,16,1,1,,,,,,,,,,0,,,,,"Sun, Kuei","Sharon Felix, .",,,,,kxs147030,kuei sun,Physics Laboratory I 
DANC,1310,0H1,1,19,4,2,2,2,,,,,,,,0,,,,,"Owens, Misty",,,,,,mxo122530,misty owens,Understanding Dance 
PHYS,2125,127,11,17,1,,,1,,,,,,,,0,,,,,"Sun, Kuei","Khashami, Fatemeh",,,,,kxs147030,kuei sun,Physics Laboratory I 
CHEM,1112,127,3,13,3,4,3,2,,,1,,1,,,0,,,,,"Tran, Daniel N","Youn, Jonghae",,,,,dnt019000,daniel tran,General Chemistry Laboratory II 
ATCM,3340,003,,12,9,2,5,1,,1,,,,,,0,,,,,"Wood, Harold G",,,,,,hgw021000,harold wood,Design II 
HIST,3392,001,1,2,5,2,4,6,2,2,3,,1,1,1,0,,,,,"Schulze, Jeffrey",,,,,,jxs072200,jeffrey schulze,U S - Mexico Borderlands 
ATCM,3365,001,,1,9,6,9,3,,1,,1,,,,0,,,,,"Christopher, Daedra",,,,,,dxe093020,daedra christopher,Game Design I 
ED,3315,002,,14,5,1,6,3,,1,,,,,,0,,,,,"Leek, Patricia A",,,,,,santine,patricia leek,Children s Literature 
PHYS,2126,115,17,9,2,1,,,,1,,,,,,0,,,,,"Macalevey, Paul J","Frazier, Gary A","Bukowski, Aaron",,,,paulmac,paul macalevey,Physics Laboratory II 
ATCM,3301,503,1,7,4,3,1,2,2,1,3,1,1,1,3,0,,,,,"Keralis, Spencer D",,,,,,sdk180006,,Digital Content Design 
BA,3100,002,,26,1,1,,1,,,,,1,,,0,,,,,"Berardi, Caryn S",,,,,,cds110030,caryn berardi,Professional Development 
EE,1202,002,2,6,5,2,2,1,2,1,3,,,1,5,0,,,,,"Cogan, Diana L",,,,,,dcc095020,diana cogan,Introduction to Electrical Engineering II 
CHEM,1112,117,11,12,3,2,,,,,1,,,,1,0,,,,,"Abeykoon, Nimali C","Abeyrathna, Nisansala S",,,,,nxa124430,nimali abeykoon,General Chemistry Laboratory II 
PHYS,2125,122,4,22,1,1,,2,,,,,,,,0,,,,,"Sun, Kuei","Agashe, Anish N",,,,,kxs147030,kuei sun,Physics Laboratory I 
FIN,4313,001,11,9,7,2,1,,,,,,,,,0,,,,,"Molina, Stephen",,,,,,sxm163630,stephen molina,Energy Finance 
HMGT,3100,001,14,5,4,1,3,1,,,,,,1,1,0,,,,,"Newcomb, Rebecca G",,,,,,rgn100020,rebecca newcomb,Professional Development 
FIN,6352,501,,10,3,4,7,3,,2,,,,,1,0,,,,,"Springate, David J",,,,,,spring8,david springate,Financial Modeling For Corporate Analysis 
ISIS,4V89,001,6,15,6,2,1,,,,,,,,,0,,,,,"Aubrey, Lea E",,,,,,lec110030,lea aubrey,Special Topics in Interdisciplinary Studies 
PHYS,2125,102,14,14,2,,,,,,,,,,,0,,,,,"Sun, Kuei","Rahmanian Koshkaki, Saeed",,,,,kxs147030,kuei sun,Physics Laboratory I 
HLTH,4108,001,20,7,2,,,,,,,,,,1,0,,,,,"Rainey, Anthony D",,,,,,doyen,anthony rainey,Verbal Reasoning and Writing for Pre-Health 
ATCM,2301,001,1,4,8,7,4,2,2,,1,,,1,,0,,,,,"Christopher, Daedra","Alzate, Catalina",,,,,dxe093020,daedra christopher,Computer Imaging 
PHYS,2126,110,21,7,1,,,1,,,,,,,,0,,,,,"Macalevey, Paul J","Frazier, Gary A","Cailide, Christopher G",,,,paulmac,paul macalevey,Physics Laboratory II 
BIOL,4350,001,,3,3,7,6,3,3,1,1,1,,1,1,0,,,,,"Ramirez, Ruben D",,,,,,rdr092000,ruben ramirez,Medical Microbiology 
CHEM,1112,106,3,14,5,3,2,2,,,1,,,,,0,,,,,"Tran, Daniel N","Namal Arachchilage, Chamni U",,,,,dnt019000,daniel tran,General Chemistry Laboratory II 
ATCM,3366,002,,16,3,,1,4,,,2,1,,1,2,0,,,,,"Wu, Hong An",,,,,,hxw173930,hong wu,Game Studies I 
PHYS,2125,129,6,20,1,2,1,,,,,,,,,0,,,,,"Sun, Kuei","Zheng, Peng Peng",,,,,kxs147030,kuei sun,Physics Laboratory I 
ATCM,2301,501,,1,12,5,3,4,2,1,1,,,,1,0,,,,,"Veras de Souza, Christine","Alzate, Catalina",,,,,cxv180000,christine veras de souza,Computer Imaging 
PHYS,2125,605,12,17,,,,,,,,,1,,,0,,,,,"Sun, Kuei","Javed, Umar",,,,,kxs147030,kuei sun,Physics Laboratory I 
ATCM,3307,002,,2,4,6,7,5,1,1,1,,,,3,0,,,,,"McCord, Peter A",,,,,,pam062000,peter mccord,Lighting and Composition I 
MIS,6323,001,,16,4,8,2,,,,,,,,,0,,,,,"Tang, Shaojie","Choudhary, Aarzoo",,,,,sxt146930,shaojie tang,Object Oriented Programming in Java 
CHEM,2125,104,17,12,1,,,,,,,,,,,0,,,,,"Cortes, Sergio J","Siddiki, A K M Nur Alam",,,,,scortes,sergio cortes,Introductory Organic Chemistry Laboratory II 
OBHR,3310,5E1,,1,9,3,9,4,2,,2,,,,,0,,,,,"Ritchey, Kemberly A",,,,,,kar014400,kemberly ritchey,Organizational Behavior 
CHEM,1112,109,7,12,,7,2,1,,1,,,,,,0,,,,,"Qin, Yanping","Morakabi, Katayoun",,,,,yxq083000,yanping qin,General Chemistry Laboratory II 
HUMA,3351,001,7,22,,,,,,1,,,,,,0,,,,,"Anjum, Zafar",,,,,,zxa110730,zafar anjum,Introduction to Islamic Culture 
CHEM,2123,104,16,11,3,,,,,,,,,,,0,,,,,"Cortes, Sergio J","Tague, Daniel W",,,,,scortes,sergio cortes,Introductory Organic Chemistry Laboratory I 
CHEM,2125,601,12,11,7,,,,,,,,,,,0,,,,,"Cortes, Sergio J","Bhadran, Abhi",,,,,scortes,sergio cortes,Introductory Organic Chemistry Laboratory II 
ATCM,3340,001,2,19,4,2,2,1,,,,,,,,0,,,,,"Wood, Harold G",,,,,,hgw021000,harold wood,Design II 
CHEM,1112,133,7,18,5,,,,,,,,,,,0,,,,,"Tran, Daniel N","Mills, Kira R",,,,,dnt019000,daniel tran,General Chemistry Laboratory II 
PHYS,2126,108,10,16,4,,,,,,,,,,,0,,,,,"Macalevey, Paul J","Frazier, Gary A","Solanki, Rahulkumar",,,,paulmac,paul macalevey,Physics Laboratory II 
ATCM,4330,002,,3,6,4,7,3,3,1,1,,,,2,0,,,,,"Burrough, Xtine","Asgharpour, Maedeh",,,,,cxb153930,xtine burrough,Culture Jamming 
PHYS,2125,118,10,16,1,1,,1,,1,,,,,,0,,,,,"Sun, Kuei","Zhao, Xinyu",,,,,kxs147030,kuei sun,Physics Laboratory I 
ATCM,3365,003,,2,14,7,1,1,1,2,2,,,,,0,,,,,"Christopher, Daedra",,,,,,dxe093020,daedra christopher,Game Design I 
BIS,4306,0W2,1,6,3,2,3,,2,1,3,,,,9,0,,,,,"Simpson, Carrie M",,,,,,cms131030,carrie simpson,Strategies for Diversity in Education 
CHEM,1112,126,9,19,,1,1,,,,,,,,,0,,,,,"Huang, Yu","Faisal, Tahmid",,,,,yxh091220,yu huang,General Chemistry Laboratory II 
ATCM,2302,004,,1,8,6,6,1,1,,1,1,1,,4,0,,,,,"Veras de Souza, Christine","Brtis, Chelsea L",,,,,cxv180000,christine veras de souza,Design I 
CHEM,2125,117,19,6,5,,,,,,,,,,,0,,,,,"Wijenayake, Sumudu N","Diwakara Mohottalalage, Shashini Devika D",,,,,snw081000,sumudu wijenayake,Introductory Organic Chemistry Laboratory II 
CHEM,1112,113,4,14,5,2,1,1,,,1,,,,2,0,,,,,"Hashami, Zohreh","Page, Kierstin",,,,,zxh088000,zohreh hashami,General Chemistry Laboratory II 
CHEM,2125,605,13,11,6,,,,,,,,,,,0,,,,,"Cortes, Sergio J","Bhadran, Abhi",,,,,scortes,sergio cortes,Introductory Organic Chemistry Laboratory II 
COMD,6320,001,,29,,,1,,,,,,,,,0,,,,,"Smith, Irma E","Dean, Lucinda L",,,,,ieg011000,,Motor Speech Disorders 
PHYS,2125,123,16,12,2,,,,,,,,,,,0,,,,,"Sun, Kuei","Javed, Umar",,,,,kxs147030,kuei sun,Physics Laboratory I 
HMGT,6331,CH1,,26,1,3,,,,,,,,,,0,,,,,"Jacob, Stephen",,,,,,,stephen jacob,
EE,4389,001,,18,5,3,3,,,,,,,,1,0,,,,,"Skinner, Neal G",,,,,,skinner,neal skinner,Senior Design Project II 
CHEM,2125,106,7,14,8,1,,,,,,,,,,0,,,,,"Shah, Shailesh N","Hernandez, Jayoh A",,,,,sns170230,shailesh shah,Introductory Organic Chemistry Laboratory II 
CHEM,1112,108,1,16,6,2,3,1,,,,,,,1,0,,,,,"Abeykoon, Nimali C","Franciskovich, Matthew R",,,,,nxa124430,nimali abeykoon,General Chemistry Laboratory II 
