Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W Total,CR,I,NC,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
MECH,3120,101,4,2,1,1,1,,,,,,,,1,0,,,,,"Hassanipour, Fatemeh","Zaherisarabi, Shadi","Jiang, Lin",,,,fxh091000,fatemeh hassanipour,Heat Transfer Laboratory 
FERM,6306,FS1,,7,2,1,,,,,,,,,,0,,,,,"Song, Kaisheng",,,,,,,kaisheng song,
ARTS,3379,002,,2,2,3,1,,,,,,,,2,0,,,,,"Palmer, Marcy A",,,,,,mxp070100,marcy palmer,Photography  New Media 
CE,3101,105,3,4,2,,,,,,,,,,1,0,,,,,"Heins, Matthew S","Li, Chen",,,,,msh130130,matthew heins,Electrical Network Analysis Laboratory 
GEOS,1103,102,1,1,1,1,2,2,1,,,,,,1,0,,,,,"Griffin, William R",,,,,,griffin,william griffin,Physical Geology Laboratory 
SE,4348,002,,1,3,,,1,2,,2,,,1,,0,,,,,"Ozbirn, Greg A",,,,,,ozbirn,greg ozbirn,Operating Systems Concepts 
OPRE,6367,PW1,,10,,,,,,,,,,,,0,,,,,"Szot, James","Rajamani, Divakar",,,,,,james szot,
EE,3101,105,4,4,,,,1,,,,,,1,,0,,,,,"Heins, Matthew S","Li, Chen",,,,,msh130130,matthew heins,Electrical Network Analysis Laboratory 
GEOS,3470,301,,,,,,,,,,,,,,0,,,,,"Pirouz, Mortaza","Johnson, Samuel P",,,,,mxp180004,mortaza pirouz,Structural Geology 
MATH,2414,347,,,,,,,,,,,,,,0,,,,,"Aman, Kelly",,,,,,kxa143530,kelly aman,Integral Calculus 
CE,4370,303,,,,,,,,,,,,,,0,,,,,"Carrion Schaefer, Benjamin",,,,,,bxc162630,benjamin carrion schaefer,Embedded Microprocessor Systems 
EE,1202,305,,,,,,,,,,,,,,0,,,,,"Cogan, Diana L","Shreedhar Bhat, Gautam","Du, Lixiong","Vankayalapati, Bhanu Teja","Mohamed, Ahmed M",,dcc095020,diana cogan,Introduction to Electrical Engineering II 
CE,1202,301,,,,,,,,,,,,,,0,,,,,"Cogan, Diana L","Shreedhar Bhat, Gautam","Du, Lixiong","Vankayalapati, Bhanu Teja","Chen, Pengyuan",,dcc095020,diana cogan,Introduction to Electrical Engineering II 
CHIN,2312,001,9,,,1,,,,,,,,,,1,,,,,"Shi, Shuai",,,,,,sxs180130,shuai shi,Intermediate Chinese II 
EE,4371,501,,,1,3,3,,2,,1,,,,,1,,,,,"Lee, Jeong-Bong",,,,,,jblee,jeong bong lee,Introduction to MEMS 
ACCT,4301,001,2,1,2,2,1,1,1,,,,,,,1,,,,,"Narayan, Ravishankar L","Banda, Sanjana",,,,,rln130030,ravishankar narayan,Database Systems 
MAS,6V08,001,,10,,,,,,,,,,,,0,,1,,,"Ozer, Ali O","Simsek, Ahmet S",,,,,oxo091000,ali ozer,Special Topics in Operations Research 
RHET,1302,507,,1,3,2,,,,,,1,,,3,1,,,,,"Manes, Christopher L",,,,,,clm036000,christopher manes,Rhetoric 
HUAS,7360,001,,8,1,1,,,,,,,,,,0,,1,,,"McLean, Adrienne L",,,,,,amclean,adrienne mclean,Advanced Topics in Film  Television  and Digital Media 
CE,3345,002,2,2,1,,3,3,,,,,,,,0,,,,,"Khan, Ziaullah",,,,,,kkhan,ziaullah khan,Data Structures and Introduction to Algorithmic Analysis 
EE,3120,103,,10,,,,,,,,,1,,,0,,,,,"Zhou, Dian","Wang, Yifan","Wang, Xianan",,,,zhoud,dian zhou,Digital Circuits Laboratory 
CE,3101,102,1,4,3,1,2,,,,,,,,,0,,,,,"Heins, Matthew S","Nahar, Lubaba M",,,,,msh130130,matthew heins,Electrical Network Analysis Laboratory 
ACN,7372,002,,9,2,,,,,,,,,,,0,,,,,"Krawczyk, Daniel C",,,,,,dck061000,daniel krawczyk,Seminar in Neuroscience 
CE,3345,001,,3,,,3,2,1,1,,,,,1,0,,,,,"Ozbirn, Greg A",,,,,,ozbirn,greg ozbirn,Data Structures and Introduction to Algorithmic Analysis 
SE,3345,002,2,,1,2,1,3,1,1,,,,,,0,,,,,"Khan, Ziaullah",,,,,,kkhan,ziaullah khan,Data Structures and Introduction to Algorithmic Analysis 
FERM,6331,FS1,,11,,,,,,,,,,,,0,,,,,"Zemoodeh, Amir",,,,,,axz120930,amir zemoodeh,
MECO,6312,003,,5,4,2,,,,,,,,,,0,,,,,"Joo, Joonhwi","Zhu, Yifan",,,,,jxj180020,joonhwi joo,Applied Econometrics and Time Series Analysis 
HUSL,6324,501,,10,,1,,,,,,,,,,0,,,,,"Greene, Kendra",,,,,,kxg180038,kendra greene,Creating Short Fictions 
SE,3345,003,,1,3,2,3,2,,,,,,,,0,,,,,"Chida, Anjum",,,,,,axc157030,anjum chida,Data Structures and Introduction to Algorithmic Analysis 
SE,3354,001,,3,2,1,2,1,,1,,,,,1,0,,,,,"Cankaya, Ebru C","Wang, Xiaoyu",,,,,exc067000,ebru cankaya,Software Engineering 
MECH,4110,105,,2,3,3,1,,1,,1,,,,,0,,,,,"Li, Yaoyu","Kumar, Devesh","Wu, Zhongyou","Li, Changyuan",,,yxl115230,yaoyu li,Systems and Controls Laboratory 
ED,3345,501,,6,2,,1,,,2,,,,,,0,,,,,"McNulty, Angela B",,,,,,mcnulty,,Art  Music  and Physical Development Grades EC - 6 
EECT,7327,001,,7,4,,,,,,,,,,,0,,,,,"Liu, Jin",,,,,,jinliu,jin liu,Data Converters 
EE,3111,103,5,1,2,2,,,,,1,,,,,0,,,,,"Lee, Hoi","Liang, Jingchen",,,,,hxl054000,hoi lee,Electronic Circuits Laboratory 
OPRE,6390,501,,6,,,5,,,,,,,,,0,,,,,"Thompson, Luell O","Pearam, Swetha S",,,,,lot013000,luell thompson,Enterprise Resource Planning 
ENTP,4335,0W2,2,1,3,,1,1,,1,,,,2,,0,,,,,"Edsel, Alexander D","Gupta, Ashna",,,,,ade012000,alexander edsel,Digital and Internet Marketing 
LIT,3339,501,,2,2,1,4,2,,,,,,,,0,,,,,"Greer, Erin",,,,,,exg180013,erin greer,Writing Literary Studies 
GEOS,3470,001,4,,2,2,1,1,,,1,,,,,0,,,,,"Pirouz, Mortaza","Johnson, Samuel P",,,,,mxp180004,mortaza pirouz,Structural Geology 
ENGY,3340,001,3,3,4,1,,,,,,,,,,0,,,,,"Molina, Stephen",,,,,,sxm163630,stephen molina,Energy Law and Contracts 
JAPN,3312,001,1,3,2,1,,1,,1,,,,1,1,0,,,,,"Kroska, Nami",,,,,,nxk167330,nami kroska,Advanced Japanese II 
SE,4348,001,,,,4,1,2,,2,1,,,,1,0,,,,,"Ozbirn, Greg A","Mi, Feng",,,,,ozbirn,greg ozbirn,Operating Systems Concepts 
EE,3101,104,,4,2,,1,,2,1,,,,1,,0,,,,,"Heins, Matthew S","Thakur, Sneha",,,,,msh130130,matthew heins,Electrical Network Analysis Laboratory 
CS,6301,003,,11,,,,,,,,,,,,0,,,,,"Thuraisingham, Bhavani",,,,,,bxt043000,bhavani thuraisingham,Special Topics in Computer Science 
RMIS,3370,002,,1,1,1,2,1,2,1,,,1,,1,0,,,,,"Kaplan, Larry S",,,,,,lsk140130,larry kaplan,Principles of Risk Management and Insurance 
COMD,7V82,0W1,,10,1,,,,,,,,,,,0,,,,,"Walsh, Diane G",,,,,,dxg022000,diane walsh,Special Topics in Communication Disorders 
PA,6344,501,,11,,,,,,,,,,,,0,,,,,"Benavides, Teodoro J",,,,,,tjb051000,teodoro benavides,Local Government Management 
