Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
BIOL,2112,0U1,1,3,7,3,2,5,3,5,3,3,1,1,5,,,,,,"Padmanabhan, Ramesh","Anand, Rithika","Xu, Linyi",,,,rxp104120,ramesh padmanabhan,Introduction to Modern Biology Workshop II 
BIOL,2281,3U1,1,3,2,6,2,,1,1,1,,1,,1,,,,1,,"Pickett, Elizabeth A","Salamat, Narges","Thomas, Nathaniel","Briggs, Alyssa A","Amin, Hibah",,eaw016100,elizabeth pickett,Introductory Biology Laboratory 
BIOL,2281,3U2,2,4,3,4,3,2,,1,,,,,,,,,,,"Salamat, Narges","Pickett, Elizabeth A","Nelson, Ashlianne A","Hari Prasad, Vineeth","Griffin, Caylah",,nxs158730,narges salamat,Introductory Biology Laboratory 
BIOL,2281,3U3,1,6,1,3,5,2,3,,,,,,,,,,,,"Salamat, Narges","Pickett, Elizabeth A","Liu, Junyu","Basu, Ujjaini","Tien, Hsin-Jung",,nxs158730,narges salamat,Introductory Biology Laboratory 
BIOL,2311,0U1,15,5,2,4,,1,,1,,,,,,,,,,,"Sarcar, Subha","Camp, John M","Cornelius, Samuel A",,,,sns064000,subha sarcar,Introduction to Modern Biology I 
BIOL,2312,0U1,1,3,7,3,2,5,3,5,3,3,1,1,5,,,,1,,"Padmanabhan, Ramesh","Anand, Rithika","Xu, Linyi",,,,rxp104120,ramesh padmanabhan,Introduction to Modern Biology II 
BIOL,3303,0U1,4,1,4,2,4,1,,3,3,,1,,1,,,,,,"Boyd, Stefanie D","Zhi, Jiahe","Bonde, Namrata Dinesh","Shipman, Braden M",,,sdb074000,stefanie boyd,Introduction to Microbiology 
BIOL,3318,0U1,25,14,1,1,,,,,,,,,,,,,,,"Gomez, Amy Jo M","Chacon Castro, Maria Del Carmen","Elhawary, Ezzeldin N",,,,amh240001,amy macbey gomez,Forensic Biology 
BIOL,3380,3U3,3,1,2,3,1,3,,3,,1,1,2,,,,,,,"Srinivasan, Bhooma","Pickett, Elizabeth A","Falah, Rafah M","Zhabilov, Dannie",,,dal884217,,Biochemistry Laboratory 
BIOL,3380,3U4,,1,,2,1,4,4,1,4,2,1,,,,,,,,"Pickett, Elizabeth A","Srinivasan, Bhooma","Berisha, Eranda","Liu, Yihan",,,eaw016100,elizabeth pickett,Biochemistry Laboratory 
BIOL,3401,0U1,3,8,8,7,11,7,12,5,4,1,,1,1,,,,,,"Srikanth, Uma","Kwende, Sharon A","Lalami, Hamza","Salaudeen, Ibrahim O","Afolami, Olufemi Ifeoluwa","Maiti, Dibyo",ukrish,uma srikanth,Genetics 
BIOL,3402,0U1,9,4,7,1,1,,2,1,,,,,,,,,,,"Sarcar, Subha","Ning, Dun","Yamauchi, Stephanie A",,,,sns064000,subha sarcar,Molecular and Cell Biology 
BIOL,3455,3U1,2,6,4,4,1,,4,3,6,,1,,1,,,,2,,"Wu, Zhuoru","Gong, Hanling","Veera, Kavya","Langley, Lyndsey","Winn, Emma A",,zxw190014,,Human Anatomy and Physiology with Lab I 
BIOL,3455,3U2,2,3,2,4,1,2,2,,1,1,1,,2,,,,,,"Wu, Zhuoru","Gong, Hanling","Veera, Kavya",,,,zxw190014,,Human Anatomy and Physiology with Lab I 
BIOL,3456,3U1,,5,,3,4,,3,,1,2,,,,,,,2,,"Yu, Wen-Ho","Spence, Lindsay J",,,,,why061000,wen ho yu,Human Anatomy and Physiology with Lab II 
BIOL,3461,0U1,3,3,,2,3,5,4,1,5,2,2,2,4,,,,,,"Boyd, Stefanie D","Akter, Zakia","Hossain, Md Liakat","Estrada, Bryan J",,,sdb074000,stefanie boyd,Biochemistry I 
BIOL,3462,0W1,9,29,4,3,1,1,1,,,,,1,,,,,,,"Candas, Mehmet","Sunder Singh, Jacqulene Preethi",,,,,candas,mehmet candas,Biochemistry II 
BIOL,3V00,0W1,8,16,,,1,,,,,,,,1,,,,,,"Candas, Mehmet",,,,,,candas,mehmet candas,Topics in Biological Sciences 
BIS,2190,0W1,2,9,1,,4,1,1,1,,2,,,1,,,,,,"Gillo, Sabrina F",,,,,,dal105191,,Library Research Skills 
BIS,3320,051,10,8,1,,,1,,,,,,,,,,,1,,"Lusk, Marc L",,,,,,mxl121730,marc lusk,The Nature of Intellectual Inquiry 
BLAW,2301,5U1,1,13,2,2,2,,,,1,2,,,,,,,,,"Barrow, Frederick",,,,,,dal203513,,Business and Public Law  (3 Semester Credit Hours)
BMEN,2320,0W1,11,1,,,,,,,1,,,,,,,,,,"Kang, Gu Eon",,,,,,gxk210018,,Statics 
BMEN,3200,0U1,,19,,,3,,,,,,,,,,,,,,"Stout, Angeloh M","Shihabeddin, Tarik",,,,,ams160030,,Biomedical Engineering Fundamentals and Design 
BMEN,3302,051,1,3,1,,3,2,,,,,,,,,,,1,,"Ali, Tariq M",,,,,,tma051000,tariq ali,Bioengineering Signals and Systems 
BMEN,3320,0W1,1,2,2,2,2,3,1,,,,,,,,,,,,"Ali, Tariq M",,,,,,tma051000,tariq ali,Electrical and Electronic Circuits in Biomedical Engineering 
BMEN,4388,0U1,1,5,5,16,3,2,,,,,,,,,,,,,"Polk, Todd W","Tjahjono, Nathaniel S",,,,,twp017000,todd polk,Senior Design Project I 
BPS,4395,5U1,15,23,3,,1,1,,,,,,,,,,,,,"Kitamura, Yuko",,,,,,yxk210025,yuko kitamura,Capstone Senior Project - Business 
BPS,4395,5U2,10,35,4,,,,,,,,,,,,,,,,"Stogsdill, Robert",,,,,,rws180002,robert stogsdill,Capstone Senior Project - Business 
BPS,6310,0W1,,25,,4,1,,,,,,,,,,,,2,,"Kaplan, Marilyn R",,,,,,mkaplan,marilyn kaplan,Strategic Management 
BPS,6310,GW1,,11,3,,,1,,,,,,,,,,,,,"Choi, Emily",,,,,,exc113230,emily choi,
BPS,7303,0U1,,14,,,,,,,,,,,,,,,,,"Watson, John M",,,,,,jmw077000,john watson,Doctoral Teaching and Writing Seminar 
BUAN,4090,091,,,,,,,,,,,,,,44,,,,,"Akarte, Prajakti V",,,,,,pva150330,prajakti akarte,
BUAN,4090,0U1,,,,,,,,,,,,,,23,,,,,"Akarte, Prajakti V",,,,,,pva150330,prajakti akarte,
BUAN,4381,5U1,4,,2,3,1,1,,,,,,,,,1,,,,"Chen, Luoying",,,,,,lxc190027,luoying chen,Object Oriented Programming with Python 
BUAN,6009,091,,,,,,,,,,,,,,,,,,11,"Thomas, Sunela S",,,,,,sxt167730,sunela thomas,
BUAN,6009,0U1,,,,,,,,,,,,,,,,,,52,"Thomas, Sunela S",,,,,,sxt167730,sunela thomas,
BUAN,6009,SU1,,,,,,,,,,,,,,,,,,23,"Paes, Antonio P",,,,,,app210006,antonio paes,
BUAN,6312,0W1,,5,7,5,5,4,1,,,,,,1,,,,,,"Blueshtein, Moran","Wu, Jie",,,,,mxb135230,moran blueshtein,Applied Econometrics and Time Series Analysis 
BUAN,6320,5U1,,7,17,3,2,,,,,,,,,,,,3,,"El-khodari, Gasan E","Cai, Shuzhang",,,,,gxe051000,gasan elkhodari,Database Foundations for Business Analytics 
BUAN,6320,SW1,,7,3,5,3,,,,,,,,,,,,,,"Ryu, Young U",,,,,,ryoung,young ryu,
BUAN,6337,0W1,,4,1,4,1,1,,,,,,,,,,,2,,"Subramanian, Upender","Miao, Jin",,,,,uxs092000,upender subramanian,Predictive Analytics for Data Science 
