Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ACN,6312,003,,13,2,5,2,1,,,,,,,,,,,,1,"Fearon, Danielle","Gryder, Kieth",,,,,dxf220005,danielle fearon,Research Methods in Behavioral and Brain Sciences - Part I 
ACN,6312,004,,7,2,2,2,1,2,3,,,,,,,,,,4,"Juhn, Nancy H","Batchalli Maruthy, Gayathri","Behboudi, Mohammad Hossein",,,,njuhn,nancy juhn,Research Methods in Behavioral and Brain Sciences - Part I 
ACN,6323,001,,14,,1,1,,,3,,,,,,,,,,0,"Rennaker, Robert L",,,,,,rlr091000,robert rennaker,Neurophysiology 
ACN,6340,001,,9,3,3,4,2,1,2,,,,,3,,,,,1,"Kroener, Sven",,,,,,sxk101000,sven kroener,Cellular Neuroscience 
ACN,6341,0W1,,31,3,,,,,,,,,,1,,,,,0,"Orrick, Erika D",,,,,,edo042000,erika orrick,Foundations of Human-Computer Interaction 
ACN,6345,001,,9,1,4,2,2,,,,,,,1,,,,,0,"Rodriguez, Christa M",,,,,,cmr067000,christa mcintyre rodriguez,Neurobiology of Learning and Memory 
ACN,6346,001,,29,9,1,1,1,2,2,,,,,,,,,,1,"Thompson, Lucien",,,,,,tres,lucien thompson,Systems Neuroscience 
ACN,6348,501,,8,5,2,3,,,,,,,,,,,,,1,"Golden, Richard","Malaiya, Ritesh K",,,,,golden,richard golden,Neural Net Mathematics 
ACN,6373,0W1,,20,,3,1,,,,,,,,,,,,,0,"Overzet, Kathryn M",,,,,,kmo053000,,Intraoperative Neurophysiological Monitoring 
ACN,6388,001,,8,2,1,,,,,,,,,1,,,,,2,"Kilgard, Michael",,,,,,kilgard,michael kilgard,MATLAB for Brain Sciences 
ACN,6395,001,,7,,,9,,,3,,,,,2,,,,,2,"Wig, Gagandeep S",,,,,,gsw130130,gagan wig,Cognitive Psychology 
ACN,6395,0W1,,32,3,3,2,,1,,,,,,,,,,,0,"Hooge, Kimberley O",,,,,,koh170030,kimberley orsten hooge,Cognitive Psychology 
ACN,7372,0H1,,15,,,,,,,,,,,,,,,,1,"Jahangiri, Faisal R",,,,,,frj190000,faisal jahangiri,Seminar in Neuroscience 
ACTS,4303,001,1,5,2,1,2,,,1,,2,1,,,,,,,0,"Humphreys, Natalia A","Liu, Jingzhou",,,,,nah103020,natalia humphreys,Long Term Actuarial Mathematics II 
ACTS,4304,001,1,3,5,2,2,4,4,1,,,,,,,,,,0,"Humphreys, Natalia A","Bal, Sabindra Singh",,,,,nah103020,natalia humphreys,Short Term Actuarial Mathematics I 
ACTS,4307,001,9,2,4,1,2,1,1,,,,,,,,,,,0,"Hong, Liang","Yang, Haopeng",,,,,lxh019000,liang hong,Statistics for Risk Modeling 
ACTS,4308,501,9,6,4,5,3,4,1,2,,,,1,2,,,,,0,"Koshevnik, Yuly","Yang, Haopeng",,,,,yxk055000,yuly koshevnik,Actuarial Financial Mathematics 
ACTS,4309,001,,1,3,3,3,2,2,1,,1,,,,,,,,0,"Humphreys, Natalia A","Bal, Sabindra Singh",,,,,nah103020,natalia humphreys,Theory of Options 
ACTS,6307,001,,6,3,,,,,,,,,,,,,,,0,"Hong, Liang",,,,,,lxh019000,liang hong,Advanced Statistics for Risk Modeling 
AHST,1304,001,22,19,23,8,15,10,6,4,,,1,1,5,,,,,1,"McDonald, Jacquelyn D","Barnes, Claudia",,,,,jmd074000,jacquelyn mcdonald,Survey of Western Art History  Renaissance to Modern 
AHST,1304,002,31,17,19,14,13,5,3,2,,,1,1,3,,,,,4,"McDonald, Jacquelyn D","Ghahari Kermani, Arash",,,,,jmd074000,jacquelyn mcdonald,Survey of Western Art History  Renaissance to Modern 
AHST,2331,001,20,15,15,9,12,7,7,8,6,2,3,2,8,,,,,1,"Alibhai, Ali Asgar H","Esmail, Fatima N",,,,,aha180002,ali alibhai,Understanding Art 
AHST,2331,HN1,16,8,1,1,,,,,,,,,1,,,,,0,"Hofland, Amy",,,,,,axh190029,amy hofland,Understanding Art 
AHST,3316,001,10,21,3,3,4,4,,,,1,1,,1,,,,1,1,"Rosen, Mark S","Sahin, Merve",,,,,mxr088000,mark rosen,Baroque Art and Architecture 
AHST,3320,001,12,2,2,2,1,3,,,,,1,2,3,,,,1,1,"Alibhai, Ali Asgar H",,,,,,aha180002,ali alibhai,Art in Historical Context 
AMS,2341,001,,8,14,6,24,3,3,1,3,,1,,3,,,,,2,"Naqvi, Syed K",,,,,,skn180000,syed naqvi,American Studies for the Twenty-First Century 
AMS,2341,HN1,,16,5,2,1,,,,,,,,,,,,,0,"Naqvi, Syed K",,,,,,skn180000,syed naqvi,American Studies for the Twenty-First Century 
AMS,2390,001,,3,1,3,2,1,1,,,,,,4,,,,,0,"Pogue, Neall W",,,,,,nxp174730,neall pogue,Topics in American Studies 
AMS,2390,002,,3,4,1,2,,1,1,,,,,,,,,,0,"Naqvi, Syed K",,,,,,skn180000,syed naqvi,Topics in American Studies 
AMS,3316,0W1,14,11,9,1,4,4,,3,1,,,,2,,,,,0,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead,Interpersonal Communication 
AMS,4300,5H1,2,5,2,,3,,,1,,,,,1,,,,,0,"Ross, Alyssa N",,,,,,anr161130,alyssa ross,Oral and Written Communication for the Classroom 
AMS,4305,5H1,,2,4,2,1,2,,,,,,,,,,,,0,"Cotton, Scott C",,,,,,sxc024200,scott cotton,World History for Teachers 
AMS,4379,0W1,1,3,1,2,2,1,1,1,,,,,1,,,,,0,"Hudson, Jennifer M",,,,,,jxh100220,jennifer hudson,Special Topics in American Studies 
AMS,4379,0W2,9,9,2,2,2,,1,1,,,,2,4,,,,,1,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead,Special Topics in American Studies 
ARAB,1311,002,3,5,7,,,,,,,,,,,,,,,0,"Arrabai, Mustafa M",,,,,,mma200002,mustafa arrabai,Beginning Arabic I 
ARHM,1100,001,14,19,,5,2,1,1,1,2,,1,,7,,,,,4,"Gray, Megan L",,,,,,mlg105020,megan gray,First Year Seminar 
ARHM,2340,001,5,12,,1,,,,,,,,1,,,,,,0,"Avram, Danielle M",,,,,,avram,danielle avram,Creativity 
ARHM,2340,002,6,7,,2,4,1,2,3,,1,1,,1,,,,,2,"Grohman, Magdalena G",,,,,,mgg092000,magdalena grohman,Creativity 
ARHM,3342,001,,3,1,6,8,3,2,3,,,,,1,,,,,2,"Wickberg, Daniel",,,,,,wickberg,daniel wickberg,Advanced Interdisciplinary Studies in the Arts and Humanities 
ARHM,3342,002,1,3,1,,4,,,1,,,,,,,,,,1,"Gossin, Pamela",,,,,,psgossin,pamela gossin,Advanced Interdisciplinary Studies in the Arts and Humanities 
ARHM,3342,501,4,3,3,3,,1,,,,1,,,1,,,,,2,"Pfister, Debra H",,,,,,dhpf,debra pfister,Advanced Interdisciplinary Studies in the Arts and Humanities 
ARHM,6310,501,,11,,,4,,,2,,,,,1,,,,1,1,"Malina, Roger F","Riccio, Thomas P",,,,,rxm116130,,Team-Taught Interdisciplinary Seminar 
ARTS,1301,0W1,102,15,5,5,4,1,1,2,,1,,1,2,,,,,1,"Wilder, James E","Takaloubighash, Maryam","Song, Haoyi",,,,jew042000,james wilder,Exploration of the Arts 
ARTS,1316,001,3,8,6,1,,,,,,,,,,,,,,0,"Min, Inki A",,,,,,iam140230,inki min,Drawing Foundations 
ARTS,1316,002,2,7,5,1,,,1,,1,,,,,,,,,1,"Cochran, Kristen N",,,,,,knc103020,kristen cochran,Drawing Foundations 
ARTS,1316,003,1,8,6,,3,,,1,,,,,,,,,,0,"Travis, Audrey",,,,,,axt190092,,Drawing Foundations 
ARTS,1316,004,4,9,4,,,,,,,,,,,,,,,1,"Fridge, Brian D",,,,,,bdf081000,brian fridge,Drawing Foundations 
ARTS,1316,501,8,4,1,,1,,,,,,,,,,,,,0,"Miranda, Jeffrey",,,,,,jxm069000,jeffrey miranda,Drawing Foundations 
ARTS,2315,001,,4,4,2,2,3,1,,,,,,,,,,,0,"Palmer, Marcy A",,,,,,mxp070100,marcy palmer,Topics in Visual Art 
ARTS,2316,001,,5,5,2,2,1,,,,,,,,,,,,1,"Ligon, Peter A",,,,,,pal140130,peter ligon,Painting Foundations 
ARTS,2316,501,11,4,,,,,,,,,,,2,,,,,0,"Egan, Trey T",,,,,,tte150130,trey egan,Painting Foundations 
ARTS,2348,001,8,3,2,2,,,,,,,,,1,,1,,,2,"Reyes, Marcela",,,,,,mxr116430,marcela reyes,Digital Art 
ARTS,2350,001,,6,4,3,1,,1,,,,,,2,,,,,0,"Copeland, Colette",,,,,,cxc132230,colette copeland,Photography  Design 
ARTS,2350,002,6,,3,2,1,1,,,1,,1,,,,,,,1,"Lyon, Tara L",,,,,,tll190000,,Photography  Design 
ARTS,2380,001,9,4,3,,,,,,,,1,,1,,,,,0,"Egan, Trey T",,,,,,tte150130,trey egan,Visual Design Foundations 
ARTS,2380,501,15,,,,,1,,,,,,,1,,,,1,0,"Curry, Val",,,,,,vxc110930,val curry,Visual Design Foundations 
ARTS,2381,001,2,5,,1,,3,,,,,1,,1,,,,,2,"Cochran, Kristen N",,,,,,knc103020,kristen cochran,Introduction to Sculpture 
ARTS,3311,001,2,4,2,1,,1,2,1,,,2,,1,,,,,0,"Copeland, Colette",,,,,,cxc132230,colette copeland,Contemporary Art Practices 
ARTS,3340,001,3,4,,,,,,,,,,,3,,,,,0,"Loving, Emily",,,,,,exl097120,emily loving,Topics in Studio Art 
ARTS,3341,001,,18,,,1,,,,,,,,,,,,,0,"Shi, Carle",,,,,,cxs174230,carle shi,Chinese Calligraphy 
ARTS,3363,001,5,5,,1,1,,1,2,,,,,2,,,,1,1,"Tady, Lorraine T",,,,,,ltt042000,lorraine tady,Typography  Technology  Image 
ARTS,3364,001,6,8,2,,,,,,,,,,,,,,,0,"Williams, Thomas E",,,,,,tew210002,,Silkscreen Printmaking 
ARTS,3366,501,8,3,1,4,2,1,,,,,,,,,,,,0,"Reyes, Marcela",,,,,,mxr116430,marcela reyes,Intermediate Drawing 
ARTS,3367,001,6,9,4,,,,,,,,,,,,,,,0,"Fridge, Brian D",,,,,,bdf081000,brian fridge,Figure Drawing 
ARTS,3367,002,19,,,,,,,,,,,,,,,,,0,"Miranda, Jeffrey",,,,,,jxm069000,jeffrey miranda,Figure Drawing 
ARTS,3368,001,,8,5,1,,,1,1,,,,,,,,,,1,"Cochran, Kristen N",,,,,,knc103020,kristen cochran,Mixed Media 
ARTS,3369,001,,12,,,,,,,,,,,,,,,,1,"Tady, Lorraine T",,,,,,ltt042000,lorraine tady,Intermediate Painting 
ARTS,3371,001,,,5,2,3,2,1,,,,,,1,,,,,0,"Miller, Cynthia M",,,,,,cmm016900,cynthia miller,Photography  Black White 
ARTS,3371,002,2,4,3,1,2,2,,,,,,,1,,,,,0,"Durant, Stephanie D",,,,,,ddm043000,,Photography  Black White 
ARTS,3372,001,,1,11,1,1,2,,1,,,,,,,,,,0,"Palmer, Marcy A",,,,,,mxp070100,marcy palmer,Photography  Color Concepts 
ARTS,3372,501,2,9,1,1,1,,,,,,,,2,,,,,1,"Loving, Emily",,,,,,exl097120,emily loving,Photography  Color Concepts 
ARTS,3375,001,7,4,3,1,,,,,,,,,,,,,,0,"Randall, Steven V",,,,,,svr200001,steven randall,Sculpture 
ARTS,3377,001,2,4,3,5,2,,,,1,,,,,,,,,0,"Waligore, Marilyn A",,,,,,waligore,marilyn waligore,Photography  Altered Image 
ARTS,3382,001,2,13,,1,2,,,1,,,,,,,,,,0,"Tady, Lorraine T",,,,,,ltt042000,lorraine tady,Color as Subject 
ARTS,3383,001,7,7,1,3,1,,,,,,,,,,,,,0,"Williams, Thomas E",,,,,,tew210002,,Digital Drawing 
ARTS,4308,001,1,7,,3,3,,,,,,1,,,,,,,1,"Durant, Stephanie D",,,,,,ddm043000,,Image Text 
ARTS,4310,001,2,8,,2,1,,,,,,,,1,,,,,0,"Avram, Danielle M",,,,,,avram,danielle avram,Studies in Contemporary Exhibitions 
ARTS,4368,001,3,8,,,,,,,,,,,,,,,,0,"Pomara, John",,,,,,pomara,john pomara,Advanced Visual Arts 
ATCM,1100,001,14,9,1,3,7,,1,2,,,,,7,,,,,0,"Roberts, Jazzmyn C",,,,,,jcr210003,,First Year Seminar 
ATCM,1100,002,14,8,3,,6,1,3,4,,,2,,3,,,,,0,"Roberts, Jazzmyn C",,,,,,jcr210003,,First Year Seminar 
ATCM,1100,003,11,15,7,4,1,,,1,1,,2,,2,,,,,0,"Gutierrez, Alejandra",,,,,,axg173831,,First Year Seminar 
ATCM,1100,0L1,20,5,3,3,3,1,1,1,,1,2,,,,,,,1,"Henderson, Kelley A",,,,,,kah111020,kelley henderson,First Year Seminar 
