Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC,P,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
BCOM,4300,0U3,,4,11,6,5,6,2,7,4,1,2,,1,,,,1,"Smallwood, Margaret G","Ward, Hannah",,,,,meg012400,margaret smallwood,Managing Communications in Business 
BCOM,4300,0U4,,1,,1,1,4,2,4,3,,1,1,1,,,,1,"Lookadoo, Kathryn","Ward, Hannah",,,,,kxl164330,kathryn lookadoo,Managing Communications in Business 
BCOM,4300,0U5,,,3,3,7,5,4,3,2,,1,,,,,,0,"Watson, John M","Ward, Hannah",,,,,jmw077000,john watson,Managing Communications in Business 
BCOM,4300,5E1,,2,4,9,8,8,5,3,,2,,1,1,,,,1,"Watson, John M","Ward, Hannah",,,,,jmw077000,john watson,Managing Communications in Business 
BCOM,4300,5U1,1,2,6,7,6,5,9,3,2,1,1,,1,,,,0,"Tamez, Katrina",,,,,,kxt200010,katrina tamez,Managing Communications in Business 
BIOL,2111,0U1,,11,,,14,,,5,,,,,2,,,,1,"Maitra, Meenakshi","Ashrafi, Adnin","Salamat, Narges",,,,mxm172731,meenakshi maitra,Introduction to Modern Biology Workshop I 
BIOL,2111,0U2,,11,,,10,,,4,,,2,,,,,,4,"Maitra, Meenakshi","Salamat, Narges","Ashrafi, Adnin",,,,mxm172731,meenakshi maitra,Introduction to Modern Biology Workshop I 
BIOL,2112,0U1,6,5,2,3,6,1,1,,2,,2,1,4,,,,2,"Wu, Zhuoru","Tiwari, Suman",,,,,zxw190014,,Introduction to Modern Biology Workshop II 
BIOL,2112,0U2,5,7,4,1,4,4,1,5,,2,,1,1,,,,0,"Wu, Zhuoru","Tiwari, Suman",,,,,zxw190014,,Introduction to Modern Biology Workshop II 
BIOL,2281,3W1,5,3,4,2,2,1,,1,1,2,,1,1,,,,0,"Lin, Wen J",,,,,,wenju,wen ju lin,Introductory Biology Laboratory 
BIOL,2281,3W2,1,4,1,4,1,5,3,,,,,,2,,,,3,"Lin, Wen J",,,,,,wenju,wen ju lin,Introductory Biology Laboratory 
BIOL,2281,3W3,,6,6,1,3,1,3,1,1,1,,,1,,,,0,"Lin, Wen J",,,,,,wenju,wen ju lin,Introductory Biology Laboratory 
BIOL,2281,3W4,4,8,3,2,1,,,2,1,1,,,1,,,,0,"Lin, Wen J",,,,,,wenju,wen ju lin,Introductory Biology Laboratory 
BIOL,2311,0U1,,22,,,24,,,9,,,2,,2,,,,5,"Maitra, Meenakshi","Salamat, Narges","Ashrafi, Adnin",,,,mxm172731,meenakshi maitra,Introduction to Modern Biology I 
BIOL,2312,0U1,11,12,6,4,10,5,2,5,2,2,2,2,5,,,,2,"Wu, Zhuoru","Tiwari, Suman",,,,,zxw190014,,Introduction to Modern Biology II 
BIOL,3101,0U1,13,4,3,5,3,3,1,1,4,,1,1,,,,,0,"Srikanth, Uma",,,,,,ukrish,uma srikanth,Classical and Molecular Genetics Workshop 
BIOL,3101,0U2,18,6,3,4,4,,2,,,1,1,,,,,,0,"Srikanth, Uma","Gadhvi, Jashkaran G","Ratevosyan, Richard",,,,ukrish,uma srikanth,Classical and Molecular Genetics Workshop 
BIOL,3101,0U3,15,3,4,4,5,1,,1,1,,,,,,,,0,"Srikanth, Uma","Afolami, Olufemi Ifeoluwa",,,,,ukrish,uma srikanth,Classical and Molecular Genetics Workshop 
BIOL,3101,0U4,7,3,7,4,4,2,3,,,,,2,,,,,0,"Srikanth, Uma","Yaqub, Muneer O",,,,,ukrish,uma srikanth,Classical and Molecular Genetics Workshop 
BIOL,3101,0U5,9,4,10,4,1,2,1,,1,,1,,1,,,,0,"Srikanth, Uma","Joshi, Ketki",,,,,ukrish,uma srikanth,Classical and Molecular Genetics Workshop 
BIOL,3101,0U6,4,,1,4,1,,1,,,,,,,,,,0,"Srikanth, Uma","Alemi, Parinazsadat",,,,,ukrish,uma srikanth,Classical and Molecular Genetics Workshop 
BIOL,3102,0U1,3,5,3,2,4,1,4,3,,,,,,,,,0,"Srikanth, Uma",,,,,,ukrish,uma srikanth,Eukaryotic Molecular and Cell Biology Workshop 
BIOL,3102,0U3,4,5,3,4,4,,1,1,1,1,,,,,,,0,"Srikanth, Uma",,,,,,ukrish,uma srikanth,Eukaryotic Molecular and Cell Biology Workshop 
BIOL,3161,0W1,,14,9,6,4,8,3,3,2,2,1,1,1,,,,1,"Candas, Mehmet",,,,,,candas,mehmet candas,Biochemistry Workshop I 
BIOL,3161,0W2,,3,,5,4,7,4,2,1,,,,,,,,0,"Candas, Mehmet",,,,,,candas,mehmet candas,Biochemistry Workshop I 
BIOL,3161,0W3,,2,7,4,1,4,4,1,1,1,1,,1,,,,0,"Candas, Mehmet",,,,,,candas,mehmet candas,Biochemistry Workshop I 
BIOL,3162,0W1,,1,2,4,4,1,3,,2,1,2,,2,,,,0,"Candas, Mehmet",,,,,,candas,mehmet candas,Biochemistry Workshop II 
BIOL,3162,0W3,,1,4,1,1,1,2,,2,,1,,,,,,0,"Candas, Mehmet",,,,,,candas,mehmet candas,Biochemistry Workshop II 
BIOL,3301,0U1,66,20,28,25,18,8,8,2,6,1,3,3,1,,,,0,"Srikanth, Uma","Afolami, Olufemi Ifeoluwa","Alemi, Parinazsadat","Yaqub, Muneer O","Joshi, Ketki","Gadhvi, Jashkaran G",ukrish,uma srikanth,Classical and Molecular Genetics 
BIOL,3302,0U1,9,10,6,7,8,2,8,4,1,1,,,,,,,0,"Srikanth, Uma","Ballew, Luke","Akter, Zakia","Shipman, Braden M",,,ukrish,uma srikanth,Eukaryotic Molecular and Cell Biology 
BIOL,3318,0U1,6,23,25,7,5,6,,,2,,,,,,,,1,"Henson, Uyen N",,,,,,unh130030,uyen henson,Forensic Biology 
BIOL,3361,0W1,,18,15,12,9,17,10,5,4,2,2,1,2,,,,1,"Candas, Mehmet","Wickramasinghe, Piumi B","Song, Ming","Wang, Tianyuan",,,candas,mehmet candas,Biochemistry I 
BIOL,3362,0W1,,2,6,6,5,2,5,1,3,1,3,,2,,,,0,"Candas, Mehmet","Petter, Andrew T","Soladogun, Adedamola S",,,,candas,mehmet candas,Biochemistry II 
BIOL,3380,3W1,,3,2,1,1,,3,2,4,,1,,3,,,,2,"Rippel, Scott A","Mazambani, Simbarashe",,,,,rippel,scott rippel,Biochemistry Laboratory 
BIOL,3380,3W2,2,1,5,,1,3,,,3,,1,1,2,,,,5,"Pickett, Elizabeth A","Zhi, Jiahe",,,,,eaw016100,elizabeth pickett,Biochemistry Laboratory 
BIOL,3380,3W3,,3,,2,,,,,3,2,,,3,,,,0,"Rippel, Scott A","Dhar, Roopal",,,,,rippel,scott rippel,Biochemistry Laboratory 
BIOL,3380,3W4,,4,2,2,1,1,3,1,2,,1,2,1,,,,3,"Pickett, Elizabeth A","Zhang, Bo",,,,,eaw016100,elizabeth pickett,Biochemistry Laboratory 
BIOL,3455,3W1,,3,6,5,3,1,1,,3,1,1,1,3,,,,4,"Ramirez, Ruben D",,,,,,rdr092000,ruben ramirez,Human Anatomy and Physiology with Lab I 
BIOL,3455,3W2,,,6,,2,8,3,3,4,2,,1,2,,,,1,"Ramirez, Ruben D",,,,,,rdr092000,ruben ramirez,Human Anatomy and Physiology with Lab I 
BIOL,3455,3W4,1,5,,2,2,1,5,1,5,1,,,2,,,,2,"Ramirez, Ruben D",,,,,,rdr092000,ruben ramirez,Human Anatomy and Physiology with Lab I 
BIOL,3456,3U1,1,1,4,5,,2,2,1,,,,,,,,,0,"Yu, Wen H","Li, Yibo","Venkitapathi, Sundharamani",,,,why061000,wen ho yu,Human Anatomy and Physiology with Lab II 
BIOL,3456,3U2,,2,8,2,3,3,1,,,,,,,,,,1,"Yu, Wen H","Li, Yibo","Venkitapathi, Sundharamani",,,,why061000,wen ho yu,Human Anatomy and Physiology with Lab II 
BIOL,3520,3W1,,4,13,8,1,1,1,,2,,,,,,,,0,"Mehta, Iti","Dahl, Haley C","Chacon Castro, Maria Del Carmen","Sawant, Namrata V",,,ixm121430,iti mehta,General Microbiology with Lab 
BIOL,3520,3W2,,4,12,3,3,7,,,,,,,,,,,1,"Mehta, Iti","Dahl, Haley C","Chacon Castro, Maria Del Carmen","Sawant, Namrata V",,,ixm121430,iti mehta,General Microbiology with Lab 
BIOL,3520,3W3,,3,14,1,2,7,1,,,,1,,,,,,0,"Lakoduk, Ashley","Dahl, Haley C","Chacon Castro, Maria Del Carmen","Sawant, Namrata V",,,axl200032,ashley lakoduk,General Microbiology with Lab 
BIOL,4353,5U1,5,14,6,1,6,2,2,3,1,,,,,,,,0,"Burr, John G","Lewis, Anthony J",,,,,burr,john burr,Molecular Biology of HIV AIDS 
BIOL,4366,5U1,7,11,2,2,,,1,2,,,,,,,,,0,"Burr, John G","Bautista, Monica A",,,,,burr,john burr,Molecular Biology of Cancer 
BIOL,4380,3W1,3,5,2,2,3,1,1,2,,,,,3,,,,0,"Maynard, Caitlin S","Zhang, Bei","Shashikanth Raj Urs, Karthik Urs Bangalore","Wei, Hong",,,cmb170830,,Cell and Molecular Biology Laboratory 
BIOL,4380,3W2,2,7,2,2,3,1,2,2,,,,,1,,,,0,"Maynard, Caitlin S","Shashikanth Raj Urs, Karthik Urs Bangalore","Zhang, Bei","Wei, Hong",,,cmb170830,,Cell and Molecular Biology Laboratory 
BIOL,6341,5U1,,18,,,,,,,,,,,,,,,0,"Burr, John G","Bautista, Monica A",,,,,burr,john burr,Oncogenes 
BIOL,6345,5U1,,16,1,,,,,,,,,,,,,,0,"Burr, John G","Lewis, Anthony J",,,,,burr,john burr,Molecular Basis of Acquired Immune Deficiency Syndrome 
BIS,2190,0W1,1,6,4,3,1,,,,,,,,1,,,,0,"Edwards, Christopher W","Robinson, Katie L","Slattery, Ryan P",,,,cwe011000,christopher edwards,Library Research Skills 
BIS,3320,091,3,8,5,2,2,,1,2,3,,,,3,,,,0,"Wright, David A",,,,,,wright,david wright,The Nature of Intellectual Inquiry 
BIS,3320,0U1,4,3,2,2,4,2,2,1,1,1,,,3,,,,0,"Wright, David A",,,,,,wright,david wright,The Nature of Intellectual Inquiry 
BIS,4306,0W1,3,1,1,,1,,2,,,,,,3,,,,1,"Simpson, Carrie M",,,,,,cms131030,carrie simpson,Strategies for Diversity in Education 
BLAW,2301,5U1,,5,,7,2,3,3,2,2,,3,,2,,,,2,"Betanzos, Christina L",,,,,,clb120030,christina betanzos,Business and Public Law  (3 Semester Credit Hours)
BMEN,3150,1W1,1,3,2,3,4,1,1,,,,,,,,,,2,"Ali, Tariq M","Kian Pour, Bahareh",,,,,tma051000,tariq ali,Biomedical Engineering Laboratory 
BMEN,3320,0W1,2,5,,2,6,1,1,,,,,,1,,,,0,"Ali, Tariq M",,,,,,tma051000,tariq ali,Electrical and Electronic Circuits in Biomedical Engineering 
BMEN,3350,0W1,,1,4,3,4,1,1,,,,,,1,,,,1,"Ali, Tariq M","Kian Pour, Bahareh",,,,,tma051000,tariq ali,Biomedical Component and System Design 
BMEN,4301,5U1,4,8,1,2,1,,,,,,,,,,,,0,"Porter, Benjamin A","Gonzales, Phillip A",,,,,bap061000,benjamin porter,Introduction to Medical Device Development 
BMEN,4388,0U1,1,3,12,5,1,,,,,,,,,,,,0,"Polk, Todd W","Subramanian, Divya",,,,,twp017000,todd polk,Senior Design Project I 
BPS,4305,5E1,11,5,4,2,4,2,1,2,,4,,,3,,,,0,"Carraher, Shawn M",,,,,,smc130730,shawn carraher,Strategic Management 
BPS,4305,5U1,3,9,9,7,7,3,2,,1,,,,1,,,,0,"Kim, Dong Shin",,,,,,dxk152130,dong kim,Strategic Management 
BPS,4395,0U1,,35,,,14,,,,,,,,,,,,0,"Parks, David",,,,,,dxp153830,david parks,Capstone Senior Project - Business 
BPS,6310,0W1,,34,5,1,3,2,,1,,,,,1,,,,1,"Kaplan, Marilyn R",,,,,,mkaplan,marilyn kaplan,Strategic Management 
BPS,7303,0U1,,19,,,,,,,,,,,,,,,0,"Watson, John M",,,,,,jmw077000,john watson,Doctoral Teaching and Writing Seminar 
BUAN,6311,SS1,,9,6,7,1,1,1,,,,,,,,,,0,"Scott, James A",,,,,,jas076100,james scott,
BUAN,6312,0W1,,4,6,7,4,,3,4,,,,,,,,,1,"Blueshtein, Moran","Oyima-Antseleve, Ndackyssa",,,,,mxb135230,moran blueshtein,Applied Econometrics and Time Series Analysis 
BUAN,6337,5U1,,7,4,9,4,2,1,,,,,,,,,,1,"Chatterjee, Sourav","Qian, Kun",,,,,sxc180075,sourav chatterjee,Predictive Analytics Using SAS 
BUAN,6340,5U1,,22,4,3,3,3,1,2,,,,,2,,,,5,"Parker, Jason A",,,,,,jap090020,jason parker,Programming for Data Science 
BUAN,6340,SH1,,10,6,,4,1,,3,,,,,,,,,3,"Parker, Jason A",,,,,,jap090020,jason parker,
BUAN,6341,0W1,,7,6,2,5,4,,,,,,,,,,,0,"Sohaee, Nassim",,,,,,nxs045000,nassim sohaee,Applied Machine Learning 
BUAN,6346,5U1,,29,6,2,,,,,,,,,,,,,0,"Perez, Jerry",,,,,,jxp180019,jerry perez,Big Data 
BUAN,6356,5U1,,2,7,9,7,2,2,,,,,,,,,,2,"Chatterjee, Sourav","Banu, Arshiya",,,,,sxc180075,sourav chatterjee,Business Analytics With R 
BUAN,6359,5U1,,4,1,,4,3,4,2,,,,,1,,,,3,"Ramezani, Rasoul","Farzaneh, Mohammad Amin",,,,,rxr145930,rasoul ramezani,Advanced Statistics for Data Science 
BUAN,6398,5U1,,27,1,2,3,,1,2,,,,,2,,,,0,"Alimirzaei, Athena",,,,,,axa134231,athena alimirzaei,Prescriptive Analytics 
BUAN,6398,SW1,,22,,2,9,,2,2,,,,,,,,,0,"Alimirzaei, Athena",,,,,,axa134231,athena alimirzaei,
CE,3201,0U1,,2,3,2,1,1,,1,1,,,,2,,,,0,"Kiasaleh, Kamran","Meng, Xingyu","Steele, Alec M",,,,kamran,kamran kiasaleh,Electrical and Computer Engineering Fundamentals-I Laboratory 
CE,3202,0U1,,3,4,,2,1,,4,,,,,4,,,,2,"Kiasaleh, Kamran","Apalak, Merve","Liu, Jinbo",,,,kamran,kamran kiasaleh,Electrical and Computer Engineering Fundamentals-II Laboratory 
CE,3301,0U1,2,2,,1,2,,,,2,,,,3,,,,1,"Tacca, Marco","Khoshlessan, Mahshid",,,,,mtacca,marco tacca,Electrical Network Analysis 
CE,3310,0U1,1,,3,,1,2,1,4,1,,,,,,,,1,"Lee, Jeong-Bong","Parvez, Mohammad Salman","Abousaba, Mohammad F",,,,jblee,jeong bong lee,Electronic Devices 
CE,3311,0U1,4,2,2,1,,,1,,,,1,,2,,,,0,"Pourkamali, Siavash","Hossain Bhuiyan, Md Emran",,,,,sxp124631,siavash pourkamali,Electronic Circuits 
CE,3311,5U1,1,2,1,3,5,3,,,,,,,,,,,0,"Sechen, Carl","Salimath, Vibhav Kumarswami",,,,,cms057000,carl sechen,Electronic Circuits 
CE,4203,0U1,1,3,,2,1,1,,2,3,,,,1,,,,0,"Kehtarnavaz, Nasser","Azarang, Arian","Gogineni, Susmitha",,,,nxk019000,nasser kehtarnavaz,Electrical and Computer Engineering Laboratory in Signals and Systems 
CE,4388,0U1,,10,1,4,1,,,,1,,,,,,,,0,"Bhatia, Dinesh","Noor Shoudha, Shamman",,,,,dinesh,dinesh bhatia,Senior Design Project I 
CE,4389,0U1,1,2,1,8,,,,,,,,,,,,,0,"Bhatia, Dinesh","Chandra Shekar, Ram Charan M",,,,,dinesh,dinesh bhatia,Senior Design Project II 
CGS,4353,0W1,6,2,2,1,,1,,,,,,,1,,,,0,"Orrick, Erika D",,,,,,edo042000,erika orrick,Human Computer Interactions II 
CHEM,1111,1U1,8,4,1,1,2,,1,1,1,,1,,4,,,,2,"Hashami, Zohreh","Polara, Himanshu S","Gamage, Madujika A",,,,zxh088000,zohreh hashami,General Chemistry Laboratory I 
CHEM,1111,1U2,3,3,2,2,2,3,1,,,,,,2,,,,3,"Qin, Yanping","Cu Castillo, Cristina","Chen, Chia Yuan",,,,yxq083000,yanping qin,General Chemistry Laboratory I 
CHEM,1112,1U1,6,3,4,5,2,,3,2,2,1,,,2,,,,0,"Abeykoon, Nimali C","Kikumoto Dias, Juliana","Peng, Hao-Che",,,,nxa124430,nimali abeykoon,General Chemistry Laboratory II 
CHEM,1112,1U2,9,5,2,1,3,2,2,1,,1,,,5,,,,1,"Abeykoon, Nimali C","Igie, Nosakhare F","Gull, Humera",,,,nxa124430,nimali abeykoon,General Chemistry Laboratory II 
CHEM,1311,0U1,8,2,6,8,8,4,3,1,3,,1,,6,,,,6,"Sra, Amandeep K","Nguyen, Trang",,,,,aks057000,amandeep sra,General Chemistry I 
CHEM,1312,0U1,2,4,3,4,9,17,8,15,9,4,11,,23,,,,3,"Huang, Yu","Rifat, Samia",,,,,yxh091220,yu huang,General Chemistry II 
