Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ECON,2301,002,6,24,10,10,23,9,6,15,5,3,7,1,6,,,,,5,"Ketsler, Luba","Fu, Nan",,,,,lxk010300,luba ketsler,Principles of Macroeconomics 
ECON,2301,003,17,23,9,2,16,3,2,10,2,,2,1,5,,,,,1,"Ketsler, Luba","Ghorbani, Elham",,,,,lxk010300,luba ketsler,Principles of Macroeconomics 
ECON,2302,001,19,31,11,5,3,5,4,5,3,,7,,1,,,,,0,"McElroy, Susan","Lu, Yundi","Zhang, Jinglun",,,,skm028000,susan mcelroy,Principles of Microeconomics 
ECON,2302,002,10,44,16,6,8,1,2,3,,,4,,1,,,,,0,"McElroy, Susan","Lu, Yundi","Zhang, Jinglun",,,,skm028000,susan mcelroy,Principles of Microeconomics 
ECON,2302,003,,10,2,6,10,3,2,5,2,,,2,2,,,,,1,"Morgan, Lynn A",,,,,,lam180002,lynn morgan,Principles of Microeconomics 
ECON,2302,501,1,34,26,15,5,,2,2,,,,,9,,,,,1,"Luo, Siyuan",,,,,,sxl190017,,Principles of Microeconomics 
ECON,3310,002,5,6,7,4,1,1,6,2,3,1,1,2,3,,,,,2,"Hedlund, Jonas","Huang, Jiaxing",,,,,jxh180030,jonas hedlund,Intermediate Microeconomic Theory 
ECON,3310,501,10,2,1,4,,,,2,,,,,,,,,,1,"Clement, Nan Z",,,,,,nxz160030,nan clement,Intermediate Microeconomic Theory 
ECON,3311,001,2,6,1,2,5,2,2,,,,,,,,,,,0,"Valcarcel, Victor J",,,,,,vjv150130,victor valcarcel,Intermediate Macroeconomic Theory 
ECON,3311,002,12,8,14,1,2,3,1,,,,,,,,,,,3,"Panovska, Irina","Bing, Yuanchen",,,,,ixp190001,irina panovska,Intermediate Macroeconomic Theory 
ECON,3315,501,5,5,7,3,7,,3,2,4,,,,1,,,,,2,"Beron, Kurt","Choi, Soohyun",,,,,kberon,kurt beron,Sports Economics 
ECON,3330,001,5,29,10,6,15,1,1,4,,,1,,2,,,,,1,"Ketsler, Luba",,,,,,lxk010300,luba ketsler,Economics of Health 
ECON,3330,002,4,29,9,10,14,1,1,2,,,1,,2,,,,,1,"Ketsler, Luba",,,,,,lxk010300,luba ketsler,Economics of Health 
ECON,3337,001,6,20,6,1,8,3,,,,,,,,,,,,1,"McElroy, Susan","Lu, Yundi","Zhang, Jinglun",,,,skm028000,susan mcelroy,Economics of Poverty and Inequality 
ECON,4301,001,11,18,1,2,6,1,1,2,1,1,2,1,1,,,,,0,"Siqueira, Kevin J","Faundez Madariaga, Sebastian Carlos",,,,,kjs064000,kevin siqueira,Game Theory 
ECON,4320,001,3,2,7,5,4,9,7,,,,2,,,,,,,1,"Giertz, Seth","Barua Soni, Prajyna P",,,,,sxg154831,seth giertz,Public Sector Economics 
