Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Total W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ED,4351,001,6,6,5,1,,1,,,1,,,,,0,"Davis, Renee",,,,,,rrd160530,renee davis,ESL for K-12 Teachers 
HONS,3199,HN9,8,8,2,1,1,,,,,,,,,0,"Brunell, Valerie A",,,,,,vab061000,,Collegium V Honors Readings 
BUAN,6320,0W1,,7,4,1,1,2,2,1,,,,,,2,"Cavusoglu, Huseyin","Jayaraman, Jayanth",,,,,huseyin,huseyin cavusoglu,Database Foundations for Business Analytics 
ITSS,4381,501,4,7,2,1,2,,,2,,,,,,2,"Narayanasami, Priya","Tran, Quan T",,,,,pxn173330,priya narayanasami,Object Oriented Programming with Python 
MKT,4370,001,7,11,1,1,,,,,,,,,,0,"Egeland, Rita E",,,,,,rxb154430,rita bargerhuff egeland,Marketing Projects 
BIOL,3162,003,1,1,3,4,2,1,1,2,3,1,1,,,0,"Candas, Mehmet",,,,,,candas,mehmet candas,Biochemistry Workshop II 
BIOL,5375,001,,4,5,3,4,1,1,2,,,,,,0,"Liu, Li","Pan, Jing",,,,,lliu,,Genes to Genomes 
CHEM,2401,001,,5,6,,,1,2,3,,,,1,2,0,"Dissanayake, Dushanthi S","Tian, Yafen",,,,,dxd122030,dushanthi dissanayake,Introductory Quantitative Methods in Chemistry 
CHEM,2401,002,,4,4,5,4,1,1,1,,,,,,0,"Pantano, Paul",,,,,,pantano,paul pantano,Introductory Quantitative Methods in Chemistry 
CHEM,3472,004,,3,1,1,3,3,1,,3,1,,1,3,0,"Qin, Yanping","Lumata, Jenica","Franciskovich, Matthew R","Cue, John Michael","Lin, Jason",,yxq083000,yanping qin,Instrumental Analysis 
CRWT,3330,001,,2,9,2,3,,,,,,,,,4,"Vincent, Shelby D",,,,,,sdv034000,shelby vincent,Translation Workshop 
CS,3341,HON,5,4,5,3,1,2,,,,,,,,0,"Haas, Zygmunt J",,,,,,zjh130030,zygmunt haas,Probability and Statistics in Computer Science and Software Engineering 
FIN,6325,501,,9,,,9,,,1,,,,,,1,"Smith, Kenneth L",,,,,,kls110030,ken smith,Macroeconomics and Financial Markets 
FIN,4307,001,3,6,11,,,,,,,,,,,0,"Furst, Jack D","Kadiwala, Shermin R",,,,,jdf170030,jack furst,Private Equity 
BMEN,1100,108,6,3,1,3,3,,,1,2,1,,,,0,"Myers, Kathleen","Dsouza, Tania M",,,,,kxm156530,kathleen myers,Introduction to Bioengineering I 
COMM,1311,0W8,4,6,3,1,3,,2,1,,,,,1,0,"Honea, Emily",,,,,,exh150830,emily honea,
HIST,2330,HN1,,12,6,1,,,,,,,,,1,1,"Wright, Ben",,,,,,bxw151330,ben wright,Themes and Ideas in American History 
LIT,3319,002,2,7,1,4,,2,,,1,,,,3,1,"Starnaman, Sabrina",,,,,,sxs090100,sabrina starnaman,Contexts 
ATCM,2320,001,,1,3,4,5,2,1,2,,,,1,1,1,"Imaoka, Laura",,,,,,lxi170030,laura imaoka,Critical Media Research Foundations 
ATCM,3369,001,,19,,,1,,,,,,,,1,0,"Evans, Monica J",,,,,,mevans,monica evans,Games and Narrative I 
ACN,6330,001,,14,2,3,,,,2,,,,,,0,"O'Toole, Alice J",,,,,,otoole,alice otoole,Cognitive Science 
ACN,6340,001,,10,4,4,2,1,,,,,,,,0,"McWilliams, Steven P",,,,,,sxm127330,steven mcwilliams,Cellular Neuroscience 
ACN,6V81,003,,10,,,9,,,1,,,,,1,0,"Sultana, Rukhsana",,,,,,rxs170431,rukhsana sultana,Special Topics in Applied Cognition and Neuroscience 
CLDP,3339,001,,4,1,,7,,,5,,,1,,3,0,"Huxtable-Jester, Karen J",,,,,,kxh014900,karen huxtable jester,Educational Psychology 
BMEN,3130,101,7,7,4,1,,2,,,,,,,,0,"Porter, Benjamin A","Javed, Kulsoom",,,,,bap061000,benjamin porter,Engineering Physiology Laboratory 
BMEN,3315,001,,6,1,3,7,,,2,1,,1,,,0,"Schmidtke, David W","Nguyen, Christopher K",,,,,dws140430,david schmidtke,Thermodynamics and Physical Chemistry in Biomedical Engineering 
CE,3302,002,2,,3,,1,3,1,3,1,,3,,3,1,"Busso Recabarren, Carlos A","Lin, Wei-Cheng",,,,,cxb093000,carlos busso,Signals and Systems 
CE,4390,001,,4,1,1,7,1,2,1,1,,,,3,0,"Nguyen, Nhut","Kobayashi, Hideo",,,,,nhutnn,nhut nguyen,Computer Networks 
EE,4388,001,,17,,2,2,,,,,,,,,0,"Tacca, Marco","Abousaba, Mohammad F",,,,,mtacca,marco tacca,Senior Design Project I 
EE,4388,002,,15,2,2,,1,,1,,,,,,0,"Tacca, Marco","Xiong, Jiu",,,,,mtacca,marco tacca,Senior Design Project I 
EESC,6349,001,,5,4,6,5,,,,,,,,1,0,"Minn, Hlaing","Han, Dong",,,,,hxm025000,hlaing minn,Probability  Random Variables  and Statistics 
MECH,4110,105,,7,2,3,6,1,,2,,,,,,0,"Koeln, Justin P","Li, Changyuan",,,,,jpk170130,,Systems and Controls Laboratory 
MECH,4382,002,,3,7,3,6,1,,1,,,,,,0,"Hart, Robert A","Little, Ryan C","Upasham, Sayali S",,,,rxh124630,robert hart,Senior Design Project II 
SE,6329,001,,11,2,2,3,1,,,,,,,1,1,"Zalila-Wenkstern, Rym","Zhu, Chang",,,,,rmili,rym zalila wenkstern,Object-Oriented Software Engineering 
AMS,2341,HN1,,10,4,2,3,1,,,,,,,1,0,"Smith, Erin",,,,,,erins,erin smith,American Studies for the Twenty-First Century 
ED,4363,001,,11,4,1,1,2,,,,,,,1,1,"Leek, Patricia A",,,,,,santine,patricia leek,Reading II ELAR Methods 
HLTH,4306,002,,4,3,2,1,3,1,2,1,,2,,2,0,"Savard, Ryan R",,,,,,rrs170330,ryan savard,Health and Sport 
BPS,6310,CH1,,16,,4,1,,,,,,,,,0,"Gustin, Jan D",,,,,,,jan gustin,
BUAN,6337,SW1,,4,3,5,7,2,,,,,,,,0,"Subramanian, Upender","Saremi, Ehsan","Lee, Ga Hyun",,,,uxs092000,upender subramanian,
BUAN,6347,501,,21,,,,,,,,,,,,0,"Perez, Jerry",,,,,,jxp180019,jerry perez,Advanced Big Data Analytics 
BUAN,6398,SS1,,13,,4,3,1,,,,,,,,0,"Alimirzaei, Athena","Darakh, Krishna G",,,,,axa134231,athena alimirzaei,
FIN,3320,012,,2,1,2,1,3,1,1,1,,4,1,2,2,"Rebello, Michael J",,,,,,mjr071000,michael rebello,Business Finance 
MECO,6303,502,,2,5,4,2,3,4,,,,,,,1,"Kiser, Stephen L","Kadiwala, Shermin R",,,,,slk012100,stephen kiser,Business Economics 
OPRE,6301,003,,13,,2,2,3,1,,,,,,,0,"Ahadi, Khatereh","Egbedi, Jeffrey C",,,,,kxa180010,khatereh ahadi,Statistics and Data Analysis 
RMIS,4331,001,2,3,2,4,4,1,1,1,,,3,,,0,"Richardson, Debra L",,,,,,dlr150330,debra richardson,Business Liability Risk Management and Insurance 
BIOL,2281,315,,3,6,4,2,4,1,,1,,,,,0,"Braitsch, Caitlin M","Buyukkahraman, Gozde",,,,,cmb170830,,Introductory Biology Laboratory 
BIOL,3380,301,1,2,5,4,2,3,1,,1,,1,,,1,"Pan, Jing","Srinivas, Anagha",,,,,jxp134330,jing pan,Biochemistry Laboratory 
BIOL,3380,309,,1,8,1,1,4,3,2,1,,,,,0,"Braitsch, Caitlin M","Chen, Hao",,,,,cmb170830,,Biochemistry Laboratory 
BIOL,4380,302,3,5,,2,4,4,1,1,,,,,,1,"Sadat, Eva","Parekh, Trusha",,,,,exs190014,eva sadat,Cell and Molecular Biology Laboratory 
CHEM,1111,121,2,8,4,2,2,,,,,,,,2,1,"Dissanayake, Dushanthi S","Nguyen, Trang",,,,,dxd122030,dushanthi dissanayake,General Chemistry Laboratory I 
MATH,1306,002,3,3,5,1,2,1,2,,1,,1,,1,1,"Sutton, Julie","Kasmaie, Behshid","Ahmed, Faisal",,,,jxs158030,julie sutton,College Algebra for the Non-Scientist 
UNIV,1100,003,3,7,2,,2,2,2,,1,,,,,2,"Welgehausen, Eric C",,,,,,ericw,,Freshman Seminar - Undeclared 
BIOL,2281,313,1,5,8,4,2,,,,,,,,,0,"Mehta, Iti","Gadhvi, Jashkaran G",,,,,ixm121430,iti mehta,Introductory Biology Laboratory 
BIOL,3380,302,,4,2,2,1,7,1,,1,,1,,,1,"Rippel, Scott A","Mehmood, Asad J",,,,,rippel,scott rippel,Biochemistry Laboratory 
COMM,1315,0W2,2,2,4,4,4,3,2,,,,,,,0,"Warren, Jason L",,,,,,jxw174630,jason warren,
PA,6311,501,,19,1,,,,,,,,,,,1,"McCaskill, John R",,,,,,jrm094020,john mccaskill,Public Management 
PSCI,6316,501,,12,2,2,4,1,,,,,,,,0,"Peinhardt, Clint W",,,,,,cwp052000,clint peinhardt,International Organizations 
ENTP,4360,001,2,7,8,2,,2,,,,,,,,0,"Choi, Emily",,,,,,exc113230,emily choi,Innovation and Creativity 
ARHM,1100,302,8,5,1,1,1,1,,1,,1,,,3,0,"Gray, Megan L",,,,,,mlg105020,megan gray,First Year Seminar 
COMM,1311,027,1,7,5,1,,2,2,1,1,,,,1,1,"Carlson, Eric B",,,,,,ebc051000,eric carlson,Survey of Oral and Technology-based Communication 
COMM,1311,0W4,3,6,7,1,3,,,2,,,,,,0,"Templeton, Allison A",,,,,,aam141730,allison templeton,
COMM,1311,505,1,6,3,1,2,2,2,1,2,,1,,1,0,"Moss, Daniel J",,,,,,djm161130,daniel moss,Survey of Oral and Technology-based Communication 
COMM,1311,5W1,2,5,2,6,1,,,,1,,,,4,1,"Honea, Emily",,,,,,exh150830,emily honea,Survey of Oral and Technology-based Communication 
COMM,1311,5W3,9,7,2,1,2,,,,,,,,1,0,"Gregory, Mona Y",,,,,,myg140030,mona gregory,Survey of Oral and Technology-based Communication 
HIST,3344,501,,2,3,4,,1,2,3,2,,,1,3,1,"Dennis, Patrick W",,,,,,pdennis,patrick dennis,History of Science in Europe 
HIST,4382,001,2,4,7,4,1,,1,,,,,,3,0,"Admiral, Rosemary",,,,,,rxa170011,rosemary admiral,Topics in Middle Eastern History 
HUAS,6339,501,,22,,,,,,,,,,,,0,"Pomara, John",,,,,,pomara,john pomara,Painting Digital Imaging Video 
LIT,2331,001,3,8,3,3,2,2,,,,,,,1,0,"Johnson, Ryan L",,,,,,rlj160230,ryan johnson,Introduction to World Literature 
THEA,2372,001,,18,2,,2,,,,,,,,,0,"Lingo, Kathy A",,,,,,klingo,kathy lingo,Improvisation 
ATCM,3365,501,,16,,5,,,,,,,,,1,0,"Stewart, Michael C",,,,,,mxs128231,michael stewart,Game Design I 
ATCM,4317,001,,22,,,,,,,,,,,,0,"McComber, Sean",,,,,,sxm129130,sean mccomber,Animation Lab II 
ATCM,4376,001,,22,,,,,,,,,,,,0,"Lewis, Timothy M",,,,,,tml062000,timothy lewis,Game Production Lab I 
ACN,6312,003,,11,2,,,3,2,1,,,,,1,2,"Juhn, Nancy H","Austin, Kathryn A","Meldrum, Shelia",,,,njuhn,nancy juhn,Research Methods in Behavioral and Brain Sciences - Part I 
CGS,3361,001,12,,,1,3,,1,4,1,,,,,0,"Roark, Dana A","Zuppichini, Mark D","Batchalli Maruthy, Gayathri",,,,danar,dana roark,Cognitive Psychology 
COMD,7336,001,,22,,,,,,,,,,,,0,"Rollins, Pamela R",,,,,,rollins,pam rollins,Social Communication in Early Childhood Disorders 
PSY,3393,001,5,6,5,1,1,1,,,,,2,,1,0,"Schwark, Gayle","Winter-Nelson, Ezra",,,,,gxs180015,gayle schwark,Experimental Projects in Psychology 
PSY,4377,001,6,11,1,1,,1,,,,,,,,2,"Stilwell, John Q",,,,,,stilwell,john stilwell,Conflict Resolution 
BMEN,1100,101,7,3,3,2,2,1,1,1,,,,,2,0,"Meyer, Clark A","Chaudhary, Sugandha",,,,,cam140130,clark meyer,Introduction to Bioengineering I 
BMEN,1100,103,4,3,1,1,2,2,1,2,,,3,,3,0,"Porter, Benjamin A","Ambike, Iravati M",,,,,bap061000,benjamin porter,Introduction to Bioengineering I 
BMEN,1100,104,7,2,4,4,3,1,,,,,,,1,0,"Porter, Benjamin A","Jones, Rachel F","Dsouza, Tania M","Ambike, Iravati M",,,bap061000,benjamin porter,Introduction to Bioengineering I 
BMEN,1100,106,9,4,4,1,2,,,,,,,1,1,0,"Myers, Kathleen","Chuang, Ping-Ju",,,,,kxm156530,kathleen myers,Introduction to Bioengineering I 
BMEN,1100,107,5,4,3,1,2,1,,2,2,1,,,1,0,"Myers, Kathleen","Chaudhary, Sugandha",,,,,kxm156530,kathleen myers,Introduction to Bioengineering I 
BMEN,3130,102,5,5,6,3,,1,1,,,,,,1,0,"Porter, Benjamin A","Javed, Kulsoom",,,,,bap061000,benjamin porter,Engineering Physiology Laboratory 
BMEN,4110,105,5,6,4,2,1,1,,1,,,,,1,1,"Pacheco, Joe","Abraham, Alejandro","Raut, Saurabh Vikas",,,,jxp142030,,Biomedical Feedback Systems Laboratory 
BMEN,4389,001,,3,10,8,1,,,,,,,,,0,"Polk, Todd W","Upasham, Sayali S",,,,,twp017000,todd polk,Senior Design Project II 
BMEN,6351,001,,16,6,,,,,,,,,,,0,"Prasad, Shalini",,,,,,sxp118230,shalini prasad,Biomedical Microdevices 
CE,4304,501,,9,,,8,,,2,,,1,,2,0,"Hu, Yang","Wang, Jianda",,,,,yxh177430,yang hu,Computer Architecture 
CS,6301,002,,5,4,3,7,1,,,,,,,2,0,"Hamlen, Kevin","Duan, Jun",,,,,kxh060100,kevin hamlen,Special Topics in Computer Science 
CS,6375,004,,10,8,3,,,,,,,,,,1,"Maung, Crystal","Wan, Guihong","He, Baokun",,,,ktm016100,crystal maung,Machine Learning 
EE,3320,502,2,7,2,2,,2,2,,2,1,1,1,,0,"Nikoubin, Tooraj","Salimath, Vibhav Kumarswami",,,,,txn190011,tooraj nikoubin,Digital Circuits 
EE,4304,501,,13,,,5,,,3,,,,,1,0,"Hu, Yang","Wang, Jianda",,,,,yxh177430,yang hu,Computer Architecture 
EECT,6325,001,,1,6,11,4,,,,,,,,,0,"Sechen, Carl","Hu, Bo","Salimath, Vibhav Kumarswami",,,,cms057000,carl sechen,VLSI Design 
MECH,2120,104,7,9,1,4,1,,,,,,,,,0,"Minary-Jolandan, Majid","Zhang, Runyu",,,,,mxm124631,majid minary,Mechanics of Materials Laboratory 
MECH,3115,101,,11,6,5,,,,,,,,,,0,"Ouyang, Hui","Lee, Sanghun",,,,,hxo150330,hui ouyang,Fluid Mechanics Laboratory 
MECH,3115,106,,18,,4,,,,,,,,,,0,"Ouyang, Hui","Sarma, Jyotirmoy",,,,,hxo150330,hui ouyang,Fluid Mechanics Laboratory 
MECH,4110,102,1,1,3,3,12,1,,1,,,,,,0,"Koeln, Justin P","Jafarzadeh, Mohsen",,,,,jpk170130,,Systems and Controls Laboratory 
MECH,6374,001,,7,4,4,4,1,,2,,,,,,0,"Qin, Zhenpeng",,,,,,zxq140530,zhenpeng qin,Conductive and Radiative Heat Transfer 
PA,6313,501,,22,,,,,,,,,,,,0,"Benavides, Teodoro J",,,,,,tjb051000,teodoro benavides,Public Policymaking and Institutions 
ACCT,6331,SS1,,8,6,1,3,,,,,,,,,4,"Janakiraman, Surya","Zhang, Yang",,,,,suryaj,surya janakiraman,
BPS,6310,501,,5,4,4,7,2,,,,,,,,0,"Lin, Zhiang","Leete, Ashley",,,,,zlin,john zhiang lin,Strategic Management 
BUAN,6398,004,,8,2,5,6,1,,,,,,,,0,"Sethi, Awanti","Gokcinar, Abdullah H",,,,,asethi,awanti sethi,Prescriptive Analytics 
FIN,3305,502,,6,1,,2,3,,4,2,,1,2,1,0,"Guttery, Randall",,,,,,rxg112530,randall guttery,Real Estate Principles 
MIS,6204,591,,9,9,4,,,,,,,,,,0,"Mookerjee, Vijay",,,,,,vijaym,vijay mookerjee,Information Technology for Management 
MKT,6301,PS1,,21,,1,,,,,,,,,,0,"Munch, James",,,,,,,james munch,
OPRE,6341,0W1,,6,7,5,2,,1,,,,,,,1,"Honhon, Dorothee B","Stalvey, Shelly",,,,,dbh130130,dorothee honhon,Retail Operations 
RMIS,4334,001,7,,1,1,,1,1,2,4,1,1,1,1,1,"Kaplan, Larry S",,,,,,lsk140130,larry kaplan,Insurance Law and Contracts 
BIOL,2281,302,2,1,9,2,2,1,1,,2,2,,,,0,"Lin, Wen J","Moore, Dalton E",,,,,wenju,wen ju lin,Introductory Biology Laboratory 
BIOL,2281,307,3,4,6,2,2,1,1,1,1,,1,,,0,"Braitsch, Caitlin M","Ratevosyan, Richard",,,,,cmb170830,,Introductory Biology Laboratory 
BIOL,3380,303,1,2,4,3,3,2,1,,1,2,,,2,1,"Rippel, Scott A","Mehmood, Asad J",,,,,rippel,scott rippel,Biochemistry Laboratory 
BIOL,3380,304,,3,3,5,3,1,,3,,1,2,1,,0,"Pickett, Elizabeth A","Sawant, Namrata V",,,,,eaw016100,elizabeth pickett,Biochemistry Laboratory 
BIOL,3380,305,2,5,4,5,2,4,,,,,,,,0,"Pan, Jing","Mazambani, Simbarashe",,,,,jxp134330,jing pan,
BIOL,3380,306,1,3,10,3,1,,2,,,,1,,,1,"Pan, Jing","Mazambani, Simbarashe",,,,,jxp134330,jing pan,Biochemistry Laboratory 
BIOL,3380,307,2,5,3,,3,3,1,1,1,1,,,2,0,"Rippel, Scott A","Srinivas, Anagha",,,,,rippel,scott rippel,Biochemistry Laboratory 
BIOL,3380,308,2,1,5,2,3,,,1,2,1,1,1,2,1,"Pickett, Elizabeth A","Sawant, Namrata V",,,,,eaw016100,elizabeth pickett,Biochemistry Laboratory 
BIOL,5376,501,,2,4,10,6,,,,,,,,,0,"Xuan, Zhenyu",,,,,,zxx091000,,Applied Bioinformatics 
GEOS,3421,001,,7,7,3,3,,,2,,,,,,0,"Griffin, William R","Newman, Jordan W","Willis, Siloa B",,,,griffin,william griffin,Stratigraphy and Sedimentology 
GEOS,3464,001,,2,5,3,6,3,1,2,,,,,,0,"Griffin, William R","Newman, Jordan W",,,,,griffin,william griffin,Igneous and Metamorphic Petrology 
MATH,2413,006,1,2,3,5,3,1,2,1,1,1,,,2,0,"Mussa, Derege",,,,,,dxm146130,derege mussa,Differential Calculus 
NATS,4341,001,,5,7,4,6,,,,,,,,,0,"Donaldson, Katherine E","York, Megan",,,,,ked013100,katie donaldson,Project-Based Instruction 
BIOL,2281,311,5,7,5,2,1,1,,,,,,,,0,"Pickett, Elizabeth A","Gadhvi, Jashkaran G",,,,,eaw016100,elizabeth pickett,Introductory Biology Laboratory 
BIOL,2281,304,2,2,,3,3,2,3,3,2,,,1,,1,"Braitsch, Caitlin M","Do, Hung P",,,,,cmb170830,,Introductory Biology Laboratory 
PSY,3355,001,,3,3,1,,2,4,3,2,,,1,,3,"Grohman, Magdalena G",,,,,,mgg092000,magdalena grohman,Psychology of Creativity 
EE,3320,501,7,3,2,,2,2,3,,,1,,,2,0,"Cogan, Diana L","Wang, Zi","Wang, Yifan",,,,dcc095020,diana cogan,Digital Circuits 
EEDG,6370,001,,3,4,4,10,1,,,,,,,,0,"Bhatia, Dinesh","Goswami, Pingakshya",,,,,dinesh,dinesh bhatia,Design and Analysis of Reconfigurable Systems 
EPPS,6313,502,,12,4,3,3,,,,,,,,,0,"Palao Mendizabal, Agustin","Islam, Iftekhairul",,,,,axp121731,agustin mendizabal,Introduction to Quantitative Methods 
ACCT,4301,501,1,2,2,5,2,6,,3,,1,,,,0,"Hagen, John C","Rajendran, Adityan",,,,,jch013200,john hagen,Database Systems 
ARHM,1100,301,3,9,1,,2,1,,,2,,,1,3,1,"Gray, Megan L",,,,,,mlg105020,megan gray,First Year Seminar 
COMM,1311,002,,1,6,4,6,1,,2,,1,,1,,1,"Baker, Barbara L",,,,,,blb140430,barbara baker,Survey of Oral and Technology-based Communication 
COMM,1311,003,8,5,4,1,3,,1,,,1,,,,0,"Totusek, Patricia F",,,,,,pft140030,patricia totusek,Survey of Oral and Technology-based Communication 
COMM,1311,004,6,3,5,2,3,1,1,2,,,,,,0,"Arnold, Bob",,,,,,bxa161430,bob arnold,Survey of Oral and Technology-based Communication 
COMM,1311,009,18,3,1,,,1,,,,,,,,0,"Vazzi, Lisa",,,,,,lxv160630,lisa vazzi,Survey of Oral and Technology-based Communication 
COMM,1311,011,9,5,4,2,1,1,,,,,,,1,0,"Krishnaswamy, Nandini",,,,,,nxk176230,,Survey of Oral and Technology-based Communication 
COMM,1311,015,13,5,3,1,,,,,,,,,,1,"Arnold, Bob",,,,,,bxa161430,bob arnold,Survey of Oral and Technology-based Communication 
COMM,1311,022,7,6,4,2,,,2,,,,,,2,0,"Totusek, Patricia F",,,,,,pft140030,patricia totusek,Survey of Oral and Technology-based Communication 
COMM,1311,023,8,8,3,1,1,,,1,,,,,1,0,"Totusek, Patricia F",,,,,,pft140030,patricia totusek,Survey of Oral and Technology-based Communication 
COMM,1311,024,9,2,1,1,1,,1,,,,,,7,1,"Krishnaswamy, Nandini",,,,,,nxk176230,,Survey of Oral and Technology-based Communication 
COMM,1311,026,11,3,2,1,2,2,,,,,,,2,0,"Aranda, Johnson",,,,,,jxa190020,johnson aranda,Survey of Oral and Technology-based Communication 
COMM,1311,0W3,,2,2,4,3,3,4,2,1,,,,1,1,"Baker, Barbara L",,,,,,blb140430,barbara baker,
COMM,1311,0W5,3,8,2,4,2,1,,1,1,,,,,1,"Templeton, Allison A",,,,,,aam141730,allison templeton,
COMM,1311,0W6,5,12,4,2,,,,,,,,,,0,"Tanner, Lari J",,,,,,ljt130130,lari tanner,
COMM,1311,0W9,9,7,2,1,2,1,1,,,,,,,0,"Honea, Emily",,,,,,exh150830,emily honea,
COMM,1311,504,8,6,3,3,2,,,,,,,,1,0,"Juarez, Veronica",,,,,,vxj161430,veronica juarez,Survey of Oral and Technology-based Communication 
COMM,1311,506,2,4,4,2,2,2,2,1,1,2,,,1,0,"Williams, Alecia N",,,,,,axw124630,alecia williams,Survey of Oral and Technology-based Communication 
COMM,1311,509,4,8,3,,3,1,2,,,,,,1,1,"Juarez, Veronica",,,,,,vxj161430,veronica juarez,Survey of Oral and Technology-based Communication 
COMM,1311,5W9,10,11,1,,,,,,,,1,,,0,"Vazzi, Lisa",,,,,,lxv160630,lisa vazzi,Survey of Oral and Technology-based Communication 
FILM,2332,HN1,7,5,7,4,,,,,,,,,,0,"McLean, Adrienne L",,,,,,amclean,adrienne mclean,Understanding Film 
HIST,3327,001,1,5,10,2,1,1,,,,,,,1,2,"Gossin, Pamela",,,,,,psgossin,pamela gossin,Perspectives on Science 
LIT,2331,002,,12,6,1,1,,,1,,,,,1,1,"Siddiqui, Farah",,,,,,fxs121830,farah siddiqui,Introduction to World Literature 
LIT,3330,501,7,4,,2,2,,1,3,,,,,4,0,"Lambert, Thomas M",,,,,,tml017100,thomas lambert,Linguistics 
MUSI,3185,001,,22,,,1,,,,,,,,,0,"Palant, Jonathan",,,,,,jxp170230,jonathan palant,Chamber Singers I 
NSC,3361,005,3,1,5,,5,3,2,1,,,,,3,0,"McWilliams, Steven P",,,,,,sxm127330,steven mcwilliams,Introduction to Neuroscience 
PSY,3393,002,2,10,1,,2,,1,6,,,,,1,0,"Dowling, Walter J","Abdelkarim, Dema H",,,,,jdowling,walter j dowling,Experimental Projects in Psychology 
BMEN,1100,102,7,3,4,3,,2,2,,,,1,,1,0,"Meyer, Clark A","Chuang, Ping-Ju",,,,,cam140130,clark meyer,Introduction to Bioengineering I 
BMEN,1100,105,4,8,2,1,2,1,1,,,,1,,3,0,"Porter, Benjamin A","Ambike, Iravati M",,,,,bap061000,benjamin porter,Introduction to Bioengineering I 
BMEN,3120,103,4,9,2,4,1,2,,1,,,,,,0,"Ali, Tariq M",,,,,,tma051000,tariq ali,Biomedical Circuits and Instrumentation Laboratory 
BMEN,4110,101,6,8,4,1,1,,1,1,,,1,,,0,"Ardestani Khoubrouy, Soudeh","Raut, Saurabh Vikas","Abraham, Alejandro",,,,sxa074200,soudeh khoubrouy,Biomedical Feedback Systems Laboratory 
BMEN,4110,103,8,9,4,,1,1,,,,,,,,0,"Ardestani Khoubrouy, Soudeh","Raut, Saurabh Vikas","Abraham, Alejandro",,,,sxa074200,soudeh khoubrouy,Biomedical Feedback Systems Laboratory 
CE,4388,001,,17,2,2,2,,,,,,,,,0,"Tacca, Marco","Abousaba, Mohammad F",,,,,mtacca,marco tacca,Senior Design Project I 
CE,4388,002,,17,1,,5,,,,,,,,,0,"Tacca, Marco","Xiong, Jiu",,,,,mtacca,marco tacca,Senior Design Project I 
EE,3320,002,1,1,2,2,1,1,1,3,4,3,,,2,2,"Balsara, Poras","Goswami, Pingakshya",,,,,poras,poras balsara,Digital Circuits 
EE,4361,001,1,1,1,1,3,2,4,2,,4,2,2,,0,"Panahi, Issa","Patel, Kashyap",,,,,imp015000,issa panahi,Introduction to Digital Signal Processing 
MECH,6325,001,,8,7,,3,2,,2,,,,,,1,"Moheimani, Seyed Omid Reza","Nikooienejad, Nastaran",,,,,sxm154130,,Optimal Estimation and Kalman Filter 
GOVT,2306,HN2,1,15,2,3,2,,,,,,,,,0,"Harpham, Edward",,,,,,harpham,edward harpham,State and Local Government 
ED,4358,0W1,3,7,1,2,5,1,,2,,,1,,1,0,"Root, Alexey",,,,,,aroot,alexey root,Chess I  Using Chess in Schools 
ACCT,6344,SS1,,7,,9,7,,,,,,,,,0,"Dai, Zhonglan",,,,,,zxd051000,zhonglan dai,
ACCT,6380,501,,9,1,4,6,2,,1,,,,,,0,"Mauriello, Joseph A","Truong, Timothy T",,,,,jam151430,joseph mauriello,Internal Audit 
BPS,6310,PS1,,4,2,3,8,4,1,1,,,,,,0,"Chasteen, Larry H",,,,,,chasteen,larry chasteen,
ENTP,3320,001,,3,4,3,12,,1,,,,,,,0,"Wright, Robert G",,,,,,rgw091000,robert wright,Start-up Launch I 
FIN,6307,SS1,,5,9,6,1,2,,,,,,,,0,"Ma, Liping","El-Ashmawi, Amal H",,,,,lxm133730,liping ma,
FIN,6318,SS1,,5,8,3,3,4,,,,,,,,0,"Xu, Yexiao","Kim, Sang Hyun",,,,,yexiaoxu,yexiao xu,
FIN,6325,SS1,,10,5,5,,3,,,,,,,,0,"Wynne, Mark",,,,,,,mark wynne,
IMS,6365,GW1,,5,4,5,7,1,,1,,,,,,0,"Katz, Lothar",,,,,,,lothar katz,
MIS,6337,001,,8,8,3,2,2,,,,,,,,0,"Mauriello, Joseph A","Truong, Timothy T",,,,,jam151430,joseph mauriello,Information Technology Audit and Risk Management 
MKT,4332,001,1,9,3,2,6,1,,,1,,,,,0,"Dover, Howard F",,,,,,hfd021000,howard dover,Advanced Personal Selling 
OPRE,6366,501,,7,2,3,9,1,,1,,,,,,0,"Leach, Sonia E","Behl, Shubhangini",,,,,sel120030,sonia leach,Global Supply Chain Management 
BIOL,2281,301,4,8,3,2,2,3,,,,,,,,1,"Mehta, Iti","Xia, Jing",,,,,ixm121430,iti mehta,Introductory Biology Laboratory 
BIOL,2281,305,1,3,5,4,4,2,3,1,,,,,,0,"Lin, Wen J","Easterwood, Shayne",,,,,wenju,wen ju lin,Introductory Biology Laboratory 
BIOL,2281,306,6,3,2,6,2,,3,,,,1,,,0,"Lin, Wen J","Easterwood, Shayne",,,,,wenju,wen ju lin,Introductory Biology Laboratory 
BIOL,2281,308,2,4,7,1,2,1,2,1,,,,1,2,0,"Lin, Wen J","Do, Hung P",,,,,wenju,wen ju lin,Introductory Biology Laboratory 
