Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Total W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ACCT,2301,005,11,4,8,7,5,11,5,3,3,3,,3,,0,"Files, Rebecca L","Wilson, Ravin M",,,,,rlf092000,rebecca files,Introductory Financial Accounting 
ACCT,2301,006,9,3,6,8,4,4,8,7,5,4,,2,2,1,"Files, Rebecca L","Wilson, Ravin M",,,,,rlf092000,rebecca files,Introductory Financial Accounting 
ACCT,2301,009,2,5,10,6,5,10,6,11,,1,,,5,2,"Markov, Stanimir","Ajayi, Olamiposi O",,,,,sxm079200,stanimir markov,Introductory Financial Accounting 
ACCT,6333,PP1,,31,3,,25,,,4,,,,,,0,"Zolton, Kathy","Gu, Dongdi",,,,,kxz121730,kathy zolton,Advanced Financial Reporting 
ITSS,4353,001,7,,4,15,16,14,2,2,1,,1,,,1,"Singla, Pardeep Kumar","Mehta, Utsav K",,,,,pxs126130,,Business Analytics 
OPRE,3333,001,6,9,6,7,5,6,6,4,2,4,3,2,3,0,"Enayaty Ahangar, Negin","Cha, Junwoo",,,,,nxe180001,negin enayaty ahangar,Quantitative Business Analysis 
MATH,4301,001,5,15,7,4,3,2,8,1,4,,1,6,6,1,"Dabkowski, Mieczyslaw K","Gelir, Fatih",,,,,mkd034000,mieczyslaw dabkowski,Mathematical Analysis I 
PSCI,4320,001,18,11,12,3,5,,,1,,1,1,,5,5,"Santoro, Lauren A","Dzanie, Raphael K",,,,,lar170530,lauren santoro,Political Psychology 
SPAU,3344,001,4,14,1,7,9,9,3,9,3,,1,1,2,0,"Powers, Katharine A","Eppes, Anna A",,,,,kap130730,katharine powers,Anatomy and Physiology of Speech and Hearing 
NSC,4359,501,10,42,,,9,,,1,,,1,,1,0,"Rypma, Bart P","Himes, Lyndahl M",,,,,bpr061000,bart rypma,Cognitive Neuroscience 
CS,2305,005,4,6,10,3,5,9,2,13,1,,1,,6,4,"Chitturi, Bhadrachalam",,,,,,chalam,chitturi bhadrachalam,Discrete Mathematics for Computing I 
CS,2336,501,8,23,12,5,6,,5,2,,,,,2,1,"Khan, Ziaullah",,,,,,kkhan,ziaullah khan,Computer Science II 
CS,5333,501,,15,18,14,7,5,,4,,,,,,1,"Chin, Wei-Pang",,,,,,wxc180013,wei pang chin,Discrete Structures 
CS,6301,502,,21,9,10,13,7,3,1,,,,,,0,"Redfern, Arthur","Mohammadpour, Somayeh","Zhao, Chen",,,,axr180074,arthur redfern,Special Topics in Computer Science 
ECS,1100,016,,48,2,6,2,1,3,,,,,,1,1,"Flores, Khaila",,,,,,kxf190005,,Introduction to Engineering and Computer Science 
SE,4351,001,6,6,6,4,4,5,7,11,6,8,,,1,0,"Chung, Lawrence","Ahn, Sung Soo",,,,,chung,lawrence chung,Requirements Engineering 
CS,1136,601,30,7,6,3,5,2,4,,,,,,6,2,"Vogel, Don G",,,,,,dgv130030,don vogel,Computer Science Laboratory 
CS,4337,501,22,9,6,6,7,4,4,1,1,,2,,3,0,"Karami, Gity","Ou, Yuzhe",,,,,gxk180009,gity karami,Organization of Programming Languages 
CS,4384,503,14,1,3,7,5,3,7,4,2,3,4,2,10,0,"Arnold, Gordon L","Chowdhury, Al Mehdi Saadat",,,,,gxa120930,gordon arnold,Automata Theory 
EE,1100,001,1,13,5,4,16,8,4,5,1,,3,,4,1,"Florence, James M","Taherkhani, Nima","Wang, Haokun","Pawaskar, Vaibhav Uttam","Salimath, Vibhav Kumarswami","Lin, Dayang",jmf130530,james florence,Introduction to Electrical Engineering 
ACCT,6374,PPA,,15,19,22,9,,,,,,,,,0,"Mauriello, Joseph A",,,,,,jam151430,joseph mauriello,Data Analytics for Accountants and Auditors 
OPRE,3310,008,4,8,3,10,8,9,5,9,2,2,1,1,3,0,"Subramoniam, Ramesh","Pandita, Binny",,,,,rxs179630,ramesh subramoniam,Operations Management 
OPRE,3333,002,10,15,10,5,8,7,3,4,,,,1,1,1,"Oguzman, Neslihan","Birajdar, Namrata O",,,,,nxo170830,neslihan oguzman,Quantitative Business Analysis 
OPRE,3333,005,5,9,10,2,8,3,6,3,8,1,1,2,3,4,"Enayaty Ahangar, Negin","Epari, Sameera",,,,,nxe180001,negin enayaty ahangar,Quantitative Business Analysis 
MATH,2420,001,2,2,3,5,12,10,4,7,8,,4,,3,5,"Turi, Janos",,,,,,turi,janos turi,Differential Equations with Applications 
FILM,2332,502,5,6,3,5,10,5,7,7,5,1,3,,5,3,"Dillard, Clayton",,,,,,cxd190016,clayton dillard,Understanding Film 
HLTH,3310,001,6,18,5,7,6,6,2,1,1,1,,1,,3,"Duquaine-Watson, Jill M",,,,,,jmw087000,jillian duquaine watson,Health Care Issues  Global Perspectives 
CS,1337,002,10,8,,3,3,3,,,2,1,1,1,12,21,"Smith, Jason W",,,,,,jws130830,jason smith,Computer Science I 
FILM,1303,001,,35,14,8,1,3,,1,,,1,,2,1,"Biswas, Madhavi",,,,,,mxb128930,madhavi biswas,Transnational Film and Video 
COMD,6320,001,,65,,1,,,,,,,,,,0,"Aldridge, Michelle A","Kenedi, Helen",,,,,aldridge,michelle aldridge,Motor Speech Disorders 
BMEN,4310,002,6,12,24,17,5,,1,,,,,,,1,"Ren, Yao","Kang, Taek",,,,,yxr180008,yao ren,Feedback Systems in Biomedical Engineering 
CS,2305,001,6,10,6,3,11,5,4,7,3,1,4,3,2,1,"Feng, Ranran",,,,,,rxf090020,ranran feng,Discrete Mathematics for Computing I 
CS,2336,006,40,6,4,1,4,2,1,,1,,,1,5,1,"Nouroz Borazjany, Mehra",,,,,,mxn143230,mehra borazjany,Computer Science II 
CS,4337,503,20,4,4,8,4,7,3,1,4,,6,,4,1,"Karami, Gity","Chung, Yu-Yen",,,,,gxk180009,gity karami,Organization of Programming Languages 
CS,4347,001,9,8,14,8,7,3,6,4,5,1,,,1,0,"Christiansen, Michael G","Mukherjee, Kunal","Chung, Yu-Yen",,,,mgc013000,michael christiansen,Database Systems 
CS,4393,001,6,21,15,4,3,6,3,2,3,,1,,1,1,"Nguyen, Nhut","Chen, Simin",,,,,nhutnn,nhut nguyen,Computer and Network Security 
ECS,1100,003,30,12,7,3,,2,1,,2,1,,2,6,0,"Edwards, Tanisha N",,,,,,txe120530,,Introduction to Engineering and Computer Science 
ISNS,2359,002,3,8,15,12,12,7,,2,3,,,,1,3,"Griffin, William R",,,,,,griffin,william griffin,Earthquakes and Volcanoes 
BMEN,3320,001,8,10,5,11,11,4,,5,2,,,,9,2,"Ali, Tariq M","Ramasamy, Mohanraj","Sanjuan Bermudez, Angelica",,,,tma051000,tariq ali,Electrical and Electronic Circuits in Biomedical Engineering 
