Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC,P,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
MECH,6314,001,,14,,,,,,,,,,,,,,1,0,"Spong, Mark W","Chavez, Maegan L",,,,,mws081000,mark spong,Engineering Systems  Modeling and Simulation 
MECH,6318,001,,25,4,8,2,,,,,,,,1,,,,0,"Zhang, Jie","Liu, Yuanzhi",,,,,jxz156730,jie zhang,Engineering Optimization 
MECH,6326,001,,6,,,2,1,,3,,,,,1,,,,1,"Summers, Tyler H",,,,,,ths150130,tyler summers,Optimal Control and Dynamic Programming 
MECH,6335,001,,3,3,3,1,,,,,,,,,,,3,0,"Stecke, Kathryn","Vu, Duc D",,,,,kes021000,kathryn stecke,Flexible Manufacturing Strategies 
MECH,6350,001,,23,8,6,2,,,,,,,,,,,,1,"Lu, Hongbing",,,,,,hxl101000,hongbing lu,Advanced Solid Mechanics 
MECH,6351,001,,12,9,1,1,1,1,2,,,,,,,,6,2,"Qian, Dong","Patel, Rhythm G",,,,,dxq120430,dong qian,Finite Element Techniques I 
MECH,6354,001,,5,4,4,,,,,,,,,,,,2,0,"Bernal Montoya, Rodrigo A",,,,,,rab160530,rodrigo bernal,Experimental Mechanics 
MECH,6370,001,,8,2,1,,1,,2,,,,,2,,,1,0,"Anderson, William C",,,,,,wca140030,william anderson,Incompressible Fluid Mechanics 
MECH,6374,001,,12,4,6,2,2,,1,,,,,,,,,0,"Qin, Zhenpeng",,,,,,zxq140530,zhenpeng qin,Conductive and Radiative Heat Transfer 
MECH,6375,001,,14,3,1,,,,,,,,,,,,,0,"Dai, Xianming",,,,,,xxd161630,xianming dai,Phase Change Heat Transfer 
MECH,6V29,002,,8,,,2,,,,,,,,,,,,2,"Koeln, Justin P",,,,,,jpk170130,,Special Topics in Dynamic Systems and Control 
MECH,7392,001,,6,2,,3,1,,,,,,,1,,,6,0,"Thamban, P.L.Stephan",,,,,,stephan,p l stephan thamban,Advanced Mathematics for Mechanical Engineers I 
MECO,4342,001,10,2,2,1,,,,,,,,,,,,,0,"Molina, Stephen","Wendel, Alexa P",,,,,sxm163630,stephen molina,Financial and Business Negotiation Analysis 
MECO,6303,001,,18,7,3,2,,,,,,,,,,,,1,"Siegenthaler, Simon","Josyula, Chandramouli Niranjan",,,,,sxs177933,simon siegenthaler,Business Economics 
MECO,6303,0W1,,13,3,6,6,2,1,1,,,,,,,,8,1,"Lewin, Peter","Josyula, Chandramouli Niranjan",,,,,plewin,peter lewin,Business Economics 
MECO,6303,MBP,,28,7,3,1,,,,,,,,,,,,0,"Siegenthaler, Simon","Josyula, Chandramouli Niranjan",,,,,sxs177933,simon siegenthaler,
MECO,6303,XS1,,10,15,3,,,,,,,,,1,,,,0,"Kiser, Stephen L",,,,,,slk012100,stephen kiser,
MECO,6345,001,,3,4,4,2,,,,,,,,,,,,1,"Hyndman, Kyle B",,,,,,tdp062000,kyle hyndman,Advanced Managerial Economics 
MECO,6V99,501,,9,1,,,,,,,,,,,,,,0,"Lewin, Peter","Villarreal, Pamela A",,,,,plewin,peter lewin,Special Topics in Managerial Economics 
MECO,7312,001,,13,3,3,1,1,,,,,,,,,,,2,"Chiong, Khai X",,,,,,kxc173030,khai chiong,Advanced Statistics and Probability 
MIS,6302,0W1,,22,,,,,,,,,,,,,,,0,"Majumdar, Sumit K","Mishra, Sailendra P",,,,,skm021100,sumit majumdar,Managing Digital Strategy 
MIS,6308,002,,11,18,13,3,2,,,,,,,,,,7,2,"Narasimhan, Prithi","Sripathy Hariprasath, Sukanyaa",,,,,pxn152330,prithi narasimhan,System Analysis and Project Management 
MIS,6308,0W1,,18,11,8,2,2,,,,,,,,,,16,2,"Raghunathan, Srinivasan","Zhang, Haozhao",,,,,sraghu,srinivasan raghunathan,System Analysis and Project Management 
MIS,6308,501,,12,18,13,1,2,,,,,,,,,,11,0,"Narasimhan, Prithi","Sripathy Hariprasath, Sukanyaa",,,,,pxn152330,prithi narasimhan,System Analysis and Project Management 
MIS,6309,001,,17,27,8,1,,,,,,,,,,,4,0,"Lahiri, Atanu","Bist, Sumit",,,,,axl144730,atanu lahiri,Business Data Warehousing 
MIS,6309,0W1,,5,3,4,2,,,,,,,,,,,1,1,"Bradbury, Judd D","Jethwani, Pallavi","Rathore, Khushboo",,,,jdb101000,judd bradbury,Business Data Warehousing 
MIS,6309,501,,10,9,3,3,,,,,,,,,,,8,0,"Islam, Naser","Bist, Sumit",,,,,nxi110630,naser islam,Business Data Warehousing 
MIS,6309,SW1,,4,1,2,1,,,,,,,,,,,3,1,"Bradbury, Judd D","Rathore, Khushboo","Jethwani, Pallavi",,,,jdb101000,judd bradbury,
MIS,6313,0W1,,17,,,17,,,3,,,,,,,,11,2,"Sarkar, Sumit","Sun, Kai",,,,,sumit,sumit sarkar,Managing IT in the Analytics Age 
MIS,6313,501,,24,10,,,,,,,,,,1,,,1,1,"Fuller, Tony F","Mishra, Sailendra P",,,,,tff170130,tony fuller,Managing IT in the Analytics Age 
MIS,6313,MBC,,28,13,7,,,,,,,,,,,,1,0,"Mookerjee, Vijay","Sun, Kai",,,,,vijaym,vijay mookerjee,
MIS,6313,MBP,,16,13,1,1,2,,,,,,,,,,6,0,"Hefley, William E","Bothra, Paawan",,,,,weh150130,william hefley,
MIS,6316,0W1,,6,2,1,,1,,,,,,,,,,3,0,"Menon, Syam","Chen, Luoying",,,,,sxm021300,syam menon,Data Communications 
MIS,6317,501,,5,1,1,1,,,,,,,,,,,2,0,"Ayvaci, Mehmet U","Zhang, Chenglong",,,,,mua120030,mehmet ayvaci,Healthcare Informatics 
MIS,6319,0W1,,16,,,1,,,,,,,,,,,,0,"Thompson, Luell O","Thakare, Anvay",,,,,lot013000,luell thompson,Enterprise Resource Planning with SAP 
