Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
NSC,4V90,003,16,4,,,,,,,,,,,,,,,,,"Zwierzchowski, Amy",,,,,,anz101020,amy zwierzchowski,Special Topics in Neuroscience 
NSC,4V90,0H1,15,1,,,,,,,,,,,,,,,,,"Kildebeck, Eric J","Oleksiak, Cecily",,,,,ejk018000,,Special Topics in Neuroscience 
NSC,4V95,001,,,,,,,,,,,,,,21,,,,,"Westmoreland, John",,,,,,dal188427,john westmoreland,Externship in Neuroscience 
NSC,4V98,005,,,,,,,,,,,,,,10,,,1,,"Gu, Zirong",,,,,,zxg230006,zirong gu,
NSC,4V98,020,,,,,,,,,,,,,,14,,,,,"Kroener, Sven",,,,,,sxk101000,sven kroener,
NSC,4V98,033,,,,,,,,,,,,,,16,,,,,"Thorn, Catherine A",,,,,,cat170002,catherine thorn,
NSC,4V98,059,,,,,,,,,,,,,,12,,,,,"Rodriguez, Christa M",,,,,,cmr067000,christa rodriguez,
OB,6152,XW1,,15,,,,,,,,,,,,,,,,,"Watts, Rebecca",,,,,,,rebecca watts,
OB,6248,CW1,,25,,,,,,,,,,,,,,,,,"Hicks, Robert F",,,,,,,robert hicks,
OB,6253,CW1,,,,,,,,,,,,,,,2,,,17,"Warner, Lizette",,,,,,,lizette warner,
OB,6301,001,,6,13,6,1,2,,,,,,,1,,,,,,"Hicks, Jeffrey N","Jadhav, Ankita K",,,,,jnh061000,jeffrey hicks,Organizational Behavior 
OB,6301,0W1,,35,11,2,2,3,1,,,,,,1,,,,1,,"Hasenhuttl, Maria","Hinze, Dawnielle C",,,,,h1562,maria hasenhuttl,Organizational Behavior 
OB,6301,0W2,,3,1,3,3,3,2,1,,,,,1,,,,,,"Hasenhuttl, Maria","Hinze, Dawnielle C",,,,,h1562,maria hasenhuttl,Organizational Behavior 
OB,6301,501,,15,19,6,3,4,1,2,,,,,,,1,,1,,"Hicks, Jeffrey N","Jadhav, Ankita K",,,,,jnh061000,jeffrey hicks,Organizational Behavior 
OB,6301,CW1,,28,4,2,,,,,,,,,,,,,1,,"Ghosh, Anne F",,,,,,,anne ghosh,
OB,6301,CW2,,27,2,,,,,,,,,,,,,,1,,"Bianco-Mathis, Virginia",,,,,,,virginia bianco mathis,
OB,6301,GW1,,11,13,1,,1,,2,,,,,2,,,,,,"Hicks, Jeffrey N",,,,,,jnh061000,jeffrey hicks,
