Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
AUD,7240,5U1,,13,,,,,,,,,,,,0,"Griffiths, Scott K",,,,,,skg180000,,Auditory Processing Disorders 
AUD,7325,5S1,,10,3,,,,,,,,,,,0,"Thibodeau, Linda K",,,,,,thib,linda thibodeau,Intensive Auditory Rehabilitation for Adult Hearing Loss 
HDCD,6370,0U1,,12,1,,,,,,,,,,,0,"Ewing, Donna M",,,,,,dme061000,donna ewing,Intervention with Young Children 
CS,1134,1U1,4,1,1,,2,,1,,1,,,,2,1,"Arnold, Gordon L","Zi, Yuxin",,,,,gxa120930,gordon arnold,Computer Science Laboratory 
CS,3345,0U2,,2,,3,1,1,1,2,2,1,,,,0,"Ozbirn, Greg A","Li, Xiaodi",,,,,ozbirn,greg ozbirn,Data Structures and Introduction to Algorithmic Analysis 
CS,4348,0U2,6,,2,1,1,,2,,,,1,,,0,"Ghanbari, Ali","Hu, Linghuan",,,,,axg173030,,Operating Systems Concepts 
EERF,7V89,0W1,,9,1,2,1,,,,,,,,,0,"Henderson, Rashaunda M",,,,,,rmh072000,rashaunda henderson,Special Topics in RF and Microwave Systems  - Intro Multiferroic Mtrls & Sys (3 Semester Credit Hours)
IPEC,4308,0U1,3,5,,2,1,1,1,,,,,,,0,"Taden, John",,,,,,jxt161530,john taden,Political Economy of Africa 
MKT,3300,0U1,,2,1,5,,,3,2,,,,,,0,"Rajaratnam, Daniel",,,,,,dxr143430,daniel rajaratnam,Principles of Marketing 
MKT,6337,5U1,,,3,3,4,3,,,,,,,,0,"Chatterjee, Sourav","Kamatham, Sriharsha",,,,,sxc180075,sourav chatterjee,Predictive Analytics Using SAS 
OPRE,4310,5U1,6,6,,,1,,,,,,,,,0,"Kohankie, Robert W",,,,,,rwk130030,robert kohankie,Lean and Six Sigma Processes 
REAL,6321,5U1,,3,2,,8,,,,,,,,,0,"Guttery, Randall",,,,,,rxg112530,randall guttery,Introduction to Real Estate 
BIOL,3101,0U4,1,2,5,2,,,,,3,,,,,0,"Srikanth, Uma",,,,,,ukrish,uma srikanth,Classical and Molecular Genetics Workshop 
MATH,2312,0U1,2,2,1,,3,,,1,1,,,,3,0,"Aman, Kelly","Lama, Sonam",,,,,kxa143530,kelly aman,Precalculus 
ARTS,1316,0U1,,3,2,2,6,,,1,,,,,,0,"Metz, Greg L","Pomara, John",,,,,glmetz,greg metz,Drawing Foundations 
COMM,1311,0H1,3,4,5,1,,1,,,,,,,,0,"Tanner, Lari J",,,,,,ljt130130,lari tanner,
COMM,1311,0H4,7,2,2,,1,,,,,,,,2,0,"Vazzi, Lisa",,,,,,lxv160630,lisa vazzi,Survey of Oral and Technology-based Communication 
RHET,1302,0S1,,,5,,3,3,,1,,,1,,1,0,"Sinckler, Robin",,,,,,rxs150131,robin sinckler,
ATCM,3367,5U1,2,3,2,1,1,2,1,1,1,,,,,0,"Billingslea, Steven L",,,,,,slb073000,steven billingslea,Level Design I 
NSC,4353,1U3,,2,8,3,,,,,1,,,,,0,"Raboune, Siham","Driskill, Christopher M","Szabo-Pardi, Thomas A","Garner, Katherine M",,,sxr180071,siham raboune,Neuroscience Laboratory Methods 
BMEN,3320,051,3,3,1,3,2,,,1,,,,,1,0,"Ali, Tariq M","Abraham, Alejandro",,,,,tma051000,tariq ali,Electrical and Electronic Circuits in Biomedical Engineering 
CS,1334,0U1,,4,3,1,1,,3,,,,,,2,0,"Arnold, Gordon L","Hu, Linghuan",,,,,gxa120930,gordon arnold,Programming Fundamentals for Non-Majors 
CS,3345,5U1,,2,1,2,4,3,1,,1,,,,,0,"Khan, Ziaullah","Li, Changbin",,,,,kkhan,ziaullah khan,Data Structures and Introduction to Algorithmic Analysis 
CS,6301,0U1,,8,5,1,,,,,,,,,,0,"Nagar, Anurag","Ashtiani, Omeed E","Hosseini, Seyyed Mohammadsaleh",,,,axn112530,anurag nagar,Special Topics in Computer Science 
CS,6314,5U1,,10,2,1,,,,,,,,,,1,"Min, Richard K","Patel, Dhruvkumar R",,,,,rkm010300,richard min,Web Programming Languages 
ECS,3390,093,,4,2,1,4,,1,1,1,,,,,0,"Glauser, Janece B",,,,,,jbg130030,janece glauser,Professional and Technical Communication 
FIN,3305,5U1,,2,1,,3,1,,2,1,,4,,,0,"Guttery, Randall",,,,,,rxg112530,randall guttery,Real Estate Principles 
ITSS,4340,0U1,,2,3,3,4,1,1,,,,,,,0,"Thompson, Luell O",,,,,,lot013000,luell thompson,Enterprise Resource Planning 
OB,6301,5U2,,6,5,1,1,,,,,,,,,1,"Olsztynska, Agnieszka",,,,,,axo027000,agnieszka olsztynska,Organizational Behavior 
OBHR,4300,0U1,8,4,,1,,,,,,,,,,1,"Edgington, Kyle D",,,,,,kde081000,kyle edgington,Management of Non-Profit Organizations 
OPRE,3333,0U1,2,3,1,3,1,,1,,,,,1,1,1,"Enayaty Ahangar, Negin","Qu, Zihao",,,,,nxe180001,negin enayaty ahangar,Quantitative Business Analysis 
BIOL,3520,3U2,,5,3,2,3,1,,,,,,,,0,"Mehta, Iti",,,,,,ixm121430,iti mehta,General Microbiology with Lab 
GEOS,3300,0S1,,4,1,3,2,3,,,1,,,,,0,"Geissman, John W",,,,,,jwg102020,john geissman,Field Geology I 
MATH,1314,0S1,,4,1,,2,2,1,1,,,1,,2,0,"Nguyen, Mylinh T","Folarin, Samson B",,,,,mln018200,mylinh nguyen,
MATH,3310,0U1,1,3,1,2,,1,1,1,1,1,,,2,0,"Dabkowski, Mieczyslaw K","Chowdhury, Md Mujibur Rahman",,,,,mkd034000,mieczyslaw dabkowski,Theoretical Concepts of Calculus 
HIST,3328,091,,1,2,4,2,1,2,,1,,1,,1,0,"Dennis, Patrick W",,,,,,pdennis,patrick dennis,History and Philosophy of Science and Medicine 
LIT,2331,051,8,3,2,,1,1,,,,,,,,0,"Boyer, Kent L",,,,,,klb140030,kent boyer,Masterpieces of World Literature 
SPAN,2341,0S1,13,2,,,,,,,,,,,,0,"Gonzalez, Cristina M",,,,,,cxg042000,cristina gonzalez,
CLDP,3342,0U1,1,4,4,2,1,1,,1,,,,1,,0,"Barfoot, John W","Peskova, Olga",,,,,jwb043000,john barfoot,Exceptional Children 
NSC,4352,0U1,1,4,1,3,3,2,,1,,,,,,0,"Sultana, Rukhsana",,,,,,rxs170431,rukhsana sultana,Cellular Neuroscience 
SPAU,4394,051,,7,,2,2,,2,1,1,,,,,0,"Kaplan, Karen",,,,,,kkaplan,karen kaplan,Multicultural Aspects of Communication Disorders 
CE,3320,0U2,1,1,4,4,3,1,,,,,,,1,0,"Shakhakarmi, Niraj","Wang, Yifan",,,,,nxs190009,,Digital Circuits 
MECH,4382,0U1,,5,,3,1,2,3,,1,,,,,0,"Hart, Robert A","Koeln, Justin P","Upasham, Sayali S",,,,rxh124630,robert hart,Senior Design Project II 
CRIM,3310,0U1,1,1,5,5,,1,,,,1,,,,1,"Gammell, Sarah P",,,,,,spg160530,sarah gammell,Youth Crime and Justice 
BPS,4305,5E1,6,2,3,,1,1,,1,,,,,1,0,"Carraher, Shawn M",,,,,,smc130730,shawn carraher,Strategic Management 
MIS,6364,0W1,,7,4,4,,,,,,,,,,0,"Narayan, Ravishankar L",,,,,,rln130030,ravishankar narayan,Enterprise Architecture  Modeling the Digital Enterprise 
OPRE,6301,5U2,,4,2,2,3,1,1,1,,,,,,1,"Brussolo, Monica E","Takasi, Venkanna Dora Goutham",,,,,meb049000,monica brussolo,Statistics and Data Analysis 
OPRE,6342,PU1,,11,3,1,,,,,,,,,,0,"Rajamani, Divakar",,,,,,dxr020100,divakar rajamani,
OPRE,6376,PS1,,9,4,1,1,,,,,,,,,0,"Szot, James","Hicks, Jeffrey N",,,,,,james szot,
BIOL,3380,1U3,2,2,4,1,,3,,1,1,1,,,,0,"Rippel, Scott A","Chen, Hao",,,,,rippel,scott rippel,Biochemistry Laboratory 
HMGT,3301,5U1,,10,,,5,,,,,,,,,0,"Berrett, Britt R","Wylie, Mary",,,,,brb051000,britt berret,Introduction to Healthcare Management 
RHET,1302,091,1,3,6,1,1,1,,1,,,,,2,0,"Crawford, Rachel",,,,,,rxc161430,rachel crawford,Rhetoric 
PSY,3339,0U1,,4,1,2,1,,2,3,1,1,,,,1,"Huxtable-Jester, Karen J",,,,,,kxh014900,karen huxtable jester,Educational Psychology 
BMEN,3350,051,1,4,1,3,3,3,,1,,,,,,0,"Ali, Tariq M","Abraham, Alejandro",,,,,tma051000,tariq ali,Biomedical Component and System Design 
CS,4141,6U1,12,,4,,,,,,,,,,,0,"Nguyen, Nhut","Adebiyi, Abdulmateen A",,,,,nhutnn,nhut nguyen,Digital Systems Laboratory 
CS,6378,0U1,,3,4,4,5,,,,,,,,,0,"Mittal, Neeraj","Varanasi, Sarat Chandra",,,,,nxm020100,neeraj mittal,Advanced Operating Systems 
ECS,3390,051,3,4,2,3,3,,,,,,,1,,0,"Moore, Lindsay E",,,,,,lem150330,lindsay moore,Professional and Technical Communication 
ED,4358,0W1,,5,1,1,2,,,,4,,,,1,2,"Root, Alexey",,,,,,aroot,alexey root,Chess I  Using Chess in Schools 
ACCT,3331,5U1,3,2,1,1,1,,2,2,3,,,,,1,"Zhou, Yibin","Li, Chenchen",,,,,yxz066000,yibin zhou,Intermediate Financial Accounting I 
ACCT,3341,0U1,,3,4,2,1,2,1,1,,,1,,1,0,"Johnson, Jennifer",,,,,,jxj091000,jennifer johnson,Cost Management Systems 
ACCT,3350,5U1,1,1,,1,5,1,,2,1,,,3,1,0,"Gamino, John P",,,,,,jpg140630,john gamino,Fundamentals of Taxation 
ACCT,6330,0W1,,4,,,6,,,2,,,,,,4,"Cready, William M","Gencer, Nur Pinar",,,,,wmc041000,william cready,Intermediate Financial Accounting I 
ACCT,6334,0W1,,7,,,7,,,1,,,,,,1,"Linsteadt, Chris C",,,,,,ccl019000,chris linsteadt,Auditing 
FIN,6301,5U1,,6,3,3,1,1,1,1,,,,,,0,"Baranchuk, Nina",,,,,,nxb043000,nina baranchuk,Financial Management 
MIS,6346,5U1,,12,4,,,,,,,,,,,0,"Perez, Jerry","Tang, Ping",,,,,jxp180019,jerry perez,Big Data 
MKT,3330,0U1,6,,3,1,3,1,,1,,,1,,,0,"Amirpour, Semiramis",,,,,,sxa130731,semiramis amirpour,Introduction to Professional Selling 
BIOL,3456,1U1,,,3,3,2,2,1,,,1,1,,2,1,"Yu, Wen H",,,,,,why061000,wen ho yu,Human Anatomy and Physiology with Lab II 
COMM,3352,0H1,6,5,2,1,,,,,1,,,1,1,0,"King, Carie S",,,,,,cxl085200,carie king,Media and Culture 
NSC,4363,0U1,,4,,,7,,,3,,,1,,1,1,"Raboune, Siham",,,,,,sxr180071,siham raboune,Neuropharmacology 
PSY,3393,5U1,,14,,,2,,,,,,,,1,0,"Meltzer, Mitchell A","Zhao, Yuguang",,,,,mam089100,mitchell meltzer,Experimental Projects in Psychology 
BMEN,3402,0U1,2,2,2,1,2,2,1,,3,,1,,1,0,"Ardestani Khoubrouy, Soudeh",,,,,,sxa074200,soudeh khoubrouy,Signals and Systems for Biomedical Engineering 
CS,4341,0U1,,6,1,1,2,1,1,1,2,,2,,,0,"Nguyen, Nhut","Adebiyi, Abdulmateen A",,,,,nhutnn,nhut nguyen,Digital Logic and Computer Design 
CS,4375,0U2,3,4,5,3,1,,,1,,,,,,0,"Nagar, Anurag","Lin, Yu",,,,,axn112530,anurag nagar,Introduction to Machine Learning 
ECS,3390,053,,9,5,2,1,,,,,,,,,0,"Glauser, Janece B",,,,,,jbg130030,janece glauser,Professional and Technical Communication 
ECON,2302,0U1,1,5,2,1,1,1,2,,1,,1,,,2,"Hou, Aoyu",,,,,,axh153230,,Principles of Microeconomics 
FIN,3320,0U1,,2,1,2,1,2,2,2,4,,,,,1,"Heidtman, David M",,,,,,dmh061000,david heidtman,Business Finance 
FIN,6366,GW1,,7,3,3,4,,,,,,,,,0,"Kummer, Adnan",,,,,,,adnan kummer,
IMS,6204,GH1,,11,5,,1,,,,,,,,,0,"Kiser, Stephen L",,,,,,slk012100,stephen kiser,
IMS,6213,GH1,,4,5,4,4,,,,,,,,,0,"Peinhardt, Clint W",,,,,,cwp052000,clint peinhardt,
IMS,6253,GH1,,3,6,,8,,,,,,,,,0,"Katz, Lothar",,,,,,,lothar katz,
IMS,6V91,0S1,,7,7,3,,,,,,,,,,0,"Woldu, Habte G",,,,,,wolduh,habte woldu,Regional Area Studies  Latin America 
ITSS,3390,5U1,1,7,5,2,2,,,,,,,,,0,"Arora, Vivek",,,,,,vxa081000,vivek arora,Web Design and Development for Business Applications 
MIS,6326,0W1,,8,,,8,,,,,,,,,1,"Ryu, Young","Tunc, Murat M",,,,,ryoung,young ryu,Data Management 
GEOS,1303,051,1,4,2,,,4,2,1,,,1,1,,1,"Griffin, William R","Hetti Pathirannehelage, Diluni Ayeshika W",,,,,griffin,william griffin,Physical Geology 
ARTS,3367,5U1,,5,4,4,1,2,1,,,,,,,1,"Metz, Greg L","Pomara, John",,,,,glmetz,greg metz,Figure Drawing 
ARTS,3372,551,,8,5,,,,,,,,,,1,4,"Loving, Emily",,,,,,exl097120,emily loving,Photography  Color Concepts 
HIST,4368,051,,3,2,4,4,1,1,,,,1,,2,0,"Schulze, Jeffrey",,,,,,jxs072200,jeffrey schulze,North American Environmental History 
RHET,1302,053,5,4,2,1,2,,2,,,,,,1,1,"Lyons, David L",,,,,,dll101020,david lyons,Rhetoric 
ATCM,2301,0U1,2,4,2,,5,2,,1,1,,1,,,0,"Nielsen, Christina R",,,,,,crn022000,christina nielsen,Computer Imaging 
COMD,7323,0U1,,18,,,,,,,,,,,,0,"Sweeney, Melissa",,,,,,msweeney,,Auditory-Verbal Methods 
NSC,4366,0U1,2,,4,1,2,1,,4,,,,,3,1,"Taylor, Anna M",,,,,,amt180004,anna taylor,Neuroanatomy 
PSY,2301,0H1,2,1,3,,1,1,3,1,3,,,,1,2,"Brody, Salena M","Miranda, Giuseppe G",,,,,smb051000,salena brody,Introduction to Psychology 
PSY,3393,0U1,5,4,1,,,3,1,,,,,,2,2,"Shirvani, Forouz","Mizener, Brendon J",,,,,fxk024000,forouz shirvani,Experimental Projects in Psychology 
CE,3310,5U1,1,5,1,5,1,1,,2,1,,,,1,0,"Pourkamali, Siavash","Palit, Prithviraj","Sheikhlari, Sepehr",,,,sxp124631,siavash pourkamali,Electronic Devices 
CE,3311,5U1,,1,3,4,6,2,1,1,,,,,,0,"Sechen, Carl","Hu, Bo","Xu, Xiangyu",,,,cms057000,carl sechen,Electronic Circuits 
CS,1136,1U1,6,5,,,2,,1,1,,,,,1,2,"Arnold, Gordon L","Zhang, Chenxu",,,,,gxa120930,gordon arnold,Computer Science Laboratory 
CS,4337,0U2,7,,,2,,4,2,2,,,,,1,0,"Karami, Gity","Shakerin, Farhad",,,,,gxk180009,gity karami,Organization of Programming Languages 
ECS,3390,0U2,5,6,2,2,2,,,,1,,,,,0,"King, Carie S",,,,,,cxl085200,carie king,Professional and Technical Communication 
MECH,2310,0U1,1,7,1,1,1,2,,,,,2,,1,2,"Thamban, P.L.Stephan","Karami, Farzad",,,,,stephan,p l stephan thamban,Statics 
SOC,4396,0S1,3,9,3,1,,2,,,,,,,,0,"Lanham, Carol C",,,,,,ccl054000,carol lanham,
ACCT,4342,5U1,,3,5,4,2,1,1,1,,1,,,,0,"Johnson, Jennifer",,,,,,jxj091000,jennifer johnson,Analysis and Design of Accounting Systems 
ACCT,6305,0W1,,3,4,6,4,,,,,,,,,1,"Janakiraman, Surya","Kale, Devendra",,,,,suryaj,surya janakiraman,Accounting for Managers 
