Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
OPRE,6302,CW1,,15,14,,,,,,,,,,,0,"Hassanzadeh, Nozar",,,,,,nozarh,nozar hassanzadeh,
DANC,1310,0H1,,11,4,1,2,1,,1,4,1,,,2,3,"Saba, Monica",,,,,,msaba,monica saba,Understanding Dance  (3 Semester Credit Hours)
ATCM,2335,5U1,,21,,2,1,,1,1,,,,,3,1,"Stewart, Michael C",,,,,,mxs128231,michael stewart,Internet Studio I 
ATCM,3301,0U1,,4,3,11,8,3,,,,,,,1,0,"Imaoka, Laura",,,,,,lxi170030,laura imaoka,Digital Content Design 
NSC,4352,0U2,2,4,9,1,4,3,2,1,1,,,,2,1,"Raboune, Siham",,,,,,sxr180071,siham raboune,Cellular Neuroscience 
EE,3201,0U1,,9,10,4,3,1,1,,,1,,,,1,"Kiasaleh, Kamran",,,,,,kamran,kamran kiasaleh,Electrical and Computer Engineering Fundamentals-I Laboratory 
ACCT,6301,0W1,,6,9,5,4,4,,1,,,,,,1,"Ali, Ashiq","Sandhu, Gurvinder",,,,,axa042200,ashiq ali,Financial Accounting 
BCOM,3200,5U1,2,9,1,4,5,3,,4,,,1,,1,0,"Newcomb, Rebecca G",,,,,,rgn100020,rebecca newcomb,Introduction to Business and Professional Development 
BCOM,3310,0U3,2,11,6,3,5,,1,,1,,,,1,0,"Walton, Michaella",,,,,,mrw170730,,Business Communication 
BPS,6310,0W1,,23,4,1,1,,,,,,,,,1,"Kaplan, Marilyn R",,,,,,mkaplan,marilyn kaplan,Strategic Management 
BUAN,6337,0W1,,3,6,6,5,4,4,2,,,,,,0,"Subramanian, Upender","Saremi, Ehsan",,,,,uxs092000,upender subramanian,Predictive Analytics Using SAS 
IMS,3310,5U1,1,10,1,1,5,1,4,3,,,2,,2,0,"Henderson, Tom",,,,,,txh093000,tom henderson,International Business 
MIS,6204,501,,24,5,,1,,,,,,,,,0,"Fuller, Tony F","Xie, Si",,,,,tff170130,tony fuller,Information Technology for Management 
OB,6331,CW1,,29,,1,,,,,,,,,,0,"Ferrante, Anne M",,,,,,,anne ferrante,
OB,6344,CW1,,21,2,4,,,,,,,,,2,1,"Norton, Larry",,,,,,,larry norton,
ATCM,2303,0U1,12,8,6,4,,1,,,,,,,,0,"Camacho, Christopher J",,,,,,cjc043000,christopher camacho,Project Management for Arts  Technology  and Emerging Communication I 
CS,1325,0U1,3,,5,3,5,8,2,1,2,,,,2,0,"Paulk, Mark C","Li, Changbin",,,,,mcp130030,mark paulk,Introduction to Programming 
CS,3360,5U1,6,1,3,4,3,2,4,,2,2,,1,2,1,"Arnold, Gordon L","Zhang, Chenxu",,,,,gxa120930,gordon arnold,Computer Graphics for Artists and Designers 
CS,3377,0W1,4,3,,1,8,2,4,4,2,1,,,1,1,"Min, Richard K","Zeng, Wenxi",,,,,rkm010300,richard min,C C  Programming in a UNIX Environment 
ENGR,3341,0U1,1,5,3,4,1,1,3,2,5,,,4,1,1,"Fonseka, John",,,,,,kjp,john fonseka,Probability Theory and Statistics 
SE,4381,0U1,1,5,6,6,8,2,,2,1,,,,,0,"Paulk, Mark C","Sarwat, Maliha",,,,,mcp130030,mark paulk,Software Project Planning and Management 
PSCI,4341,0U1,4,7,5,4,7,2,,1,1,,,,,0,"Kingsolver, Austin W",,,,,,awk072000,,Politics of the Judicial Process 
ISIS,3335,091,6,7,6,3,5,2,1,,1,,,,,0,"Rosa, Jonathan",,,,,,jxr172530,jonathan rosa,United States and East Asia 
ACCT,6338,0W1,,17,,3,9,,,2,,,,,,0,"Goodrich, Mary Beth W",,,,,,goodrich,mary beth goodrich,Accounting Systems Integration and Configuration 
HUMA,1301,051,9,11,3,3,3,,,,,2,,,,1,"Amato, Lawrence A",,,,,,laa062000,lawrence amato,Exploration of the Humanities  (3 Semester Credit Hours)
NSC,3361,0U2,7,1,3,1,3,2,5,2,2,,3,,3,0,"Taylor, Anna M","Zuppichini, Mark D",,,,,amt180004,anna taylor,Introduction to Neuroscience 
CS,4332,0U1,16,9,1,2,,2,1,,,,,,1,0,"McMahan, Timothy","Wang, Yeqi",,,,,txm173230,timothy mcmahan,Introduction to Programming Video Games 
PA,8330,HN1,,21,7,,1,,,2,,,,,,1,"Shute, William H","Chin, Michelle L",,,,,whs170030,,Inside Washington  Policymaking from the Ground Up 
ACCT,6353,5U1,,17,2,4,2,3,2,,,,,,2,0,"Gamino, John P",,,,,,jpg140630,john gamino,Fundamentals of Taxation II 
BCOM,3310,5U1,4,13,4,3,4,2,1,,,,,,,1,"Walton, Michaella",,,,,,mrw170730,,Business Communication 
BUAN,6356,5U2,,16,6,2,5,1,,,,,,,,2,"Parker, Jason A","Zhu, Wangsheng",,,,,jap090020,jason parker,Business Analytics With R 
BUAN,6398,5U2,,20,2,4,6,,,,,,,,,0,"Alimirzaei, Athena","Ho, Yi-Ju",,,,,axa134231,athena alimirzaei,Prescriptive Analytics 
ENTP,3301,0U1,2,2,8,9,4,4,2,1,,,,,,0,"Nichols, Paul M",,,,,,pxn120030,paul nichols,Innovation and Entrepreneurship 
ITSS,4351,5U1,,9,3,2,4,3,2,4,4,1,,,,0,"Shekhar, Gaurav","Singh, Ayush K",,,,,gxs150130,gaurav shekhar,Foundations of Business Intelligence 
BIOL,2112,0U2,4,9,3,2,6,3,1,1,,,1,1,1,0,"Candas, Mehmet",,,,,,candas,mehmet candas,Introduction to Modern Biology Workshop II 
BIOL,4353,5U1,1,1,3,1,6,5,1,5,5,1,3,,,0,"Burr, John G",,,,,,burr,john burr,Molecular Biology of HIV AIDS 
PSY,3361,0U1,,2,5,4,4,6,3,4,,1,,1,2,1,"Meltzer, Mitchell A","Sudheesh, Athul",,,,,mam089100,mitchell meltzer,Cognitive Psychology 
CS,4336,0U1,1,3,9,7,1,1,6,1,,,1,1,1,1,"Ozbirn, Greg A","Chappidi, Sruthi",,,,,ozbirn,greg ozbirn,Advanced Java 
CS,4384,0U1,1,4,1,5,2,3,1,3,3,,1,4,5,0,"Shields, Charles O","Gu, Shuyang",,,,,cshields,charles shields,Automata Theory 
MECH,4340,0U1,,6,6,5,7,,6,1,2,,,,,0,"Park, Wooram","Yu, Haoliang",,,,,wxp103020,wooram park,Mechanical Vibrations 
ACCT,4336,5U1,1,,3,3,2,2,2,1,4,7,,3,4,1,"Patino, Daniel I",,,,,,dip101020,,Financial Statement Analysis 
BPS,4305,5U1,15,7,5,1,2,1,,,,,2,,,0,"Carraher, Shawn M",,,,,,smc130730,shawn carraher,Strategic Management 
ENTP,6370,0W1,,9,3,5,12,1,,2,,,,,,1,"Kimzey, Jackie","Wang, Congying",,,,,jxk092000,jackie kimzey,Innovation and Entrepreneurship 
MKT,6309,0W1,,7,14,10,2,,,,,,,,,0,"Li, Xiaolin","Kasaian, Keyvan",,,,,xxl157230,xiaolin li,Marketing Research 
OB,6249,CW1,,25,,,7,,,,,,,,,1,"Hicks, Robert",,,,,,,robert hicks,
OB,6351,CW1,,21,7,3,,,,1,,,,,,1,"Hicks, Robert",,,,,,,robert hicks,
BIOL,3302,0U1,3,3,2,8,,2,2,2,2,1,4,3,1,0,"Srikanth, Uma","Bhat, Vandita D","Tandon, Neha Ramesh","Smith, Patrick R",,,ukrish,uma srikanth,Eukaryotic Molecular and Cell Biology 
MATH,2413,0U1,3,3,3,8,1,,2,4,,,1,,6,2,"Akbar, Mohammad M",,,,,,mma110020,mohammad akbar,Differential Calculus 
CS,3305,0U1,10,6,1,3,4,,,6,,,,3,,1,"Farage, Timothy P","Mousavi, Pooneh",,,,,tfarage,timothy farage,Discrete Mathematics for Computing II 
CS,6366,0U1,,16,12,4,1,1,,,,,,,,0,"Zhang, Kang","Fan, Zhenbao",,,,,kzhang,kang zhang,Computer Graphics 
BUAN,6341,0U1,,8,21,3,2,,,,,,,,,0,"Sohaee, Nassim","Mehta, Sameer",,,,,nxs045000,nassim sohaee,Applied Machine Learning 
FIN,3320,0U2,1,5,4,2,8,2,3,6,,,,,3,0,"Peabody, Stephen D",,,,,,sdp093020,,Business Finance 
IMS,3310,0U1,,7,2,4,10,1,2,5,2,,,,1,0,"Henderson, Tom",,,,,,txh093000,tom henderson,International Business 
OBHR,4352,5U1,3,9,4,8,3,3,1,,2,,1,,,0,"Ritchey, Kemberly A",,,,,,kar014400,kemberly ritchey,Negotiation and Dispute Resolution 
OPRE,3310,0U1,10,6,2,7,5,2,,1,,,,,,1,"Zhang, Wen",,,,,,wxz130730,,Operations Management 
BIOL,2111,0U1,3,10,8,6,4,,1,1,,,,,,1,"Candas, Mehmet",,,,,,candas,mehmet candas,Introduction to Modern Biology Workshop I 
CS,6385,0W2,,14,9,6,4,,,2,,,,,,0,"Gupta, Neeraj K","Li, Yi",,,,,nkg140130,neeraj gupta,Algorithmic Aspects of Telecommunication Networks 
EE,3301,0U1,4,8,2,2,6,1,2,2,,2,2,,4,0,"Tacca, Marco","Mitra, Arkadeep","Zhang, Tianliang","Gandluru, Veerabharathchandrareddy","Gharajeh, Abouzar",,mtacca,marco tacca,Electrical Network Analysis 
ENGR,3300,0U2,,9,1,5,8,1,3,7,,,1,,,0,"Ali, Mohammed Z","Upadhyay, Bhaskar R",,,,,mohammed,ali mohammed,Advanced Engineering Mathematics 
BLAW,2301,5U1,,4,4,6,3,7,2,3,3,,1,,2,0,"Betanzos, Christina L",,,,,,clb120030,christina betanzos,Business and Public Law  (3 Semester Credit Hours)
FIN,6350,0W1,,9,7,4,12,2,,,,,,,1,0,"Reichert, Carolyn A",,,,,,carolyn,carolyn reichert,Advanced Corporate Finance 
HMGT,6405,AH6,,30,2,,1,,,,,,,,2,0,"Kaiser, Robert C",,,,,,,robert kaiser,
MKT,4334,5U1,4,12,4,5,3,2,,4,,1,,,,0,"Pacyna, Sandra",,,,,,sxp158130,sandra pacyna,Social Media Marketing 
MKT,6301,0W2,,8,3,4,14,6,,,,,,,,0,"Pahwa, Parneet","Roshangarzadeh, Reza",,,,,pxp030100,parneet pahwa,Marketing Management 
OB,6331,CW2,,34,,,,,,,,,,,,1,"Ferrante, Anne M",,,,,,,anne ferrante,
OPRE,6301,5U1,,10,3,5,8,5,3,1,,,,,,0,"Brussolo, Monica E","Takasi, Venkanna Dora Goutham",,,,,meb049000,monica brussolo,Statistics and Data Analysis 
CS,4349,0U1,3,4,2,2,11,3,1,5,2,1,1,1,,0,"Cankaya, Ebru C","Shah, Trusit Sandipbhai","Zi, Yuxin",,,,exc067000,ebru cankaya,Advanced Algorithm Design and Analysis 
CS,6385,0W1,,19,9,5,3,,,,,,,,,0,"Farago, Andras","Moeini, Hessam",,,,,farago,andras farago,Algorithmic Aspects of Telecommunication Networks 
BPS,6310,MBP,,19,,10,7,,,,,,,,,0,"Chasteen, Larry H","Bai, Xiaoou","Balaji, Pavithra",,,,chasteen,larry chasteen,
FIN,6301,CW1,,18,4,6,6,1,,1,,,,,,0,"Reichert, Carolyn A",,,,,,carolyn,carolyn reichert,
IMS,6204,CW1,,20,8,5,2,1,,,,,,,,0,"Woldu, Habte G","Pradeep, Poojitha",,,,,wolduh,habte woldu,
OPRE,6302,MBP,,23,8,4,1,,,,,,,,,0,"Subramoniam, Ramesh",,,,,,rxs179630,ramesh subramoniam,
BIOL,3161,0U3,5,8,4,1,2,3,3,4,5,1,,,,0,"Candas, Mehmet","McDill, Parker M","Krishnamohan, Aishwarya","Ray, Ashvini","Dey, Sanchareeka","Song, Ming",candas,mehmet candas,Biochemistry Workshop I 
MATH,2414,0U2,2,2,3,5,2,9,4,1,1,1,1,,5,0,"Ahsan, Mohammad K",,,,,,mka120030,mohammad ahsan,Integral Calculus 
EE,4389,0U1,,21,,,9,6,1,,,,,,,0,"Bhatia, Dinesh","Nourmohamadi, Hesam","Goswami, Pingakshya",,,,dinesh,dinesh bhatia,Senior Design Project II 
ACCT,3332,5U1,,3,,,4,,,12,,,4,,7,7,"Karnuta, Daniel","Tatiparti, Venu Madhav",,,,,dxk173030,daniel karnuta,Intermediate Financial Accounting II 
ACCT,6335,5U1,,5,5,6,7,6,3,2,,,,,2,1,"Swaim, Stephanie R",,,,,,srp065000,stephanie poindexter swaim,Ethics for Professional Accountants 
BCOM,3310,0U1,8,11,5,7,4,,2,,,,,,,0,"Fry, Jennifer L",,,,,,jlf130030,jennifer fry,Business Communication 
BIOL,3301,0U2,6,6,7,6,1,2,1,2,3,,2,,1,0,"Srikanth, Uma","Sankaranarayanan, Ishwarya","Nawas, Afshan Fathima","Shukla, Tarjani","Zhang, Bo","Jiang, Xianli",ukrish,uma srikanth,Classical and Molecular Genetics 
CS,6364,0U1,,24,7,3,2,1,1,,,,,,,0,"Schweitzer, Haim","Zhang, Shuai",,,,,haim,haim schweitzer,Artificial Intelligence 
BCOM,3310,0U2,,9,17,1,7,2,,2,,,,,,0,"Smallwood, Margaret G","Shirvin, Mahdi",,,,,meg012400,margaret smallwood,Business Communication 
OBHR,3330,0U1,5,7,8,2,4,7,4,,,,1,,,0,"Ritchey, David B",,,,,,davidr,david ritchey,Introduction to Human Resource Management 
OPRE,6301,5U3,,18,,7,12,,,,,,,,,1,"Ahadi, Khatereh","Chen, Yuhang",,,,,kxa180010,khatereh ahadi,Statistics and Data Analysis 
COMD,7V89,0U1,,31,,2,4,,,,,,,,,0,"Walsh, Diane G","Scheppele, Meredith A",,,,,dxg022000,diane walsh,Mild Cognitive Impairment  Alzheimer s Disease and Related Disorders 
CS,6350,0U1,,20,14,5,,,,,,,,,,0,"Nagar, Anurag","Chung, Yu-Yen",,,,,axn112530,anurag nagar,Big Data Management and Analytics 
AMS,3350,0W1,15,9,4,1,1,2,,,2,,,,4,1,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead,Crisis Communication 
ACCT,6333,5U1,,20,,,10,,,8,,,,,1,0,"Zolton, Kathy","Chu, Yu Fang",,,,,kxz121730,kathy zolton,Advanced Financial Reporting 
FIN,3320,5U1,6,3,,5,6,7,3,3,3,1,1,,1,0,"Han, Munhee",,,,,,mxh142730,munhee han,Business Finance 
ITSS,3311,5U1,2,14,6,13,3,,1,,,,,,,0,"Hosseini, Leila",,,,,,lxh132430,leila hosseini,Introduction to Programming 
ITSS,4300,5U1,,5,2,8,5,4,4,3,3,,3,,2,0,"Owens, Dawn M","Bhansali, Akanksha",,,,,dmo130130,dawn owens,Database Fundamentals 
OPRE,6302,0W1,,11,12,12,2,,,,,,,,,2,"Dawande, Milind","Takasi, Venkanna Dora Goutham",,,,,milind,milind dawande,Operations Management 
STAT,2332,0U1,8,5,4,5,3,1,4,2,3,2,,2,,0,"Whalen, Tristan G","Langford, John","Roy, Akash",,,,tgw100020,tristan whalen,Introductory Statistics for Life Sciences 
EE,3311,5U1,,5,3,7,8,6,7,2,,,,,1,1,"Sechen, Carl","Hu, Bo","Xu, Xiangyu",,,,cms057000,carl sechen,Electronic Circuits 
ENGR,3300,0U1,4,10,3,2,10,3,,6,1,,,,1,0,"Ali, Mohammed Z","Marzban, Mohamed F",,,,,mohammed,ali mohammed,Advanced Engineering Mathematics 
GOVT,2305,0U2,,9,5,6,3,7,4,,,1,,1,2,2,"Lux, Ryan J",,,,,,rjl140330,ryan lux,American National Government 
FIN,3330,0U1,3,13,4,6,11,,,1,,,,,,2,"Peabody, Stephen D",,,,,,sdp093020,,Personal Financial Planning 
ITSS,3312,5U1,5,8,7,6,4,5,4,,1,,,,,0,"Sun, Geng",,,,,,gxs122530,geng sun,Object-Oriented Programming 
OBHR,3310,0U1,4,13,5,,8,3,1,4,,,1,,1,0,"Ritchey, David B",,,,,,davidr,david ritchey,Organizational Behavior 
OPRE,3360,0U2,5,5,6,4,6,,4,8,,,,,,2,"Ahadi, Khatereh","Chen, Yuhang",,,,,kxa180010,khatereh ahadi,Managerial Methods in Decision Making Under Uncertainty 
BCOM,4350,0U1,11,11,8,4,,3,,1,2,,1,,,0,"de los Santos, Veronica",,,,,,vxd171930,veronica de los santos,Advanced Business Communication 
BCOM,4350,0U2,,21,15,2,2,1,,,,,,,,0,"Smallwood, Margaret G","Shirvin, Mahdi",,,,,meg012400,margaret smallwood,Advanced Business Communication 
FIN,3390,5U1,3,10,,3,6,5,4,,4,,,4,1,1,"El-Ashmawi, Amal H",,,,,,ahe013000,amal el ashmawi,Introduction to Financial Modeling 
IMS,3310,0U2,,5,6,5,6,5,3,6,,1,1,,2,1,"Henderson, Tom",,,,,,txh093000,tom henderson,International Business 
OBHR,3310,5U1,1,7,19,6,4,,1,1,,,,,1,1,"Meda, Edward","Boncoeur, Olivier D",,,,,exm150330,edward meda,Organizational Behavior 
ECS,3361,5U1,,3,16,7,5,3,5,3,,,,,,0,"Ibrahim, Yaser M",,,,,,ymi140030,yaser ibrahim,Social Issues and Ethics in Computer Science and Engineering 
MECH,4380,0U1,1,8,6,5,10,3,6,2,1,,,,,0,"Fadda, Dani Z","Azarnoosh, Jamasp",,,,,dzf091000,dani fadda,HVAC Systems 
GOVT,2305,0U1,13,8,6,5,2,4,,,3,1,,,,0,"Hoffman, Blake M",,,,,,bmh160030,blake hoffman,American National Government 
BCOM,4350,5U1,25,5,5,1,4,,2,,,,,,,0,"de los Santos, Veronica",,,,,,vxd171930,veronica de los santos,Advanced Business Communication 
MKT,6301,0W1,,13,5,6,10,8,,,,,,,,0,"Pahwa, Parneet","Roshangarzadeh, Reza",,,,,pxp030100,parneet pahwa,Marketing Management 
NSC,3361,0U1,6,6,10,,1,4,4,1,3,1,,2,5,0,"McWilliams, Steven P","Abdelkarim, Dema H",,,,,sxm127330,steven mcwilliams,Introduction to Neuroscience 
GOVT,2306,0U1,2,7,7,5,3,9,2,4,1,1,,,2,0,"Carr, Cory K",,,,,,ckc150230,,State and Local Government 
ACCT,6373,5U1,,16,,5,21,,,1,,,,,,0,"Karnuta, Daniel","Tatiparti, Venu Madhav",,,,,dxk173030,daniel karnuta,Advanced External Auditing 
IMS,6204,0W1,,13,14,12,1,2,,,,,,,,1,"Woldu, Habte G","Pradeep, Poojitha",,,,,wolduh,habte woldu,Global Business 
BIOL,3161,0U2,3,14,6,3,4,3,5,3,1,,,,,1,"Candas, Mehmet","Krishnamohan, Aishwarya","Ray, Ashvini","McDill, Parker M","Dey, Sanchareeka","Song, Ming",candas,mehmet candas,Biochemistry Workshop I 
HLTH,3300,0U1,,9,11,7,3,7,,1,3,,3,,,0,"Byrnes, Kathleen A",,,,,,kab019000,kathleen byrnes,Pre-Health Professional Development 
BCOM,3200,0U1,,35,1,5,1,,2,,,,,,,0,"Berardi, Caryn S",,,,,,cds110030,caryn berardi,Introduction to Business and Professional Development 
BUAN,6337,5U1,,7,11,10,13,3,,,,,,,,0,"Chatterjee, Sourav","Kamatham, Sriharsha",,,,,sxc180075,sourav chatterjee,Predictive Analytics Using SAS 
BUAN,6340,5U1,,40,,,2,,,1,,,,,,1,"Parker, Jason A","Zhu, Wangsheng",,,,,jap090020,jason parker,Programming for Data Science 
BUAN,6346,5U1,,31,9,3,,,,,,,,,,1,"Perez, Jerry","Tang, Ping",,,,,jxp180019,jerry perez,Big Data 
MKT,6332,0W1,,12,11,13,6,2,,,,,,,,0,"Biswas, Abhijit","Kasaian, Keyvan",,,,,axb019100,abhijit biswas,Advertising and Promotional Strategy 
MATH,2420,0U1,16,5,4,1,4,2,1,2,,1,3,,4,1,"Ramakrishna, Viswanath","Thompson, Patrick A","Adabrah, Anani Komla",,,,vish,viswanath ramakrishna,Differential Equations with Applications 
HIST,2301,591,,12,,,12,,,10,,1,6,2,2,0,"Volanto, Keith J","Varghese, Shawn",,,,,kjv062000,keith volanto,History of Texas 
PSY,3331,0U1,,12,2,2,6,4,2,5,2,,4,,6,0,"Huxtable-Jester, Karen J","Knoch, Desiree'",,,,,kxh014900,karen huxtable jester,Social Psychology 
PSY,3360,5U1,4,2,2,5,6,3,6,3,,6,,,6,2,"Assmann, Peter","Gryder, Kieth",,,,,assmann,peter assmann,Historical Perspectives on Psychology  Mind and Machines since 1600 
ACCT,6344,0W1,,15,12,8,5,3,1,,,,,,,1,"Gurun, Umit","Gencer, Nur Pinar",,,,,ugg041000,umit gurun,Financial Statement Analysis 
HMGT,6403,AS1,,43,,2,,,,,,,,,,0,"McCracken, John","Barden, John P",,,,,,john mccracken,
MECO,6303,0W2,,8,1,5,13,,6,12,,,,,,0,"Lewin, Peter","Zhao, Yabo",,,,,plewin,peter lewin,Business Economics 
OPRE,6332,5U1,,23,9,8,1,2,2,,,,,,,0,"Ramanathan, Kannan","Li, Yining",,,,,kxr087000,kannan ramanathan,Spreadsheet Modeling and Analytics 
HMGT,6404,AS1,,46,,,,,,,,,,,,0,"McCracken, John","Convery, Paul",,,,,,john mccracken,
BIOL,3161,0U1,1,11,5,5,7,6,3,4,,1,2,,1,0,"Candas, Mehmet","Dey, Sanchareeka","McDill, Parker M","Krishnamohan, Aishwarya","Ray, Ashvini","Song, Ming",candas,mehmet candas,Biochemistry Workshop I 
CS,3341,0U1,12,4,1,2,6,2,3,5,2,2,,3,5,0,"Whalen, Tristan G","Chen, Ying","Dey, Asim K",,,,tgw100020,tristan whalen,Probability and Statistics in Computer Science and Software Engineering 
ECS,3361,0U1,3,18,10,6,6,4,,,,,,,,0,"McCaskill, John R","Johnson, Sara K",,,,,jrm094020,john mccaskill,Social Issues and Ethics in Computer Science and Engineering 
OB,6307,0W1,,38,1,,7,,,1,,,,,,0,"Richard, Orlando","Boncoeur, Olivier D",,,,,pretty,orlando richard,Strategic Human Resource Management 
ACCT,6202,0W2,,6,11,15,10,3,,1,,,,,,1,"Janakiraman, Surya","Kale, Devendra",,,,,suryaj,surya janakiraman,Managerial Accounting 
AMS,4385,0W1,18,11,8,1,3,,1,2,,,,,2,2,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead,Professional Communications in Business 
MKT,3300,0W1,,22,6,2,4,6,,7,1,,,,,0,"Pahwa, Parneet","Roshangarzadeh, Reza",,,,,pxp030100,parneet pahwa,Principles of Marketing 
OPRE,3360,5U1,5,7,5,7,2,4,4,3,4,,,1,3,3,"Naseri Taheri, Mohammad","Li, Yining",,,,,mxn121930,mohammad naseri,Managerial Methods in Decision Making Under Uncertainty 
ISNS,2367,0W2,2,12,3,6,8,4,2,1,1,1,,1,5,2,"Pujana, Ignacio",,,,,,pujana,ignacio pujana,The Oceans 
PHYS,2325,0U1,11,9,3,2,4,3,1,2,4,,4,1,2,2,"Ishak-Boushaki, Mustapha","Agashe, Anish N","Chinthak Murali, .",,,,mxi054000,mustapha ishak boushaki,Mechanics 
CRIM,3301,0W1,17,21,4,1,4,,,1,,,1,,,0,"Shih, Meng Ru",,,,,,mxs158030,ru shih meng,Theories of Justice 
BPS,4305,0U1,17,7,10,3,5,1,1,1,4,,,,,0,"Carraher, Shawn M",,,,,,smc130730,shawn carraher,Strategic Management 
MKT,6352,0W1,,23,5,7,9,4,,1,,,,,,0,"Tirone, Guido",,,,,,gxt170001,guido tirone,Marketing Web Analytics and Insights 
MATH,2415,0U1,7,2,8,11,5,1,4,7,1,,,,2,1,"Eydelzon, Anatoly","Shen, Sijie","Soliman, Marwah M",,,,axe031000,anatoly eydelzon,Calculus of Several Variables 
PHYS,1301,0U1,7,15,3,2,4,4,,4,2,1,2,,5,0,"Slinker, Jason D","Wettasinghe, Ashan P","Asaadzade, Asiye",,,,jds107020,jason slinker,College Physics I 
MIS,6360,0W1,,14,18,7,7,3,1,,,,,,,0,"Thouin, Mark",,,,,,mxt083000,mark thouin,Agile Project Management 
PSY,3310,5U1,,10,8,9,11,4,3,1,2,,2,,1,0,"Bonner, Deborah L","Zhu, Yiyi",,,,,dbonner,deborah bonner,Child Development 
ACCT,6373,0W1,,25,,,25,,,1,,,,,,0,"Barden, John P","Tatiparti, Venu Madhav",,,,,jpb063000,john barden,Advanced External Auditing 
CHEM,1311,0U1,,7,4,4,7,4,2,4,5,2,2,6,3,1,"Sra, Amandeep K","Mills, Kira R","Pope, Mitchell A",,,,aks057000,amandeep sra,General Chemistry I 
BUAN,6398,5U1,,29,2,4,14,1,2,,,,,,,0,"Alimirzaei, Athena","Ho, Yi-Ju",,,,,axa134231,athena alimirzaei,Prescriptive Analytics 
FIN,3320,0U3,2,8,6,7,9,2,7,4,2,1,1,2,1,0,"Peabody, Stephen D",,,,,,sdp093020,,Business Finance 
BIOL,3101,0U1,5,2,7,2,5,4,4,4,2,2,3,7,3,2,"Borovkov, Irina G","Zhou, Qin","Cao, Lian",,,,ixb053000,irina borovkov,Classical and Molecular Genetics Workshop 
MIS,6308,0W1,,14,13,7,13,2,,3,,,,,,1,"Raghunathan, Srinivasan","Srivastava, Smriti","Xie, Si",,,,sraghu,srinivasan raghunathan,System Analysis and Project Management 
MECH,3320,0U1,5,7,11,11,11,3,4,,1,1,,,,0,"Fadda, Dani Z","Mahmoudi, Mohammadreza",,,,,dzf091000,dani fadda,Heat Transfer 
ACCT,6384,0W1,,37,9,6,,,,,,,,,1,1,"Kromer, Jeffrey",,,,,,jrk013000,jeffrey kromer,Analytical Reviews Using Audit Software 
MATH,2418,0U1,5,6,4,4,9,1,6,7,1,,4,2,6,0,"Dahal, Rabin","Kravetc, Pavel","Yu, Shi",,,,rxd153030,rabin dahal,Linear Algebra 
ACCT,6365,5U1,,12,11,15,10,4,4,,,,,,,0,"Cheng, Samuel","Chu, Yu Fang",,,,,sxc109021,samuel cheng,Governmental and Not-For-Profit Accounting 
OB,6301,0W1,,48,,,7,,,1,,,,,,0,"Hasenhuttl, Maria","Kim, Dong Shin",,,,,h1562,maria hasenhuttl,Organizational Behavior 
OB,6301,0W2,,48,,,7,,,1,,,,,,0,"Hasenhuttl, Maria","Kim, Dong Shin",,,,,h1562,maria hasenhuttl,Organizational Behavior 
CHEM,2323,0U1,7,20,4,3,4,2,6,1,6,,,,1,2,"Cortes, Sergio J","Siddiki, A K M Nur Alam","Bhadran, Abhi",,,,scortes,sergio cortes,Introductory Organic Chemistry I 
MECO,6303,0W1,,12,10,7,9,3,5,11,,,,,,0,"Lewin, Peter","Zhao, Yabo",,,,,plewin,peter lewin,Business Economics 
ITSS,3300,5U1,,38,10,1,3,3,2,1,,,,,,0,"Owens, Sean M","Luo, Ning",,,,,smo150330,sean owens,Information Technology for Business 
OPRE,3310,5U1,8,15,4,20,4,3,2,,,,,,,2,"Kucukgul, Can",,,,,,cxk151030,can kucukgul,Operations Management 
FIN,6301,0W1,,49,,,7,,,2,,,,,,1,"El-Ashmawi, Amal H",,,,,,ahe013000,amal el ashmawi,Financial Management 
IMS,6360,0W1,,53,5,,1,,,,,,,,,0,"Siklar, Kurt",,,,,,kxs014600,kurt siklar,International Strategic Management 
CRIM,3324,0W1,4,11,5,18,8,3,1,2,3,1,,1,2,0,"Hayslip, Melissa P",,,,,,mpb150030,melissa hayslip,Gender  Crime  and Justice 
BIOL,2312,0U1,5,13,6,8,10,4,4,3,1,2,1,2,1,0,"Candas, Mehmet","Soladogun, Adedamola S","Daescu, Kelly J",,,,candas,mehmet candas,Introduction to Modern Biology II 
COMD,7345,0U1,,45,,,5,,,,,,,,,0,"Cook, Lori G","Berglund, Amy",,,,,lgc011100,lori cook,Pediatric Traumatic Brain Injury 
OPRE,3310,0U2,9,20,11,9,8,3,1,,,,,,,0,"Chen, Jiayu",,,,,,jxc144030,jiayu chen,Operations Management 
BIOL,2311,0U1,3,16,15,10,6,2,1,2,1,1,1,2,,1,"Candas, Mehmet","Yetkin, Celal E","Ratna, Tahira Amdid",,,,candas,mehmet candas,Introduction to Modern Biology I 
