Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
EPPS,6316,501,,9,8,4,5,1,,1,,,,,,,,,3,,"Krajewski, Andrew T","Yoon, Youngseok","Medhi, Kashmiri",,,
EPPS,6323,001,,15,4,4,,,,,,,,,,,,,,,"Ho, Ka-Yiu","Chan, Chun Man",,,,
EPPS,6326,501,,4,2,4,2,,2,1,,,,,2,,,,,,"Tiefelsdorf, Michael R","Yang, Yalin",,,,
EPPS,6346,001,,10,2,1,,,,,,,,,,,1,,,,"Gavigan, Brenda B",,,,,
EPPS,6354,001,,11,4,4,,1,,,,,,,,,,,,,"Ho, Ka-Yiu","Chan, Chun Man",,,,
FILM,1303,001,25,6,1,,,1,2,,,,,,,,,,,,"Shafek, Amal S",,,,,
FILM,1303,002,25,8,1,,,,,,,,,,,,,,,,"Shafek, Amal S",,,,,
FILM,1303,003,9,7,7,5,1,,1,,,1,,,3,,,,,,"Prakash, Arya",,,,,
FILM,1303,004,4,18,6,1,,1,,,,,,,1,,,,1,,"Biswas, Madhavi",,,,,
FILM,2332,001,7,9,6,3,2,3,1,,,,,,1,,,,,,"Oliver, Stephanie R",,,,,
FILM,2332,002,22,9,2,1,4,1,,,,,,,,,,,,,"Mahan, Mazyar",,,,,
FILM,2332,003,9,7,6,4,3,5,,2,1,,,,3,,,,,,"Wellborn, Brecken H",,,,,
FILM,2332,004,11,9,2,4,2,,1,2,1,,,,1,,,,,,"Cooper, Dalton W",,,,,
FILM,2332,0W1,1,7,2,6,13,4,6,1,,,2,,1,,,,1,,"Cooper, Mark","Hay, Celia",,,,
FILM,2332,0W2,3,4,2,3,14,4,3,3,3,,,,2,,,,2,,"Cooper, Mark","Hay, Celia",,,,
FILM,2332,501,,4,2,4,10,9,7,3,7,2,1,1,1,,,,1,,"Petty, John E","Khoshniat, Ahmad","Zhang, Yan",,,
FILM,3321,001,4,5,2,3,1,1,,,,,,,2,,,,2,,"McLean, Adrienne L",,,,,
FILM,3342,001,6,7,3,2,2,,,,,,,,,,,,1,,"Berger, Hanno",,,,,
FIN,3300,001,,16,,,13,,,4,,,1,,4,,,,,,"Oyima-Antseleve, Ndackyssa",,,,,
FIN,3300,0W1,,36,,,11,,,1,,,,,,,,,,,"Lynch, Julie","Khadayate, Nikhar",,,,
FIN,3305,001,,5,1,2,2,1,,4,4,,4,1,2,,,,,,"Guttery, Randall","Orekan, Paullina K",,,,
FIN,3305,002,1,3,7,2,7,2,3,2,3,,3,,4,,,,,,"Guttery, Randall","Orekan, Paullina K",,,,
FIN,3305,003,1,2,2,3,3,2,1,2,3,1,,,2,,,,1,,"Guttery, Randall","Orekan, Paullina K",,,,
FIN,3320,001,,15,6,6,8,6,3,12,,,,,2,,,,1,,"Wang, Pingle","Sawal, Jyoti A",,,,
FIN,3320,002,3,2,3,4,6,3,6,5,1,2,,3,3,,,,,,"Oyima-Antseleve, Ndackyssa",,,,,
FIN,3320,003,,13,3,4,7,8,5,1,3,,1,,,,,,,,"Mace, Christopher","Chai, Maoyuan",,,,
FIN,3320,004,,5,11,7,5,4,5,8,,,3,,,,,,,,"Li, Jun","Baniwal, Vedant",,,,
