Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ENTP,6315,501,,2,5,2,1,1,,,,,,,,,"Pedigo, Madison F",,,,,,mfp013000,madison pedigo,Entrepreneurial Finance 
FIN,4334,501,,1,1,1,1,2,,1,1,,,1,2,,"Kaplan, Larry S",,,,,,lsk140130,larry kaplan,Insurance Law and Contracts 
OPRE,6398,002,,5,,,6,,,,,,,,,,"Alimirzaei, Athena","Armaghan, Milad",,,,,axa134231,athena alimirzaei,Prescriptive Analytics 
ARTS,2316,501,2,5,4,,,,,,,,,,,,"Egan, Trey T",,,,,,tte150130,trey egan,Painting Foundations 
OPRE,6382,0W1,,10,,1,,,,,,,,,,,"Vicario, Joe","Divin, Diane",,,,,jav170030,,Import and Export Trade Compliance 
THEA,3310,501,2,8,1,,,,,,,,,,,,"Hibbs, Shelby A",,,,,,sah140730,shelby hibbs,Theatre Performance Ensemble 
CE,3102,101,,9,,,2,,,,,,,,,,"Hu, Yang","Bo, Yu","Wei, Haoran","Azarang, Arian",,,yxh177430,yang hu,Signals and Systems Laboratory 
CE,3110,101,2,1,,2,,,3,1,1,,1,,,,"Lee, Jeong-Bong","Liu, Jinbo",,,,,jblee,jeong bong lee,Electronic Devices Laboratory 
CE,3110,105,4,3,,3,1,,,,,,,,,,"Lee, Jeong-Bong","Choi, Ye I",,,,,jblee,jeong bong lee,Electronic Devices Laboratory 
EE,3111,103,1,9,,,,1,,,,,,,,,"Lee, Gil S","Chen, Chen",,,,,gslee,gill lee,Electronic Circuits Laboratory 
EE,3120,105,,10,,,,,,,,,,,1,,"Zhou, Dian","Wang, Yifan",,,,,zhoud,dian zhou,Digital Circuits Laboratory 
PSCI,6350,001,,5,2,1,2,,,,,,,,1,,"Brandt, Patrick",,,,,,pxb054000,patrick brandt,Logic  Methodology  and Scope of Political Science 
HMGT,6324,0W1,,10,,1,,,,,,,,,,,"Ziegler, Laurie","Lu, Xi",,,,,ziegler,laurie ziegler,Healthcare Negotiation and Dispute Resolution 
GEOS,5315,001,,4,5,1,1,,,,,,,,,,"Manton, William I",,,,,,manton,william manton,The Earth  An Overview 
NATS,3343,001,,6,,1,2,,,1,,,,,1,,"Dorsey, Floyd Z",,,,,,fzd110020,floyd dorsey,Classroom Interactions 
NATS,3343,002,,3,4,,,2,,,,,,1,1,,"McConnell, James S","Kirkland, Pamela I",,,,,jsm019600,james mcconnell,Classroom Interactions 
PHYS,2126,117,2,7,1,,,,,,,,,,1,,"Sun, Kuei","Koirala, Pawan",,,,,kxs147030,kuei sun,Physics Laboratory II 
MECO,7312,001,,,,,,,,,,,,,,,"Chiong, Khai X",,,,,,kxc173030,khai chiong,Advanced Statistics and Probability 
BIS,3320,005,,2,2,2,3,,1,1,,,,,,,"Pogue, Neall W",,,,,,nxp174730,neall pogue,The Nature of Intellectual Inquiry 
ECON,5397,501,,10,1,,,,,,,,,,,,"Valcarcel, Victor J",,,,,,vjv150130,victor valcarcel,Special Topics in Economics 
MIS,6363,001,,5,4,,2,,,,,,,,,,"Ahluwalia, Gurvinder S","Dandra, Pravin Basanna",,,,,gsa021000,gurvinder ahluwalia,Cloud Computing 
HUSL,7372,001,,5,2,4,,,,,,,,,,,"Hatfield, Charles D",,,,,,cxh074100,charles hatfield,Advanced Studies in Literature and Society 
GISC,4380,001,,3,,1,3,3,,,,,1,,,,"Yuan, May","Karale, Yogita Y",,,,,mxy141230,,Spatial Concepts and Organization 
DANC,3340,001,,3,5,1,1,1,,1,,,,,,,"Hanlon, Michele J",,,,,,mhanlon,,Dance in Historical Context 
ATCM,4319,002,3,5,1,,2,1,,,,,,,,,"Kitagawa, Midori",,,,,,mxk047100,,Topics in Animation 
CS,7301,004,,11,1,,,,,,,,,,,,"Wu, Wei L","Li, Yi",,,,,wxw020100,weili wu,Recent Advances in Computing 
EE,3101,102,,6,,1,2,1,1,,,,,,1,,"Friedman, Joseph S","Bo, Yu","Thakur, Sneha","Nahar, Lubaba M",,,jsf160330,joseph friedman,Electrical Network Analysis Laboratory 
GEOG,3304,001,2,4,3,,1,,1,,,,,,1,,"Shah, Muna",,,,,,mxs137630,,Principles of Geospatial Information Sciences 
AMS,4304,001,,3,2,2,2,,,,1,1,,,1,,"Naqvi, Syed K",,,,,,skn180000,syed naqvi,Communication in America 
ED,4352,501,,4,3,1,1,2,1,,,,,,,,"McNulty, Angela B",,,,,,mcnulty,,Reading I  Learning to Read 
BUAN,6340,003,,4,3,3,2,,,,,,,,,,"Ge, Ling","Shankar, Santhosh",,,,,lxg180006,,Programming for Data Science 
FIN,4337,501,1,2,3,3,,,,2,1,,,,,,"Richards, James R",,,,,,jrr013500,james richards,Business Valuation 
IMS,6365,001,,8,2,2,,,,,,,,,,,"Woldu, Habte G","Dakshinamoorthy, Sowmika",,,,,wolduh,habte woldu,Cross-Culture Communication and Management 
MIS,6378,001,,4,2,1,1,4,,,,,,,,,"Bradbury, Judd D","Sharma, Aman",,,,,jdb101000,judd bradbury,Enterprise Systems and CRM 
MATH,6324,001,,5,3,4,,,,,,,,,,,"Rachinskiy, Dmitry",,,,,,dxr124030,dmitry rachinskiy,Applied Dynamical Systems I 
CE,3345,003,1,6,,2,2,1,,,,,,,,,"Chida, Anjum","Mousavi, Pooneh",,,,,axc157030,anjum chida,Data Structures and Introduction to Algorithmic Analysis 
ECON,5321,001,,3,1,2,3,,,3,,,,,,,"Hedlund, Jonas","Zhang, Jinglun",,,,,jxh180030,jonas hedlund,Microeconomic Theory for Applications 
EPPS,7313,501,,4,3,2,1,1,,1,,,,,,,"Kim, Dohyeong","Zaychik, Danielle",,,,,dxk132530,dohyeong kim,Descriptive and Inferential Statistics 
MECO,6312,0W1,,1,1,3,2,4,1,,,,,,,,"Blueshtein, Moran","Oyima-Antseleve, Ndackyssa",,,,,mxb135230,moran blueshtein,Applied Econometrics and Time Series Analysis 
OPRE,6367,001,,12,,,,,,,,,,,,,"Parks, David","Seripalli, Dilip Kumar",,,,,dxp153830,david parks,Capstone Projects in Supply Chain Management 
BIOL,4356,001,4,3,,2,2,1,,,,,,,,,"Du, Heng","Srikanth, Uma","Gauba, Esha",,,,hxd131030,heng du,Molecular Neuropathology 
HONS,3112,HN1,4,2,1,3,1,,1,,,,,,,,"Kaplan, Marilyn R",,,,,,mkaplan,marilyn kaplan,Contemporary Topics in Business 
ACCT,6370,501,,6,4,1,1,,,,,,,,,,"Betanzos, Christina L",,,,,,clb120030,christina betanzos,Business Law 
ENTP,6380,501,,3,,3,3,1,,2,,,,,,,"Picken, Joseph C",,,,,,jcp016300,joseph picken,Market Entry Strategies 
MIS,6320,501,,6,1,1,2,1,1,,,,,,,,"Cavusoglu, Huseyin","Pham, Trang T",,,,,huseyin,huseyin cavusoglu,Database Foundations 
FIN,6315,501,,,4,3,5,,,,,,,,,,"Pedigo, Madison F",,,,,,mfp013000,madison pedigo,Entrepreneurial Finance 
MIS,6369,501,,6,,,6,,,,,,,,,,"Deluke, Eugene","Gaglani, Kajal M",,,,,gxd052000,eugene deluke,Supply Chain Software 
HUHI,6351,001,,5,3,3,1,,,,,,,,,,"Gossin, Pamela",,,,,,psgossin,pamela gossin,History and Philosophy of Science and Technology 
HCS,7351,001,,12,,,,,,,,,,,,,"Thompson, Lucien",,,,,,tres,lucien thompson,Aging and the Nervous System 
BMEN,3120,101,,2,2,2,4,,2,,,,,,,,"Winter, Patrick M","Atmaramani, Rahul","Lam, Kevin Hao Su","Abbott, Justin","Ganguly, Antra",,pxw151030,patrick winter,Biomedical Circuits and Instrumentation Laboratory 
BMEN,3120,106,,5,1,3,2,,,,,,,,1,,"Ali, Tariq M","Atmaramani, Rahul",,,,,tma051000,tariq ali,Biomedical Circuits and Instrumentation Laboratory 
BMEN,3120,108,4,2,3,3,,,,,,,,,,,"Ali, Tariq M","Lam, Kevin Hao Su",,,,,tma051000,tariq ali,Biomedical Circuits and Instrumentation Laboratory 
EE,3101,105,,10,,1,,,,,,,,,1,,"Friedman, Joseph S","Li, Chen","Nahar, Lubaba M",,,,jsf160330,joseph friedman,Electrical Network Analysis Laboratory 
EE,3110,104,2,6,,,1,,,,2,,,,1,,"Lee, Jeong-Bong","Wang, Zhengyang",,,,,jblee,jeong bong lee,Electronic Devices Laboratory 
EE,3120,101,,11,,,,,,1,,,,,,,"Zhou, Dian","Ren, Jiajun",,,,,zhoud,dian zhou,Digital Circuits Laboratory 
EEPE,7356,001,,11,1,,,,,,,,,,,,"Fahimi, Babak",,,,,,bxf102000,babak fahimi,Computer Aided Design of Electric Machines 
MECH,4382,002,,2,5,2,1,2,,,,,,,,,"Hart, Robert A","Gravell, Jamie D",,,,,rxh124630,robert hart,Senior Design Project II 
SE,4347,502,,8,2,2,,,,,,,,,,,"Culver, Timothy L","Torabi, Behnam",,,,,tlc130230,timothy culver,Database Systems 
CRIM,6313,001,,2,4,3,3,,,,,,,,,,"Vieraitis, Lynne M",,,,,,lmv071000,lynne vieraitis,Corrections 
PSCI,4V67,HN1,10,2,,,,,,,,,,,,,"Kirby, Barbara E",,,,,,bek018000,barbara kirby,Moot Court 
ED,3342,501,,8,3,,,,1,,,,,,,,"Parker, Teresa L",,,,,,tparker,teresa parker,Classroom Management Grades EC - 6 
ED,4345,001,,5,4,1,1,1,,,,,,,,,"Haun, Julia T",,,,,,jlb018300,julia haun,Social Studies Methods for Grades EC - 6 
ED,4345,501,,9,2,,,,,1,,,,,,,"Weiner, Michelle L",,,,,,mxw051000,michelle weiner,Social Studies Methods for Grades EC - 6 
OB,6303,501,,7,4,1,,,,,,,,,,,"Olsztynska, Agnieszka",,,,,,axo027000,agnieszka olsztynska,Managing Organizations 
SCI,5340,0W1,,12,,,,,,,,,,,,,"Stuart, Georgia K",,,,,,gks090020,,Statistics for Science Mathematics Education 
HCS,7121,001,,,,,,,,,,,,,,,"Kroener, Sven",,,,,,sxk101000,sven kroener,Graduate Seminar in Systems Neuroscience 
BUAN,6V99,004,,10,,,,,,,,,,,,,"Jilani, Shakoor A","Dheram, Geyasruti",,,,,saj042000,shakoor jilani,Special Topics in Business Analytics 
HIST,3302,001,,1,5,4,,1,1,1,,,,,,,"Jakobsson, Pia K",,,,,,pkj010100,pia jakobsson,Gender in Western Thought 
LIT,2329,501,3,2,1,1,1,2,2,1,,,,,,,"Starnaman, Sabrina",,,,,,sxs090100,sabrina starnaman,Introduction to Ethnic American Literature 
CLDP,3339,002,,7,,1,1,,,2,1,,1,,,,"Santrock, John W",,,,,,santrock,john santrock,Educational Psychology 
CE,3120,104,,12,,,,,,,,,,,1,,"Zhou, Dian","Ren, Jiajun",,,,,zhoud,dian zhou,Digital Circuits Laboratory 
EE,3110,102,2,5,,4,1,,1,,,,,,,,"Lee, Jeong-Bong","Chen, Ziyu",,,,,jblee,jeong bong lee,Electronic Devices Laboratory 
PA,6348,0W1,,13,,,,,,,,,,,,,"Benavides, Teodoro J",,,,,,tjb051000,teodoro benavides,Navigating the Public Service Workplace 
MATH,6346,001,,2,5,,6,,,,,,,,,,"Cao, Yan",,,,,,yxc069200,yan cao,Medical Image Analysis 
NATS,4141,501,,10,1,1,,1,,,,,,,,,"Gammons Jr, Billy G","McConnell, James S",,,,,bgg021000,,UTeach Apprentice Teaching Seminar 
ACCT,6349,0W1,,12,1,,,,,,,,,,,,"Majumdar, Sumit K","Sun, Geng",,,,,skm021100,sumit majumdar,Managing Digital Strategy 
HONS,3113,HN1,8,5,,,,,,,,,,,,,"Page, Ivor",,,,,,ivor,ivor page,Lives of the Genus Genius 
MIS,6319,501,,9,,,4,,,,,,,,,,"Thompson, Luell O","Pearam, Swetha S",,,,,lot013000,luell thompson,Enterprise Resource Planning 
PSY,3100,501,8,4,1,,,,,,,,,,,,"Choate, Michael J",,,,,,mchoate,michael choate,Careers in Psychology 
CS,6301,002,,8,2,3,,,,,,,,,,,"Chandrasekaran, Ramaswamy",,,,,,chandra,ramaswamy chandrasekaran,Special Topics in Computer Science 
ARTS,4368,001,7,6,,,,,,,,,,,,,"Pomara, John",,,,,,pomara,john pomara,Advanced Visual Arts 
BMEN,3120,107,2,3,2,3,2,,,1,,,,,,,"Ali, Tariq M","Ganguly, Antra",,,,,tma051000,tariq ali,Biomedical Circuits and Instrumentation Laboratory 
CE,3101,101,,6,3,,1,,1,,,,,,2,,"Friedman, Joseph S","Thakur, Sneha","Nahar, Lubaba M",,,,jsf160330,joseph friedman,Electrical Network Analysis Laboratory 
MECH,4382,001,,2,5,1,3,2,,,,,,,,,"Hart, Robert A","Gravell, Jamie D","Wilt, James C",,,,rxh124630,robert hart,Senior Design Project II 
AMS,4300,001,13,,,,,,,,,,,,,,"Starke, Tamera",,,,,,txs180008,,Oral and Written Communication for the Classroom 
ED,4363,001,,5,5,,2,1,,,,,,,,,"Leek, Patricia A",,,,,,santine,patricia leek,Reading II ELAR Methods 
ENTP,3360,001,1,,2,,3,3,1,2,1,,,,,,"Pedigo, Madison F",,,,,,mfp013000,madison pedigo,Entrepreneurial Finance 
HMGT,6331,CH1,,10,2,,1,,,,,,,,,,"Jacob, Stephen",,,,,,,stephen jacob,
SYSM,6312,SS1,,4,3,1,3,2,,,,,,,,,"Sanderson, Scott",,,,,,,scott sanderson,
CHEM,6V69,501,,12,1,,,,,,,,,,,,"Lee, Jiyong",,,,,,jxl127631,jiyong lee,Special Topics in Biochemistry 
MATH,3303,001,2,1,3,3,2,,,,1,1,,,,,"Lalani, Amin",,,,,,axl120130,amin lalani,Introduction to Mathematical Modeling 
PHYS,4386,501,4,4,3,,1,1,,,,,,,,,"Lou, Xinchou",,,,,,xinchou,,Elementary Particle Physics 
BIOL,6252,001,,,,,,,,,,,,,,,"Kim, Tae Hoon",,,,,,txk142630,,Current Research in Molecular Biology 
AUD,7V82,001,,,,,,,,,,,,,,,"Thibodeau, Linda K",,,,,,thib,linda thibodeau,Special Topics in Hearing Science and Audiology 
AUD,7338,001,,4,5,2,1,,,,,,,,,,"Cokely, Carol G","Fowler, Stephanie L",,,,,cgc016200,,Research in Audiology 
SE,6356,MS1,,6,,2,1,,2,,,,,,1,,"Marcus, Andrian","Chaparro Arenas, Oscar Javier",,,,,axm141731,andrian marcus,
HUSL,6308,001,,6,1,4,1,1,,,,,,,,,"Cotter, Sean J",,,,,,sjc010100,sean cotter,Studies in Literary Forms and Genres 
BUAN,6346,003,,8,5,,,,,,,,,,,,"Perez, Jerry","Sharma, Supriya",,,,,jxp180019,jerry perez,Big Data 
AUD,7327,001,,8,3,1,1,,,,,,,,,,"Lobarinas, Edward",,,,,,exl152130,,Evaluation and Fitting of Amplification Systems 
PPPE,6329,501,,8,3,1,1,,,,,,,,,,"Leaf, Murray J",,,,,,mjleaf,murray leaf,Ethics  Culture  and Public Policy 
ARTS,3315,001,5,8,,,,,,,,,,,1,,"Curry, Val",,,,,,vxc110930,val curry,The Art of Tinkering  Creating at the intersection of Art  Science and Technology 
CRWT,3330,001,,5,4,,2,1,1,1,,,,,,,"Vincent, Shelby D",,,,,,sdv034000,shelby vincent,Translation Workshop 
LIT,3319,001,,3,1,5,,1,1,1,,,,,2,,"Starnaman, Sabrina",,,,,,sxs090100,sabrina starnaman,Contexts 
THEA,2371,001,11,2,,,,,,1,,,,,,,"Trevino, Christopher L",,,,,,clt140330,christopher trevino,Technical Theatre 1 
HDCD,6312,001,,9,4,,1,,,,,,,,,,"Ewing, Donna M",,,,,,dme061000,donna ewing,Atypical Development 
NSC,4353,103,1,1,6,2,3,1,,,,,,,,,"McWilliams, Steven P","Driskill, Christopher M",,,,,sxm127330,steven mcwilliams,Neuroscience Laboratory Methods 
