Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ACCT,6335,0W1,,18,15,12,9,6,4,,,,,,1,,,,,0,"Bortz, Tiffany A","Sam, Brittany R",,,,,tabortz,tiffany bortz,Ethics for Professional Accountants 
ACCT,6335,PP1,,12,5,3,3,,,1,,,,,,,,,,0,"Bortz, Tiffany A","Sam, Brittany R",,,,,tabortz,tiffany bortz,
ACCT,6335,PP2,,13,11,5,5,,,,,,,,,,,,,0,"Bortz, Tiffany A","Sam, Brittany R",,,,,tabortz,tiffany bortz,
ACCT,6336,501,,8,8,2,5,2,,,,,,,,,,,,0,"Mauriello, Joseph A",,,,,,jam151430,joseph mauriello,Information Technology Audit and Risk Management 
ACCT,6338,0W1,,7,2,3,12,3,,3,,,,,,,,,,0,"Goodrich, Mary Beth W","Zhang, Ye","Quinto, Christine D",,,,goodrich,mary beth goodrich,Accounting Systems Integration and Configuration 
ACCT,6344,0W1,,21,25,9,7,5,1,,,,,,,,,,,1,"Gurun, Umit G","Yayvak, Berk",,,,,ugg041000,umit gurun,Financial Statement Analysis 
ACCT,6345,PP1,,7,16,10,2,,,1,,,,,,,,,,0,"Janakiraman, Surya N","Parupati, Sunil K",,,,,suryaj,surya janakiraman,
ACCT,6353,501,,9,6,2,3,2,2,3,,,,,1,,,,,0,"Gamino, John P",,,,,,jpg140630,john gamino,Fundamentals of Taxation II 
ACCT,6356,PP1,,7,4,6,5,2,,,,,,,,,,,,0,"Gamino, John P",,,,,,jpg140630,john gamino,
ACCT,6374,1,,7,21,8,1,,,,,,,,,,,,,0,"Mauriello, Joseph A","Gotham, Albert J",,,,,jam151430,joseph mauriello,Advanced Data Analytics for Accountants and Auditors 
ACCT,6377,501,,5,4,5,3,1,3,,,,,,1,,,,,0,"Ballew, Gregory",,,,,,geb011100,gregory ballew,Corporate Governance 
ACCT,6380,501,,2,1,5,1,,1,,,,,,,,,,,0,"Mauriello, Joseph A","Gotham, Albert J",,,,,jam151430,joseph mauriello,Internal Audit 
ACCT,6384,S01,,13,2,1,,2,,,,,,,,,,,,0,"Kromer, Jeffrey R",,,,,,jrk013000,jeffrey kromer,
ACCT,6384,501,,30,3,3,,1,,1,,,,,2,,,,,1,"Kromer, Jeffrey R","Gonzalez, Jacob E",,,,,jrk013000,jeffrey kromer,Analytical Reviews Using Audit Software 
ACCT,6392,501,,8,4,4,3,2,,2,,,,,,,,,,0,"Mauriello, Joseph A",,,,,,jam151430,joseph mauriello,Advanced Auditing 
ACN,6313,1,,7,4,2,1,,,,,,,,,,,,,0,"Fearon, Danielle","Behboudi, Mohammad Hossein",,,,,dxf220005,danielle fearon,Research Methods in Behavioral and Brain Sciences - Part II 
ACN,6313,501,,9,5,4,2,,2,,,,,,,,,,,2,"Abdi, Herve","Moraglia, Luke E",,,,,herve,herve abdi,Research Methods in Behavioral and Brain Sciences - Part II 
ACN,6323,1,,12,1,,1,,,,,,,,,,,,,0,"Engineer, Crystal T",,,,,,novitski,crystal engineer,Neurophysiology 
ACN,6330,1,,10,6,5,3,,1,,,,,,,,,,,0,"Seaman, Kendra L",,,,,,kls190004,kendra seaman,Cognitive Science 
ACN,6332,501,,18,3,1,2,3,1,1,,,,,1,,,,,0,"Raman, Rachna",,,,,,rxr076000,rachna raman,Perception 
ACN,6333,1,,10,6,1,2,2,,2,,,,,,,,,,2,"Basak, Chandramallika",,,,,,cxb116130,chandramallika basak,Memory 
ACN,6338,1,,4,,,6,,,1,,,,,,,,,,1,"Kennedy, Kristen M","Glotfelty, Annette R",,,,,kmk082000,kristen kennedy,Functional Neuroanatomy 
ACN,6338,2,,14,,,10,,,,,,,,,,,,,0,"Sultana, Rukhsana",,,,,,rxs170431,rukhsana sultana,Functional Neuroanatomy 
ACN,6340,1,,8,4,1,1,,1,1,,,,,1,,,,,2,"Kim, Diana P",,,,,,dpk220003,diana kim,Cellular Neuroscience 
ACN,6342,0W1,,30,2,1,,1,,,,,,,,,,,,0,"Orrick, Erika D",,,,,,edo042000,erika orrick,Applied Human-Computer Interaction 
ACN,6374,0H1,,9,1,1,1,,,,,,,,,,,,,0,"Jahangiri, Faisal R",,,,,,frj190000,faisal jahangiri,Intraoperative Neurophysiological Monitoring 
ACN,7343,1,,17,2,1,1,,,,,,,,,,,,,0,"Thompson, Lucien T",,,,,,tres,lucien thompson,Neuropharmacology 
ACTS,4301,1,7,4,3,2,,1,3,2,2,,2,1,4,,,,,0,"Makhijani, Neha","Goel, Jaidev",,,,,nxm165130,neha makhijani,Long Term Actuarial Mathematics I 
ACTS,4302,1,,2,4,3,3,2,3,2,,3,2,,3,,,,,1,"Humphreys, Natalia","Goel, Jaidev",,,,,nah103020,natalia humphreys,Investment and Financial Markets 
ACTS,4305,1,1,,4,3,1,3,1,2,2,,,1,,,,,,0,"Humphreys, Natalia","Liu, Jingzhou",,,,,nah103020,natalia humphreys,Short Term Actuarial Mathematics II 
ACTS,4310,1,4,5,2,1,,2,,,,,,,,,,,,0,"Hong, Liang",,,,,,lxh019000,liang hong,Predictive Analytics 
AHST,1303,1,17,23,20,9,8,14,5,5,4,1,3,2,1,,,,,3,"McDonald, Jacquelyn D","Jafarpour, Zahra","Song, Haoyi",,,,jmd074000,jacquelyn mcdonald,Survey of Western Art History  Ancient to Medieval 
AHST,1303,2,26,14,22,11,10,11,6,3,1,2,,2,6,,,,,1,"McDonald, Jacquelyn D","Enyaosah, Damian P","Baigmoradi, Fatemeh",,,,jmd074000,jacquelyn mcdonald,Survey of Western Art History  Ancient to Medieval 
AHST,2331,0S1,,14,5,1,,,,,,,,,,,,,,0,"Rosen, Mark S",,,,,,mxr088000,mark rosen,Understanding Art 
AHST,2331,1,25,31,29,33,21,12,6,2,7,,1,1,6,,,,,1,"Rosen, Mark S","Barnes, Claudia","Esmail, Fatima N",,,,mxr088000,mark rosen,Understanding Art 
AHST,3320,1,24,9,11,2,3,,1,,2,,,,1,,,,,0,"Alibhai, AliAsgar H","Sahin, Merve",,,,,aha180002,ali alibhai,Art in Historical Context 
AHST,4342,1,,3,5,2,5,7,3,2,,,1,,1,,,,,0,"Thomas, Michael L",,,,,,mxt190021,,Topics in Art History 
AHST,6321,1,,9,,,,1,,,,,,,,,,,,0,"Alibhai, AliAsgar H",,,,,,aha180002,ali alibhai,Topics in Global Art Histories 
AMS,2300,2,,6,13,12,11,3,2,5,1,1,,,1,,,,,0,"Pogue, Neall W",,,,,,nxp174730,neall pogue,American Popular Culture 
