Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ACCT,6305,002,,34,,9,,,,,,,,,,4,,,0,"Loumioti, Maria",,,,,,mxl175830,maria loumioti,Accounting for Managers 
ACCT,6305,0W1,,5,14,4,2,2,,,,,,,,7,,,0,"Janakiraman, Surya","Tatiparti, Venu Madhav",,,,,suryaj,surya janakiraman,Accounting for Managers 
ACCT,6305,501,,34,1,11,,,,,,,,,,3,,,1,"Loumioti, Maria",,,,,,mxl175830,maria loumioti,Accounting for Managers 
ACCT,6320,0W1,,4,2,,3,,,,,,,,2,3,,,0,"Cavusoglu, Huseyin","Tunc, Murat M",,,,,huseyin,huseyin cavusoglu,Database Foundations 
ACCT,6330,501,,11,,,11,,,2,,,,,1,3,,,2,"Cready, William M","Gencer, Nur Pinar",,,,,wmc041000,william cready,Intermediate Financial Accounting I 
ACCT,6331,501,,2,1,3,2,2,,,,,,,,1,,,2,"Janakiraman, Surya","Tatiparti, Venu Madhav",,,,,suryaj,surya janakiraman,Cost Accounting 
ACCT,6332,501,,13,,,10,,,,,,,,,8,,,2,"Zolton, Kathy","Thompson, Colby S",,,,,kxz121730,kathy zolton,Intermediate Financial Accounting II 
ACCT,6332,SS1,,5,3,4,2,1,1,,,,,,,1,,,0,"Zhang, Jieying","Gu, Dongdi",,,,,jxz146230,jieying zhang,
ACCT,6333,001,,7,,,7,,,1,,,,,,11,,,0,"Zolton, Kathy","Thompson, Colby S",,,,,kxz121730,kathy zolton,Advanced Financial Reporting 
ACCT,6333,0W1,,10,,,9,,,1,,,,,,9,,,0,"Zolton, Kathy","Thompson, Colby S",,,,,kxz121730,kathy zolton,Advanced Financial Reporting 
ACCT,6334,501,,11,,,7,,,,,,,,,,,,0,"Linsteadt, Chris C","Truong, Timothy T",,,,,ccl019000,chris linsteadt,Auditing 
ACCT,6334,SS1,,10,,,5,,,1,,,,,,1,,,0,"Linsteadt, Chris C","Truong, Timothy T",,,,,ccl019000,chris linsteadt,
ACCT,6335,0W1,,11,11,7,19,3,,7,,,,,1,,,,1,"Bortz, Tiffany A","Lietha, Cassidy R",,,,,tabortz,tiffany bortz,Ethics for Professional Accountants 
ACCT,6335,PP1,,11,5,3,7,,,,,,,,,,,,0,"Bortz, Tiffany A","Lietha, Cassidy R",,,,,tabortz,tiffany bortz,Ethics for Professional Accountants 
ACCT,6335,PP2,,11,9,2,6,,,,,,,,,11,,,0,"Bortz, Tiffany A","Lietha, Cassidy R",,,,,tabortz,tiffany bortz,Ethics for Professional Accountants 
ACCT,6336,501,,14,4,3,2,,,,,,,,,8,,,1,"Mauriello, Joseph A","Truong, Timothy T",,,,,jam151430,joseph mauriello,Information Technology Audit and Risk Management 
ACCT,6338,501,,16,1,2,3,,,,,,,,,8,,,0,"Goodrich, Mary Beth W","Ajayi, Olamiposi O",,,,,goodrich,mary beth goodrich,Accounting Systems Integration and Configuration 
ACCT,6343,0W1,,3,8,2,,,,,,,,,,5,,,0,"Johnson, Jennifer","Nunez, Belinda A",,,,,jxj091000,jennifer johnson,Accounting Information Systems 
ACCT,6344,0W1,,13,11,7,2,,,,,,,,,14,,,2,"Gurun, Umit","Gencer, Nur Pinar",,,,,ugg041000,umit gurun,Financial Statement Analysis 
ACCT,6344,501,,15,5,2,2,,1,,,,,,,8,,,0,"Bowen, Richard M","Wilson, Ravin M",,,,,rxb073100,richard bowen,Financial Statement Analysis 
