Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
BIOL,2111,0U1,6,1,4,2,2,4,2,,,,,,,,,0,"Sarcar, Subha N","Kwende, Sharon A","Xu, Linyi",,,,sns064000,subha sarcar,Introduction to Modern Biology Workshop I 
BIOL,2112,0U1,3,3,2,1,7,1,1,3,2,1,1,1,6,,,4,"Wu, Zhuoru","Tiwari, Suman","Alemi, Parinazsadat","Chase, Rebecca L",,,zxw190014,,Introduction to Modern Biology Workshop II 
BIOL,2112,0U2,10,1,2,3,4,2,1,,,1,1,2,7,,,3,"Wu, Zhuoru","Tiwari, Suman","Chase, Rebecca L","Alemi, Parinazsadat",,,zxw190014,,Introduction to Modern Biology Workshop II 
BIOL,2281,3U1,1,2,4,1,3,3,1,1,1,,,,1,,,1,"Lin, Wen J","Xia, Jing","Easterwood, Shayne","Basu, Ujjaini","Do, Hung P","Mittal, Shubham",wenju,wen ju lin,Introductory Biology Laboratory 
BIOL,2281,3U3,,3,4,1,1,1,,2,,,1,,1,,,1,"Lin, Wen J","Xia, Jing","Easterwood, Shayne","Basu, Ujjaini","Do, Hung P","Mittal, Shubham",wenju,wen ju lin,Introductory Biology Laboratory 
BIOL,2281,3U4,1,4,4,3,3,1,1,1,,,,1,,,,0,"Lin, Wen J","Ratevosyan, Richard","Mittal, Shubham","Do, Hung P","Basu, Ujjaini","Easterwood, Shayne",wenju,wen ju lin,Introductory Biology Laboratory 
BIOL,2311,0U1,6,1,4,2,2,4,2,,,,,,,,,0,"Sarcar, Subha N","Xu, Linyi","Kwende, Sharon A",,,,sns064000,subha sarcar,Introduction to Modern Biology I 
BIOL,2312,0U1,13,4,4,4,11,3,2,3,2,2,2,3,13,,,7,"Wu, Zhuoru","Tiwari, Suman","Chase, Rebecca L","Alemi, Parinazsadat",,,zxw190014,,Introduction to Modern Biology II 
BIOL,3101,0U1,12,5,8,5,2,5,,1,,,,,,,,2,"Srikanth, Uma","Afolami, Olufemi Ifeoluwa",,,,,ukrish,uma srikanth,Classical and Molecular Genetics Workshop 
BIOL,3101,0U2,5,13,6,1,3,2,2,2,1,2,2,,,,,1,"Srikanth, Uma","Salaudeen, Ibrahim O",,,,,ukrish,uma srikanth,Classical and Molecular Genetics Workshop 
BIOL,3101,0U3,3,6,1,2,2,5,1,3,2,1,1,,,,,0,"Srikanth, Uma","Salamat, Narges",,,,,ukrish,uma srikanth,Classical and Molecular Genetics Workshop 
BIOL,3101,0U4,5,2,1,1,1,4,1,1,,4,,,1,,,0,"Srikanth, Uma","Bach, Thao Nguyen",,,,,ukrish,uma srikanth,Classical and Molecular Genetics Workshop 
BIOL,3101,0U5,5,10,3,1,4,5,3,2,,2,,,,,,0,"Srikanth, Uma","Akter, Zakia",,,,,ukrish,uma srikanth,Classical and Molecular Genetics Workshop 
BIOL,3101,0U6,,5,1,,1,4,2,,1,,,,,,,1,"Srikanth, Uma","Zaheen Khan, Fabiha",,,,,ukrish,uma srikanth,Classical and Molecular Genetics Workshop 
BIOL,3102,0U1,,,2,2,,,3,,1,,4,2,,,,1,"Srikanth, Uma","Yamauchi, Stephanie A",,,,,ukrish,uma srikanth,Eukaryotic Molecular and Cell Biology Workshop 
BIOL,3102,0U3,1,2,2,2,1,5,4,,,,,4,,,,2,"Srikanth, Uma","Patel, Umar J",,,,,ukrish,uma srikanth,Eukaryotic Molecular and Cell Biology Workshop 
BIOL,3161,0U1,,4,6,7,2,6,4,2,3,2,,,1,,,1,"Candas, Mehmet","Lakoduk, Ashley",,,,,candas,mehmet candas,Biochemistry Workshop I 
BIOL,3161,0U2,,1,2,5,1,,1,1,,,,,,,,0,"Candas, Mehmet","Lakoduk, Ashley",,,,,candas,mehmet candas,Biochemistry Workshop I 
BIOL,3162,0U2,,1,3,6,1,3,3,3,2,1,1,,,,,0,"Candas, Mehmet","Lakoduk, Ashley",,,,,candas,mehmet candas,Biochemistry Workshop II 
BIOL,3301,0U1,30,41,20,10,13,25,9,9,4,9,3,,1,,,4,"Srikanth, Uma","Afolami, Olufemi Ifeoluwa","Akter, Zakia","Salamat, Narges","Salaudeen, Ibrahim O","Bach, Thao Nguyen",ukrish,uma srikanth,Classical and Molecular Genetics 
BIOL,3302,0U1,1,2,4,4,1,5,7,,1,,4,6,,,,3,"Srikanth, Uma","Patel, Umar J","Ballew, Luke","Yamauchi, Stephanie A",,,ukrish,uma srikanth,Eukaryotic Molecular and Cell Biology 
BIOL,3318,0U1,4,24,25,14,6,6,1,2,3,1,1,,1,,,0,"Henson, Uyen N",,,,,,unh130030,uyen henson,Forensic Biology 
BIOL,3361,0U1,,5,8,12,2,5,5,2,3,2,,,1,,,1,"Candas, Mehmet","Lakoduk, Ashley","Falah, Rafah M","Yaqub, Muneer O",,,candas,mehmet candas,Biochemistry I 
BIOL,3362,0U1,,1,3,5,1,3,2,2,2,1,,,,,,0,"Candas, Mehmet","Lakoduk, Ashley","Petter, Andrew T","Soladogun, Adedamola S",,,candas,mehmet candas,Biochemistry II 
BIOL,3380,3U1,1,3,1,3,3,4,1,2,1,,,,,,,1,"Rippel, Scott A","Pickett, Elizabeth A","Zhi, Jiahe","Zhabilov, Dannie",,,rippel,scott rippel,Biochemistry Laboratory 
BIOL,3380,3U2,,,,,1,,4,1,2,,,2,,,,0,"Pickett, Elizabeth A","Rippel, Scott A","Zhi, Jiahe","Zhabilov, Dannie",,,eaw016100,elizabeth pickett,Biochemistry Laboratory 
BIOL,3380,3U3,1,,1,2,1,2,3,1,2,2,2,1,2,,,1,"Rippel, Scott A","Pickett, Elizabeth A","Mazambani, Simbarashe","Berisha, Eranda",,,rippel,scott rippel,Biochemistry Laboratory 
BIOL,3380,3U4,,,3,1,1,1,4,2,3,1,1,1,1,,,2,"Pickett, Elizabeth A","Rippel, Scott A","Mazambani, Simbarashe","Berisha, Eranda",,,eaw016100,elizabeth pickett,Biochemistry Laboratory 
BIOL,3455,3U1,1,1,1,2,1,1,2,2,2,2,,3,4,,,1,"Ramirez, Ruben D","Veera, Kavya","Deese, Alexander R","Wickramasinghe, Piumi B",,,rdr092000,ruben ramirez,Human Anatomy and Physiology with Lab I 
BIOL,3455,3U2,,2,1,2,3,4,1,3,3,1,4,4,2,,,2,"Ramirez, Ruben D","Veera, Kavya","Deese, Alexander R","Wickramasinghe, Piumi B",,,rdr092000,ruben ramirez,Human Anatomy and Physiology with Lab I 
BIOL,3456,3U1,1,5,1,1,2,5,3,3,1,2,1,1,,,,2,"Yu, Wen H","Cornelius, Samuel A",,,,,why061000,wen ho yu,Human Anatomy and Physiology with Lab II 
BIOL,3520,3U1,3,6,8,2,3,2,,,,,,,,,,0,"Mehta, Iti","Dahl, Haley C","Shashikanth Raj Urs, Karthik Urs Bangalore",,,,ixm121430,iti mehta,General Microbiology with Lab 
BIOL,3520,3U2,2,5,5,3,4,2,,2,1,,,,,,,0,"Mehta, Iti","Shipman, Braden M","Kunder, Nikesh Prakash",,,,ixm121430,iti mehta,General Microbiology with Lab 
BIOL,3V00,0U1,5,3,5,1,,1,,,,,,,,,,0,"Sarcar, Subha N",,,,,,sns064000,subha sarcar,Topics in Biological Sciences 
BIOL,4380,3U1,2,8,3,2,,2,2,,,,,,1,,,0,"Maynard, Caitlin S","Zhang, Bei","Shryock, Douglas G","Joshi, Ketki","Dhar, Roopal",,cmb170830,,Cell and Molecular Biology Laboratory 
BIOL,5330,0W1,,11,4,,,,,,,,,,,,,0,"Hajeri, Vinita",,,,,,vxh151030,vinita hajeri,Emerging Topics in Biology 
BIS,2190,0W1,9,1,1,,1,,,,1,,,,,,,0,"Edwards, Christopher W","Robinson, Katie L","Slattery, Ryan P",,,,cwe011000,christopher edwards,Library Research Skills 
BIS,3320,091,1,2,2,1,2,1,,,2,,,,,,,2,"Wright, David A",,,,,,wright,david wright,The Nature of Intellectual Inquiry 
BIS,3320,0U1,1,2,3,4,2,,,,,,,,1,,,0,"Wright, David A",,,,,,wright,david wright,The Nature of Intellectual Inquiry 
BLAW,2301,5U1,,4,5,4,6,5,1,5,4,,3,,,,,1,"Betanzos, Christina L",,,,,,clb120030,christina betanzos,Business and Public Law  (3 Semester Credit Hours)
BMEN,3150,1U1,5,2,1,3,1,,1,,1,,,,,,,0,"Ali, Tariq M","Chaudhary, Sugandha",,,,,tma051000,tariq ali,Biomedical Engineering Laboratory 
BMEN,3350,0U1,3,1,,1,1,2,1,2,1,,,,1,,,0,"Ali, Tariq M",,,,,,tma051000,tariq ali,Biomedical Component and System Design 
BMEN,3402,0U1,1,2,,1,1,1,,2,1,,4,,1,,,0,"Ardestani Khoubrouy, Soudeh","Kian Pour, Bahareh",,,,,sxa074200,soudeh khoubrouy,Signals and Systems for Biomedical Engineering 
BMEN,4388,0U1,,2,8,3,4,1,,,,,,,,,,0,"Polk, Todd W","Molaei Imenabadi, Rouzbeh","Kang, Taek",,,,twp017000,todd polk,Senior Design Project I 
BMEN,6V87,0U1,,12,,,,,,,,,,,,,,0,"Porter, Benjamin A",,,,,,bap061000,benjamin porter,Special Topics in Biomedical Engineering 
BPS,4305,5U1,5,8,8,9,6,5,3,2,1,,1,1,,,,1,"Lee, Minjung",,,,,,mxl170026,minjung lee,Strategic Management 
BPS,4395,0U1,,44,,1,,,,1,,,,,,,,0,"Parks, David",,,,,,dxp153830,david parks,Capstone Senior Project - Business 
BPS,6310,0W1,,12,9,12,10,,,,,,,,,,,0,"Xia, Jun","Garg, Suyash",,,,,jxx132030,jun xia,Strategic Management 
BPS,6310,GW1,,7,10,5,1,1,1,,,,,,,,,0,"Choi, Emily",,,,,,exc113230,emily choi,
BPS,7303,0U1,,15,,,,,,,,,,,,,,0,"Watson, John M",,,,,,jmw077000,john watson,Doctoral Teaching and Writing Seminar 
BUAN,6312,0W1,,12,13,6,5,3,3,2,,,,,,,,0,"Blueshtein, Moran","Nguyen, Nam H",,,,,mxb135230,moran blueshtein,Applied Econometrics and Time Series Analysis 
BUAN,6320,5U1,,17,10,8,4,9,,,,,,,,,,0,"Srikanth, K.","Srivastava, Bhupesh K",,,,,kxs018700,,Database Foundations for Business Analytics 
BUAN,6320,SW1,,9,,,2,,,,,,,,1,,,0,"Narayan, Ravishankar L",,,,,,rln130030,ravishankar narayan,
BUAN,6337,0W1,,8,7,7,5,5,1,,,,,,,,,0,"Subramanian, Upender","Madan, Anmol","Roshangarzadeh, Reza",,,,uxs092000,upender subramanian,Predictive Analytics Using SAS 
BUAN,6337,0W2,,11,10,9,13,11,3,,,,,,,,,0,"Subramanian, Upender","Madan, Anmol","Roshangarzadeh, Reza",,,,uxs092000,upender subramanian,Predictive Analytics Using SAS 
BUAN,6340,5U1,,8,10,14,7,1,,,,,,,,,,0,"Pandian, Thiru","Zhu, Wangsheng",,,,,txp190010,thiru pandian,Programming for Data Science 
BUAN,6340,SW1,,6,6,2,2,2,,,,,,,,,,1,"Neouchi, Rabih",,,,,,rxn200012,rabih neouchi,
BUAN,6341,5U1,,8,9,3,3,2,,,,,,,,,,0,"Sabir, Muhammad F","Joseph, Shailender",,,,,mfs170430,muhammad sabir,Applied Machine Learning 
BUAN,6346,5D1,,11,3,5,1,,,,,,,,,,,0,"El-Youssef, Rami","Tang, Ping",,,,,rxe200001,rami el youssef,Big Data 
BUAN,6346,5U1,,25,4,8,3,,,,,,,,,,,1,"El-Youssef, Rami","Tang, Ping",,,,,rxe200001,rami el youssef,Big Data 
BUAN,6346,SU1,,3,3,4,,,,,,,,,,,,0,"Perez, Jerry",,,,,,jxp180019,jerry perez,
BUAN,6346,SW1,,13,7,2,3,1,,,,,,,,,,2,"Paes, Antonio P",,,,,,app210006,antonio paes,
BUAN,6356,5U1,,5,5,,3,2,,1,,,,,,,,0,"Shrivastava, Prakash C","Kengalapura Shivamurthy, Sourabha",,,,,pcs130130,prakash shrivastava,Business Analytics With R 
BUAN,6359,5U1,,7,3,,4,2,1,5,,,,,,,,0,"Ramezani, Rasoul","Ghosh, Pramit",,,,,rxr145930,rasoul ramezani,Advanced Statistics for Data Science 
BUAN,6398,0W2,,52,4,1,2,,,,,,,,,,,0,"Alimirzaei, Athena","Qu, Zihao",,,,,axa134231,athena alimirzaei,Prescriptive Analytics 
BUAN,6398,5U1,,13,,4,3,1,1,,,,,,,,,0,"Sethi, Awanti",,,,,,asethi,awanti sethi,Prescriptive Analytics 
BUAN,6398,SW1,,30,2,2,2,,1,2,,,,,2,,,1,"Alimirzaei, Athena","Qu, Zihao",,,,,axa134231,athena alimirzaei,
CE,2310,0U1,2,,2,1,2,,,1,,,1,,,,,1,"Nikoubin, Tooraj","Datta, Rajesh K","Parchamdar, Baharealsadat",,,,txn190011,tooraj nikoubin,Introduction to Digital Systems 
CE,3161,051,1,6,1,2,,,,,,,,,,,,0,"Mezenner, Rabah",,,,,,rxm129730,rabah mezenner,Social Issues and Ethics in Engineering 
CE,3301,0U1,2,2,,1,2,,1,2,2,,1,,1,,,1,"Tacca, Marco","Luo, Ziyang",,,,,mtacca,marco tacca,Electrical Network Analysis 
CE,3303,0U1,1,,2,3,,2,3,3,,,,1,1,,,1,"Kehtarnavaz, Nasser","Uddin, Mohammed Belal",,,,,nxk019000,nasser kehtarnavaz,Discrete-Time Signals and Systems 
CE,4203,0H1,4,4,1,4,,1,1,1,,,,,,,,0,"Kehtarnavaz, Nasser","Ni, Aoxin","Gogineni, Susmitha",,,,nxk019000,nasser kehtarnavaz,Electrical and Computer Engineering Laboratory in Signals and Systems 
CE,4388,0U1,,5,2,1,2,1,,,,,,,,,,0,"Tacca, Marco",,,,,,mtacca,marco tacca,Senior Design Project I 
CGS,3361,0W1,5,3,,2,,,,,,,,,,,,1,"Hooge, Kimberley O",,,,,,koh170030,kimberley orsten hooge,Cognitive Psychology 
CGS,4352,0W1,,8,1,3,1,,,1,,,,,,,,1,"Kumar, Pushpa S","Tran, Trung Hieu",,,,,pkumar,pushpa kumar,Human-Computer Interaction I 
CHEM,1111,1U1,5,5,,1,1,,,,,,,,1,,,1,"Qin, Yanping","Montalvillo, Fernando","Yan, Qing",,,,yxq083000,yanping qin,General Chemistry Laboratory I 
CHEM,1112,1U2,1,8,1,1,1,,,1,1,,,,2,,,1,"Huang, Yu","Umer, Arslan","Hasna Begam, Mohammed Nazar",,,,yxh091220,yu huang,General Chemistry Laboratory II 
CHEM,1311,0U1,1,4,4,3,,3,,1,2,,,1,1,,,2,"Sra, Amandeep K","Gull, Humera",,,,,aks057000,amandeep sra,General Chemistry I 
CHEM,1312,0U1,7,8,4,4,10,5,1,1,10,4,2,3,8,,,4,"Huang, Yu","Parsamian, Perouza","Gamage, Madujika A",,,,yxh091220,yu huang,General Chemistry II 
CHEM,2125,1U2,24,,,2,,,,,,,,,,,,1,"Wijenayake, Sumudu N","Ben David, Ayala","Giri, Sachin",,,,snw081000,sumudu wijenayake,Introductory Organic Chemistry Laboratory II 
CHEM,2323,0U1,2,10,2,3,3,,7,2,4,1,,,6,,,3,"Tran, Daniel N",,,,,,dnt019000,daniel tran,Introductory Organic Chemistry I 
CHEM,2325,0U1,8,2,5,5,4,2,4,5,4,1,4,,11,,,4,"Sibert, John W",,,,,,sibertj,john sibert,Introductory Organic Chemistry II 
COMD,5340,0U1,,24,,1,1,,,,,,,,,,,0,"Aldridge, Michelle A","Vu, Katrina D",,,,,aldridge,michelle aldridge,Articulation Disorders 
COMD,6320,0U1,,12,,,1,,,,,,,,,,,0,"Carter, Jessica A","Smith, Irma E",,,,,jar032000,,Motor Speech Disorders 
COMD,7303,0U1,,93,,,8,,,,,,,,,,,0,"Dean, Lucinda L","Kenedi, Helen",,,,,lxl018300,,Dysphagia 
COMD,7323,0U1,,14,,,1,,,,,,,,,,,0,"Sweeney, Melissa",,,,,,msweeney,,Auditory-Verbal Methods 
COMD,7V68,0U1,,29,,,,,,,,,,,,,,0,"Sale, Felicity F",,,,,,ffs013000,,Cognitive Rehabilitation 
COMD,7V86,0U1,,41,,,,,,,,,,,,,,0,"Rich, Judith B","Denicola-Prechtl, Kathleen M",,,,,jbm014600,,Special Topics in Language 
COMD,7V86,0U2,,18,,,,,,,,,,,,,,0,"Gollis, Christina R",,,,,,crm053000,christina gollis,Special Topics in Language 
COMD,7V89,0U1,,12,,,,,,,,,,,,,,0,"Walsh, Diane G",,,,,,dxg022000,diane walsh,Mild Cognitive Impairment  Alzheimer s Disease and Related Disorders 
COMM,1311,0S1,6,5,,,,,,,,,,1,,,,0,"Tanner, Lari J",,,,,,ljt130130,lari tanner,
