Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,I,NC,P,W,instructor_id,instructor_name_normalized,title
"Allred, Michael K",,,,,,JAPN,1311,001,15,7,4,1,,1,,,,1,,,,,,,,,0,mka170830,michael allred,Beginning Japanese I 
"Kroska, Nami",,,,,,JAPN,2311,001,4,4,7,4,2,,1,,,1,,,,,,,,,0,nxk167330,nami kroska,Intermediate Japanese I 
"Saar Hambazaza, Terje",,,,,,LIT,2331,003,7,5,5,,,,,,1,,,,1,,,,,,0,txs018600,terje saar hambazaza,Masterpieces of World Literature 
"Towner, Theresa",,,,,,LIT,3300,001,,11,9,6,2,2,,,,,,,2,,,,,,0,tmtowner,theresa towner,Western Literary Tradition 
"Brewer, Kenneth L",,,,,,LIT,3318,001,1,14,6,9,8,2,4,2,1,1,,1,,,,,,,0,klb092000,kenneth brewer,British Romanticism 
"Hodan, Daniel M",,,,,,MUSI,2315,501,,11,,,2,,,,,,,,,,,,,,0,dmh017000,daniel hodan,Guitar I 
"Mcvay, Michael",,,,,,MUSI,2328,002,4,3,2,1,1,2,,,,,,,3,,,,,,1,mjm031000,michael mcvay,Music Theory I 
"Salisbury, Linda J",,,,,,MUSI,1306,003,24,21,,1,,,,,,,,1,1,,,,,,0,ljs130230,linda salisbury,Understanding Music 
"Ingrao, Peter J","Zhang, Qiang",,,,,HUMA,1301,009,39,10,6,4,3,2,1,,,1,1,,,,,,,,0,jingrao,peter ingrao,Exploration of the Humanities 
"Min, Inki A",,,,,,ARTS,1316,001,4,13,2,,,,,,,,,,,,,,,,0,iam140230,inki min,Drawing Foundations 
"Cochran, Kristen N",,,,,,ARTS,1316,002,1,3,5,3,2,,2,,,,,,1,,,,,,2,knc103020,kristen cochran,Drawing Foundations 
"Booker, Paul D",,,,,,ARTS,1316,003,5,4,4,1,1,,1,1,1,,,,,,,,,,0,pdb041000,,Drawing Foundations 
"Lacy, Mary E",,,,,,ARTS,1316,501,,3,,,15,,,,,,,,,,,,,,0,mel024000,mary lacy,Drawing Foundations 
"Egan, Trey T",,,,,,ARTS,2316,501,3,9,1,,2,,,,,,,,1,,,,,,0,tte150130,trey egan,Painting Foundations 
"Ligon, Peter A",,,,,,ARTS,2316,001,,1,8,2,1,,,1,1,,,,,,1,,,,2,pal140130,peter ligon,Painting Foundations 
"Egan, Trey T",,,,,,ARTS,2380,002,5,3,1,2,1,1,,1,1,1,,,1,,,,,,1,tte150130,trey egan,2D Design Foundations 
"Lacy, Mary E",,,,,,ARTS,2380,003,,3,1,1,7,4,,,,,,,,,,,,,1,mel024000,mary lacy,2D Design Foundations 
"Carter, Rebecca S",,,,,,ARTS,2380,004,1,10,3,1,,,,1,,,,,2,,,,,,1,rsc150030,,2D Design Foundations 
"Lapthisophon, Stephen M",,,,,,ARTS,3368,001,,18,,,1,,,,,,,,,,,,,,0,sxl043100,stephen lapthisophon,Mixed Media 
"Loving, Emily",,,,,,ARTS,3372,001,,14,,1,3,,,1,,,,,,,,,,,0,exl097120,emily loving,Photography  Color 
"Goode, Dianne H","Delin, Jacquelyn M",,,,,AHST,1304,001,23,23,8,5,10,4,3,3,1,1,1,,2,,,,,,2,dgoode,dianne goode,Survey of Western Art History  Renaissance to Modern 
"Copeland, Colette",,,,,,ARTS,3371,001,,3,,3,2,1,,,,,,,1,,1,,,,1,cxc132230,colette copeland,Photography  Black White 
