Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,I,NC,P,W,instructor_id,instructor_name_normalized,title
"Honhon, Dorothee B","Chang, Chia-Hao",,,,,OPRE,6341,0W1,,14,5,4,3,,,,,,,,1,,,,,,1,dbh130130,dorothee honhon,Retail Operations 
"harrop, Jonathan",,,,,,MKT,4334,001,6,11,8,4,6,,2,,,,,,,,,,,,2,jjh170530,jonathan harrop,Social Media Marketing 
"Meda, Edward","Vora, Gunjan",,,,,MKT,3300,016,2,8,12,8,3,8,1,2,,,,,2,,,,,,1,exm150330,edward meda,Principles of Marketing 
"Biswas, Abhijit","Narula, Rishab","Kasaraneni, Uma Sankar",,,,MKT,6301,MBC,,15,11,18,7,2,,,,,,,,,,,,,0,axb019100,abhijit biswas,
"Reichert, Carolyn A",,,,,,FIN,6301,MBC,,13,15,6,14,2,,2,,,,,1,,,,,,0,carolyn,carolyn reichert,
"Zentner, Alejandro","Nguyen, Hang M",,,,,MECO,6303,MBC,,27,8,7,11,,,,,,,,,,,,,,0,axz051000,alejandro zentner,
"Dess, Gregory","Kim, Kyun",,,,,BPS,6310,MBC,,16,,,28,,,1,,,,,,,,,,,0,ggd021000,gregory dess,
"Peng, Mike","Yeo, Yundong",,,,,IMS,6204,MBC,,23,,,22,,,,,,,,,,,,,,0,mxp059000,mike peng,
"Richardson, Debra L",,,,,,RMIS,4331,001,,12,3,6,3,,4,1,,,,,,,,,,,0,dlr150330,debra richardson,Business Liability Risk Management and Insurance 
"Richards, James R",,,,,,FIN,6311,001,,11,4,2,2,,,,,,,,,,,,,,0,jrr013500,james richards,Valuation Models and Practices 
"Kim, Yeongin",,,,,,ITSS,3312,001,,30,10,5,2,1,,,,,,,,,,,,,0,yxk130930,yeongin kim,Object-Oriented Programming 
"Narayan, Ravishankar L","Godasi, Sai Ram Bharadwaj",,,,,BUAN,6320,001,,43,5,8,1,,,,,,,,,,,,,,0,rln130030,ravishankar narayan,Database Foundations 
"Nketia, Joseph A",,,,,,ACCT,4337,501,,4,,5,4,4,3,,2,,,,2,,,,,,0,jan170230,joseph nketia,Business Valuation 
"Richards, James R",,,,,,ACCT,4337,001,2,10,7,5,3,3,1,2,1,,,,1,,,,,,1,jrr013500,james richards,Business Valuation 
"Kuo, Ching-Chung","Ye, Wenhe","Ouseph, Sunil T",,,,BUAN,6398,001,,21,4,4,15,1,2,15,,,,,,,,,,,0,cxk162830,,Prescriptive Analytics 
"Richardson, Debra L",,,,,,RMIS,3370,001,,3,2,,3,,1,1,,,,,,,,,,,0,dlr150330,debra richardson,Principles of Risk Management and Insurance 
"Bradbury, Judd D","Solanki, Rom Prakash","Khandelwal, Ashish",,,,MKT,6338,001,,2,5,5,2,2,,,,,,,,,,,,,0,jdb101000,judd bradbury,Enterprise Systems and CRM 
"Mauriello, Joseph A","Hale, Seth M",,,,,MIS,6337,001,,8,9,2,3,,,,,,,,,,,,,,0,jam151430,joseph mauriello,Information Technology Audit and Risk Management 
"Cavusoglu, Huseyin","Vadlamudi, Nikhil Vishnu",,,,,BUAN,6320,501,,32,2,,1,,,,,,,,,,,,,,1,huseyin,huseyin cavusoglu,Database Foundations 
"Grigsby, Mike",,,,,,MKT,6337,501,,2,,,9,,,,,,,,,,,,,,0,mxg153330,mike grigsby,Predictive Analytics Using SAS 
"Grigsby, Mike",,,,,,BUAN,6337,501,,19,,,20,,,,,,,,,,,,,,0,mxg153330,mike grigsby,Predictive Analytics Using SAS 
"Thouin, Mark","Gajjar, Sarthak V",,,,,MIS,6360,002,,25,20,16,1,1,,,,,,,,,,,,,0,mxt083000,mark thouin,Agile Project Management 
"Walton, Michaella",,,,,,BCOM,3310,001,,1,5,6,7,2,3,2,2,1,1,,,,,,,,0,mrw170730,,Business Communication 
"Moore, Sarah E","O'Dell, Daniel A",,,,,BCOM,3310,002,3,20,3,3,3,,1,1,,,,,,,,,,,0,sem054000,sarah moore,Business Communication 
"Moore, Sarah E","O'Dell, Daniel A",,,,,BCOM,3310,003,3,18,3,3,2,2,1,1,2,,,,,,,,,,0,sem054000,sarah moore,Business Communication 
"Smallwood, Margaret G","Rosillo, Andrea G",,,,,BCOM,3310,006,,10,21,2,1,,,,1,,,,,,,,,,0,meg012400,margaret smallwood,Business Communication 
"Marchant, Joe T",,,,,,BCOM,3310,007,2,4,1,2,1,1,1,1,,,,,1,,,,,,0,jtm014200,joe marchant,Business Communication 
"Sluder, Jeanne",,,,,,BCOM,3310,009,6,10,4,5,5,2,,,,,,,1,,,,,,0,jis081000,jeanne sluder,Business Communication 
"Sluder, Jeanne",,,,,,BCOM,3310,010,4,25,3,2,,,,1,,,,,,,,,,,0,jis081000,jeanne sluder,Business Communication 
"Thompson, Luell O",,,,,,MIS,6319,0W1,,9,,,7,,,,,,,,,,,,,,0,lot013000,luell thompson,Enterprise Resource Planning 
"Kuo, Ching-Chung","Ye, Wenhe","Ouseph, Sunil T",,,,BUAN,6398,002,,20,4,3,18,1,1,6,,,,,1,,,,,,0,cxk162830,,Prescriptive Analytics 
"Sethi, Awanti","Gokcinar, Abdullah H",,,,,OPRE,6332,503,,32,1,10,8,2,,2,,,,,,,,,,,0,asethi,awanti sethi,Spreadsheet Modeling and Analytics 
"Sadka, Gil",,,,,,ACCT,7344,001,,7,,,,,,,,,,,,,,,,,0,gxs143630,gil sadka,Advanced Research in Accounting 
"Connell, Michelle",,,,,,FIN,4380,501,2,7,2,8,6,1,1,1,,,,,,,,,,,0,mxc155830,michelle connell,Domestic Fund Management 
"Smallwood, Margaret G","Rosillo, Andrea G",,,,,BCOM,3310,004,,17,15,2,1,,,,,,,,,,,,,,1,meg012400,margaret smallwood,Business Communication 
"Smallwood, Margaret G","Rosillo, Andrea G",,,,,BCOM,3310,005,2,16,12,1,1,1,,1,1,,,,,,,,,,0,meg012400,margaret smallwood,Business Communication 
"Fry, Jennifer L",,,,,,BCOM,3310,008,5,9,3,1,2,1,,1,,1,,,,,,,,,0,jlf130030,jennifer fry,Business Communication 
"Sluder, Jeanne",,,,,,BCOM,3310,011,,26,4,3,,1,,,,,,,1,,,,,,0,jis081000,jeanne sluder,Business Communication 
"Lookadoo, Kathryn","McDonald, Jared M",,,,,BCOM,3310,012,1,9,8,2,5,4,2,,,,1,1,1,,,,,,0,kxl164330,kathryn lookadoo,Business Communication 
"Steadham, Kyle S",,,,,,BCOM,3310,501,,10,4,,,,,,,,,,,,,,,,0,kss012400,kyle steadham,Business Communication 
"Lawson, Kristen A","Bursa, Jennifer N",,,,,BCOM,3310,HON,8,52,2,,,,,,,,,,,,,,,,0,kal110030,kristen lawson,Business Communication 
"Betanzos, Christina L","Ayala, Nestor A",,,,,BLAW,2301,004,,10,15,13,12,14,6,5,4,,2,,9,,,,,,0,clb120030,christina betanzos,Business and Public Law 
"Chasteen, Larry H","Jung, Young-Hoon",,,,,BPS,4305,001,1,10,,5,19,,4,4,,,,,,,,,,,1,chasteen,larry chasteen,Strategic Management 
"Zhang, Zhe","Ozdemir, Dicle Yagmur",,,,,BUAN,6324,001,,6,2,4,2,,,,,,,,,,,,,,0,zxz145430,,Business Analytics With SAS 
"Mookerjee, Radha","Bhaskerla, Swetcha P",,,,,BUAN,6324,002,,,2,5,2,,,,,,,,,,,,,,0,rvm019000,radha mookerjee,Business Analytics With SAS 
"Menon, Syam","Hosseini, Leila",,,,,BUAN,6324,0W1,,5,2,1,3,,1,,,,,,,,,,,,0,sxm021300,syam menon,Business Analytics With SAS 
"Zhang, Zhe","Ozdemir, Dicle Yagmur",,,,,BUAN,6324,501,,2,,3,2,,,,,,,,,,,,,,0,zxz145430,,Business Analytics With SAS 
"Narayan, Ravishankar L","Kashyap, Madhuri Ramamohan",,,,,BUAN,6335,501,,11,5,1,1,,,,,,,,,,,,,,0,rln130030,ravishankar narayan,Organizing for Business Analytics  A Systems Approach 
"Blueshtein, Moran","Han, Munhee",,,,,BUAN,6312,501,,11,6,9,6,7,3,2,,,,,,,,,,,0,mxb135230,moran blueshtein,Applied Econometrics and Time Series Analysis 
"Molina, Stephen",,,,,,ENGY,3300,001,1,3,3,3,5,,,1,,,,,,,,,,,0,sxm163630,stephen molina,Introduction to Energy Technology 
"Molina, Stephen",,,,,,ENGY,6330,501,,12,5,2,,,,,,,,,,,,,,,0,sxm163630,stephen molina,Energy Law and Contracts 
"Guengerich, Steven","Aziz, Fasahat",,,,,ENTP,3301,502,,3,,,3,,,3,,,,,,,,,,,2,sxg172931,steven guengerich,Innovation and Entrepreneurship 
"Ayres, Jeffrey A",,,,,,FIN,4345,501,4,6,7,6,2,,1,,,,,,,,,,,,0,jaa014500,,Financial Information and Analysis 
"Rahman, Nasir","Nie, Weikang",,,,,FIN,6368,001,,5,9,4,4,3,,,,,,,,,,,,,0,nxr160930,nasir rahman,Financial Information and Analysis 
"Mauriello, Joseph A","Paul, Sapna",,,,,ACCT,6386,001,,13,8,5,2,,,,,,,,,,,,,,1,jam151430,joseph mauriello,Governance  Risk Management and Compliance 
"Rivera Mesias, Alejandro","Rupp, Anin D",,,,,FIN,3350,501,1,7,1,5,4,1,2,2,1,,,,,,,,,,1,axr150331,alejandro rivera mesias,Macroeconomics and Financial Markets 
"Berrett, Britt R","Myneni, Nitish","Vasquez, Paula A",,,,HMGT,3301,003,4,31,8,2,5,1,1,1,1,,,,,,,,,,1,brb051000,britt berret,Introduction to Healthcare Management 
"Jenkins, Kristin M",,,,,,HMGT,3310,501,12,9,12,6,5,3,1,,,1,,,,,,,,,0,kmj063000,kristin tesmer,Healthcare Regulatory Environment 
"Ramanathan, Kannan",,,,,,HMGT,6321,0W1,,6,3,4,3,4,1,,,,,,1,,,,,,0,kxr087000,kannan ramanathan,Strategic Leadership of Healthcare Organizations 
"Hazzard, Charles F",,,,,,IMS,3310,HON,5,16,3,,,,,,,,,,,,,,,,0,cxh056000,charles hazzard,International Business 
"Reed, Richard","Kopparapu, Hanuman Abhishek",,,,,ITSS,3300,001,,4,3,8,9,5,8,3,2,2,,4,,,,,,,0,rxr062000,richard reed,Information Technology for Business 
"Molina, Stephen",,,,,,MECO,4342,001,2,3,6,6,1,,,,,,,,1,,,,,,0,sxm163630,stephen molina,Financial and Business Negotiation Analysis 
"Zhang, Zhe","Ozdemir, Dicle Yagmur",,,,,MIS,6324,001,,12,8,6,8,,,,,,,,,,,,,,0,zxz145430,,Business Analytics With SAS 
"Mookerjee, Radha","Bhaskerla, Swetcha P",,,,,MIS,6324,002,,3,15,16,5,1,1,1,,,,,,,,,,,0,rvm019000,radha mookerjee,Business Analytics With SAS 
"Menon, Syam","Hosseini, Leila",,,,,MIS,6324,0W1,,6,5,2,1,1,2,,,,,,,,,,,,1,sxm021300,syam menon,Business Analytics With SAS 
"Zhang, Zhe","Ozdemir, Dicle Yagmur",,,,,MIS,6324,501,,14,6,16,5,1,,,,,,,,,,,,,0,zxz145430,,Business Analytics With SAS 
"Geng, Xianjun","Zhang, Haozhao",,,,,MIS,6334,001,,6,14,14,9,6,1,2,,,,,,,,,,,1,xxg091000,xianjun geng,Advanced Business Analytics With SAS 
"Geng, Xianjun","Zhang, Haozhao",,,,,MIS,6334,002,,15,16,13,9,5,,,,,,,,,,,,,0,xxg091000,xianjun geng,Advanced Business Analytics With SAS 
"Menon, Syam","Hosseini, Leila",,,,,MIS,6334,0W1,,9,7,8,3,1,2,,,,,,,,,,,,1,sxm021300,syam menon,Advanced Business Analytics With SAS 
"Ramanathan, Kannan","Wilson, Elizabeth A",,,,,OPRE,6364,0W1,,27,10,15,2,1,1,,,,,,1,,,,,,1,kxr087000,kannan ramanathan,Lean Six Sigma 
"Slaughter, Kelly T","Akarte, Prajakti V",,,,,MIS,6380,002,,18,6,10,12,14,,,,,,,,,,,,,0,kts130030,kelly slaughter,Data Visualization 
"Dickinson, Keith",,,,,,MKT,4338,501,13,13,,,1,,,2,,,,,1,,,,,,0,kxd084000,keith dickinson,Marketing Content Creation 
"Edsel, Alexander D",,,,,,MKT,6341,601,,8,3,2,3,,,,,,,,,,,,,,0,ade012000,alexander edsel,Campaign Management Lab 
"Kavanaugh, Jeff L",,,,,,MKT,6342,501,,17,11,7,7,2,1,,,,,,,,,,,,0,jlk160030,jeff kavanaugh,Marketing Customer Insights Development 
"Harrison, Richard","Kemp, Ayenda",,,,,OB,6303,501,,9,,,10,,,,,,,,,,,,,,0,harrison,richard harrison,Managing Organizations 
"Harrison, Richard","Kemp, Ayenda",,,,,OB,6331,001,,20,,,18,,,,,,,,,,,,,,0,harrison,richard harrison,Power and Politics in Organizations 
"Ritchey, David B",,,,,,OBHR,3310,013,5,8,9,9,11,2,1,2,1,,,,1,,,,,,0,davidr,david ritchey,Organizational Behavior 
"Edgington, Kyle D",,,,,,OBHR,4300,501,29,20,8,2,,,,,,,,,,,,,,,0,kde081000,kyle edgington,Management of Non-Profit Organizations 
"Weekley, Jeff A","Kemp, Ayenda",,,,,OBHR,4334,001,1,3,12,1,4,7,2,1,1,,,,1,,,,,,0,jaw160330,jeff weekley,Talent Acquisition and Management 
"Kaplan, Larry S",,,,,,RMIS,4334,501,3,6,3,,2,,,,,2,,,,,,,,,0,lsk140130,larry kaplan,Insurance Law and Contracts 
"Narayan, Ravishankar L","Pathania, Deepima",,,,,MIS,6364,501,,7,3,2,,,,,,,,,,,,,,,0,rln130030,ravishankar narayan,Enterprise IT Architecture 
"Lookadoo, Kathryn","McDonald, Jared M",,,,,BCOM,3310,013,3,10,6,2,3,5,,1,3,,1,,1,,,,,,0,kxl164330,kathryn lookadoo,Business Communication 
"Fry, Jennifer L",,,,,,BCOM,3310,502,6,12,9,4,1,,1,,1,,,,,,,,,,0,jlf130030,jennifer fry,Business Communication 
"Wu, Fang","Qian, Kun",,,,,MKT,6301,005,,4,3,3,4,,,,,,,,,,,,,,0,fxw052000,fang wu,Marketing Management 
"Xie, Ying","Ameri, Mina",,,,,MKT,6301,006,,10,9,12,11,8,,,,,,,,,,,,,0,yxx124930,ying xie,Marketing Management 
"Zhang, Zhe","Ozdemir, Dicle Yagmur",,,,,OPRE,6399,001,,5,,4,5,,,,,,,,,,,,,,0,zxz145430,,Business Analytics With SAS 
"Zhang, Zhe","Ozdemir, Dicle Yagmur",,,,,OPRE,6399,501,,,1,7,3,,,,,,,,,,,,,,0,zxz145430,,Business Analytics With SAS 
"Wu, Fang","Qian, Kun",,,,,MKT,3300,017,1,6,2,7,12,3,10,2,2,2,1,,1,,,,,,0,fxw052000,fang wu,Principles of Marketing 
"Wu, Fang","Qian, Kun",,,,,MKT,3300,018,1,10,5,5,7,5,4,4,2,1,,1,2,,,,,,1,fxw052000,fang wu,Principles of Marketing 
"Lim, Bo Ram",,,,,,MKT,3300,019,4,5,10,6,5,6,4,6,,,1,,,,,,,,1,bxl131330,bo ram lim,Principles of Marketing 
"Zhang, Zhe","Ozdemir, Dicle Yagmur",,,,,MIS,6324,003,,8,4,18,4,2,,,,,,,,,,,,,0,zxz145430,,Business Analytics With SAS 
"Parker, Jason A","Chava, Soumya",,,,,MIS,6356,501,,17,2,2,1,,,,,,,,,,,,,,0,jap090020,jason parker,Business Analytics With R 
"Hefley, William E","Pathania, Deepima",,,,,ITSS,4370,001,1,7,4,9,18,3,5,3,2,,,,1,,,,,,2,weh150130,william hefley,Information Technology Infrastructure Management 
"Singh, Harpreet","Busetty, Vishnukanth",,,,,MIS,6344,001,,5,12,3,6,5,,,,,,,,,,,,,0,hxs104000,harpreet singh,Web Analytics 
"Singh, Harpreet","Busetty, Vishnukanth",,,,,MIS,6344,002,,9,13,4,4,5,,,,,,,1,,,,,,0,hxs104000,harpreet singh,Web Analytics 
"Saeed, Kashif","Jain, Mohit",,,,,MIS,6345,001,,14,9,12,15,1,,,,,,,,,,,,,0,kxs147230,kashif saeed,High Performance Analytics 
"Slaughter, Kelly T","Gharge, Padmaja","Akarte, Prajakti V",,,,ITSS,4355,002,1,10,2,5,5,3,2,3,2,,,1,1,,,,,,0,kts130030,kelly slaughter,Data Visualization 
"Richardson, Debra L",,,,,,FIN,4331,001,,1,3,4,2,2,1,3,,,,,,,,,,,0,dlr150330,debra richardson,Business Liability Risk Management and Insurance 
"Cavusoglu, Huseyin","Vadlamudi, Nikhil Vishnu",,,,,OPRE,6393,501,,6,6,1,,,,,,,,,,,,,,,0,huseyin,huseyin cavusoglu,Database Foundations 
"Parker, Jason A","Chava, Soumya",,,,,BUAN,6356,501,,27,6,,2,,,,,,,,,,,,,,1,jap090020,jason parker,Business Analytics With R 
"Parker, Jason A","Phansikar, Gauri D",,,,,BUAN,6356,502,,49,9,1,,,,,,,,,,,,,,,0,jap090020,jason parker,Business Analytics With R 
"Kaplan, Larry S",,,,,,FIN,4334,501,3,1,4,1,,1,2,,,,1,,,,,,,,0,lsk140130,larry kaplan,Insurance Law and Contracts 
"Zhang, Zhe","Ozdemir, Dicle Yagmur",,,,,OPRE,6399,003,,1,,8,,1,,,,,,,,,,,,,0,zxz145430,,Business Analytics With SAS 
"Zhang, Zhe","Ozdemir, Dicle Yagmur",,,,,BUAN,6324,003,,2,2,8,3,2,,,,,,,,,,,,,0,zxz145430,,Business Analytics With SAS 
"Lahiri, Atanu","Phansikar, Gauri D",,,,,MIS,6309,003,,9,11,2,1,2,,,,,,,,,,,,,0,axl144730,atanu lahiri,Business Data Warehousing 
"Narayan, Ravishankar L","Kashyap, Madhuri Ramamohan",,,,,BUAN,6320,003,,34,12,12,2,,,,,,,,,,,,,,0,rln130030,ravishankar narayan,Database Foundations 
"Springate, David J",,,,,,FIN,6311,501,,2,6,3,4,2,,,,,,,,,,,,,1,spring8,david springate,Valuation Models and Practices 
"Springate, David J",,,,,,ENTP,6311,501,,3,2,1,,,,,,,,,,,,,,,0,spring8,david springate,Valuation Models and Practices 
"Wright, Robert G",,,,,,ENTP,3320,001,,1,1,6,3,,,,,,1,,,,,,,,0,rgw091000,robert wright,Start-up Launch I 
"Mjigal, Tahar",,,,,,FIN,6V99,001,,10,10,,,,,,,,,,,,,,,,0,txm132730,tahar mjigal,Special Topics in Finance 
"Narayan, Ravishankar L","Kashyap, Madhuri Ramamohan",,,,,BUAN,6320,002,,19,10,6,,1,,,,,,,,,,,,,0,rln130030,ravishankar narayan,Database Foundations 
"Owens, Dawn M","Akhil Gopinath, FNU",,,,,ITSS,4300,501,,9,,8,5,4,1,1,1,1,1,,1,,,,,,1,dmo130130,dawn owens,Database Fundamentals 
"Blueshtein, Moran","Han, Munhee",,,,,MECO,6312,001,,3,2,2,2,,,,,,,,1,,,,,,1,mxb135230,moran blueshtein,Applied Econometrics and Time Series Analysis 
"Blueshtein, Moran","Han, Munhee",,,,,BUAN,6312,001,,7,10,8,10,8,2,,,,,,,,,,,,1,mxb135230,moran blueshtein,Applied Econometrics and Time Series Analysis 
"Parks, David",,,,,,OPRE,6367,501,,13,,,2,,,,,,,,,,,,,,0,dxp153830,david parks,Capstone Projects in Supply Chain Management 
"Bardhan, Indranil R","Chava, Soumya",,,,,BUAN,6356,002,,17,12,14,8,,,3,,,,,,,,,,,0,bardhan,indranil bardhan,Business Analytics With R 
"Narasimhan, Prithi","Ranabothu, Kavya",,,,,MIS,6308,502,,12,24,15,6,,,1,,,,,1,,,,,,0,pxn152330,prithi narasimhan,System Analysis and Project Management 
"Zheng, Zhiqiang","Mishra, Sailendra P",,,,,MIS,6334,0W2,,5,,6,3,1,,,,,,,,,,,,,0,zxz062000,zhiqiang zheng,Advanced Business Analytics With SAS 
"Slaughter, Kelly T","Akarte, Prajakti V",,,,,MIS,6380,003,,13,10,16,13,7,,,,,,,,,,,,,0,kts130030,kelly slaughter,Data Visualization 
"Edsel, Alexander D",,,,,,MKT,4330,0W2,2,2,2,3,5,7,1,1,,1,1,1,3,,,,,,3,ade012000,alexander edsel,Digital and Internet Marketing 
"Wang, Shouqiang","Sul, Inki",,,,,OPRE,4350,501,4,4,2,1,4,1,2,3,1,1,,1,4,,,,,,1,sxw163830,shouqiang wang,Spreadsheet Modeling and Analytics 
"Yang, Mingwen",,,,,,ITSS,3312,002,20,13,5,3,3,1,2,,,,,,,,,,,,0,mxy131030,,Object-Oriented Programming 
"Manzi, Jeff","Chen, Chen",,,,,FIN,6314,001,,4,2,8,6,2,,,,,,,,,,,,,0,jxm158130,jeffrey manzi,Fixed Income Securities 
"Thouin, Mark","Gajjar, Sarthak V","Bhaskerla, Swetcha P","Gharge, Padmaja",,,MIS,6324,004,,25,8,7,3,,,,,,,,,,,,,,0,mxt083000,mark thouin,Business Analytics With SAS 
"Abeykoon, Nimali C","Malekpour, Soheil",,,,,CHEM,1111,101,1,15,2,4,,2,,,,,,,4,,,,,,1,nxa124430,nimali abeykoon,General Chemistry Laboratory I 
"Karunathilake, Arosha A","Li, Siqing",,,,,CHEM,1111,103,,4,2,6,4,1,1,2,2,,,,8,,,,,,0,axk113330,,General Chemistry Laboratory I 
"Abeykoon, Nimali C","Malekpour, Soheil",,,,,CHEM,1111,104,4,14,5,1,1,1,,,,,,,1,,,,,,2,nxa124430,nimali abeykoon,General Chemistry Laboratory I 
"Dissanayake, Dushanthi S","Buford, Jonathan D",,,,,CHEM,1111,105,7,11,6,2,1,,1,,,,1,,,,,,,,0,dxd122030,dushanthi dissanayake,General Chemistry Laboratory I 
"Karunathilake, Arosha A","Li, Siqing",,,,,CHEM,1111,106,,11,7,3,6,,,,,,,,3,,,,,,0,axk113330,,General Chemistry Laboratory I 
"Gavva, Sandhya R","Malekpour, Soheil",,,,,CHEM,1111,107,7,14,2,2,1,2,,,1,,,,1,,,,,,0,sgavva,sandhya gavva,General Chemistry Laboratory I 
"Nielsen, Steven","Buford, Jonathan D",,,,,CHEM,1111,108,3,10,6,2,1,2,1,4,,,,,1,,,,,,0,son051000,steven nielsen,General Chemistry Laboratory I 
"Abeykoon, Nimali C","Durand Silva, Alejandra",,,,,CHEM,1111,109,,14,3,3,1,2,1,,1,1,,,1,,,,,,2,nxa124430,nimali abeykoon,General Chemistry Laboratory I 
"Gavva, Sandhya R","Brohlin, Olivia R",,,,,CHEM,1111,110,4,14,5,3,1,1,,,,,1,,1,,,,,,0,sgavva,sandhya gavva,General Chemistry Laboratory I 
"Dissanayake, Dushanthi S","Weiland, Ashley",,,,,CHEM,1111,111,2,13,1,4,3,3,,1,,,1,,,,,,,,2,dxd122030,dushanthi dissanayake,General Chemistry Laboratory I 
"Karunathilake, Arosha A","Durand Silva, Alejandra",,,,,CHEM,1111,112,8,15,2,1,1,1,,1,,,,,,,,,,,0,axk113330,,General Chemistry Laboratory I 
"Dissanayake, Dushanthi S","Nguyen, Do Duc","Reyes, Luis E",,,,CHEM,1111,113,13,5,2,3,2,,2,,,,1,,2,,,,,,0,dxd122030,dushanthi dissanayake,General Chemistry Laboratory I 
"Dissanayake, Dushanthi S","Reyes, Luis E",,,,,CHEM,1111,114,10,10,5,,,1,1,,1,,,1,1,,,,,,0,dxd122030,dushanthi dissanayake,General Chemistry Laboratory I 
"Abeykoon, Nimali C","Youn, Jonghae",,,,,CHEM,1111,115,5,17,3,,2,,,1,,1,,,,,,,,,0,nxa124430,nimali abeykoon,General Chemistry Laboratory I 
"Qin, Yanping","Reyes, Luis E",,,,,CHEM,1111,116,6,17,1,1,2,1,,1,,,,,,,,,,,1,yxq083000,yanping qin,General Chemistry Laboratory I 
"Dissanayake, Dushanthi S","Nguyen, Do Duc",,,,,CHEM,1111,117,15,10,2,1,1,,,,,,,,1,,,,,,0,dxd122030,dushanthi dissanayake,General Chemistry Laboratory I 
"Abeykoon, Nimali C","Youn, Jonghae",,,,,CHEM,1111,118,2,20,1,1,1,2,,,,,1,,1,,,,,,1,nxa124430,nimali abeykoon,General Chemistry Laboratory I 
"Karunathilake, Arosha A","Estrada, Tania G",,,,,CHEM,1111,119,,14,5,5,3,,1,,,,,,1,,,,,,1,axk113330,,General Chemistry Laboratory I 
"Huang, Yu","Smith, Tristan",,,,,CHEM,1111,120,3,12,5,1,3,2,,,,1,,,2,,,,,,0,yxh091220,yu huang,General Chemistry Laboratory I 
"Qin, Yanping","Weiland, Ashley",,,,,CHEM,1111,121,2,12,5,5,2,2,1,,,,,1,,,,,,,0,yxq083000,yanping qin,General Chemistry Laboratory I 
"Karunathilake, Arosha A","Estrada, Tania G",,,,,CHEM,1111,122,,15,7,4,,,,,,,,1,2,,,,,,0,axk113330,,General Chemistry Laboratory I 
"Qin, Yanping","Reyes, Luis E","Nguyen, Do Duc",,,,CHEM,1112,101,,5,7,,3,,,1,,,,,1,,,,,,0,yxq083000,yanping qin,General Chemistry Laboratory II 
"Qin, Yanping","Nguyen, Do Duc",,,,,CHEM,1112,102,5,11,1,2,2,,2,1,,1,,,2,,,,,,1,yxq083000,yanping qin,General Chemistry Laboratory II 
"Gavva, Sandhya R","Cue, John Michael",,,,,CHEM,1112,103,3,8,2,2,,,1,1,,,,,,,,,,,1,sgavva,sandhya gavva,General Chemistry Laboratory II 
"Gavva, Sandhya R","Cue, John Michael",,,,,CHEM,1112,104,6,9,3,2,1,,1,1,1,,1,1,2,,,,,,2,sgavva,sandhya gavva,General Chemistry Laboratory II 
"Gavva, Sandhya R",,,,,,CHEM,1311,001,9,32,13,12,27,21,8,14,18,1,8,6,32,,,,,,5,sgavva,sandhya gavva,General Chemistry I 
"Sibert, John W",,,,,,CHEM,1311,002,9,23,12,21,20,26,20,14,20,10,5,8,32,,,,,,6,sibertj,john sibert,General Chemistry I 
"Dieckmann, Gregg","Cosey, Whitney",,,,,CHEM,1311,003,9,43,21,18,27,26,13,20,22,6,6,8,29,,,,,,6,dieckgr,gregg dieckmann,General Chemistry I 
"Sra, Amandeep K","Panangala, Samitha D",,,,,CHEM,1312,001,19,16,16,14,17,22,12,14,32,13,8,8,47,,,,,,15,aks057000,amandeep sra,General Chemistry II 
"Panapitiya, Nimanka P",,,,,,CHEM,2323,001,7,30,13,19,14,18,6,9,5,6,4,,9,,,,,,5,npp081000,nimanka panapitiya,Introductory Organic Chemistry I 
"Ahn, Jung-Mo",,,,,,CHEM,2323,002,12,21,8,14,7,10,4,14,5,7,6,5,5,,,,,,10,jxa041100,jung mo ahn,Introductory Organic Chemistry I 
"Wijenayake, Sumudu N",,,,,,CHEM,2323,003,7,34,12,18,5,19,9,7,8,3,3,,8,,,,,,5,snw081000,sumudu wijenayake,Introductory Organic Chemistry I 
"Thompson, Christina M",,,,,,CHEM,2325,001,17,23,10,13,8,9,14,7,10,12,4,,17,,,,,,3,cmt120030,christina thompson,Introductory Organic Chemistry II 
"Panapitiya, Nimanka P","Martin, Thomas J",,,,,CHEM,2401,001,4,8,4,3,1,,,,,,,,,,,,,,0,npp081000,nimanka panapitiya,Introductory Quantitative Methods in Chemistry 
"Pantano, Paul",,,,,,CHEM,2401,002,3,3,4,2,3,4,1,,,,,,,,,,,,0,pantano,paul pantano,Introductory Quantitative Methods in Chemistry 
"Dodani, Sheel C","Bulathge, Anjala W",,,,,CHEM,3341,001,7,3,4,5,1,5,3,3,6,,,,1,,,,,,1,scd023000,sheel dodani,Inorganic Chemistry I 
"Marsh, Robert","Lee, Jiyong","Bhat, Vandita D","Akhavantabib, Noushin","Ashrafi, Adnin","Iyer, Archana Mahadevan",BIOL,3361,001,26,22,34,19,24,14,15,23,18,15,13,5,15,,,,,,9,rmarsh,robert marsh,Biochemistry I 
"Marsh, Robert","Lee, Jiyong","Bhat, Vandita D","Akhavantabib, Noushin","Ashrafi, Adnin","Iyer, Archana Mahadevan",CHEM,3361,001,2,3,5,1,4,4,1,3,1,2,2,2,2,,,,,,1,rmarsh,robert marsh,Biochemistry I 
