Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
CE,3202,003,,3,,4,6,4,,,,,,,,,,,,1,"Kiasaleh, Kamran","Apalak, Merve","Alam, Lamia",,,,kamran,kamran kiasaleh,Electrical and Computer Engineering Fundamentals-II Laboratory 
CE,3301,001,,3,,1,,2,1,1,,,,,2,,,,,0,"Lee, Gil S","Xiong, Jiu",,,,,gslee,gill lee,Electrical Network Analysis 
CE,3301,002,1,8,,2,,,2,1,,2,,,,,,,,1,"Fahimi, Babak","Movahed Mohammadi, Seyed Ehsan",,,,,bxf102000,babak fahimi,Electrical Network Analysis 
CE,3301,003,,7,,1,,2,,,2,,,,1,,,,,1,"Friedman, Joseph S","Edwards, Alexander J",,,,,jsf160330,joseph friedman,Electrical Network Analysis 
CE,3303,001,2,3,4,4,5,6,4,6,6,3,2,1,2,,,,,5,"Kehtarnavaz, Nasser","Ni, Aoxin",,,,,nxk019000,nasser kehtarnavaz,Discrete-Time Signals and Systems 
CE,3310,001,,10,1,4,4,4,4,2,1,,1,,1,,,,,0,"Tinker, Mark T","Parvez, Mohammad Salman",,,,,mtinker,mark tinker,Electronic Devices 
CE,3310,002,2,2,,,4,6,3,4,1,,,,2,,,,,0,"Pourkamali, Siavash","Hossain Bhuiyan, Md Emran",,,,,sxp124631,siavash pourkamali,Electronic Devices 
CE,3311,001,2,4,2,4,,3,1,2,,,1,3,,,,,,0,"Ahmed, Shaheen","Han, Weijie",,,,,sxa176730,shaheen ahmed,Electronic Circuits 
CE,3320,001,,3,,6,1,1,1,2,,,1,,1,,,,,1,"Bhatia, Dinesh","Sears, Mark R",,,,,dinesh,dinesh bhatia,Digital Circuits 
CE,3320,002,1,9,1,4,,,1,,1,,,,1,,,,,0,"Basu, Kanad","Kundu, Shamik",,,,,kxb190012,kanad basu,Digital Circuits 
CE,3320,003,2,7,1,,3,1,,1,,,3,,,,,,,1,"Nikoubin, Tooraj","Datta, Rajesh K",,,,,txn190011,tooraj nikoubin,Digital Circuits 
CE,4201,001,,35,7,,,,,,,,,,,,,,,0,"Tamil, Lakshman","Tiryaki, Erhan",,,,,laxman,lakshman tamil,Electrical and Computer Engineering Laboratory in Computing Systems and Computer Engineering 
CE,4202,001,,12,,,2,,,,,,,,1,,,,,0,"Henderson, Rashaunda M","Datta, Rajesh K","Tiryaki, Erhan",,,,rmh072000,rashaunda henderson,Electrical and Computer Engineering Laboratory in Circuits 
CE,4304,001,,2,2,1,2,4,1,1,1,1,,1,1,,,,,0,"Pitz, Jeanne","Wang, Zhen",,,,,jxp133430,jeanne pitz,Computer Architecture 
CE,4304,501,,5,7,10,7,8,2,1,1,,,,1,,,,,0,"Pitz, Jeanne","Wang, Jianda","Wang, Zhen",,,,jxp133430,jeanne pitz,Computer Architecture 
CE,4337,502,,4,1,1,1,1,1,1,1,,,,2,,,,,0,"Salazar, Elmer E","Irtiza, Saquib","Lee, Yi-Hui",,,,ees101020,elmer salazar,Programming Language Paradigms 
CE,4348,501,,4,7,5,4,4,6,4,4,1,2,1,7,,,,,0,"Goodrum, Richard A",,,,,,rag150330,richard goodrum,Operating Systems Concepts 
CE,4370,001,5,19,,,9,,,,,,,,1,,,,,0,"Swartz, William P","Raghavendra, Shruthi",,,,,wps100020,william swartz,Embedded Systems 
CE,4388,001,,19,1,2,,,,,,,,,,,,,,0,"Tacca, Marco",,,,,,mtacca,marco tacca,Senior Design Project I 
