Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ATCM,3311,0U1,,1,3,3,2,3,1,4,3,,,2,3,,,"Lim, Fengjie",,,,,,fxl200000,fengjie lim,Tools Development for Arts  Technology  and Emerging Communication 
ATCM,3337,0U1,12,11,2,1,1,,,,,,2,,,,,"Wood, Harold G",,,,,,hgw021000,harold wood,Interaction Design I 
ATCM,3337,5U1,7,4,2,3,1,,,1,,,,1,,,,"Lin, Colleen B",,,,,,cbl061000,,Interaction Design I 
ATCM,3338,0U1,8,6,3,1,4,2,,,,,,,5,,,"Camacho, Christopher J",,,,,,cjc043000,christopher camacho,Motion Graphics I 
ATCM,3350,051,2,6,3,1,3,,1,1,1,,,,4,,,"Nielsen, Christina R",,,,,,crn022000,christina nielsen,Digital Video Production I 
ATCM,3368,0U1,2,4,,,,,,2,1,,,,1,,,"Chandler, Adam W",,,,,,awc051000,adam chandler,Scripting for Games I 
ATCM,3388,0U1,1,7,11,3,3,3,,,,,,2,,,,"Bell, Elizabeth A","Whitlock, Kathryn",,,,,lxb032000,elizabeth bell,Attitudes and Behaviors 
ATCM,4317,0U1,,11,,,,,,,,,,,,,,"Fechter, Todd A",,,,,,taf051000,todd fechter,Animation Lab II 
ATCM,4334,051,,11,6,3,2,1,,,,,,,,,,"Banner, Olivia P",,,,,,opb140030,olivia banner,Topics in Critical Media Studies 
ATCM,4338,0U1,1,5,1,1,1,1,,,,1,,,1,,,"Chandler, Adam W",,,,,,awc051000,adam chandler,Motion Graphics II 
ATCM,4350,051,13,,1,1,,,,1,,,,,,,,"Hewitt, Sharon",,,,,,sxh090220,sharon hewitt,Digital Video Production II 
ATCM,4364,0U1,,15,,,,,,,,,,,,,,"Farrar, Eric T",,,,,,etf091000,eric farrar,Topics in Design and Production 
ATCM,4384,5U1,2,9,15,1,3,,1,,1,,,,,,,"Rheams, David C",,,,,,dcr093020,david rheams,Ethics in New Media  Technology  and Communication 
AUD,6216,0U1,,10,5,,,,,,,,,,,,,"Cokely, Carol G",,,,,,cgc016200,,Audiologic Rehabilitation for Adults 
AUD,6352,5U1,,10,4,1,,,,,,,,,,,,"Golboro, Andrew",,,,,,axg165431,,Medical Audiology 
AUD,7240,5U1,,11,,,,,,,,,,,,,,"Griffiths, Scott K",,,,,,skg180000,,Auditory Processing Disorders and other Advanced Topics in Audiology 
AUD,7310,0U1,,12,,,,,,,,,,,,,,"Clark, Jackie L",,,,,,jclark,jackie clark,Professional Issues in Audiology 
AUD,7326,0U1,,15,,,,,,,,,,,,,,"Thibodeau, Linda K","Harris, Audrey N","Warner-Czyz, Andrea D","Tangerino De Souza Jacob, Regina",,,thib,linda thibodeau,Aural Habilitation of Children with Hearing Impairments 
BA,1320,5U1,5,2,,3,1,,1,,3,,,,1,,,"Kiser, Stephen L",,,,,,slk012100,stephen kiser,Business in a Global World 
BCOM,3200,0U1,17,9,5,1,3,3,2,2,1,,1,,,,,"Fry, Jennifer L",,,,,,jlf130030,jennifer fry,Introduction to Business and Professional Development 
BCOM,3200,0U2,4,11,6,6,8,1,1,1,,1,,,2,,,"Newcomb, Rebecca G",,,,,,rgn100020,rebecca newcomb,Introduction to Business and Professional Development 
BCOM,3200,5U1,16,18,5,1,,1,,,,,1,,,,,"Smallwood, James E",,,,,,jes094020,james smallwood,Introduction to Business and Professional Development 
BCOM,3310,0U1,3,12,12,1,2,1,1,1,,,,,2,,,"McCrady, Victoria D","Tanabe, Takuma",,,,,vdm130030,victoria mccrady,Business Communication 
BCOM,3310,0U2,2,20,10,2,4,,,,,,,,,,,"Ahlberg, Mehrzad","Boncoeur, Olivier D",,,,,mxa087100,mehrzad ahlberg,Business Communication 
BCOM,3310,0U3,2,10,7,2,6,,1,,,,,,1,,,"Ahlberg, Mehrzad","Boncoeur, Olivier D",,,,,mxa087100,mehrzad ahlberg,Business Communication 
BCOM,3310,0U4,5,10,11,5,2,1,2,,,,,,2,,,"McCrady, Victoria D","Tanabe, Takuma",,,,,vdm130030,victoria mccrady,Business Communication 
BCOM,3310,0U5,1,14,8,4,3,3,2,,,,1,,,,,"Fry, Jennifer L",,,,,,jlf130030,jennifer fry,Business Communication 
BCOM,3310,5U1,2,28,7,2,,,,,,,,,,,,"Moore, Sarah E","Tanabe, Takuma",,,,,sem054000,sarah moore,Business Communication 
BCOM,4350,0U1,24,4,3,3,1,,1,,1,1,,,,,,"de los Santos, Veronica",,,,,,vxd171930,veronica de los santos,Advanced Business Communication 
BCOM,4350,0U2,7,18,6,1,2,2,,,2,1,,,1,,,"Smallwood, Margaret G","Liu, Yu",,,,,meg012400,margaret smallwood,Advanced Business Communication 
BCOM,4350,0U3,3,29,3,4,,,1,,,,,,,,,"Smallwood, Margaret G","Liu, Yu",,,,,meg012400,margaret smallwood,Advanced Business Communication 
BCOM,4350,0U4,17,4,11,,1,1,1,,1,1,,,1,,,"de los Santos, Veronica",,,,,,vxd171930,veronica de los santos,Advanced Business Communication 
BCOM,4350,0U5,7,10,5,,2,2,1,,1,,,,3,,,"Watson, John M","Liu, Yu",,,,,jmw077000,john watson,Advanced Business Communication 
BCOM,4350,5E1,4,19,7,2,1,1,1,1,,,,,,,,"Watson, John M","Liu, Yu",,,,,jmw077000,john watson,Advanced Business Communication 
BCOM,4350,5U1,4,14,13,2,3,,1,,1,,,,,,,"Moore, Sarah E","Tanabe, Takuma",,,,,sem054000,sarah moore,Advanced Business Communication 
BIOL,2111,0U1,,22,,,5,,,7,,,1,,,,,"Maitra, Meenakshi","Salamat, Narges","Soladogun, Adedamola S",,,,mxm172731,meenakshi maitra,Introduction to Modern Biology Workshop I 
BIOL,2111,0U2,,25,,,5,,,1,,,,,,,,"Maitra, Meenakshi","Salamat, Narges","Soladogun, Adedamola S",,,,mxm172731,meenakshi maitra,Introduction to Modern Biology Workshop I 
BIOL,2112,0U1,4,7,4,6,2,1,1,1,1,,,,,,,"Wu, Zhuoru","Yetkin, Celal E",,,,,zxw190014,,Introduction to Modern Biology Workshop II 
BIOL,2112,0U2,4,4,3,1,6,3,3,2,1,3,1,,1,,,"Wu, Zhuoru","Yetkin, Celal E",,,,,zxw190014,,Introduction to Modern Biology Workshop II 
BIOL,2281,0U1,6,23,26,12,4,8,4,2,1,,,,,,,"Lin, Wen J","Shashikanth Raj Urs, Karthik Urs Bangalore","Do, Hung P","Xia, Jing","Buyukkahraman, Gozde","Ratevosyan, Richard",wenju,wen ju lin,Introductory Biology Laboratory 
BIOL,2311,0U1,,47,,,10,,,8,,,1,,,,,"Maitra, Meenakshi","Salamat, Narges","Soladogun, Adedamola S",,,,mxm172731,meenakshi maitra,Introduction to Modern Biology I 
BIOL,2312,0U1,8,11,7,7,8,4,4,3,2,3,1,,1,,,"Wu, Zhuoru","Yetkin, Celal E",,,,,zxw190014,,Introduction to Modern Biology II 
BIOL,3101,0U1,8,8,13,3,2,3,2,,1,,,,,,,"Srikanth, Uma","Tian, Jing",,,,,ukrish,uma srikanth,Classical and Molecular Genetics Workshop 
BIOL,3101,0U2,4,9,8,5,4,6,1,,,,,,,,,"Srikanth, Uma",,,,,,ukrish,uma srikanth,Classical and Molecular Genetics Workshop 
BIOL,3101,0U3,12,7,4,4,4,3,,,,,,,,,,"Srikanth, Uma","Cao, Lian",,,,,ukrish,uma srikanth,Classical and Molecular Genetics Workshop 
BIOL,3101,0U4,4,8,6,7,2,1,1,,1,,,,,,,"Srikanth, Uma","Tandon, Neha Ramesh",,,,,ukrish,uma srikanth,Classical and Molecular Genetics Workshop 
BIOL,3101,0U5,4,8,8,3,2,6,1,,,,,,,,,"Srikanth, Uma","Upreti, Chahat",,,,,ukrish,uma srikanth,Classical and Molecular Genetics Workshop 
BIOL,3102,0U1,2,2,2,5,3,1,1,2,1,,,,,,,"Srikanth, Uma",,,,,,ukrish,uma srikanth,Eukaryotic Molecular and Cell Biology Workshop 
BIOL,3102,0U2,4,1,2,2,1,1,1,1,,,,1,,,,"Srikanth, Uma","Alemi, Parinazsadat",,,,,ukrish,uma srikanth,Eukaryotic Molecular and Cell Biology Workshop 
BIOL,3102,0U3,2,3,2,6,4,7,4,1,1,,,,,,,"Srikanth, Uma","Bautista, Monica A",,,,,ukrish,uma srikanth,Eukaryotic Molecular and Cell Biology Workshop 
BIOL,3161,0U1,,9,8,7,10,9,6,4,1,1,,,,,,"Candas, Mehmet",,,,,,candas,mehmet candas,Biochemistry Workshop I 
BIOL,3161,0U2,1,4,7,15,10,5,3,3,2,,,1,,,,"Candas, Mehmet",,,,,,candas,mehmet candas,Biochemistry Workshop I 
BIOL,3161,0U3,2,9,4,13,7,8,5,2,1,,,,1,,,"Candas, Mehmet",,,,,,candas,mehmet candas,Biochemistry Workshop I 
BIOL,3162,0U1,1,1,5,9,4,2,3,,,,,,,,,"Candas, Mehmet",,,,,,candas,mehmet candas,Biochemistry Workshop II 
BIOL,3162,0U2,,2,3,,2,3,1,,,,,,,,,"Candas, Mehmet",,,,,,candas,mehmet candas,Biochemistry Workshop II 
BIOL,3162,0U3,1,1,1,2,5,1,,2,1,,,,,,,"Candas, Mehmet",,,,,,candas,mehmet candas,Biochemistry Workshop II 
BIOL,3301,0U1,31,38,39,25,14,19,5,,2,,,,,,,"Srikanth, Uma","Tandon, Neha Ramesh","Cao, Lian","Upreti, Chahat","Tian, Jing",,ukrish,uma srikanth,Classical and Molecular Genetics 
BIOL,3302,0U1,8,6,6,13,8,9,6,4,2,,,1,,,,"Srikanth, Uma","Thomas-Jardin, Shayna E","Alemi, Parinazsadat","Bautista, Monica A",,,ukrish,uma srikanth,Eukaryotic Molecular and Cell Biology 
BIOL,3361,0U1,3,21,15,32,23,21,12,9,3,1,,,1,,,"Candas, Mehmet","Ashrafi, Adnin","Kunder, Nikesh Prakash","Chen, Hao",,,candas,mehmet candas,Biochemistry I 
BIOL,3362,0U1,2,4,7,10,10,5,4,2,1,,,,,,,"Candas, Mehmet","Petter, Andrew T","Song, Ming","Ray, Ashvini",,,candas,mehmet candas,Biochemistry II 
BIOL,3380,1U1,,1,3,4,3,2,1,2,1,,4,,3,,,"Rippel, Scott A","Zhi, Jiahe",,,,,rippel,scott rippel,Biochemistry Laboratory 
BIOL,3380,1U2,1,1,3,1,3,4,3,2,1,,,,2,,,"Pickett, Elizabeth A","Hulyalkar, Neha V",,,,,eaw016100,elizabeth pickett,Biochemistry Laboratory 
BIOL,3380,1U3,1,,2,2,6,4,,2,1,3,1,,,,,"Rippel, Scott A","Konduri, Purna Chaitanya",,,,,rippel,scott rippel,Biochemistry Laboratory 
BIOL,3380,1U4,2,3,4,,3,1,,2,,1,1,1,1,,,"Pickett, Elizabeth A","Wang, Tianyuan",,,,,eaw016100,elizabeth pickett,Biochemistry Laboratory 
BIOL,3455,0U1,1,15,23,16,19,15,6,6,1,3,,1,3,,,"Ramirez, Ruben D","Zhang, Bei","Daescu, Kelly J","Zhang, Bo",,,rdr092000,ruben ramirez,Human Anatomy and Physiology with Lab I 
BIOL,3456,1U1,1,6,2,3,1,5,,3,,,1,,,,,"Yu, Wen H",,,,,,why061000,wen ho yu,Human Anatomy and Physiology with Lab II 
BIOL,3456,1U2,1,6,4,5,4,3,1,1,1,,,,,,,"Yu, Wen H",,,,,,why061000,wen ho yu,Human Anatomy and Physiology with Lab II 
BIOL,3520,3U1,10,12,1,4,2,1,,,,,,,,,,"Mehta, Iti","Ebrahimzadeh Pirshahid, Tahmineh","Ratna, Tahira Amdid","Sawant, Namrata V",,,ixm121430,iti mehta,General Microbiology with Lab 
BIOL,3520,3U2,5,11,7,1,3,1,1,1,,,,,,,,"Mehta, Iti","Sharon, Belle M","Dahl, Haley C",,,,ixm121430,iti mehta,General Microbiology with Lab 
BIOL,4353,5U1,2,11,5,1,7,2,,3,,,1,,,,,"Burr, John G","Easterwood, Shayne","Lewis, Anthony J",,,,burr,john burr,Molecular Biology of HIV AIDS 
BIOL,4366,5U1,2,7,,,5,,,,,,,,,,,"Burr, John G","Dey, Sanchareeka","Easterwood, Shayne",,,,burr,john burr,Molecular Biology of Cancer 
BIOL,4380,1U1,,5,2,7,7,,,1,1,,,,,,,"Braitsch, Caitlin M","Nowak, Chance M","Parekh, Trusha",,,,cmb170830,,Cell and Molecular Biology Laboratory 
BIOL,6341,5U1,,15,,,4,,,,,,,,,,,"Burr, John G","Dey, Sanchareeka","Easterwood, Shayne",,,,burr,john burr,Oncogenes 
BIOL,6345,5U1,,13,1,1,1,,,,,,,,,,,"Burr, John G","Easterwood, Shayne","Lewis, Anthony J",,,,burr,john burr,Molecular Basis of Acquired Immune Deficiency Syndrome 
BIS,2190,0W1,15,3,,,1,,2,1,,,,,,,,"Edwards, Christopher W","Robinson, Katie L","Slattery, Ryan P",,,,cwe011000,christopher edwards,Library Research Skills 
BIS,3320,091,2,1,4,1,3,1,1,,,,,,1,,,"Wright, David A",,,,,,wright,david wright,The Nature of Intellectual Inquiry 
BIS,3320,0U1,11,6,7,3,3,,,3,,,,,2,,,"Wright, David A",,,,,,wright,david wright,The Nature of Intellectual Inquiry 
BLAW,2301,5U1,,7,5,14,11,11,8,4,6,,1,,9,,,"Betanzos, Christina L","Sandhu, Gurvinder",,,,,clb120030,christina betanzos,Business and Public Law  (3 Semester Credit Hours)
BMEN,3150,001,,,3,1,2,4,2,3,1,,,,,,,"Winter, Patrick M","Kashef, Sina",,,,,pxw151030,patrick winter,Biomedical Engineering Laboratory 
BMEN,3320,0U1,2,2,1,3,2,1,1,,,,,,1,,,"Ali, Tariq M","Kian Pour, Bahareh",,,,,tma051000,tariq ali,Electrical and Electronic Circuits in Biomedical Engineering 
BMEN,3350,0U1,2,2,3,5,4,3,1,1,,,1,,1,,,"Ali, Tariq M","Kian Pour, Bahareh",,,,,tma051000,tariq ali,Biomedical Component and System Design 
BMEN,3402,0U1,1,2,,,1,1,2,1,2,,1,1,1,,,"Ardestani Khoubrouy, Soudeh","Kashef, Sina",,,,,sxa074200,soudeh khoubrouy,Signals and Systems for Biomedical Engineering 
BMEN,4388,0U1,,3,10,8,9,3,4,,,,,,,,,"Polk, Todd W",,,,,,twp017000,todd polk,Senior Design Project I 
BMEN,4V95,5U1,14,10,3,1,1,,,,,,,,,,,"Porter, Benjamin A","Kashef, Sina",,,,,bap061000,benjamin porter,Undergraduate Topics in Biomedical Engineering 
BPS,4305,0U1,28,2,2,2,2,3,,1,1,,,,2,,,"Carraher, Shawn M",,,,,,smc130730,shawn carraher,Strategic Management 
BPS,4305,5E1,12,1,1,,1,2,,,,,1,,1,,,"Carraher, Shawn M",,,,,,smc130730,shawn carraher,Strategic Management 
BPS,4305,5U1,,12,10,8,8,2,,,,,,2,,,,"Kim, Dong Shin",,,,,,dxk152130,dong kim,Strategic Management 
BPS,6310,0W1,,20,4,2,,,,,,,,,1,,,"Kaplan, Marilyn R",,,,,,mkaplan,marilyn kaplan,Strategic Management 
BPS,6310,GW1,,11,3,1,,,,,,,,,,,,"Choi, Emily",,,,,,exc113230,emily choi,
BPS,6310,MBP,,20,6,3,4,,1,,,,,,,,,"Chasteen, Larry H","Balaji, Pavithra",,,,,chasteen,larry chasteen,
BPS,7303,0U1,,21,,,,,,,,,,,,,,"Watson, John M",,,,,,jmw077000,john watson,Doctoral Teaching and Writing Seminar 
BUAN,6312,0W1,,6,10,14,4,3,1,,,,,,,,,"Blueshtein, Moran","Smith, Jake A",,,,,mxb135230,moran blueshtein,Applied Econometrics and Time Series Analysis 
BUAN,6320,0U1,,22,,,,,,,,,,,,,,"Narayan, Ravishankar L","Kulkarni, Aniket S",,,,,rln130030,ravishankar narayan,Database Foundations for Business Analytics 
BUAN,6320,SW1,,11,,,,,,,,,,,,,,"Narayan, Ravishankar L","Kulkarni, Aniket S",,,,,rln130030,ravishankar narayan,
BUAN,6337,0W1,,11,19,6,,,,,,,,,,,,"Subramanian, Upender","Alavi, Seyyedeh Soogand",,,,,uxs092000,upender subramanian,Predictive Analytics Using SAS 
BUAN,6340,5U1,,30,8,3,4,2,1,,,,,,,,,"Parker, Jason A","Zhang, Hong",,,,,jap090020,jason parker,Programming for Data Science 
BUAN,6341,0W1,,12,4,3,8,1,,,,,,,,,,"Sohaee, Nassim",,,,,,nxs045000,nassim sohaee,Applied Machine Learning 
BUAN,6346,5U1,,20,5,,2,,,,,,,,,,,"Perez, Jerry","Kulkarni, Aniket S",,,,,jxp180019,jerry perez,Big Data 
BUAN,6346,5U2,,51,,,,,,,,,,,,,,"Elkhodari, Gasan",,,,,,gxe051000,gasan elkhodari,Big Data 
BUAN,6356,5U1,,20,1,,1,,,,,,,,,,,"Johnston, Walter L",,,,,,wlj031000,walter johnston,Business Analytics With R 
BUAN,6356,5U2,,1,4,,2,3,,,,,,,,,,"Chatterjee, Sourav",,,,,,sxc180075,sourav chatterjee,Business Analytics With R 
BUAN,6357,0U1,,3,5,4,2,1,,,,,,,,,,"Chatterjee, Sourav","Sun, Kai",,,,,sxc180075,sourav chatterjee,Advanced Business Analytics with R 
BUAN,6398,5U1,,6,2,2,1,5,3,2,,,,,,,,"Ramezani, Rasoul","Zhang, Minmin",,,,,rxr145930,rasoul ramezani,Prescriptive Analytics 
CE,3201,0U1,1,3,2,3,,,,,,,1,,,,,"Nikoubin, Tooraj","Steele, Alec M","Jain, Apurva",,,,txn190011,tooraj nikoubin,Electrical and Computer Engineering Fundamentals-I Laboratory 
CE,3202,0U1,,2,1,1,5,,,3,1,,,,,,,"Kiasaleh, Kamran","Apalak, Merve",,,,,kamran,kamran kiasaleh,Electrical and Computer Engineering Fundamentals-II Laboratory 
CE,3301,0U1,3,10,,1,2,1,,2,1,,,1,1,,,"Tacca, Marco","Abousaba, Mohammad F","Wang, Jianda",,,,mtacca,marco tacca,Electrical Network Analysis 
CE,3310,0U1,1,2,1,2,4,4,2,8,2,,,,1,,,"Lee, Jeong-Bong",,,,,,jblee,jeong bong lee,Electronic Devices 
CE,3311,5U1,,5,1,4,1,,,,,,,,,,,"Sechen, Carl","Hu, Bo","Palit, Prithviraj",,,,cms057000,carl sechen,Electronic Circuits 
CE,3320,0U1,1,3,2,1,2,,2,,,,2,,,,,"Nikoubin, Tooraj","Sears, Mark R",,,,,txn190011,tooraj nikoubin,Digital Circuits 
CE,4389,0U1,3,5,,5,,,,,,,,,,,,"Bhatia, Dinesh","Gandluru, Veerabharathchandrareddy",,,,,dinesh,dinesh bhatia,Senior Design Project II 
CGS,3361,0U1,,4,1,3,1,,,,,1,1,,,,,"Cavazos, Jacqueline G","Lung, Tzu-Chen",,,,,jxc162330,,Cognitive Psychology 
CHEM,1111,1U1,5,4,4,2,3,3,,2,,1,,,2,,,"Dissanayake, Dushanthi S","Perez Medina, Luciano","Sheybani, Simin",,,,dxd122030,dushanthi dissanayake,General Chemistry Laboratory I 
CHEM,1111,1U2,12,4,1,,2,3,3,,,,1,1,2,,,"Qin, Yanping","Rifat, Samia","Ahrari, Samira","Firouzi, Hamid Reza","Yan, Qing",,yxq083000,yanping qin,General Chemistry Laboratory I 
CHEM,1112,1U1,6,6,2,1,2,1,2,,,,,2,3,,,"Qin, Yanping","Ahrari, Samira","Firouzi, Hamid Reza",,,,yxq083000,yanping qin,General Chemistry Laboratory II 
CHEM,1112,1U2,6,7,2,2,2,2,1,,1,,,,2,,,"Huang, Yu","Sra, Amandeep K","Beck, Erling","Faisal, Tahmid",,,yxh091220,yu huang,General Chemistry Laboratory II 
CHEM,1311,0U1,10,33,19,22,11,8,6,6,6,,3,,2,,,"Sra, Amandeep K","Pope, Mitchell A","Alberto, Kevin A","Nguyen, Trang",,,aks057000,amandeep sra,General Chemistry I 
CHEM,1312,0U1,8,29,17,13,11,19,6,8,9,,3,,6,,,"Huang, Yu","Tripathi, Kiran","Miller, Justin T","Shafie, Arefeh",,,yxh091220,yu huang,General Chemistry II 
CHEM,2123,1U1,20,4,3,,,,,,1,,1,,,,,"Dissanayake, Dushanthi S","Gamage, Prabhath Lakmal",,,,,dxd122030,dushanthi dissanayake,Introductory Organic Chemistry Laboratory I 
