Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,NC,P,I,W,instructor_id,instructor_name_normalized,title
"Ahsan, Mohammad K","Helal, Md Abu",,,,,MATH,2417,0U1,5,,2,2,1,,,2,2,,2,2,5,,,,,,,mka120030,mohammad ahsan,Calculus I 
"Ramakrishna, Viswanath",,,,,,MATH,2420,8U1,,,,,,,,,,,,,,,,,,,,vish,viswanath ramakrishna,Differential Equations with Applications 
"Dahal, Rabin",,,,,,MATH,2418,8U1,,,,,,,,,,,,,,,,,,,,rxd153030,rabin dahal,Linear Algebra 
"Eydelzon, Anatoly","Khan, Samreen S","Khan, Md Arafat H","Mamun, Abdullah A",,,MATH,2419,0U1,,,3,1,2,5,4,1,7,,,,4,,,,,,,axe031000,anatoly eydelzon,Calculus II 
"Akbar, Mohammad M","Akhavan Varnousfadera, Mohammadmehdi","Wadippuli Achchige, Lakmi Niwanthi",,,,MATH,2413,0U1,1,3,4,2,,7,,3,3,,1,,6,,,,,,,mma110020,mohammad akbar,Differential Calculus 
"Eydelzon, Anatoly","Gudoshnikov, Ivan","Helal, Abdullah Al",,,,MATH,2451,0U1,2,6,5,1,3,2,2,4,6,,,,1,,,,,,,axe031000,anatoly eydelzon,Multivariable Calculus with Applications 
"Aman, Kelly",,,,,,MATH,2414,8U3,,,,,,,,,,,,,,,,,,,,kxa143530,kelly aman,Integral Calculus 
"Dahal, Rabin","Popa, Jonathan M","Lama, Sonam",,,,MATH,2415,0U1,3,4,4,2,6,5,5,3,1,1,1,1,2,,,,,,,rxd153030,rabin dahal,Calculus of Several Variables 
"Aman, Kelly","Eze, Izuchukwu A","Rakotomalala, Diarisoa Mihaja Andriamanisa","Chowdhury, Md Mujibur Rahman",,,MATH,2414,0U1,1,6,3,4,6,5,1,6,2,1,1,2,5,,,,,,,kxa143530,kelly aman,Integral Calculus 
"Li, Changsong",,,,,,MATH,1326,0U1,4,2,4,4,2,3,,6,2,2,2,3,7,,,,,,1,cxl109120,changsong li,Applied Calculus II 
"Ramakrishna, Viswanath","Shinglot, Vrushaly K","Iudaev, Sergei",,,,MATH,2420,0U1,7,4,5,8,4,1,1,3,2,4,1,,7,,,,,1,,vish,viswanath ramakrishna,Differential Equations with Applications 
"Dahal, Rabin","Acharya, Subas","Gelir, Fatih",,,,MATH,2418,0U1,10,4,9,1,4,7,1,,3,2,6,1,2,,,,,,,rxd153030,rabin dahal,Linear Algebra 
"Rios, Oziel","Sadeh, Sepehr",,,,,MECH,3105,0U1,1,3,5,1,1,5,3,,,,,,1,,,,,,,oxr106020,oziel rios,Computer Aided Design Laboratory 
"Rios, Oziel","Sadeh, Sepehr",,,,,MECH,3305,0U1,,,2,4,4,2,3,3,,1,,1,,,,,,,,oxr106020,oziel rios,Computer Aided Design 
"Hart, Robert A",,,,,,MECH,4382,0U1,,15,4,1,,,,,,,,,,,,,,,,rxh124630,robert hart,Senior Design Project II 
"Thamban, P.L.Stephan",,,,,,MECH,2310,0U1,,4,2,2,3,3,2,2,,1,,,,,,,,,,stephan,p l stephan thamban,Statics 
"Hart, Robert A",,,,,,MECH,4382,0U2,,9,5,2,4,2,,,,,,,,,,,,,,rxh124630,robert hart,Senior Design Project II 
"Hart, Robert A","Gravell, Jamie D","Upasham, Sayali S",,,,MECH,4381,0U1,,6,9,5,3,,1,,,,,,,,,,,,,rxh124630,robert hart,Senior Design Project I 
"Park, Wooram","Sunny, Sumair F",,,,,MECH,4340,0U1,1,8,7,5,8,4,2,2,3,,,,,,,,,,,wxp103020,wooram park,Mechanical Vibrations 
"Fadda, Dani Z","Balachandran, Balasubramaniam",,,,,MECH,3320,0U1,2,13,7,8,5,5,4,4,1,,,1,,,,,,1,,dzf091000,dani fadda,Heat Transfer 
"Kiser, Stephen L",,,,,,MECO,6303,AW1,,10,2,,,,,,,,,,1,,,,,,1,slk012100,stephen kiser,
"Lewin, Peter","Han, Munhee",,,,,MECO,6303,0W2,,17,12,6,12,,1,1,,,,,,,,,,,,plewin,peter lewin,Business Economics 
"Lewin, Peter","Han, Munhee",,,,,MECO,6303,0W1,,28,9,7,9,2,,,,,,,,,,,,,1,plewin,peter lewin,Business Economics 
"Kiser, Stephen L","Sharma, Varun",,,,,MECO,6303,5U1,,14,17,7,8,4,3,1,,,,,1,,,,,,1,slk012100,stephen kiser,Business Economics 
"Parker, Jason A","Zhang, Haozhao",,,,,MIS,6356,5U2,,15,,2,,,1,,,,,,,,,,,,,jap090020,jason parker,Business Analytics With R 
"Saeed, Kashif","Zhang, Haozhao",,,,,MIS,6345,0W1,,8,8,3,3,,,,,,,,,,,,,,,kxs147230,kashif saeed,High Performance Analytics 
"Thompson, Luell O",,,,,,MIS,6319,0W1,,8,,,14,,,1,,,,,,,,,,,,lot013000,luell thompson,Enterprise Resource Planning 
"Thomas, Sunela","Hosseini, Leila",,,,,MIS,6323,5U1,,11,,,8,,,2,,,,,2,,,,,,,sxt167730,sunela thomas,Object Oriented Programming 
"Kirksey, Kirk",,,,,,MIS,6204,CH1,,25,,,,,,,,,,,,,,,,,,kak130030,kirk kirksey,
"Narayan, Ravishankar L","Ozdemir, Dicle Yagmur",,,,,MIS,6364,0W1,,12,9,5,3,,1,,,,,,,,,,,,1,rln130030,ravishankar narayan,Enterprise IT Architecture 
"Bradbury, Judd D","Sharma, Aman",,,,,MIS,6380,0W2,,8,10,4,8,1,1,1,,,,,,,,,,,,jdb101000,judd bradbury,Data Visualization 
"Bradbury, Judd D","Sharma, Aman",,,,,MIS,6380,0W1,,9,7,7,2,6,5,,,,,,,,,,,,,jdb101000,judd bradbury,Data Visualization 
"Hefley, William E","Ozdemir, Dicle Yagmur",,,,,MIS,6204,0W1,,17,,5,9,,2,3,,,,,4,,,,,,2,weh150130,william hefley,Information Technology for Management 
"Islam, Naser","Sun, Geng",,,,,MIS,6309,5U1,,18,,11,10,2,,,,,,,2,,,,,,1,nxi110630,naser islam,Business Data Warehousing 
"Ryu, Young","Pakala, Tharun Reddy",,,,,MIS,6326,0W1,,18,3,3,15,3,,,,,,,1,,,,,,1,ryoung,young ryu,Data Management 
"Thouin, Mark",,,,,,MIS,6360,0W1,,19,12,13,3,,,1,,,,,,,,,,,,mxt083000,mark thouin,Agile Project Management 
"Raghunathan, Srinivasan","Hosseini, Leila",,,,,MIS,6308,0W1,,10,16,13,12,,,,,,,,1,,,,,1,,sraghu,srinivasan raghunathan,System Analysis and Project Management 
"Raghunathan, Srinivasan","Hosseini, Leila",,,,,MIS,6308,0W2,,9,22,15,7,,,,,,,,,,,,,,,sraghu,srinivasan raghunathan,System Analysis and Project Management 
"Wu, Fang","Zihagh, Fereshteh",,,,,MKT,4380,0W1,,4,,2,5,,1,,,,,,,,,,,,,fxw052000,fang wu,Capstone Course in Marketing 
"Rajaratnam, Daniel",,,,,,MKT,6301,5U2,,3,,6,4,,,,,,,,,,,,,,,dxr143430,daniel rajaratnam,Marketing Management 
"Grigsby, Mike",,,,,,MKT,6337,5U1,,2,,2,9,,,,,,,,,,,,,,,mxg153330,mike grigsby,Predictive Analytics Using SAS 
"Amirpour, Semiramis",,,,,,MKT,3330,0U1,3,2,1,2,1,1,,,1,,1,,3,,,,,,,sxa130731,semiramis amirpour,Introduction to Professional Selling 
"Hudelot, Loretta F",,,,,,MKT,3340,5U1,,6,,3,6,,,,,,,,,,,,,1,,lfh170000,loretta hudelot,Marketing Research 
"Albrecht, Maria",,,,,,MKT,6301,XS1,,15,,,1,,,,,,,,,,,,,1,,mxa180037,maria albrecht,
"Pacyna, Sandra",,,,,,MKT,4334,5U1,1,2,5,2,5,,2,,,,,,,,,,,,,sxp158130,sandra pacyna,Social Media Marketing 
"Rao, Ram C","Bhave, Ashutosh C",,,,,MKT,6336,0W1,,5,5,4,4,2,,,,,,,,,,,,,,rrao,ram rao,Pricing Analytics 
"Rajaratnam, Daniel",,,,,,MKT,6339,0W1,,1,,7,16,,,1,,,,,,,,,,,,dxr143430,daniel rajaratnam,Capstone Marketing Decision Making 
"Tirone, Guido",,,,,,MKT,6352,5U1,,10,2,5,6,2,,,,,,,,,,,,,2,gxt170001,guido tirone,Marketing Web Analytics and Insights 
"Edsel, Alexander D","Surolia, Prakhar",,,,,MKT,4330,0W1,4,5,2,1,3,5,3,1,3,,,,1,,,,,1,,ade012000,alexander edsel,Digital and Internet Marketing 
"Gafford, Jerome M",,,,,,MKT,3300,0U1,2,7,4,7,3,4,,1,2,,2,,,,,,,,,jmg171130,jerome gafford,Principles of Marketing 
"Dickinson, Keith",,,,,,MKT,3300,5U1,10,10,,,5,,,4,,,1,,3,,,,,,,kxd084000,keith dickinson,Principles of Marketing 
"Biswas, Abhijit","Jameei Osgouei, Ata",,,,,MKT,6332,0W1,,14,8,9,8,2,3,,,,,,,,,,,,,axb019100,abhijit biswas,Advertising and Promotional Strategy 
"Pahwa, Parneet",,,,,,MKT,6301,0W1,,15,5,9,14,3,,1,,,,,,,,,,,,pxp030100,parneet pahwa,Marketing Management 
"Pahwa, Parneet",,,,,,MKT,3300,0W1,,20,6,7,15,,,,,,,,1,,,,,,,pxp030100,parneet pahwa,Principles of Marketing 
"Pahwa, Parneet",,,,,,MKT,6301,0W2,,17,8,7,13,,2,2,,,,,,,,,,,,pxp030100,parneet pahwa,Marketing Management 
"Edsel, Alexander D",,,,,,MKT,6321,0W1,,14,7,10,16,,2,1,,,,,,,,,,,,ade012000,alexander edsel,Interactive and Digital Marketing 
"Medrick, Mary A",,,,,,MUSI,3322,051,3,7,2,3,1,2,,1,,,,,,,,,,,,mam017200,mary medrick,Music in Historical Context 
"McWilliams, Steven P","Phensy, Aarron J","Inyang, Kufreobong E",,,,NSC,4353,1U1,,3,3,1,2,1,2,1,1,,,,,,,,,,,sxm127330,steven mcwilliams,Neuroscience Laboratory Methods 
"Sultana, Rukhsana","Wilhelm, Rachel","dos Santos, Natalia Lucia","Szabo-Pardi, Thomas A","Garner, Katherine M",,NSC,4353,1U2,,4,6,2,3,,,,,,,,,,,,,,,rxs170431,rukhsana sultana,Neuroscience Laboratory Methods 
"Sultana, Rukhsana",,,,,,NSC,4352,0U1,2,4,1,3,1,1,1,,2,1,,,2,,,,,,,rxs170431,rukhsana sultana,Cellular Neuroscience 
"Sultana, Rukhsana",,,,,,NSC,4354,0U1,1,2,8,6,2,1,4,3,2,,1,,1,,,,,,,rxs170431,rukhsana sultana,Integrative Neuroscience 
"McWilliams, Steven P","Lackovic, Jacob",,,,,NSC,3361,0U1,3,5,11,3,5,6,5,5,3,2,3,2,2,,,,,,,sxm127330,steven mcwilliams,Introduction to Neuroscience 
"Hicks, Robert",,,,,,OB,6351,CW1,,5,14,2,1,1,,,,,,,,,,,,2,,,robert hicks,
"Hicks, Robert",,,,,,OB,6249,CW1,,24,,,1,,,,,,,,,,,,,,,,robert hicks,
"Rockett, Tracey L",,,,,,OB,6331,CW1,,18,3,3,,,,,,,,,1,,,,,,,,tracey rockett,
"Plaisance Bryan, Suzette T",,,,,,OB,6V99,CW2,,28,1,,,,,,,,,,1,,,,,,1,,suzette plaisance bryan,
"Kidwell, Virginie",,,,,,OB,6301,5U2,,40,,,,,,,,,,,,,,,,,,vxk133330,virginie kidwell,Organizational Behavior 
"Hasenhuttl, Maria","Jung, Young-Hoon",,,,,OB,6301,0W2,,32,,,6,,,2,,,,,1,,,,,,,h1562,maria hasenhuttl,Organizational Behavior 
"Krapu, Thomas M",,,,,,OB,6352,CW1,,32,5,2,1,1,,,,,,,1,,,,,1,,,thomas krapu,
"Hasenhuttl, Maria","Jung, Young-Hoon",,,,,OB,6301,0W1,,40,,,3,,,,,,,,,,,,,,,h1562,maria hasenhuttl,Organizational Behavior 
"Kidwell, Virginie",,,,,,OB,6301,5U1,,43,,,,1,,1,,,,,,,,,,,,vxk133330,virginie kidwell,Organizational Behavior 
"Richard, Orlando","Kemp, Ayenda",,,,,OB,6307,0W1,,44,2,,1,,,,,,,,,,,,,,3,pretty,orlando richard,Strategic Human Resource Management 
"Ritchey, David B",,,,,,OBHR,4350,5U1,4,12,4,4,3,4,2,,,,,,,,,,,,,davidr,david ritchey,Introduction to Leading and Managing 
"Nguyen, Huy",,,,,,OBHR,3310,5U1,2,7,9,1,12,1,1,2,,,,,3,,,,,,,hxn130630,huy nguyen,Organizational Behavior 
"Ritchey, David B",,,,,,OBHR,3310,0U1,6,8,9,7,10,1,1,3,2,1,,1,,,,,,,,davidr,david ritchey,Organizational Behavior 
