Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,NC,P,I,W,instructor_id,instructor_name_normalized,title
"Troutman, Amy B",,,,,,ACCT,6335,SW1,,1,3,4,3,,1,1,,,,,,,,,,,1,amybass,amy troutman,
"Solcher, Steven J",,,,,,ACCT,6301,CW1,,7,3,5,3,,,,,,,,,,,,,1,,sjs107020,steven solcher,
"Cready, William M","Hou, Liya",,,,,ACCT,6331,0W1,,7,,3,7,,,3,,,,,,,,,,,1,wmc041000,william cready,Cost Accounting 
"Zolton, Kathy",,,,,,ACCT,6333,5U1,,8,,,10,,,4,,,,,,,,,,1,1,kxz121730,kathy zolton,Advanced Financial Reporting 
"Gamino, John P",,,,,,ACCT,3350,5U1,2,6,2,3,6,2,2,2,,1,,,,,,,,,,jpg140630,john gamino,Fundamentals of Taxation 
"Johnson, Jennifer",,,,,,ACCT,4342,5U1,1,2,6,4,4,2,4,1,,1,,,1,,,,,,,jxj091000,jennifer johnson,Analysis and Design of Accounting Systems 
"Swaim, Stephanie R",,,,,,ACCT,6301,5U1,,10,,,8,,,3,,,,,5,,,,,,1,srp065000,stephanie poindexter swaim,Financial Accounting 
"Gamino, John P",,,,,,ACCT,6353,5U1,,10,2,6,5,1,2,1,,,,,,,,,,,,jpg140630,john gamino,Fundamentals of Taxation II 
"Goodrich, Mary Beth W","Hou, Liya",,,,,ACCT,6338,0W1,,11,4,4,4,2,,,,,,,,,,,,,4,goodrich,mary beth goodrich,Accounting Systems Integration and Configuration 
"Barden, John P",,,,,,ACCT,6301,CH1,,29,,,,,,,,,,,,,,,,,,jpb063000,john barden,
"Paul, Abraham",,,,,,ACCT,6373,5U1,,,4,,23,,,2,,,,,,,,,,,,axp180036,abraham paul,Advanced External Auditing 
"Cready, William M","Hou, Liya",,,,,ACCT,6330,0W1,,9,,4,4,,,5,,,,,2,,,,,,6,wmc041000,william cready,Intermediate Financial Accounting I 
"Linsteadt, Chris C",,,,,,ACCT,6334,0W1,,12,,,11,,,6,,,,,,,,,,,2,ccl019000,chris linsteadt,Auditing 
"Janakiraman, Surya","Fan, Zhongwen",,,,,ACCT,6202,0W2,,3,10,5,10,1,,,,,,,1,,,,,1,,suryaj,surya janakiraman,Managerial Accounting 
"Huang, Ying","Zhou, Xiaolu",,,,,ACCT,6305,5U1,,10,8,3,8,2,,,,,,,,,,,,,,yxh124430,ying huang,Accounting for Managers 
"Janakiraman, Surya","Fan, Zhongwen",,,,,ACCT,6305,0W1,,7,6,8,5,3,2,,,,,,1,,,,,,,suryaj,surya janakiraman,Accounting for Managers 
"Johnson, Jennifer",,,,,,ACCT,3341,0U1,3,3,3,5,3,4,5,2,1,4,,,,,,,,,,jxj091000,jennifer johnson,Cost Management Systems 
"Hes, Christopher A",,,,,,ACCT,2302,5U1,,4,4,3,9,3,2,1,1,,4,1,2,,,,,,,cah041000,christopher hess,Introductory Management Accounting 
"Zhou, Yibin","Li, Chenchen",,,,,ACCT,3331,5U1,,6,3,3,5,4,2,7,4,,1,,,,,,,,,yxz066000,yibin zhou,Intermediate Financial Accounting I 
"Zolton, Kathy",,,,,,ACCT,6333,0W1,,12,,,15,,,9,,,,,,,,,,,1,kxz121730,kathy zolton,Advanced Financial Reporting 
"Goodrich, Mary Beth W","Hou, Liya",,,,,ACCT,6388,5U1,,29,6,1,,1,,,,,,,1,,,,,,,goodrich,mary beth goodrich,Accounting Communications 
"Huang, Ying","Zhou, Xiaolu",,,,,ACCT,2301,5U1,,9,3,2,8,6,3,5,1,,1,,,,,,,,,yxh124430,ying huang,Introductory Financial Accounting 
"Bortz, Tiffany A",,,,,,ACCT,3332,5U1,2,5,,3,10,5,2,6,1,2,5,4,1,,,,,,,tabortz,tiffany bortz,Intermediate Financial Accounting II 
"Gurun, Umit",,,,,,ACCT,6344,0W1,,7,8,13,10,3,3,1,,,,,,,,,,,2,ugg041000,umit gurun,Financial Statement Analysis 
"Patino, Daniel I","Chu, Yu Fang",,,,,ACCT,4336,5U1,1,3,9,4,5,13,3,2,3,,2,1,,,,,,,,dip101020,,Financial Statement Analysis 
"Cheng, Samuel",,,,,,ACCT,6365,5U1,,12,12,12,4,3,3,,,,,,,,,,,1,,sxc109021,samuel cheng,Governmental and Not-For-Profit Accounting 
"Hes, Christopher A",,,,,,ACCT,4334,5U1,,3,2,8,9,8,10,3,1,2,,,1,,,,,,,cah041000,christopher hess,Auditing 
"Solcher, Steven J",,,,,,ACCT,6353,0W1,,8,27,8,4,2,,,,,,,,,,,,,1,sjs107020,steven solcher,Fundamentals of Taxation II 
"Barden, John P","Zhou, Xiaolu",,,,,ACCT,6373,0W1,,19,,,30,,,2,,,,,,,,,,,,jpb063000,john barden,Advanced External Auditing 
"Kromer, Jeffrey",,,,,,ACCT,6384,0W1,,51,,,2,,,,,,,,,,,,,,2,jrk013000,jeffrey kromer,Analytical Reviews Using Audit Software 
"Troutman, Amy B",,,,,,ACCT,6335,5U1,,40,18,2,,,,,,,,,,,,,,,,amybass,amy troutman,Ethics for Professional Accountants 
"McWilliams, Steven P",,,,,,ACN,6V81,0U1,,15,2,1,,,,,,,,,,,,,,,,sxm127330,steven mcwilliams,Special Topics in Applied Cognition and Neuroscience 
"Rosen, Mark S",,,,,,AHST,2331,091,,14,2,2,,,,,,,,,,,,,,,,mxr088000,mark rosen,Understanding Art 
"Goode, Dianne H",,,,,,AHST,3315,091,6,4,2,4,2,3,4,3,2,2,1,1,4,,,,,1,2,dgoode,dianne goode,The Art of the Renaissance 
"Werhnyak, Larissa",,,,,,AMS,2341,051,,2,3,1,2,2,,1,,,,,1,,,,,,2,lxw163630,larissa werhnyak,American Studies for the Twenty-First Century 
"Winstead, Elizabeth L",,,,,,AMS,3316,0W1,18,4,3,1,1,,,1,,,,,1,,,,,,,lwm061000,elizabeth winstead,Interpersonal Communication 
"Winstead, Elizabeth L",,,,,,AMS,3350,0W1,15,4,3,,1,,,1,2,,,,2,,,,,,1,lwm061000,elizabeth winstead,Crisis Communication 
"Winstead, Elizabeth L",,,,,,AMS,4385,0W1,9,15,13,1,4,2,,2,2,,,,1,,,,,,,lwm061000,elizabeth winstead,Professional Communications in Business 
"Imaoka, Laura",,,,,,ATCM,3301,0U1,,2,9,6,5,4,,2,1,,,,,,,,,,,lxi170030,laura imaoka,Digital Content Design 
"Martin, Jeffrey S",,,,,,AUD,7V82,5U1,,,,,,,,,,,,,,,,,14,,,jsm016600,,Special Topics in Hearing Science and Audiology 
"Cokely, Carol G",,,,,,AUD,6316,0U1,,8,5,1,,,,,,,,,,,,,,,,cgc016200,,Audiologic Rehabilitation for Adults 
"Golboro, Andrew",,,,,,AUD,6352,5U1,,5,6,3,,,,,,,,,,,,,,,,axg165431,,Medical Audiology 
"Thibodeau, Linda K",,,,,,AUD,7326,5U1,,13,2,,,,,,,,,,,,,,,,,thib,linda thibodeau,Aural Habilitation of Children with Hearing Impairments 
"Thibodeau, Linda K",,,,,,AUD,7325,0S1,,15,1,,,,,,,,,,,,,,,1,,thib,linda thibodeau,Intensive Auditory Rehabilitation for Adult Hearing Loss 
"Henry, Sarah E",,,,,,BCOM,3200,0U1,4,3,4,3,1,1,,1,,1,,,2,,,,,,,seh150530,sarah henry,Introduction to Business Professional Development and Business Communication 
"Watson, John M","Kemp, Ayenda",,,,,BCOM,4350,5E1,,9,15,2,3,2,,,,,,,,,,,,,,jmw077000,john watson,Advanced Business Communication 
"de los Santos, Veronica",,,,,,BCOM,4350,5U1,30,2,2,1,,,,,,,,,,,,,,,,vxd171930,veronica de los santos,Advanced Business Communication 
"Walton, Michaella",,,,,,BCOM,3310,0U1,3,6,7,6,3,2,3,2,2,,,,3,,,,,,,mrw170730,,Business Communication 
"Smallwood, Margaret G","Kim, Kyun",,,,,BCOM,3310,0U2,,15,10,1,7,1,1,,1,,1,,,,,,,,,meg012400,margaret smallwood,Business Communication 
"de los Santos, Veronica",,,,,,BCOM,4350,0U1,24,7,,,,1,2,,,,2,1,,,,,,,,vxd171930,veronica de los santos,Advanced Business Communication 
"Walton, Michaella",,,,,,BCOM,3310,5U1,1,11,6,5,4,2,2,3,,1,1,,,,,,,,,mrw170730,,Business Communication 
"Smallwood, Margaret G","Kim, Kyun",,,,,BCOM,3310,0U3,,15,12,4,3,3,,,,,,,,,,,,,,meg012400,margaret smallwood,Business Communication 
"Smallwood, Margaret G","Kim, Kyun",,,,,BCOM,4350,0U2,1,23,12,1,1,,,,,,,,,,,,,,,meg012400,margaret smallwood,Advanced Business Communication 
"Newcomb, Rebecca G",,,,,,BCOM,3200,5U1,,30,,2,6,,2,,,,,,,,,,,,,rgn100020,rebecca newcomb,Introduction to Business Professional Development and Business Communication 
"Borovkov, Irina G","Wei, Hong","Thomas-Jardin, Shayna E",,,,BIOL,4380,0U1,,,,,,,,,,,,,,,,,,,,ixb053000,irina borovkov,Cell and Molecular Biology Laboratory 
"Borovkov, Irina G",,,,,,BIOL,4380,1U1,,2,1,2,4,1,1,,,,,1,,,,,,,,ixb053000,irina borovkov,Cell and Molecular Biology Laboratory 
"Burr, John G",,,,,,BIOL,6341,5U1,,8,2,1,1,,,,,,,,,,,,,,,burr,john burr,Oncogenes 
"Burr, John G",,,,,,BIOL,4366,5U1,,3,3,2,2,2,,1,,,,,1,,,,,,,burr,john burr,Molecular Biology of Cancer 
"Hannig, Ernest","Slape, Coreen M","Ambagaspitiye Gedara, Sankalya S","Kunder, Nikesh Prakash","Mehta, Iti","Avadhanam, Nymisha",BIOL,3520,0U1,,,,,,,,,,,,,,,,,,,,hannig,ernest hannig,General Microbiology with Lab 
"Hannig, Ernest",,,,,,BIOL,3520,8U1,,1,,,,2,1,,1,,3,4,2,,,,,,,hannig,ernest hannig,General Microbiology with Lab 
"Yu, Wen H",,,,,,BIOL,3456,0U1,,,,,,,,,,,,,,,,,,,,why061000,wen ho yu,Human Anatomy and Physiology with Lab II 
"Gonzalez, Cristina M","Sendelbach, Dorothy M",,,,,BIOL,3V82,051,,,,,,,,,,,,,,,20,,,,,cxg042000,cristina gonzalez,Clinical Medicine II 
"Srikanth, Uma",,,,,,BIOL,3102,0U1,6,4,2,1,4,3,1,,,,,,,,,,,,,ukrish,uma srikanth,Eukaryotic Molecular and Cell Biology Workshop 
"Rippel, Scott A","Song, Ming",,,,,BIOL,3380,1U3,2,3,3,2,3,3,5,,,,,,,,,,,,,rippel,scott rippel,Biochemistry Laboratory 
"Lin, Wen J","Do, Hung P","Wang, Haozhe","Chen, Hao","Xia, Jing","Tian, Jing",BIOL,2281,1U1,2,5,4,6,3,1,,,,,,,,,,,,,,wenju,wen ju lin,Introductory Biology Laboratory 
"Lin, Wen J","Tian, Jing","Xia, Jing","Chen, Hao","Wang, Haozhe","Do, Hung P",BIOL,2281,1U3,2,6,3,1,,5,,3,1,,,1,,,,,,,,wenju,wen ju lin,Introductory Biology Laboratory 
"Pickett, Elizabeth A","Gadhvi, Jashkaran G",,,,,BIOL,3380,1U2,1,4,4,2,3,1,3,,3,,,1,,,,,,,,eaw016100,elizabeth pickett,Biochemistry Laboratory 
"Lin, Wen J","Do, Hung P","Wang, Haozhe","Chen, Hao","Xia, Jing","Tian, Jing",BIOL,2281,1U2,4,2,7,3,3,2,1,1,,,,,,,,,,,,wenju,wen ju lin,Introductory Biology Laboratory 
"Ramirez, Ruben D",,,,,,BIOL,3455,1U1,1,,2,2,1,2,2,2,2,2,1,1,4,,,,,,,rdr092000,ruben ramirez,Human Anatomy and Physiology with Lab I 
"Rippel, Scott A","Ebrahimzadeh Pirshahid, Tahmineh",,,,,BIOL,3380,1U1,,3,3,1,4,5,1,2,4,,,,1,,,,,,,rippel,scott rippel,Biochemistry Laboratory 
"Burr, John G",,,,,,BIOL,4353,5U1,,10,4,5,5,1,1,,,,,,,,,,,,,burr,john burr,Molecular Biology of HIV AIDS 
"Srikanth, Uma","Neugent, Michael L","Gauba, Esha","Sankaranarayanan, Ishwarya","Tandon, Neha Ramesh",,BIOL,3302,0U1,8,4,2,1,5,3,1,,1,,1,2,,,,,,,,ukrish,uma srikanth,Eukaryotic Molecular and Cell Biology 
"Ramirez, Ruben D",,,,,,BIOL,3455,1U3,1,3,2,1,4,1,1,,3,4,2,3,2,,,,,,,rdr092000,ruben ramirez,Human Anatomy and Physiology with Lab I 
"Candas, Mehmet",,,,,,BIOL,2112,0U2,2,7,5,4,4,2,2,1,,,1,,1,,,,,,,candas,mehmet candas,Introduction to Modern Biology Workshop II 
"Ramirez, Ruben D",,,,,,BIOL,3455,1U2,3,4,2,,4,3,4,5,2,1,,1,1,,,,,,,rdr092000,ruben ramirez,Human Anatomy and Physiology with Lab I 
"Candas, Mehmet",,,,,,BIOL,2111,0U2,2,5,1,5,8,2,1,3,3,,,1,1,,,,,,,candas,mehmet candas,Introduction to Modern Biology Workshop I 
"Candas, Mehmet",,,,,,BIOL,2112,0U1,2,3,9,1,6,6,2,,1,,3,,,,,,,,,candas,mehmet candas,Introduction to Modern Biology Workshop II 
"Candas, Mehmet",,,,,,BIOL,3161,0U3,2,6,3,3,7,3,2,4,1,1,2,,,,,,,,2,candas,mehmet candas,Biochemistry Workshop I 
"Candas, Mehmet",,,,,,BIOL,2111,0U1,2,8,8,4,2,4,4,,1,,,,2,,,,,,,candas,mehmet candas,Introduction to Modern Biology Workshop I 
"Candas, Mehmet",,,,,,BIOL,3161,0U1,1,9,9,5,10,2,2,1,3,2,1,,,,,,,,,candas,mehmet candas,Biochemistry Workshop I 
"Candas, Mehmet",,,,,,BIOL,3161,0U2,,5,11,6,7,3,2,4,3,2,2,,1,,,,,,,candas,mehmet candas,Biochemistry Workshop I 
"Borovkov, Irina G","Wang, Tianyuan","Upreti, Chahat","Zhou, Qin",,,BIOL,3101,0U1,3,6,9,6,3,5,2,5,3,2,3,5,4,,,,,,,ixb053000,irina borovkov,Classical and Molecular Genetics Workshop 
"Borovkov, Irina G","Upreti, Chahat","Yetkin, Celal E","Zhou, Qin",,,BIOL,3101,0U2,4,8,8,5,5,7,4,6,1,,1,5,4,,,,,,1,ixb053000,irina borovkov,Classical and Molecular Genetics Workshop 
"Candas, Mehmet",,,,,,BIOL,2312,0U1,4,10,14,5,10,8,4,1,1,,4,,1,,,,,,,candas,mehmet candas,Introduction to Modern Biology II 
"Lin, Wen J",,,,,,BIOL,2281,0U1,,,,,,,,,,,,,,,,,,,,wenju,wen ju lin,Introductory Biology Laboratory 
"Pickett, Elizabeth A","Rippel, Scott A","Ebrahimzadeh Pirshahid, Tahmineh","Gadhvi, Jashkaran G","Song, Ming",,BIOL,3380,0U1,,,,,,,,,,,,,,,,,,,,eaw016100,elizabeth pickett,Biochemistry Laboratory 
"Candas, Mehmet",,,,,,BIOL,2311,0U1,4,13,9,9,10,6,5,3,4,,,1,3,,,,,,,candas,mehmet candas,Introduction to Modern Biology I 
"Ramirez, Ruben D",,,,,,BIOL,3455,0U1,,,,,,,,,,,,,,,,,,,,rdr092000,ruben ramirez,Human Anatomy and Physiology with Lab I 
"Candas, Mehmet","McDill, Parker M","Lasley, Alexandra E","Soladogun, Adedamola S",,,BIOL,3361,0U1,3,19,20,12,19,8,6,6,5,4,4,,,,,,,,1,candas,mehmet candas,Biochemistry I 
"Borovkov, Irina G","Yetkin, Celal E","Upreti, Chahat","Wang, Tianyuan","Zhou, Qin",,BIOL,3301,0U1,7,14,17,11,8,12,6,11,4,2,4,10,8,,,,,,1,ixb053000,irina borovkov,Classical and Molecular Genetics 
"Hudson, Jennifer M",,,,,,BIS,3320,091,4,4,9,,,,,,,,,,2,,,,,,,jxh100220,jennifer hudson,The Nature of Intellectual Inquiry 
"Wright, David A",,,,,,BIS,3320,0U1,4,8,4,1,3,1,,2,,,1,,,,,,,,,wright,david wright,The Nature of Intellectual Inquiry 
"Robinson, Katie L","Edwards, Christopher W",,,,,BIS,3190,0W1,12,7,1,1,2,2,,1,1,1,,,2,,,,,,,klr180002,katie robinson,Library Research Skills 
"Betanzos, Christina L",,,,,,BLAW,2301,5U1,2,4,9,2,9,3,5,4,4,,1,,1,,,,,,,clb120030,christina betanzos,Business and Public Law  (3 Semester Credit Hours)
"Ali, Tariq M",,,,,,BMEN,3320,051,2,4,2,,2,,2,1,,,,,,,,,,,,tma051000,tariq ali,Electrical and Electronic Circuits in Biomedical Engineering 
"Polk, Todd W",,,,,,BMEN,4388,0U1,,6,8,5,7,1,,,,,,,,,,,,,,twp017000,todd polk,Senior Design Project I 
"Watson, John M",,,,,,BPS,7303,0U1,,14,,,,,,,,,,,,,,,,,,jmw077000,john watson,Doctoral Teaching and Writing Seminar 
"Carraher, Shawn M",,,,,,BPS,4305,5E1,16,3,2,3,1,2,,,,1,1,,1,,,,,,,smc130730,shawn carraher,Strategic Management 
"Chasteen, Larry H","Jung, Young-Hoon",,,,,BPS,6310,MBP,,22,,9,2,,,1,,,,,,,,,,,,chasteen,larry chasteen,
"Kaplan, Marilyn R",,,,,,BPS,6310,0W1,,41,2,1,1,,,1,,,,,,,,,,,3,mkaplan,marilyn kaplan,Strategic Management 
"Carraher, Shawn M",,,,,,BPS,4305,5U1,40,4,3,,,,1,,1,,1,,,,,,,,1,smc130730,shawn carraher,Strategic Management 
"Carraher, Shawn M",,,,,,BPS,4305,0U1,33,10,4,,1,3,,1,1,,,,1,,,,,,,smc130730,shawn carraher,Strategic Management 
"Saeed, Kashif","Zhang, Haozhao",,,,,BUAN,6345,0W1,,4,4,2,2,,,,,,,,,,,,,,,kxs147230,kashif saeed,High Performance Analytics 
"Johnston, Walter L",,,,,,BUAN,6356,5U1,,13,,,,,1,,,,,,,,,,,,1,wlj031000,walter johnston,Business Analytics With R 
"Cavusoglu, Huseyin","Pakala, Tharun Reddy",,,,,BUAN,6320,0W1,,7,6,2,3,,2,1,,,,,,,,,,,1,huseyin,huseyin cavusoglu,Database Foundations 
"Subramanian, Upender","Bhave, Ashutosh C",,,,,BUAN,6337,0W1,,3,7,3,3,2,2,1,,,,,1,,,,,,2,uxs092000,upender subramanian,Predictive Analytics Using SAS 
"Blueshtein, Moran","Wang, Hui",,,,,BUAN,6312,0W1,,6,2,9,3,7,,,,,,,,,,,,,,mxb135230,moran blueshtein,Applied Econometrics and Time Series Analysis 
"Parker, Jason A","Zhang, Haozhao",,,,,BUAN,6356,5U2,,28,4,,1,,,,,,,,,,,,,,1,jap090020,jason parker,Business Analytics With R 
"Alimirzaei, Athena","Armaghan, Milad",,,,,BUAN,6398,5U1,,33,1,2,2,,,,,,,,,,,,,,1,axa134231,athena alimirzaei,Prescriptive Analytics 
"Grigsby, Mike",,,,,,BUAN,6337,5U1,,14,5,5,18,,,1,,,,,,,,,,,2,mxg153330,mike grigsby,Predictive Analytics Using SAS 
"Sethi, Awanti","Manchiraju, Chandrasekhar Seetharama",,,,,BUAN,6398,5U2,,22,3,12,7,,1,1,,,,,1,,,,,,,asethi,awanti sethi,Prescriptive Analytics 
"Parker, Jason A","Zhang, Haozhao",,,,,BUAN,6340,5U1,,67,1,1,,,,,,,,,,,,,,,,jap090020,jason parker,Programming for Data Science 
"Liu, Jin","Xiong, Jiu","Choi, Ye I",,,,CE,3101,1U2,,8,2,,,,,,,,,,,,,,,,,jinliu,jin liu,Electrical Network Analysis Laboratory 
"Ozbirn, Greg A","Fan, Zhenbao",,,,,CE,3345,0U1,,,3,,4,1,,1,,,1,,,,,,,,,ozbirn,greg ozbirn,Data Structures and Introduction to Algorithmic Analysis 
"Kehtarnavaz, Nasser","Wei, Haoran","Abdelgelil, Mahmoud E",,,,CE,3102,1U2,3,3,2,,2,1,,,,,,,,,,,,,,nxk019000,nasser kehtarnavaz,Signals and Systems Laboratory 
"Bhatia, Dinesh","Thakur, Sneha",,,,,CE,4389,0U1,3,2,4,3,,,,,,,,,,,,,,,,dinesh,dinesh bhatia,Senior Design Project II 
"Davis, Chris I","Varanasi, Sarat Chandra","Solanki, Nidhiben M",,,,CE,4337,0U1,,2,2,,1,5,2,,,1,,,,,,,,,,cid021000,chris davis,Organization of Programming Languages 
"Bhatia, Dinesh","Thakur, Sneha",,,,,CE,4388,0U1,,6,3,3,2,,,,,,,,,,,,,,,dinesh,dinesh bhatia,Senior Design Project I 
"Ardestani Khoubrouy, Soudeh","Birjandtalab Golkhatm, Javad",,,,,CE,3302,0U1,1,3,6,1,2,1,,2,1,,,,,,,,,,,sxa074200,soudeh khoubrouy,Signals and Systems 
"Pourkamali, Siavash","Shahshahani, Masoud",,,,,CE,3311,0U1,3,6,,,3,1,1,1,1,,1,,,,,,,,,sxp124631,siavash pourkamali,Electronic Circuits 
"Kiasaleh, Kamran",,,,,,CE,3301,0U1,,4,,,2,2,1,3,4,,6,,1,,,,,,,kamran,kamran kiasaleh,Electrical Network Analysis 
"Sra, Amandeep K","Calubaquib, Erika Joy",,,,,CHEM,1111,1U2,2,7,3,,2,,1,2,,,,,1,,,,,,,aks057000,amandeep sra,General Chemistry Laboratory I 
"Candas, Mehmet","McDill, Parker M","Lasley, Alexandra E","Soladogun, Adedamola S",,,CHEM,3361,0U1,,1,3,2,5,,,3,2,1,1,,1,,,,,,1,candas,mehmet candas,Biochemistry I 
"Gavva, Sandhya R","Li, Siqing","Malekpour, Soheil",,,,CHEM,1112,1U1,3,5,4,4,1,,,,1,,,,2,,,,,,,sgavva,sandhya gavva,General Chemistry Laboratory II 
"Karunathilake, Arosha A","Tajik Asl, Masoumeh","Liyanage, Anuradha V",,,,CHEM,2125,1U3,16,2,1,,1,,,,,,,,,,,,,,,axk113330,,Introductory Organic Chemistry Laboratory II 
"Abeykoon, Nimali C","Wang, Hanghang",,,,,CHEM,2123,1U1,17,4,,,,1,,,,,,,,,,,,,,nxa124430,nimali abeykoon,Introductory Organic Chemistry Laboratory I 
"Gavva, Sandhya R","Brohlin, Olivia R","Malekpour, Soheil","Li, Siqing",,,CHEM,1111,1U1,2,5,1,1,6,1,1,2,1,2,,,,,,,,,1,sgavva,sandhya gavva,General Chemistry Laboratory I 
"Abeykoon, Nimali C","Zhou, Qinhan",,,,,CHEM,2123,1U2,20,2,1,,,,,,,,,,,,,,,,,nxa124430,nimali abeykoon,Introductory Organic Chemistry Laboratory I 
"Dissanayake, Dushanthi S","Graham, Robert L",,,,,CHEM,2125,1U1,6,6,8,3,1,,,,,,,,,,,,,,,dxd122030,dushanthi dissanayake,Introductory Organic Chemistry Laboratory II 
"Gavva, Sandhya R","Ball, Darby J","Abeyrathna, Nisansala S",,,,CHEM,1112,1U2,4,14,3,2,2,,,,,,,,,,,,,,,sgavva,sandhya gavva,General Chemistry Laboratory II 
"Cortes, Sergio J","Liyanage, Anuradha V",,,,,CHEM,2125,1U2,13,15,2,,,,,,,,,,,,,,,,,scortes,sergio cortes,Introductory Organic Chemistry Laboratory II 
"Sibert, John W",,,,,,CHEM,2323,0U1,4,12,4,2,7,5,10,3,9,,3,5,8,,,,,,,sibertj,john sibert,Introductory Organic Chemistry I 
"Sra, Amandeep K","Abeyrathna, Wannaku R",,,,,CHEM,1311,0U1,2,7,10,6,8,10,4,5,8,4,8,4,8,,,,,,1,aks057000,amandeep sra,General Chemistry I 
"Dieckmann, Gregg","Cosey, Whitney",,,,,CHEM,1312,0U1,5,5,7,7,8,5,4,14,12,8,4,2,12,,,,,1,,dieckgr,gregg dieckmann,General Chemistry II 
"Cortes, Sergio J",,,,,,CHEM,2325,0U1,7,6,14,9,6,14,6,8,8,8,5,4,4,,,,,2,,scortes,sergio cortes,Introductory Organic Chemistry II 
"Schneider, Julie M","Poudel, Sonali",,,,,CLDP,3303,0U1,1,4,1,3,1,,,,,,,,1,,,,,,,jxs114631,,Normal Language Development 
"Sands, Kaitlin R","Terry, Courtney",,,,,CLDP,3310,0U1,,4,1,,3,2,1,2,,,,,,,,,,,,krs150330,,Child Development 
"Barfoot, John W","Peskova, Olga",,,,,CLDP,3342,0U1,3,1,8,7,2,2,,,,,,,,,,,,,,jwb043000,john barfoot,Exceptional Children 
"Powers, Katharine A","Evans, Delaney L",,,,,COMD,5344,5U1,,9,,,3,,,,,,,,,,,,,,,kap130730,katharine powers,Anatomy and Physiology of Speech and Hearing 
"Sweeney, Melissa",,,,,,COMD,7323,0U1,,16,,,3,,,,,,,,,,,,,,,msweeney,,Auditory-Verbal Methods 
"Walsh, Diane G","Glotfelty, Annette R",,,,,COMD,7V89,0U1,,21,,,1,,,,,,,,,,,,,,,dxg022000,diane walsh,Mild Cognitive Impairment  Alzheimer s Disease and Related Disorders 
"Aldridge, Michelle A",,,,,,COMD,5340,0U1,,34,,1,,,,,,,,,,,,,,,,aldridge,michelle aldridge,Articulation Disorders 
"Aldridge, Michelle A",,,,,,COMD,6V09,0U1,,37,,,,,,,,,,,,,,,,,,aldridge,michelle aldridge,Autism Spectrum Disorder 
"Sale, Felicity F",,,,,,COMD,7V68,0U1,,41,,,,,,,,,,,,,,,1,,,ffs013000,,Cognitive Rehabilitation 
"Cook, Lori G","Melamed, Tina",,,,,COMD,7345,0U1,,28,,,6,,,1,,,,,,,,,10,,,lgc011100,lori cook,Pediatric Traumatic Brain Injury 
"Dean, Lucinda L","Kenedi, Helen","Boone, Melissa N",,,,COMD,7303,0U1,,94,,,29,,,1,,,,,,,,,,,,lxl018300,,Dysphagia 
"Tanner, Lari J",,,,,,COMM,1311,0H1,5,4,,,,1,,,,,,,,,,,,,,ljt130130,lari tanner,
"Moss, Daniel J",,,,,,COMM,1311,0H3,1,2,3,1,1,2,,,,,,,,,,,,,,djm161130,daniel moss,Survey of Oral and Technology-based Communication 
"Stewart, Derek A",,,,,,COMM,1311,0H5,,6,6,,,1,,,,,,,,,,,,,,das141230,derek stewart,Survey of Oral and Technology-based Communication 
"Stewart, Derek A",,,,,,COMM,1311,0H4,4,5,5,1,1,,,,,,,,,,,,,,,das141230,derek stewart,Survey of Oral and Technology-based Communication 
"Gregory, Mona Y",,,,,,COMM,1311,0W1,5,6,1,2,2,2,,,,1,,,2,,,,,,,myg140030,mona gregory,Survey of Oral and Technology-based Communication 
"Tanner, Lari J",,,,,,COMM,1311,0H2,15,4,2,,,1,,,,,,,,,,,,,,ljt130130,lari tanner,
"Hernandez-Katz, Melissa M",,,,,,COMM,4350,051,1,8,7,2,2,2,,1,,,,,,,,,,,,mhkatz,melissa hernandez katz,Intercultural Communication 
"Vazzi, Lisa",,,,,,COMM,1311,0W3,9,12,3,2,1,1,1,,,,,,1,,,,,,1,lxv160630,lisa vazzi,Survey of Oral and Technology-based Communication 
"Huskey, Michael",,,,,,CRIM,3320,0W1,1,7,5,3,1,3,,,1,1,2,1,3,,,,,,,mxh160630,michael huskey,Homicide and Capital Punishment 
"Gammell, Sarah P",,,,,,CRIM,3310,0W1,3,9,7,1,3,1,,,3,,2,1,4,,,,,,,spg160530,sarah gammell,Youth Crime and Justice 
"Laprade, Jennifer M",,,,,,CRIM,3300,0W1,,18,6,1,2,1,1,3,,1,,,1,,,,,,,jml109020,jennifer laprade,Crime and Civil Liberties 
"Polk, Elmer O",,,,,,CRIM,3302,0W1,13,13,6,1,,2,2,1,1,,,,,,,,,,,peo091000,elmer polk,Advanced Criminology 
"Polk, Elmer O",,,,,,CRIM,4396,0W1,40,14,4,3,1,7,2,1,1,,1,1,2,,,,,,,peo091000,elmer polk,Selected Topics in Criminology 
"Nouroz Borazjany, Mehra","Ricks, Brian W",,,,,CS,3354,0U1,,,3,2,,,1,2,2,,,,,,,,,,,mxn143230,mehra borazjany,Software Engineering 
"Semper, William J",,,,,,CS,6375,MS1,,10,,,,,,,,,,,,,,,,,,wjs130130,william semper,
